Year,Type,Single_Family_Residential__gall,Multi_Family__gallon_,Total_Residential_Usage__gallon,Total_Residential_Usage__gall_1,Population__capita_,Residential_Gallons_per_capita_,Single_Family__GPCD_,Multifamily__GPCD_,Landscape__GPAD_,Date,ObjectId
2006,Data,5690000000,2850000000,8540000000,23397260,170000,137.6,,,,2006/12/31 07:00:00+00,1
2007,Data,6042000000,3108000000,9150000000,25068493,172000,145.7,,,,2007/12/31 07:00:00+00,2
2008,Data,5363000000,2666000000,8029000000,21997260,175000,125.7,,,,2008/12/31 07:00:00+00,3
2009,Data,5467000000,2687000000,8154000000,22339726,181000,123.4,,,,2009/12/31 07:00:00+00,4
2010,Data,5635000000,2907000000,8542000000,23402740,170000,137.7,,,,2010/12/31 07:00:00+00,5
2011,Data,5172000000,3053000000,8225000000,22534247,171000,131.8,,,,2011/12/31 07:00:00+00,6
2012,Data,5120000000,3139000000,8259000000,22627397,172000,131.6,,,,2012/12/31 07:00:00+00,7
2013,Data,4794000000,3147000000,7941000000,21756164,174000,125,,,,2013/12/31 07:00:00+00,8
2014,Data,4705000000,2614000000,7319000000,20052055,176000,113.9,,,,2014/12/31 07:00:00+00,9
2015,Data,4646000000,2719000000,7365000000,20178082,179000,112.7,,,,2015/12/31 07:00:00+00,10
2016,Data,4699000000,2720000000,7419000000,20326027,182800,111.2,,,,2016/12/31 07:00:00+00,11
2017,Data,4660000000,2745000000,7405000000,20287671,186100,109,,,,2017/12/31 07:00:00+00,12
2018,Data,4529000000,2730000000,7259000000,19887671,191643,103.8,,,,2018/12/31 07:00:00+00,13
2019,Data,4411000000,2728000000,7139000000,19558904,194989,100.3,170,92,3477,2019/12/31 07:00:00+00,14
2020,Data,4717000000,2676000000,7393000000,20254795,198408,102.1,172,89,3677,2020/12/31 07:00:00+00,15
2021,Data,4527000000,2808000000,7335000000,20095890,186877,107.5,153,87,3576,2021/12/31 07:00:00+00,16
2022,Data,4305000000,2764000000,7069000000,19367123,192687,100.5,144,81,3301,2022/12/31 07:00:00+00,17
2026,Target Date,,,,,,,160,75,3171,2026/06/30 07:00:00+00,18
