X,Y,ProjectID,AppNum,AppType,ProjectName,ProjectTown,District,Status,Description,GisLatitude,GisLongitude,LINK
483387.17182071,219183.736457308,2,100024,Major,Sun & Ski Motel,Stowe,05,Permit,Construct Chalet & 15 Unit Motel,44.472724348,-72.708830614,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100024
485940.42395588,237167.981604207,8,100025,Major,,Johnson,05,Permit,CONSTRUCT CHURCH AND PARISH FACILITIES,44.634600925,-72.6771585559999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100025
485549.358558646,218300.743478839,9,100026,Major,,Stowe,05,Denied,CONDO COMPLEX WITH PRIVATE RECREATIONAL FACILITIES,44.4647783180001,-72.681605796,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100026
485869.111855832,237212.585429971,10,100027,Minor,"Johnson Woolen Mills, Inc.",Johnson,05,Permit,OFFICE ADDITION,44.634999882,-72.678096473,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100027
494974.150590947,232643.173130715,11,100028,Major,,Hyde Park,05,Permit,EXTEND TOWN HIGHWAY 51,44.5940104860001,-72.5633409339999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100028
474608.776713913,238869.365149236,12,100029,Major,Deerun Motel,Cambridge,05,Permit,CONSTRUCTION OF A MOTEL,44.6496156050001,-72.820089234,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100029
494745.895572092,235110.221458771,16,100004,Major, Puckerbush Subdivision,Hyde Park,05,Permit,1 FAM RES SUBDIV,44.616183973,-72.566216744,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100004
496362.797566174,245265.590468959,17,100006,Major,Route 118,Eden,05,Permit,Reconstruct Vermont Route 118,44.7076044730001,-72.545933481,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100006
493152.455861298,229366.811321715,18,100007,Minor,Morristown School District,Morristown,05,Permit,Construct Elementary School,44.5645346790001,-72.5861605269999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100007
450743.733776966,269423.434153551,22,100011,Minor,,Swanton,06,Permit,Construction of sanitary sewer facilities for Village of Swanton,44.9232923340001,-73.123885091,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100011
492661.317571439,230589.663275213,23,100012,Major,Shopping Center,Morristown,05,Permit,Construct Shoppng Center,44.575489218,-72.59244262,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100012
454693.082578874,255102.886316395,39,100013,Major,,Saint Albans Town,06,Permit,GAS SERVICE STATION,44.7946596940001,-73.072631111,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100013
492557.670978566,230245.310621951,41,100014,Major,Northgate Plaza Shopping Center,Morristown,05,Permit,EXTEND CONST COMPL DATE,44.5724215180001,-72.593745976,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100014
473951.872155954,239238.68296889,55,100015,Major,Research & Development Facilty,Cambridge,05,Permit,Construct 5000 Sq.Ft. Building,44.6529079690001,-72.8284238419999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100015
481849.54478132,218454.463034707,56,100016,Minor,Stowe  Jr./Sr. High School,Stowe,05,Permit,"Construct 86,000 Sq. Ft. Facility",44.4660737630001,-72.728051593,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100016
444472.675178785,252726.956603029,59,100017,Minor,Burton Island State Park,Saint Albans Town,06,Permit,"Installation of additional 12,000 gal. gasoline storage tank at marina",44.772583174,-73.201451601,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100017
477236.574158794,225925.074055104,60,100018,Minor,Smugglers' Notch Camping Area,Stowe,05,Permit,Install trailer sanitary station,44.533222907,-72.7864403409999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100018
471146.694311666,269854.678598899,64,100019,Minor,,Sheldon,06,Permit,REBUILD ROAD 1.2 MILES,44.9282705680001,-72.865492753,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100019
485254.00136256,217890.269785449,66,100020,Minor,Stowe Recreational Facility,Stowe,05,Permit,RECREATIONAL GROUND,44.4610801090001,-72.6853215799999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100020
485559.847827543,237291.053107312,75,100021,Minor,Aubuchon Hardware Store,Johnson,05,Permit,Build Addition to Existing Grand Union Shopping Center,44.635702376,-72.682026387,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100021
454234.48348302,260707.081210871,76,100022,Minor,,Saint Albans Town,06,Permit,VOLKSWAGEN SALES & SERVICE,44.8450865200001,-73.078935202,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100022
477425.344721497,232202.728273715,84,100030,Major,,Cambridge,05,Permit,SUBDIVISION OF EIGHT TOWN HOUSE UNITS,44.589709424,-72.784342786,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100030
479312.51601309,223884.638895596,86,100032,Major,,Stowe,05,Permit,RESORT CONDOS,44.5149062240001,-72.760203684,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100032
482489.566058056,219730.569977094,90,100034,Major,,Stowe,05,Permit,DEVELOPMENT OF 88 CONDO UNITS,44.4775959930001,-72.720130824,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100034
483380.066949638,219517.109364764,131,100036,Major,,Stowe,05,Permit,CONDO VILLAGE/MOTOR LODGE AND RESTAURANT / PERMIT DENIED,44.475695198,-72.708863631,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100036
492374.528723422,229856.604966984,148,100037,Major,,Morristown,05,Findings,Nursing Home,44.568885311,-72.5960221939999,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100037
496981.056627154,245598.638014734,149,100038,Major,,Eden,05,Permit,Construction of new town clerks office,44.71063165,-72.538109321,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100038
479687.826032473,229483.898217809,150,100039,Major,,Cambridge,05,Permit,MODIFY TRAILS,44.565297731,-72.755659268,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100039
479679.742990951,229439.47537648,151,100040,Major,,Cambridge,05,Withdrawn,NEW SKI TRAIL,44.5648574580001,-72.755801875,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100040
