OBJECTID,DEF_FEATURE,COORD_SRC,ACCURACY_FT,SHAPE_Length
1,ROAD_OFFSET,SOURCEL,40,0.022354622824203
2,ROAD_OFFSET,SOURCEL,40,0.125383952521891
3,ROAD_OFFSET,SOURCEL,40,0.0969681704886017
4,SUBDIVISION,CADNSDI,-1,7.52650140778759e-05
5,POWERLINE,DRG,,0.00784350251781348
6,POWERLINE,DRG,,0.0034678512340505
7,ROAD_OFFSET,UNK,,0.0165787766824656
8,ROAD_OFFSET,UNK,,0.00755827065368889
9,ROAD_OFFSET,UNK,,0.00764475608361152
10,SUBDIVISION,CADNSDI,,5.74790132509742e-05
11,ROAD_OFFSET,UNK,,0.0295597491774316
12,ROAD_OFFSET,UNK,,0.029504095007701
13,SUBDIVISION,CADNSDI,-1,0.000284866579513715
14,WATERCOURSE,GPS,3,0.00822675464220606
15,POWERLINE,GPS,3,0.00268553144063198
16,SUBDIVISION,CADNSDI,0,0.0172915305115408
17,ROAD_OFFSET,UNK,,0.0129317289813086
18,ROAD,SOURCEL,40,0.00422267356850106
19,SUBDIVISION,CADNSDI,-1,0.00390589054445769
20,ROAD_OFFSET,DOQ,20,0.00454169487702459
21,ROAD_OFFSET,MAP,40,0.00161819257787535
22,ROAD_OFFSET,MAP,40,0.00143060352777088
23,SUBDIVISION,CADNSDI,0,0.0101930607651922
24,SUBDIVISION,CADNSDI,0,0.0689950852874074
25,SUBDIVISION,CADNSDI,0,0.0636466547623891
26,SUBDIVISION,CADNSDI,0,0.026875405017267
27,SUBDIVISION,CADNSDI,0,0.0371117210984677
28,ROAD,DLG,,0.00626954927205434
29,ROAD,DLG,,0.0276238069582386
30,ROAD,DLG,,0.016603943751584
31,ROAD,DLG,,0.0105339411504752
32,ROAD,DLG,,0.0460955291206941
33,ROAD,DLG,,0.00971400350716997
34,ROAD,DLG,,0.00388076455823479
35,ROAD,DLG,,0.00795178256522954
36,ROAD,DLG,,0.0054127482504355
37,ROAD,DLG,,5.92302741417689e-05
38,ROAD,DLG,,6.1217585822803e-05
39,ROAD,DLG,,0.0157287031352019
40,ROAD,DLG,,0.00758668970215326
41,ROAD_OFFSET,UNK,,0.0246515015314694
42,SUBDIVISION,CADNSDI,,0.00313848850152185
43,SUBDIVISION,CADNSDI,,0.000196432794301267
44,UNKNOWN,UNK,,0.00245313834053746
45,RIDGE,DRG,,0.0122815675043257
46,SUBDIVISION,CADNSDI,,0.0090178594891999
47,ELEVATION,DRG,,0.0125190461656763
48,ROAD,DLG,,0.0406038282098366
49,POINT-TO-POINT,UNK,,0.00534393967849839
50,ROAD,DLG,,0.0390789093903903
51,SUBDIVISION,CADNSDI,,0.0175078562486736
52,ROAD,DLG,,0.0113167100136236
53,SUBDIVISION,CADNSDI,,0.00508934349215895
54,SUBDIVISION,CADNSDI,,5.54938555306478e-05
55,ROAD_OFFSET,UNK,,0.0166345183784954
56,POWERLINE,DRG,,0.00783363836016165
57,POWERLINE,DRG,,0.0170194346566856
58,ROAD,SOURCEL,0,0.0127854480044873
59,SUBDIVISION,CADNSDI,0,0.34742134505298
60,SUBDIVISION,CADNSDI,0,5.71063523052261e-05
61,ROAD_OFFSET,SOURCEL,0,0.0262020131444196
62,SUBDIVISION,CADNSDI,0,0.0171703188112948
63,ROAD_OFFSET,SOURCEL,0,0.0231637252560534
64,ROAD,SOURCEL,0,0.0505629180047153
65,ROAD,SOURCEL,0,0.00477462952650425
66,ROAD_OFFSET,SOURCEL,0,0.054433023003449
67,ROAD_OFFSET,SOURCEL,0,0.0544863743052016
68,POINT-TO-POINT,DRG,40,0.000217413718202935
69,ROAD,SOURCEL,0,0.00700918159765094
70,POINT-TO-POINT,DRG,40,0.00743218018590562
71,ELEVATION,DRG,,0.00263190912970371
72,ROAD,DLG,,0.00382689256329107
73,SUBDIVISION,CADNSDI,,0.00338219717084428
74,SUBDIVISION,CADNSDI,,0.0360528059565586
75,SUBDIVISION,CADNSDI,,0.00527484616247067
76,SUBDIVISION,CADNSDI,,0.0277638635227502
77,ROAD,DLG,,0.0127157395269812
78,SUBDIVISION,CADNSDI,,0.00719067552769146
79,ROAD,DLG,,0.00562742168685619
80,SUBDIVISION,CADNSDI,,0.00874955678562556
81,SUBDIVISION,CADNSDI,,0.00875202594666744
82,SUBDIVISION,CADNSDI,,0.0732052891728651
83,ROAD,DLG,,0.0262013739237895
84,ROAD,DLG,,0.000780020135390325
85,ROAD,DLG,,0.0176898961740748
86,ROAD,DLG,40,0.0348262037736919
87,ROAD,DLG,,0.0595580752712287
88,ROAD,DLG,,0.114952683018053
89,ROAD,DOQ,,0.00133144147615797
90,ROAD,DOQ,,0.00726716844985977
91,ROAD,DLG,,0.0184811809193959
92,ROAD,DLG,,0.0205113932520503
93,ROAD,SOURCEL,0,0.0903120187427371
94,ROAD_OFFSET,SOURCEL,0,0.011240114065301
95,TRAIL,DLG,40,0.0299344638205559
96,SUBDIVISION,CADNSDI,0,0.0297265755712525
97,SUBDIVISION,CADNSDI,0,0.00352300746014908
98,SUBDIVISION,CADNSDI,0,0.00849970556597783
99,SUBDIVISION,CADNSDI,0,0.00320368592906346
100,SUBDIVISION,CADNSDI,0,0.0139594068806733
101,ROAD,DLG,,0.115660460733418
102,ROAD,DLG,,0.057367362233589
103,ROAD,DLG,,0.0824951144647801
104,ROAD,DLG,,0.0166712078470151
105,ROAD,DLG,,0.0106910559591046
106,ROAD,DLG,,0.0224572270773842
107,FENCE,DRG,40,0.0271011724545889
108,ROAD,SOURCEL,0,0.0272153253253589
109,ROAD,SOURCEL,0,0.0311905289424126
110,ROAD_OFFSET,SOURCEL,0,0.201831193388503
111,SUBDIVISION,CADNSDI,0,0.0280192606242147
112,SUBDIVISION,CADNSDI,0,5.84658431945009e-05
113,ROAD,SOURCEL,0,0.0607815963712547
114,SUBDIVISION,CADNSDI,0,0.0244263027364868
115,ROAD,SOURCEL,0,0.379921858783666
116,ROAD_OFFSET,SOURCEL,0,0.0261683010486897
117,ROAD_OFFSET,UNK,,6.39540398808697e-05
118,POINT-TO-POINT,DOQ,,0.00689260304508518
119,ELEVATION,DRG,,0.0144021480705197
120,SUBDIVISION,CADNSDI,,0.0705571791542334
121,SUBDIVISION,CADNSDI,,0.00722881702932264
122,RIDGE,DRG,,0.0649395235377353
123,POWERLINE,DRG,,0.0117162800557444
124,SUBDIVISION,CADNSDI,,0.00325558651670931
125,SUBDIVISION,CADNSDI,,0.0100914676418438
126,SUBDIVISION,CADNSDI,,0.00648760540545777
127,SUBDIVISION,CADNSDI,,0.0142980288851015
128,POWERLINE,DRG,,0.00275080822685281
129,SUBDIVISION,CADNSDI,,0.0908023107025248
130,SUBDIVISION,CADNSDI,,0.0107232728754886
131,SUBDIVISION,CADNSDI,,0.0166644533006636
132,POWERLINE,DRG,,0.0173369352743177
133,SUBDIVISION,CADNSDI,,0.0678251826828871
134,SUBDIVISION,CADNSDI,,0.0328201199742115
135,SUBDIVISION,CADNSDI,,0.0281103225310743
136,UNKNOWN,UNK,,0.0306214453493238
137,ELEVATION,DRG,,0.0115455005341239
138,SUBDIVISION,CADNSDI,,0.0115187368511393
139,SUBDIVISION,CADNSDI,,0.00276240192022613
140,ROAD_OFFSET,SOURCEL,0,0.0972540058817757
141,ROAD,SOURCEL,0,0.0141925902432871
142,ROAD,SOURCEL,0,5.53606538850255e-05
143,ROAD_OFFSET,SOURCEL,0,0.0645862537075881
144,ROAD,SOURCEL,0,0.0310676375432657
