OBJECTID,COMPTYPE,COMPKEY,HANSEGKEY,UNITID,UNITTYPE,BRGUNITID,UNITDESC_BRG,UNITDESC_SEG,INSTDATE,EXPDATE,STATUS,STATUSDT,CONDITION,CONDDT,OWN,LSTVERIFY,MAINTBY,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,ADDDTTM,MODDTTM,BR_NBR,BR_CODE,BR_TYPE,BR_NAME,BR_FACILITIES,BR_FEATURES,BR_RATING,BR_INSET,BR_GEO,BR_OWNER,BR_OWNER_NAME,GEOBASID,XGEOBASID,GISSEGKEY,EARTHQUAKE_RESPONSE_TEAM,SHAPE_Length
24840,66,511838,12370,BRG-054, ,BRG-054,RAINIER & MLK JR PED                                                                                                                                                                                                                                           ,RAINIER AVE S BETWEEN S MOUNT BAKER EB BV AND S HANFORD ST                                                                                                                                                                                                     ,,, ,, ,, ,, ,DISTRICT2, ,N,,2009/12/21 00:00:00+00,2022/11/21 00:00:00+00,54,  54,E,RAINIER & ML KING WAY PED BR,PEDESTRIANS,RAINIER AVE & ML KING JR WAY S,1,0,S,SDOT,Seattle Dept. of Transportation,166150010,0,12370,BRGTEAM-L,269.567295648417
24841,66,511822,13766,BRG-037, ,BRG-037,YESLER WAY /5TH AVE                                                                                                                                                                                                                                            ,YESLER WAY BETWEEN TERRACE ST AND 6TH AVE                                                                                                                                                                                                                      ,,, ,, ,, ,, ,DISTRICT2,DISTRICT3,N,,2009/12/21 00:00:00+00,2018/05/07 00:00:00+00,37,  37,E,YESLER WAY / 5TH AVE S,YESLER WAY,5TH AVE S,1,1,DT,SDOT,Seattle Dept. of Transportation,107850130,0,13766,BRGTEAM-Q,196.190487900538
24842,66,511922,18047,BRG-133, ,BRG-133,UW PED /NE PACIFIC ST - W BR                                                                                                                                                                                                                                   ,NE PACIFIC ST BETWEEN XW 17 AVNE AND NE PACIFIC PL                                                                                                                                                                                                             ,,, ,, ,, ,, ,DISTRICT4, ,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,133, 133,PR,UW PED BR / NE PACIFIC ST,PEDESTRIANS,NE PACIFIC ST,1,0,NE,PRIV,Other,0,139500175,18047, ,138.628118872561
24843,66,511884,16860,BRG-094WA, ,BRG-094WA,NE 45TH ST VIADUCT - W APPR                                                                                                                                                                                                                                    ,NE 45TH ST BETWEEN 21ST AVE NE AND NE 45TH ST RP                                                                                                                                                                                                               ,,2011/12/31 00:00:00+00,REMOVED,2011/12/31 00:00:00+00, ,, ,, ,DISTRICT4, ,N,,2009/12/21 00:00:00+00,2023/10/25 00:00:00+00,94,  94W,E,NE 45TH ST VIADUCT WEST APPR,NE 45TH ST,25TH AVE NE,2,0,NE,SDOT,Seattle Dept. of Transportation,132850220,0,16860, ,872.562848826793
24844,66,515713,491406,BRG-850, ,BRG-850,DEARBORN-N RAMP NBCD OC                                                                                                                                                                                                                                        ,SR99 SB DEARBORN ST ON RP BETWEEN S DEARBORN ST AND I5 NB COLLECTOR                                                                                                                                                                                            ,,, ,, ,, ,, ,DISTRICT2, ,N,,2010/01/21 00:00:00+00,,850, 850,ST,DEARBORN-N RAMP NBCD OC,SR 5 ON RAMPS,S DEARBORN ST,2,2,S,DOT,State of Washington,0,0,491406, ,770.607499009657
24845,66,511888,11871,BRG-099, ,BRG-099,SWEDISH HOSP /MINOR AVE                                                                                                                                                                                                                                        ,MINOR AVE BETWEEN MARION ST AND MADISON ST                                                                                                                                                                                                                     ,,, ,, ,, ,, ,DISTRICT3, ,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,99, ,PR,SWEDISH HOSP PARKING PED BR, , ,0,0,CE,PRIV,Other,0,0,11871, ,287.511394402381
24846,66,511832,23283,BRG-046, ,BRG-046,W EMERSON ST VIADUCT                                                                                                                                                                                                                                           ,W EMERSON ST BETWEEN 15TH AVE W AND 15TH EMERSON RP                                                                                                                                                                                                            ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2018/05/03 00:00:00+00,46,  46,E,W EMERSON ST VIADUCT,W EMERSON ST,RAILROAD,2,0,MA,SDOT,Seattle Dept. of Transportation,185700112,0,23283,BRGTEAM-B,386.924376235743
24847,66,511865,12249,BRG-080, ,BRG-080,PIKE ST /POST ALLEY                                                                                                                                                                                                                                            ,POST AL BETWEEN UNION ST AND PIKE LOWER ST                                                                                                                                                                                                                     ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2010/09/16 00:00:00+00,80,80,E,PIKE ST AT POST ALLEY,"PEDESTRIANS, SHOPS", ,5,1, ,SDOT,Seattle Dept. of Transportation,0,0,12249, ,91.1977059470044
24848,66,511835,18485,BRG-051, ,BRG-051,NW 57TH ST /RR                                                                                                                                                                                                                                                 ,NW 57TH ST BETWEEN 34TH AVE NW AND 37TH PL NW                                                                                                                                                                                                                  ,,, ,, ,, ,, ,DISTRICT6, ,N,,2009/12/21 00:00:00+00,2010/09/16 00:00:00+00,51,  51,E,NW 57TH ST / RAILROAD,NW 57TH ST,RAILROAD,5,0,NO,SDOT,Seattle Dept. of Transportation,145600150,0,18485, ,166.723164219144
24849,66,511870,8914,BRG-084, ,BRG-084,SR-99 /LYNN ST                                                                                                                                                                                                                                                 ,AURORA AVE N BETWEEN HOWE ST AND LYNN ST                                                                                                                                                                                                                       ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2010/09/16 00:00:00+00,84,  84,ST,AURORA AVE N / LYNN ST,SR 99,LYNN ST,1,0,QA,DOT,State of Washington,52500170,0,8914, ,129.608097666374
24850,66,511786,2923,BRG-007, ,BRG-007,2ND AVE EXTENSION S                                                                                                                                                                                                                                            ,2ND AV ET S BETWEEN 4TH AVE S AND S JACKSON ST                                                                                                                                                                                                                 ,,, ,, ,, ,, ,DISTRICT2, ,N,,2009/12/21 00:00:00+00,2018/05/07 00:00:00+00,7,   7,E,2ND AVE S EXTENSION,2ND AVE S EXTENSION,RAILROAD,1,2,S,SDOT,Seattle Dept. of Transportation,10120010,0,2923,BRGTEAM-N,388.223814758938
24851,66,511842,11365,BRG-059, ,BRG-059,LENORA ST PED /RR                                                                                                                                                                                                                                              ,LENORA ST BETWEEN DEAD END AND WESTERN AVE                                                                                                                                                                                                                     ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2012/12/27 00:00:00+00,59,  59,PS,LENORA ST / ALASKAN WAY,LENORA ST (CLOSED),ALASKAN WAY,2,1,DT,PS,Other,81950005,0,11365, ,193.422337685612
24852,66,538662,12240,BRG-298A, ,BRG-298A,420 PONTIUS AVE N ET AL                                                                                                                                                                                                                                        ,PONTIUS AVE N BETWEEN HARRISON ST AND REPUBLICAN ST                                                                                                                                                                                                            ,,, ,, ,, ,, ,DISTRICT7, ,N,,2010/11/15 00:00:00+00,2012/02/29 00:00:00+00,0, , ,420 PONTIUS AVE N ET AL, , ,0,0, , , ,,,12240, ,28.5988623090705
24853,66,511812,11731,BRG-029, ,BRG-029,MCGRAW ST BR                                                                                                                                                                                                                                                   ,MCGRAW ST BETWEEN 2ND E AVE N AND MCGRAW NR ST                                                                                                                                                                                                                 ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2011/03/25 00:00:00+00,29,  29,E,MC GRAW ST BRIDGE,MC GRAW ST,RAVINE,5,0,QA,SDOT,Seattle Dept. of Transportation,85800050,0,11731, ,353.325505348017
24854,66,511963,5515,BRG-214, ,BRG-214,W ELMORE ST SEWER TRESTLE                                                                                                                                                                                                                                      ,35TH AVE W BETWEEN DEAD END 2 AND W GOVERNMENT WAY                                                                                                                                                                                                             ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2010/09/16 00:00:00+00,214,214, , , , ,0,0, , ,Other,0,0,5515, ,419.55702774018
24855,66,511883,16861,BRG-094EA, ,BRG-094EA,NE 45TH ST VIADUCT - E APPR                                                                                                                                                                                                                                    ,NE 45TH ST BETWEEN NE 45TH ST RP AND MONTLAKE BLVD NE                                                                                                                                                                                                          ,,, ,, ,, ,, ,DISTRICT4, ,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,94,  94E,E,NE 45TH ST VIADUCT EAST APPR,NE 45TH ST,RAVINE,2,0,NE,SDOT,Seattle Dept. of Transportation,132850260,0,16861, ,281.783869567284
24856,66,531729,16289,BRG-105A, ,BRG-105A,NE 110TH ST PED /THORNTO                                                                                                                                                                                                                                       ,NE 110TH ST BETWEEN 35TH AVE NE AND 36TH AVE NE                                                                                                                                                                                                                ,,, ,, ,, ,, ,DISTRICT5, ,N,,2010/09/17 00:00:00+00,2011/03/25 00:00:00+00,105, 105,E,NE 110TH ST / THORNTON CREEK,NE 110TH ST,THORNTON CREEK,4,0,NE,SDOT,Seattle Dept. of Transportation,128650070,0,16289, ,26.4898971779359
24857,66,515743,491789,BRG-897, ,BRG-897,EXP-GALER-LAKEVIEW VIADUCT                                                                                                                                                                                                                                     ,I5 EXPRESS BETWEEN MERCER ST I5 EXPRESS RP AND I5 EXPRESS NE 42 RP                                                                                                                                                                                             ,,, ,, ,, ,, ,DISTRICT3,DISTRICT4,N,,2010/01/21 00:00:00+00,,897, 897,ST,EXP-GALER-LAKEVIEW VIADUCT,SR 5, ,1,0,CE,DOT,State of Washington,80900140,0,491789, ,2014.98609518022
24858,66,511983,340109,BRG-248, ,BRG-248,W PROSPECT ST PED /RR                                                                                                                                                                                                                                          ,W PROSPECT ST BETWEEN ELLIOTT AVE W AND DEAD END 2                                                                                                                                                                                                             ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2011/04/05 00:00:00+00,248,248, ,HELIX SKY BRIDGE, , ,0,0, , ,Other,999999,0,340109, ,397.688292421455
24859,66,515700,13324,BRG-836, ,BRG-836,EB LANES SR 5 OC                                                                                                                                                                                                                                               ,WEST SEATTLE BR EB BETWEEN W SEATTLE BR - I5 NB RP AND S COLUMBIAN EB WAY                                                                                                                                                                                      ,,, ,, ,, ,, ,DISTRICT2, ,N,,2010/01/21 00:00:00+00,,836, 836,ST,EB LANES SR 5 OC,SPOKANE ST RAMP,SR 5,1,3,S,DOT,State of Washington,0,0,13324, ,2325.12997246338
24860,66,511827,11659,BRG-040W, ,BRG-040W,MARION ST FOOTBRIDGE - W BR                                                                                                                                                                                                                                    ,MARION ST BETWEEN ALASKAN WAY AND ALASKAN E RDWY WAY                                                                                                                                                                                                           ,,, ,, ,, ,, ,DISTRICT7, ,N,,2009/12/21 00:00:00+00,2018/05/07 00:00:00+00,40,  40C,E,MARION ST FOOTBRIDGE,PEDESTRIANS,"ALASKAN WAY, RAILROAD",2,1,DT,SDOT,Seattle Dept. of Transportation,0,0,11659,BRGTEAM-Q,202.763247843249
