City,County,Lender Name and ID,Location,Phone,Fax
Ada,PONTOTOC COUNTY,FIRST UNITED BANK & TRUST - 11-06,"211 W 12TH STREET
ADA, OK 74820
(34.77341068600049, -96.68058916699965)",(580) 332-4020,(580) 332-4551
Ardmore,CARTER COUNTY,BANCFIRST - 192-62,"1915 N COMMERCE
ARDMORE, OK 73401
(34.19611019400048, -97.14319351099965)",(580) 223-5000,
Ardmore,CARTER COUNTY,BANCFIRST - 192-18,"310 W MAIN
ARDMORE, OK 73401
(34.17359345500046, -97.13281721299967)",(580) 223-5000,(580) 221-5263
Ardmore,CARTER COUNTY,FIRST UNITED BANK & TRUST - 11-15,"2617 N COMMERCE STREET, SUITE C
ARDMORE, OK 73401
(34.20370142700045, -97.14318429299965)",(580) 223-9400,(580) 223-9441
Bartlesville,WASHINGTON COUNTY,BANCFIRST - 192-55,"300 SE FRANK PHILLIPS BOULEVARD
BARTLESVILLE, OK 74003
(36.75082729200045, -95.9741471479997)",(918) 338-4390,(918) 664-3422
Blackwell,KAY COUNTY,BANCFIRST - 192-40,"101 N MAIN
BLACKWELL, OK 74631
(36.80455128000045, -97.28302521399968)",(580) 363-4141,(580) 363-2294
Broken Arrow,TULSA COUNTY,ARVEST MORTGAGE COMPANY - 209-47,"2251 N 9TH STREET
BROKEN ARROW, OK 74012
(36.07364048900047, -95.77952674899967)",(918) 295-2579,(918) 295-2574
Calera,BRYAN COUNTY,FIRST UNITED BANK &  TRUST - 11-10,"601 N SERVICE ROAD
CALERA, OK 74730
(33.93735315800046, -96.42358135099965)",(580) 434-5000,(580) 434-7400
Chandler,LINCOLN COUNTY,BANCFIRST - 192-63,"1001 MANVEL AVENUE
CHANDLER, OK 74834
(35.700070723000465, -96.88079474299968)",(405) 258-1795,
Chattanooga,COMANCHE COUNTY,BANCFIRST - 192-60,"308 MADISON
CHATTANOOGA, OK 73528
(34.422588558000484, -98.65834294199965)",(580) 597-6666,(580) 357-2536
Chickasha,GRADY COUNTY,ARVEST MORTGAGE COMPANY - 209-20,"1927 S 4TH STREET
CHICKASHA, OK 73018
(35.03114883100045, -97.93483656399968)",(405) 224-1021,(405) 224-1035
Choctaw,OKLAHOMA COUNTY,BANCFIRST - 192-50,"12924 NE 23RD STREET
CHOCTAW, OK 73020
(35.493133585000464, -97.30082105499969)",(405) 270-5560,(405) 619-2232
Claremore,ROGERS COUNTY,BANCFIRST - 192-65,"1003 N LYNN RIGGS BOULEVARD
CLAREMORE, OK 74017
(36.32047009200045, -95.61123230399966)",(918) 341-7100,
Claremore,ROGERS COUNTY,BANCFIRST - 192-64,"1698 S LYNN RIGGS BOULEVARD
CLAREMORE, OK 74017
(36.293513143000496, -95.63040419799967)",(918) 341-7100,
Claremore,ROGERS COUNTY,BANCFIRST - 192-66,"1025 W WILL ROGERS BOULEVARD
CLAREMORE, OK 74017
(36.31490410200047, -95.62182085099965)",(918) 341-7100,
Coweta,WAGONER COUNTY,BANCFIRST - 192-01,"14269 S STATE HIGHWAY 51
COWETA, OK 74429
(35.98835396500044, -95.6712413039997)",(918) 486-2148,(918) 486-2140
Del City,OKLAHOMA COUNTY,BANCFIRST - 192-49,"4200 S SUNNYLANE
DEL CITY, OK 73115
(35.42433083700047, -97.44129688199968)",(406) 672-1945,(405) 619-2232
Duncan,STEPHENS COUNTY,ARVEST MORTGAGE COMPANY - 209-27,"729 W MAIN STREET
DUNCAN, OK 73533
(34.50180825600046, -97.95656850399968)",(580) 470-1145,(580) 470-1176
Duncan,STEPHENS COUNTY,ARVEST MORTGAGE COMPANY - 209-07,"2203 N HIGHWAY 81
DUNCAN, OK 73533
(34.532770067000456, -97.96700356799965)",(580) 470-1173,(580) 470-1176
