Building,Energy Star Certified Building,July 2012 Rating,July 2011 Rating,July 2010 Rating,July 2009 Rating
Allen Wright Memorial Library,,94,91,90,88
Attorney General,Yes,79,77,77,73
Banking Department,,,57,45,
Construction & Properties (LEED),Yes,95,97,,12
Connors/Hodge*,,80,74,76,68
Denver Davison Courts,,93,61,34,35
Dept. of Agriculture,Yes,91,89,84,35
Dept. of Transportation,,70,76,68,69
Jim Thorpe,Yes,85,83,76,77
Kerr-Edmondson,Yes,93,91,90,87
Sequoyah/Will Rogers*,,87,87,84,80
State Capitol,Yes,92,89,88,82
