OBJECTID,Forest_Product_Type,Name,Status,From_,Directions_1,Directions_2,Directions_3,Directions_4,ADM_UNIT_CD,GIS_Acres,GlobalID,created_user,created_date,last_edited_user,last_edited_date,stip_document,Shape__Area,Shape__Length
1,Christmas Tree,Cedar Mountain,recommended,Rifle,"Travel North on Highway 13, then East (right) to Rifle Gap State Park.","At the East park entrance, enter the park and follow the park road west approx. 1.5 miles to the Sage Campground.","From the north end of the campground, travel north on the dirt road approximately 1/2 mile.",,COG02000,2067.53933229,{2726A382-4C94-43EF-A8A6-F461FFE969B8},,,NDOVGAN,2020/11/05 00:19:03+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/CRVFO_BLM_Christmas_Tree_stips.pdf,8367034.82544174,12778.8894074499
2,Christmas Tree,West Elk Ridge,recommended,New Castle,"Travel north on 7th Street to Buford Road until intersection with Grass Valley Road, stay north on Buford Road",Turn west onto CR 247 (N Cutoff Road) for 1.25 miles.,BLM Road 8114 is to the north (right),,COG02000,618.69477919,{388B3378-B574-4886-B73A-313213B156D9},,,NDOVGAN,2020/11/05 00:19:03+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/CRVFO_BLM_Christmas_Tree_stips.pdf,2503768.94067876,7536.15771363501
3,Christmas Tree,Teakee Mine,recommended,New Castle,Travel North on 7th street to Buford Road for 3.5 miles.,Turn north on CR 243 (Main Elk Creek) for 1/2 mile.,Turn north on BLM route 8132 heading west.,,COG02000,452.38466213,{81745558-F382-445D-BD54-02DBCAE4B2B7},,,NDOVGAN,2020/11/05 00:19:03+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/CRVFO_BLM_Christmas_Tree_stips.pdf,1830735.77533778,6210.02746543303
4,Christmas Tree,Gibson Gulch,recommended,New Castle,Travel south acress the Colorado River to CR 335 (Colorado River Rd.),Travel east approximately 7 miles to CR 311 (Divide Creek Rd).Travel for another 7 miles south.,Turn east on BLM road 8214 (Gibson Gulch),Private land lies directly north of road 8214 for 1.5 miles. Avoid gas well pads. Pinon trees can be found 2 miles up BLM road 8214.,COG02000,691.01821836,{D88D9BFB-993D-4613-9383-07009B23A441},,,NDOVGAN,2020/11/05 00:19:03+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/CRVFO_BLM_Christmas_Tree_stips.pdf,2796451.51497228,10214.6360490222
5,Christmas Tree,Red Hill,recommended,Gypsum,Travel 1.5 miles south on Valley Road. Turn west onto CR 10A (Cottonwood Pass Road).,Proceed for 3 miles to the first cattleguard and turn northwest onto CR 76. Pinon trees are found after 1/2 mile.,,,COG02000,272.42350003,{D90E8E01-9ACE-47B4-8427-98427052934B},,,NDOVGAN,2020/11/05 00:19:03+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/CRVFO_BLM_Christmas_Tree_stips.pdf,1102458.79069511,5344.55756900765
6,Christmas Tree,Dry Lake 8460,recommended,Gypsum,"From I-70, travel north on County road 51 (Trail Gulch Road) for 4 miles to BLM information kiosk.",Proceed west on BLM 8460. Pinion trees are to the south of the road.,No tree cutting in nearby private land parcels.,,COG02000,822.53140548,{861360F1-0A58-48EA-9EA9-D4F54E3C644B},,,NDOVGAN,2020/11/05 00:19:03+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/CRVFO_BLM_Christmas_Tree_stips.pdf,3328666.50089516,8046.56416644008
7,Christmas Tree,Dry Lake Sawmill/ Agnew,recommended,Gypsum,"From I-70, travel north on County road 51 (Trail Gulch Road) for 4 miles to BLM information kiosk.",Cutting area is between Agnew Gulch and the old sawmill (CR 50).,No tree cutting in nearby private land parcels,,COG02000,1915.35627407,{3159D290-4276-4B05-B5EC-0192963C758F},,,NDOVGAN,2020/11/05 00:19:03+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/CRVFO_BLM_Christmas_Tree_stips.pdf,7751171.83891865,16167.5239903443
8,Christmas Tree,Dry Rifle- Walk In,recommended,Rifle,"Travel north on Highway 13, then east on Highway 325.","After Rifle Gap Reservoir, turn east onto Grass Valley Road (CR 226). ",Travel approximately 1 mile to BLM parking area on the right.,,COG02000,1815.90237515,{3C4D4481-D76B-4286-8254-CE66199A3111},,,NDOVGAN,2020/11/05 00:19:03+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/CRVFO_BLM_Christmas_Tree_stips.pdf,7348696.18934431,13494.5175978978
9,Fuelwood,Spring Creek,open,I-70, Exit at Gypsum (exit 140) and drive south on Highway 6 to Valley Road.,"Turn left on the Cooley Mesa Road (CR 102), and drive south 1 mile to BLM road 8380 (North Hardscrabble Road).",Turn left onto BLM 8380.,"Travel 3/4 mile on 8380 to 8380DA. Turn left onto 8380DA, proceed 1/2 mile into wood cutting area.",COG02000,90.51615251,{33D59CB3-7BE9-4BB7-B4B8-48D9543C8855},,,NDOVGAN,2020/10/21 22:12:45+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/CRVFO_BLM_Fuelwood_Stip.pdf,366305.87310697,2756.6628580943
10,Fuelwood,Cedar Mountain Area 1,open,I-70, Exit at Rifle (exit 90) and travel north on Highway 13 through Rifle.,Proceed around the lake and turn left into the state park. Show the attendant your wood permit.,"At the Sage Campground, drive north on access road 8090. ",Cross over a cattleguard and travel 1/2 mile to the wood cutting boundary.,COG02000,145.35102098,{5CB6A934-0CA0-4ACD-A0C6-BC4AD1777F6F},,,NDOVGAN,2020/10/21 22:12:45+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/CRVFO_BLM_Fuelwood_Stip.pdf,588214.71273897,4854.64621172143
