GSPAR_ID,ALTAR_ID,REPORT_YEAR,BASIN_NAME,SUBBASIN_NUMBER,SINGLE_MULTIPLE_AR,ANNUAL_REPORT_AREA,AQUIFER_NAME,CHANGE_AMOUNT
8,,2019,DELTA-MENDOTA,5-022.07,Single Annual Report,Entire Basin,Lower Aquifer,-32500
8,,2019,DELTA-MENDOTA,5-022.07,Single Annual Report,Entire Basin,Upper Aquifer,53600
9,,2019,KERN COUNTY,5-022.14,Single Annual Report,Entire Basin,Principal Aquifer: Kern County Subbasin,851260
10,,2019,CHOWCHILLA,5-022.05,Single Annual Report,Entire Basin,Lower Aquifer Zone,35841
10,,2019,CHOWCHILLA,5-022.05,Single Annual Report,Entire Basin,Upper Aquifer and Undifferentiated Unconfined Zone,-121759
11,,2019,SANTA CRUZ MID-COUNTY,3-001,Single Annual Report,Entire Basin,Aromas Red Sands,227
11,,2019,SANTA CRUZ MID-COUNTY,3-001,Single Annual Report,Entire Basin,Purisima A,566
11,,2019,SANTA CRUZ MID-COUNTY,3-001,Single Annual Report,Entire Basin,Purisima AA,326
11,,2019,SANTA CRUZ MID-COUNTY,3-001,Single Annual Report,Entire Basin,Purisima BC,32
11,,2019,SANTA CRUZ MID-COUNTY,3-001,Single Annual Report,Entire Basin,Purisima F/DEF,348
11,,2019,SANTA CRUZ MID-COUNTY,3-001,Single Annual Report,Entire Basin,Tu,583
12,,2019,MERCED,5-022.04,Single Annual Report,Entire Basin,Above Corcoran Clay,69733
12,,2019,MERCED,5-022.04,Single Annual Report,Entire Basin,Below Corcoran Clay,24247
12,,2019,MERCED,5-022.04,Single Annual Report,Entire Basin,Outside Corcoran Clay,-12683
13,,2019,CUYAMA VALLEY,3-013,Single Annual Report,Entire Basin,Cuyama Valley aquifer,-11100
14,,2019,EASTERN SAN JOAQUIN,5-022.01,Single Annual Report,Entire Basin,Principal Aquifer,132000
15,,2019,PASO ROBLES AREA,3-004.06,Single Annual Report,Entire Basin,Paso Robles Formation Aquifer,59700
20,,2019,MADERA,5-022.06,Multiple Annual Reports,Madera Subbasin Joint GSP,Combined Upper Aquifer and Undifferentiated Unconfined Zone,-85255
20,,2019,MADERA,5-022.06,Multiple Annual Reports,Madera Subbasin Joint GSP,Lower Aquifer Zone,9665
21,,2019,180/400 FOOT AQUIFER,3-004.01,Single Annual Report,Entire Basin,180-Foot Aquifer,55
21,,2019,180/400 FOOT AQUIFER,3-004.01,Single Annual Report,Entire Basin,400-Foot Aquifer,-2155
22,,2019,MADERA,5-022.06,Multiple Annual Reports,Madera Basin - GFWD GSA,Primary,-1200
23,,2019,SOUTH YUBA,5-021.61,Single Annual Report,Entire Basin,South Yuba Subbasin Aquifer,64000
24,,2019,NORTH YUBA,5-021.60,Single Annual Report,Entire Basin,North Yuba Subbasin Aquifer,17000
25,,2019,MADERA,5-022.06,Multiple Annual Reports,Madera_RCWD_Adopted,unconfined,9938
26,,2019,KINGS,5-022.08,Single Annual Report,Entire Basin,unconfined,210000
27,,2019,WESTSIDE,5-022.09,Single Annual Report,Entire Basin,Lower Aquifer,-55000
27,,2019,WESTSIDE,5-022.09,Single Annual Report,Entire Basin,Upper Aquifer,-28000
28,,2019,TULARE LAKE,5-022.12,Single Annual Report,Entire Basin,Confinded,-84640
28,,2019,TULARE LAKE,5-022.12,Single Annual Report,Entire Basin,unconfined,67060
29,,2019,KAWEAH,5-022.11,Single Annual Report,Entire Basin,Confined Aquifer,-101000
29,,2019,KAWEAH,5-022.11,Single Annual Report,Entire Basin,Unconfined Aquifer,310000
30,,2019,OXNARD,4-004.02,Single Annual Report,Entire Basin,Fox Canyon Aquifer,923
30,,2019,OXNARD,4-004.02,Single Annual Report,Entire Basin,Grimes Canyon Aquifer,3
30,,2019,OXNARD,4-004.02,Single Annual Report,Entire Basin,Hueneme Aquifer,130
30,,2019,OXNARD,4-004.02,Single Annual Report,Entire Basin,Mugu Aquifer,257
30,,2019,OXNARD,4-004.02,Single Annual Report,Entire Basin,Oxnard Aquifer,17638
31,,2019,PLEASANT VALLEY,4-006,Single Annual Report,Entire Basin,Fox Canyon Aquifer,68
32,,2019,LAS POSAS VALLEY,4-008,Single Annual Report,Entire Basin,Fox Canyon Aquifer,-659
