X,Y,OBJECTID,FIELD_VISIT,VISIT_DATE,OBSERVER,ORGANIZATION,STYLE_FAIL,LS_TYPE1,LS_TYPE2,MATERIAL,ACTIVITY,FAIL_DATE,WIDTH_M,DEPTH_M,LENGTH_M,HEIGHT_M,ELEV_CROWN,ASPECT,SLIDE_ANGLE,SLOPE_ANGLE,AREA_ESTIMATE,TOE_CONDITION,BR_ON_SLOPE,BR_CONTROL,TALUS,SPRINGS,SEEPS,PIPING,OUTSIDE_ME,HEADCUTS,SURF_OBSERV,CAUSE1,CAUSE2,COMMENTS,SOURCE,SOURCEPUB_DATE,BANK_POSITION,REMEDIATED,TOWN,GlobalID,Creator,CreateDate,Editor,EditDate,VERIFIED,RPTDATE_GEO,LS_DAY_GEO,LS_MONTH_GEO,LS_YEAR_GEO
516019.3737,141181.1381,2133,Yes,2006/11/01 00:00:00+00,DPR,Redstart,Gully,,,,,,,,0,0,,,,,,,,,,,,,,,,,,head cut at stream entry point_did not follow all the way uphill but 2003 NAIP shows new development since 1998 orthos_took pho,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Norwich,{5B2614F2-31BE-4CB2-9895-FF17A3E21B7D},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
448765.7232,249467.005899999,2134,Yes,2006/09/27 00:00:00+00,JH/JG,REA/NRPC,Gully,,,,,,,,0,4,,,,,,,,,,,,,,,,,, ,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Georgia,{B7B795A0-C402-4875-8DB3-3A67D8655CBD},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
450302.686,246299.1514,2135,Yes,2006/09/27 00:00:00+00,JH/JG,REA/NRPC,Gully,,,,,,,,0,4,,,,,,,,,,,,,,,,,, ,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Georgia,{23A0D095-AA54-4278-B557-B9D1E4AFC5C8},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
451582.2168,248614.639799999,2136,Yes,2006/09/14 00:00:00+00,JH/BR,REA/NRPC,Gully,,,,,,,,0,5,,,,,,,,,,,,,,,,,, ,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Georgia,{3F3853D1-DF04-4C0A-ACD2-C84F58BDB552},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
482672.5189,207685.692500001,2137,Yes,2009/10/16 00:00:00+00,McLane,Redstart,Gully,,,,,,,,12,2,,,,,,,,,,,,,,,,,,width is 2.0. Runoff from field,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Waterbury,{C7575553-2C90-44C3-890A-21AC00FE98E4},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
482842.4444,207817.4147,2138,Yes,2009/10/16 00:00:00+00,McLane,Redstart,Gully,,,,,,,,12,2,,,,,,,,,,,,,,,,,,width 2.5.,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Waterbury,{4C8046BD-D9A5-41D9-AA33-914E6600692B},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
483021.9214,207901.6943,2139,Yes,2009/10/16 00:00:00+00,McLane,Redstart,Gully,,,,,,,,52,5,,,,,,,,,,,,,,,,,,Width 11 feet. Runs uphill about 60 feet,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Waterbury,{05DBD1EA-6735-4468-AE40-51C7F542DF2C},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
487364.1975,200061.303200001,2140,Yes,2009/11/04 00:00:00+00,"MN, DC, AA",BCE/CVRPC,Gully,,,,,,,,3,3,,,,,,,,,,,,,,,,,,6' wide,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Middlesex,{B19B63D8-0CEA-4964-ACDE-8DE146217EB0},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
483331.0872,100172.692299999,2141,Yes,2007/10/01 00:00:00+00,KLU,SMRC,Gully,,,,,,,,45,3,,,,,,,,,,,,,,,,,,small gully developing in stmwtr input from rd culvert High St,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Ludlow,{0DE16B07-3FC3-4912-A855-AAA3D0DEA087},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
483519.6544,99750.4547000006,2142,Yes,2007/10/01 00:00:00+00,KLU,SMRC,Gully,,,,,,,,95,5,,,,,,,,,,,,,,,,,,developed in overland flow stmwtr channel from Shaws parking lot,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Ludlow,{85D37319-9928-44D2-ACFC-A2594C1AC627},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
503458.4238,144502.904200001,2143,Yes,2009/10/30 00:00:00+00,S. Parker,FEA,Gully,,,,,,,,15,20,,,,,,,,,,,,,,,,,,7 feet deep gully off L,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Sharon,{B981BE20-3648-4AD8-A11B-E9E921309662},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
507246.2327,146356.698100001,2144,Yes,2009/11/16 00:00:00+00,S. Parker,FEA,Gully,,,,,,,,15,5,,,,,,,,,,,,,,,,,,Gully extends back for,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Sharon,{FFC3212D-ABB4-426F-9594-B0A6DE542F52},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
500513.0797,141929.986099999,2145,Yes,2009/11/17 00:00:00+00,S. Parker,FEA,Gully,,,,,,,,30,100,,,,,,,,,,,,,,,,,,Depth = 10 feet,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Sharon,{E411A7E4-480C-49B2-AE17-BD813F1EE192},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
496849.2333,71107.1074999999,2146,Yes,2009/06/09 00:00:00+00,S. Parker,FEA,Gully,,,,,,,,200,7,,,,,,,,,,,,,,,,,,Width = 20' off RB,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,Right,,Rockingham,{7C7A4350-B2D9-480F-B7C6-D9CFDE32E1B5},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
490518.3507,76143.3837000001,2147,Yes,2009/06/10 00:00:00+00,S. Parker,FEA,Gully,,,,,,,,10,30,,,,,,,,,,,,,,,,,,Depth of 5 feet,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Grafton,{9492F6F3-CA96-495F-8ED0-2C7B063ED609},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
490230.8736,73307.1326000001,2148,Yes,2009/08/31 00:00:00+00,S. Parker,FEA,Gully,,,,,,,,25,10,,,,,,,,,,,,,,,,,,"Extends upstream on trib 250 feet; recent debris flow--explains aggradation and diagonal riffles downstream","Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Grafton,{0DB3F65C-5603-46CD-8D87-2A82F3417E27},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
494507.9689,69839.7655999996,2149,Yes,2009/08/31 00:00:00+00,S. Parker,FEA,Gully,,,,,,,,10,5,,,,,,,,,,,,,,,,,,Extends back for 60 feet at Road ditch SI input,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Athens,{F679C589-12CE-431C-AC6A-31E1B97FD3F6},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
483925.3945,42199.8074999992,2150,Yes,2007/10/02 00:00:00+00,Amy Sheldon,"Landslide, Inc.",Gully,,,,,,,,12,12,,,,,,,,,,,,,,,,,, ,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Marlboro,{A2616AD1-01A7-48AC-9FA7-F62AACE7D8DF},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
483658.8767,42313.6711999997,2151,Yes,2007/10/02 00:00:00+00,Amy Sheldon,"Landslide, Inc.",Gully,,,,,,,,20,50,,,,,,,,,,,,,,,,,,RB,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,Right,,Marlboro,{BAF93513-F1F7-4E3B-8BBD-164133DFBF97},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
483603.6197,42326.0174000002,2152,Yes,2007/10/02 00:00:00+00,Amy Sheldon,"Landslide, Inc.",Gully,,,,,,,,50,50,,,,,,,,,,,,,,,,,, ,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Marlboro,{7051340A-C1A9-410B-BB1F-B3F7253ABE21},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
493808.5547,38720.4924999997,2153,Yes,2007/09/12 00:00:00+00,Amy Sheldon,"Landslide, Inc.",Gully,,,,,,,,40,100,,,,,,,,,,,,,,,,,,RB,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,Right,,Brattleboro,{10AED3BE-DE31-43A7-8A1B-441AE1E47A48},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
493670.5722,38761.3374000005,2154,Yes,2007/09/12 00:00:00+00,Amy Sheldon,"Landslide, Inc.",Gully,,,,,,,,30,100,,,,,,,,,,,,,,,,,,RB -filled with rock,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,Right,,Brattleboro,{DB697DFE-F3F6-4EA3-9111-2A84A5B262C7},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
492233.9078,39123.2323000003,2155,Yes,2007/09/14 00:00:00+00,Amy Sheldon,"Landslide, Inc.",Gully,,,,,,,,15,15,,,,,,,,,,,,,,,,,,Appears to be from SWI/sheet flow,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Brattleboro,{426486E0-9AF3-438C-9AA6-B5AFE95CA8FC},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
461494.0989,213320.0581,2156,Yes,2007/08/28 00:00:00+00,EPF,FEA & CCRPC,Gully,,,,,,,,75,10,,,,,,,,,,,,,,,,,,gully coming down to Old Jericho Rd Path,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Richmond,{6023DC48-9489-4490-9BE6-2C2160F133C2},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
495574.3976,43686.9342,2157,Yes,2007/09/20 00:00:00+00,EPF,FEA,Gully,,,,,,,,400,30,,,,,,,,,,,,,,,,,,gully behind Pepsi land,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Brattleboro,{19F28FFE-2712-4712-A95F-8054C3DE5AFB},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
496217.3234,45560.8553999998,2158,Yes,2008/04/29 00:00:00+00,EPF,FEA,Gully,,,,,,,,70,3,,,,,,,,,,,,,,,,,,gully at incised trib,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Dummerston,{9906A25C-0206-4A70-8A17-EB5642DE272C},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
502406.0486,186203.243100001,2159,Yes,2008/10/15 00:00:00+00,McLane,Redstart,Gully,,,,,,,,25,2,,,,,,,,,,,,,,,,,,5 feet wide,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Barre Town,{A65B0625-3A6E-48FE-9BC7-440000474582},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
502524.5887,186543.997199999,2160,Yes,2008/09/18 00:00:00+00,Ruddell,Redstart,Gully,,,,,,,,600,30,,,,,,,,,,,,,,,,,,30 wide too,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Barre Town,{BD148AAF-33F8-45D4-B371-A1238F6DC534},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
500737.8313,187651.0087,2161,Yes,2008/10/04 00:00:00+00,Ruddell,Redstart,Gully,,,,,,,,350,20,,,,,,,,,,,,,,,,,, ,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Barre City,{6E4E99BE-0934-454E-AD45-AC2AE325FE7D},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
504206.4321,187878.551200001,2162,Yes,2009/08/05 00:00:00+00,McLane,Redstart,Gully,,,,,,,,30,4,,,,,,,,,,,,,,,,,,15 feet wide,"Vermont Agency of Natural Resources, 2018, Watershed Management Division, Rivers Progream, Stream Geomorphic Assessment.",2018,,,Barre Town,{BFFB0DFD-968A-49ED-B0BA-367F5075429A},ANR_ADMIN,2020/01/08 20:32:07+00,ANR_ADMIN,2020/01/08 20:32:07+00,Yes,,,,
