OBJECTID,name,reportdt,confirmed,recovered,deaths,active,GlobalID,tested,Negative,NewCases,NewDailyDeaths,NewDailyTested,DailyPercentPositive,TotalPercentPositive,NewDailyNegative,ThreeDayAvg,SevenDayAvg,TotalDoses,TotalRecipients,NewDailyDoses,NewDailyRecipients,Total1DoseRecipients,Total2DoseRecipients,TotalJJDoses,TotalJJRecipients,TotalVaccinated,Pfizer3DoseRecipients,Moderna3DoseRecipients,Total3DoseRecipients,PartialVaccinated
1,Lincoln,2020/03/09 12:00:00+00,0,0,0,0,49de017d-e129-43f5-9211-0462bb4afce1,0,,0,0,,,,,,,,,,,0,0,,,0,,,,
2,Lincoln,2020/03/10 12:00:00+00,0,0,0,0,0c0e0a9c-ab2f-43f8-80d2-5dbd63f4c467,0,,0,0,,,,,,,,,,,0,0,,,0,,,,
3,Lincoln,2020/03/11 12:00:00+00,0,0,0,0,c465b492-603b-46f7-9c00-ee9fccb07b7f,0,,0,0,,,,,0,,,,,,0,0,,,0,,,,
4,Lincoln,2020/03/12 12:00:00+00,0,0,0,0,90eff501-8cd6-4376-8f23-217c4dd5f9ec,0,,0,0,,,,,0,,,,,,0,0,,,0,,,,
5,Lincoln,2020/03/13 12:00:00+00,0,0,0,0,1eb926db-e800-4d8b-83e3-f87ecbff8767,0,,0,0,,,,,0,,,,,,0,0,,,0,,,,
6,Lincoln,2020/03/14 12:00:00+00,0,0,0,0,48480c46-3049-4d80-9f6e-7eea7fbc9c2e,0,,0,0,,,,,0,,,,,,0,0,,,0,,,,
7,Lincoln,2020/03/15 12:00:00+00,0,0,0,0,b51e200f-9909-421e-898d-94d9bc667ad4,0,,0,0,,,,,0,0,,,,,0,0,,,0,,,,
8,Lincoln,2020/03/16 12:00:00+00,0,0,0,0,e1c086e9-aad6-41af-b730-b34c097005c3,0,,0,0,,,,,0,0,,,,,0,0,,,0,,,,
9,Lincoln,2020/03/17 12:00:00+00,0,0,0,0,473d104d-22c3-41b9-a93e-c7551f6951f9,0,,0,0,,,,,0,0,,,,,0,0,,,0,,,,
10,Lincoln,2020/03/18 12:00:00+00,0,0,0,0,1b126a5a-cbba-41e1-a999-dc542e0532d7,0,,0,0,,,,,0,0,,,,,0,0,,,0,,,,
11,Lincoln,2020/03/19 12:00:00+00,0,0,0,0,f6941e57-c673-40bb-b7cd-2d73db511be6,0,,0,0,,,,,0,0,,,,,0,0,,,0,,,,
12,Lincoln,2020/03/20 12:00:00+00,0,0,0,0,7595eb17-0f94-4737-a075-9e5f99dfd5be,0,,0,0,,,,,0,0,,,,,0,0,,,0,,,,
13,Lincoln,2020/03/21 12:00:00+00,0,0,0,0,d0411319-2956-452b-8ac6-39293178dd2b,0,,0,0,,,,,0,0,,,,,0,0,,,0,,,,
14,Lincoln,2020/03/22 12:00:00+00,0,0,0,0,9e4daa3a-e4e8-4f62-ad47-0b48b946b762,0,,0,0,,,,,0,0,,,,,0,0,,,0,,,,
15,Lincoln,2020/03/23 12:00:00+00,0,0,0,0,66a5765b-e82b-4028-9c2d-e9b12db4c6a5,0,,0,0,,,,,0,0,,,,,0,0,,,0,,,,
16,Lincoln,2020/03/24 12:00:00+00,0,0,0,0,a660596c-3b13-4271-8273-3b1782390c06,0,,0,0,,,,,0,0,,,,,0,0,,,0,,,,
17,Lincoln,2020/03/25 12:00:00+00,1,0,0,1,84fae573-fa38-4f4d-b472-12f38016c699,0,,1,0,,,,,0.333,0.14,,,,,0,0,,,0,,,,
18,Lincoln,2020/03/26 12:00:00+00,2,0,0,2,70984a27-5163-4c43-a1c3-c0257f6e6025,0,,1,0,,,,,0.667,0.29,,,,,0,0,,,0,,,,
19,Lincoln,2020/03/27 12:00:00+00,2,0,0,2,753ce253-2377-47fc-b0c3-5b2e8536cf5b,0,,0,0,,,,,0.667,0.29,,,,,0,0,,,0,,,,
20,Lincoln,2020/03/28 12:00:00+00,3,0,0,3,af56cad3-00d9-4583-9b8f-37c247a53f00,0,,1,0,,,,,0.667,0.43,,,,,0,0,,,0,,,,
21,Lincoln,2020/03/29 12:00:00+00,4,0,0,4,262ab3a7-e11c-44f5-ad50-aad08359850e,0,,1,0,,,,,0.667,0.57,,,,,0,0,,,0,,,,
22,Lincoln,2020/03/30 12:00:00+00,4,0,0,4,ccd09299-686d-4bbc-ba54-04735218f741,0,,0,0,,,,,0.667,0.57,,,,,0,0,,,0,,,,
23,Lincoln,2020/03/31 12:00:00+00,5,0,0,5,265f83ee-a2d8-4e0a-a9b6-e182ec085b5f,0,,1,0,,,,,0.667,0.71,,,,,0,0,,,0,,,,
24,Lincoln,2020/04/01 12:00:00+00,11,0,0,11,4e911c7d-3ffe-4f6a-8666-6d057bcc19b0,0,,6,0,,,,,2.333,1.43,,,,,0,0,,,0,,,,
25,Lincoln,2020/04/02 12:00:00+00,11,0,0,11,375aea93-7427-4428-9e32-7a1fe7768db4,0,,0,0,,,,,2.333,1.29,,,,,0,0,,,0,,,,
26,Lincoln,2020/04/03 12:00:00+00,19,0,0,19,22446a0e-4d32-4eb9-baad-0c4ee058eba5,0,,8,0,,,,,4.667,2.43,,,,,0,0,,,0,,,,
27,Lincoln,2020/04/04 12:00:00+00,21,4,0,17,b784fb8a-b72b-418d-be4d-1ca97c678048,0,,2,0,,,,,3.333,2.57,,,,,0,0,,,0,,,,
28,Lincoln,2020/04/05 12:00:00+00,23,4,0,19,a656806e-9393-4321-8fd9-de647a6aba2a,0,,2,0,,,,,4,2.71,,,,,0,0,,,0,,,,
29,Lincoln,2020/04/06 12:00:00+00,24,4,0,20,8ae12fff-b741-4245-9c97-abcefc37a484,0,,1,0,,,,,1.667,2.86,,,,,0,0,,,0,,,,
30,Lincoln,2020/04/07 12:00:00+00,27,4,0,23,b19e5f9c-8c2f-4627-92cd-b606189e7cc2,0,,3,0,,,,,2,3.14,,,,,0,0,,,0,,,,
31,Lincoln,2020/04/08 12:00:00+00,31,11,0,20,b626c89b-513d-4e12-a7d9-11218954f258,0,,4,0,,,,,2.667,2.86,,,,,0,0,,,0,,,,
32,Lincoln,2020/04/09 12:00:00+00,33,15,0,18,e625144e-6c98-4224-8ce2-0c8b195d6039,0,,2,0,,,,,3,3.14,,,,,0,0,,,0,,,,
33,Lincoln,2020/04/10 12:00:00+00,38,16,0,22,547575e9-9c01-4cbe-9354-4fd5cef4044a,0,,5,0,,,,,3.667,2.71,,,,,0,0,,,0,,,,
34,Lincoln,2020/04/11 17:19:00+00,39,17,0,22,67c8d683-db15-448a-8148-4cf2b4481862,0,0,1,0,,,,,2.667,2.57,,,,,0,0,,,0,,,,
35,Lincoln,2020/04/12 16:46:00+00,46,19,0,27,d8a0865c-115d-4df8-b119-ceab84077aef,0,0,7,0,,,,,4.333,3.29,,,,,0,0,,,0,,,,
36,Lincoln,2020/04/13 16:29:00+00,50,21,0,29,0d349d49-8050-4788-bf3b-697b52babd9e,0,0,4,0,,,,,4,3.71,,,,,0,0,,,0,,,,
37,Lincoln,2020/04/14 16:32:00+00,55,27,0,28,e99e42fc-1cda-4597-9247-a8cf704de15d,0,0,5,0,,,,,5.333,4,,,,,0,0,,,0,,,,
38,Lincoln,2020/04/15 17:07:00+00,65,28,0,37,76c0fa78-4386-4669-b3c6-86c6b7b2e7d5,0,0,10,0,,,,,6.333,4.86,,,,,0,0,,,0,,,,
39,Lincoln,2020/04/16 16:33:00+00,71,30,0,41,84f135b3-f152-47ec-892d-1d684cf6f969,0,0,6,0,,,,,7,5.43,,,,,0,0,,,0,,,,
40,Lincoln,2020/04/17 16:38:00+00,77,36,0,41,9d8d2a0c-3964-4304-9da0-d41e3d2d319c,981,904,6,0,,,7.84913353720693,,7.333,5.57,,,,,0,0,,,0,,,,
41,Lincoln,2020/04/18 17:15:00+00,86,41,0,45,e36aa7d6-085b-449a-84c9-61d1ad805822,1043,957,9,0,62,14.5161290322581,8.24544582933845,53,7,6.71,,,,,0,0,,,0,,,,
42,Lincoln,2020/04/19 16:28:00+00,90,47,0,43,8d8aa2aa-413c-4064-9612-e8c9f70578cc,1072,982,4,0,29,13.7931034482759,8.3955223880597,25,6.333,6.29,,,,,0,0,,,0,,,,
43,Lincoln,2020/04/20 16:29:00+00,95,48,0,47,8674e04a-3053-429b-a115-afcc4822a38f,1101,1006,5,0,29,17.2413793103448,8.62851952770209,24,6,6.43,,,,,0,0,,,0,,,,
44,Lincoln,2020/04/21 16:23:00+00,99,51,0,48,f065842e-2769-400a-8bcf-8eeb2a523e90,1152,1053,4,0,51,7.84313725490196,8.59375,47,4.333,6.29,,,,,0,0,,,0,,,,
45,Lincoln,2020/04/22 16:20:00+00,104,55,0,49,4cdd762b-7e3f-4c8f-946e-fe3a57951efa,1214,1110,5,0,62,8.06451612903226,8.5667215815486,57,4.667,5.57,,,,,0,0,,,0,,,,
46,Lincoln,2020/04/23 16:19:00+00,110,62,0,48,09e71731-d11b-4d5f-b4b5-e7a62bdc95a0,1270,1160,6,0,56,10.7142857142857,8.66141732283465,50,5,5.57,,,,,0,0,,,0,,,,
47,Lincoln,2020/04/24 17:22:00+00,116,67,0,49,d807212d-6091-4a2f-a2e4-402a777c33d9,1324,1208,6,0,54,11.1111111111111,8.76132930513595,48,5.667,5.57,,,,,0,0,,,0,,,,
48,Lincoln,2020/04/25 16:32:00+00,125,70,0,55,b415d562-5e88-4897-ae73-303251eb8254,1404,1279,9,0,80,11.25,8.9031339031339,71,7,5.57,,,,,0,0,,,0,,,,
