ObjectId,ID,PERMITNUMBER,PERMITTYPE,PERMITTYPEKEY,STATUS,CONTRACTOR,CATEGORYNAME,WORKTYPE,ZONING,SQUAREFEET,PERMITFEE,PROJECTCOSTS,ADDRESS,CITY,STATE,ZIPCODE,GPSX,GPSY,DISTRICT,NEIGHBORHOOD,ISSUEDATE,Latitude,Longitude
1,11,EL937181,Electrical Permit,ELECTRICAL,Issued,A SCISNEY ELECTRIC,Single Family,Rewire Repair Add Wiring,R5,0,50,200,1712   KENNEDY RD,SHIVELY,KY,40216-0000,1197274,263971,3,,2015-04-07 15:43:30,38.2146847531,-85.7924386727
2,28,EL938076,Electrical Permit,ELECTRICAL,Issued,Gemini Electric,Single Family,Rewire Repair Add Wiring,R5,0,50,200,667   CURRY CT,LOUISVILLE,KY,40211-0000,1190357,277592,5,SHAWNEE,2015-04-16 11:19:48,38.2517621998,-85.8173166232
3,42,EL939128,Electrical Permit,ELECTRICAL,Issued,PAYNE ELECTRIC COMPANY INC,Multi Family,New,CR,0,70,90000,946   GOSS AVE,LOUISVILLE,KY,40217-0000,1212604,269132,4,SCHNITZELBURG,2015-04-27 11:32:53,38.2295478191,-85.7393797406
4,57,EL937644,Electrical Permit,ELECTRICAL,Issued,ONE HOUR ELECTRICAL,Commercial,Rewire Repair Add Wiring,CR,0,50,500,201 N 19TH ST,LOUISVILLE,KY,40203-0000,1200878,280710,5,PORTLAND,2015-04-13 08:17:46,38.2608089102,-85.7808649031
5,198,EL917899,Electrical Permit,ELECTRICAL,Issued,FOX ELECTRICAL CONTRACTORS LLC,Single Family,New,R4,0,265,500,11002   JEFFERSON HILL RD,LOUISVILLE,KY,40118-0000,1196570,219310,13,,2014-09-29 09:40:17,38.092029158,-85.7922858688
6,680,14EL7202,Electrical Permit,ELECTRICAL,Issued,EASTERN ELECTRIC LLC,Single Family,Rewire Repair Add Wiring,R3,0,50,200,6212   TWO SPRINGS LN,WINDY HILLS,KY,40207-0000,1242991,284031,7,,2014-07-15 10:22:23,38.2717572771,-85.6343870456
7,689,EL916158,Electrical Permit,ELECTRICAL,Issued,"S & J Electric Services, LLC",Single Family,New,R1,0,160,8000,5611   HARRODS GLEN DR,LOUISVILLE,KY,40059-0000,1251237,304325,16,,2014-09-12 18:54:19,38.3278151645,-85.6067084511
8,724,EL917840,Electrical Permit,ELECTRICAL,Issued,ABTECH ELECTRICAL SERVICE,Commercial,Rewire Repair Add Wiring,R1,0,170,15000,5001   AVISH LN,LOUISVILLE,KY,40059-0000,1242574,301863,16,,2014-09-27 10:41:36,38.3207010339,-85.6367745659
9,1316,14EL3328,Electrical Permit,ELECTRICAL,Issued,CORRIGAN ELECTRIC CO INC,Single Family,Rewire Repair Add Wiring,R5,0,50,5000,3228   INGLE AVE,LOUISVILLE,KY,40206-0000,1232340,276738,9,CRESCENT HILL,2014-03-19 16:44:02,38.2512875864,-85.6710908471
10,1339,14EL2592,Electrical Permit,ELECTRICAL,Issued,OLDHAM CO ELECTRIC LLC,Single Family,Rewire Repair Add Wiring,R4,0,85,3.15,12704   MACKINAW DR,MIDDLETOWN,KY,40243-0000,1274854,277491,19,,2014-02-25 09:16:35,38.2550624883,-85.5230958027
11,1642,13EL6905,Electrical Permit,ELECTRICAL,Issued,BILL MUDD ELECTRIC COMPANY,Multi Family,New,R6,0,1985,24000,5508   FERNFIELD DR,LOUISVILLE,KY,40219-0000,1236285,239388,24,,2013-11-11 15:26:03,38.1489020636,-85.6553704192
12,1890,14EL3309,Electrical Permit,ELECTRICAL,Issued,m CAYE ELECTRIC,Single Family,New,R4,0,260,5000,9329   COMMUNITY COVE WAY,LOUISVILLE,KY,40229-0000,1251000,217826,22,,2014-03-19 10:11:14,38.0903037322,-85.6031049534
13,2041,13EL5537,Electrical Permit,ELECTRICAL,Issued,NTA MAINTENANCE,Single Family,Rewire Repair Add Wiring,R4,0,85,1200,8706   JEN CT,LOUISVILLE,KY,40299-0000,1252282,255783,11,,2013-10-02 12:50:04,38.1945753008,-85.6005848427
14,2445,13EL2085,Electrical Permit,ELECTRICAL,Issued,Mr. BARMORE ELECTRIC,Single Family,New,R5,0,160,3000,2932   CLEVELAND BLVD,LOUISVILLE,KY,40206-0000,1225667,281555,9,BROWNSBORO ZORN,2013-06-26 13:55:11,38.2642284383,-85.6945882744
15,2687,353989,Electrical Permit,ELECTRICAL,Issued,ARTHUR GORDON ELECTRIC CO,Single Family,Rewire Repair Add Wiring,R1,0,50,100000,6328   RIVER RD,LOUISVILLE,KY,40059-0000,1243677,303912,16,,2013-02-14 11:35:08,38.3263724558,-85.6330376166
16,2756,357998,Electrical Permit,ELECTRICAL,Issued,IES Residential,Single Family,New,R4,3058,160,6000,7203   CREEKTON DR,LOUISVILLE,KY,40241-0000,1248721,298131,16,,2013-04-03 12:10:31,38.3107063158,-85.615158111
17,3196,356203,Electrical Permit,ELECTRICAL,Issued,RICK RUCKRIEGEL ELECTRIC LLC,Single Family,Rewire Repair Add Wiring,R1,0,155,9000,1001   GLENBROOK RD,ANCHORAGE,KY,40223-0000,1272901,279082,17,,2013-03-14 08:18:36,38.2593566355,-85.5299733732
18,3304,353540,Electrical Permit,ELECTRICAL,Issued,J H ELECTRIC LLC,Single Family,Rewire Repair Add Wiring,R4,0,85,1000,6712   WAYNE VERNE AVE,LOUISVILLE,KY,40214-0000,1194148,245695,12,,2013-02-08 12:35:10,38.1643613384,-85.8022452681
19,3692,346200,Electrical Permit,ELECTRICAL,Issued,PEPCO ELECTRICAL - BRACKNEY J,Commercial,Rewire Repair Add Wiring,CR,0,50,500,2900   MONTGOMERY ST,LOUISVILLE,KY,40212-0000,1197039,285570,5,PORTLAND,2012-11-02 16:03:53,38.2739766265,-85.7945170432
20,3738,346964,Electrical Permit,ELECTRICAL,Issued,ADVANCED ELECTRIC CO,Single Family,Rewire Repair Add Wiring,R4,0,155,1500,6303   MANDEVILLE RD,LOUISVILLE,KY,40228-0000,1239907,241315,24,,2012-11-12 10:37:14,38.1543441339,-85.6428781517
21,3899,335217,Electrical Permit,ELECTRICAL,Issued,CORRIGAN ELECTRIC CO INC,Single Family,Rewire Repair Add Wiring,R5,0,50,100,2119   LAUDERDALE RD,LOUISVILLE,KY,40205-0000,1225711,268721,8,HIGHLANDS DOUGLASS,2012-07-16 08:50:27,38.2289924126,-85.6937344195
22,4866,322702,Electrical Permit,ELECTRICAL,Issued,JENNEWEIN ELECTRIC,Single Family,Rewire Repair Add Wiring,R5,0,120,500,211 S PETERSON AVE,LOUISVILLE,KY,40206-0000,1224793,277191,9,CRESCENT HILL,2012-03-02 13:40:36,38.2522086787,-85.697393107
23,6912,275348,Electrical Permit,ELECTRICAL,Issued,PHASE 3 ELECTRIC,Commercial,Rewire Repair Add Wiring,C2,0,50,120,400   FAIRDALE RD,LOUISVILLE,KY,40118-0000,1206476,223845,13,,2010-08-19 13:30:36,38.1049311742,-85.7581285567
24,9278,EL1089157,Electrical Permit,ELECTRICAL,Issued,PRO TECH ELECTRICAL SERVICE,Commercial,Rewire Repair Add Wiring,C2,0,75,250,11809   STANDIFORD PLAZA DR,LOUISVILLE,KY,40229-0000,1232990,218330,13,,2019-02-08 14:45:37,38.0909442505,-85.6657015252
25,9279,EL1089129,Electrical Permit,ELECTRICAL,Issued,ROMANOFF ELECTRIC LOUISVILLE,"Misc (Tent, Foundation, Etc)",Temporary Service Pole,R4,0,75,200,8506   SPLENDID PT,HERITAGE CREEK,KY,40229-0000,1246975,221618,23,,2019-02-08 12:38:05,38.1005523627,-85.6172841464
26,9281,EL1089128,Electrical Permit,ELECTRICAL,Issued,ROMANOFF ELECTRIC LOUISVILLE,Single Family,New,R4,0,175,1500,9904   AMARILLO CT,LOUISVILLE,KY,40291-0000,1259460,224062,22,,2019-02-08 12:33:15,38.1077638398,-85.5740245708
27,9282,EL1088981,Electrical Permit,ELECTRICAL,Issued,CORRIGAN ELECTRIC CO INC,Single Family,Rewire Repair Add Wiring,R4,0,75,12000,3013   GLENVIEW PARK WAY,LOUISVILLE,KY,40222-0000,1240086,292234,16,,2019-02-07 16:19:48,38.2941597661,-85.6449374646
28,9283,EL1089081,Electrical Permit,ELECTRICAL,Issued,RICK BREEDEN,Commercial,Rewire Repair Add Wiring,C1,0,140,5000,12436   SHELBYVILLE RD,MIDDLETOWN,KY,40243-0000,1274391,273746,19,,2019-02-08 08:17:52,38.2447620966,-85.524527562
29,9284,EL1088765,Electrical Permit,ELECTRICAL,Issued,ASPEN ELECTRIC,Single Family,Rewire Repair Add Wiring,R5,0,75,250,4130   MILL CREEK DR,SHIVELY,KY,40216-0000,1190308,254196,3,,2019-02-05 19:00:47,38.187523458,-85.8161020035
30,9285,EL1089024,Electrical Permit,ELECTRICAL,Issued,CHRIS NUNN ELECTRIC,Single Family,Rewire Repair Add Wiring,R5,0,115,3000,4009   NORBOURNE BLVD,NORBOURNE ESTATES,KY,40207-0000,1239070,274925,26,,2019-02-07 14:16:05,38.246592425,-85.6475620535
31,9286,EL1088952,Electrical Permit,ELECTRICAL,Issued,ROMANOFF ELECTRIC LOUISVILLE,"Misc (Tent, Foundation, Etc)",Temporary Service Pole,R4,0,75,200,16221   ROCKCREST VIEW LN,LOUISVILLE,KY,40245-0000,1294109,271522,19,,2019-02-07 08:39:12,38.2393845501,-85.455774769
32,9287,EL1088931,Electrical Permit,ELECTRICAL,Issued,ZWICKER ELECTRIC INC,Single Family,Rewire Repair Add Wiring,R5,0,75,500,802   ALDEN RD,LOUISVILLE,KY,40207-0000,1233959,273622,9,ROCKCREEK LEXINGTON ROAD,2019-02-06 19:41:31,38.2428004946,-85.6652869866
33,9288,EL1088971,Electrical Permit,ELECTRICAL,Issued,HENDERSON SERVICES LLC,Commercial,Rewire Repair Add Wiring,PEC,0,325,2000,2801   CONSTANT COMMENT PL,LOUISVILLE,KY,40299-0000,1271648,258538,20,,2019-02-07 10:07:42,38.2029001679,-85.533339853
34,9289,EL1089042,Electrical Permit,ELECTRICAL,Issued,DISTINCTIVE DESIGN REMODELING,Single Family,Rewire Repair Add Wiring,R4,0,115,1000,17416   STALLION WAY,LOUISVILLE,KY,40245-0000,1299452,283243,19,,2019-02-07 15:38:03,38.271758378,-85.4376997961
