EstablishmentID,CountyID,RCode,RCodeDesc,EstType,PremiseName,PermiseStreetNo,PremiseStreet,PremiseExtraAddrLine,PremiseCity,PremiseState,PremiseZip,InspectionIntervalDays,IsPayFee,IsStateOwned,Status,WaterProvider,SewageProvider,IsBonded,RenewalStatus,PermitPrinted,Language,RiskType,MenuType,IsCaterer,IsDriveThru,IsTrucksOnly,Area,MailAppIDDesc,MailPermitIDDesc,HoursOfOperation,DaysOfOperation,MonthsOfOperation,opening_date,renewal_sent_date,renewal_received_date,permit_print_date,permit_expiration_date,next_inspection_date,bond_expiration_date,Quantity1,Quantity1Unit,Quantity2,Quantity2Units,latitude,longitude,comments,TotalFeeAmt,PermitFeeAmt,InspectionFeeAmt,VarianceGranted,FollowUpDate,ObjectId
14595,255,615,FOOD PROCESSING OR STORAGE ESTABLISHMENT,BAKERY,KERNS KITCHEN INC,2420,AMPERE DRIVE,,LOUISVILLE,KY,40299,360,YES,NO,ACTIVE,PUBLIC,PUBLIC,NOT BONDED,RCVD,PRINTED,ENGLISH,1-HIGH,UNKNOWN,NO,NO,NO,,OWNER,OWNER,,,,,2023/10/13 00:00:00,2018/12/26 00:00:00,2018/12/26 00:00:00,2019/12/31 00:00:00,2020/05/16 00:00:00,,0,N/A,10000,SQ FEET,38.21859,-85.56709,,200,200,0,,,1
14601,255,615,FOOD PROCESSING OR STORAGE ESTABLISHMENT,BAKERY,KRISPY KREME DOUGHNUT CORP,3920,S 7TH ST RD,,LOUISVILLE,KY,40216-4193,360,YES,NO,ACTIVE,PUBLIC,PUBLIC,NOT BONDED,RCVD,PRINTED,ENGLISH,2,UNKNOWN,NO,NO,NO,,OWNER,OWNER,,,,,2023/10/13 00:00:00,2018/12/11 00:00:00,2018/12/11 00:00:00,2019/12/31 00:00:00,2017/11/05 00:00:00,,0,N/A,4342,SQ FEET,38.11593,-85.4829,,160,160,0,,,2
14607,255,615,FOOD PROCESSING OR STORAGE ESTABLISHMENT,PRODUCE STORAGE WAREHOUSE/REPACKER,KY. MUSHROOM CO. OF LOUISVILLE,4601,JENNINGS LANE UNIT #30,LOUISVILLE PRODUCE TERMINAL,LOUISVILLE,KY,40218,360,YES,NO,ACTIVE,PUBLIC,PUBLIC,NOT BONDED,RCVD,PRINTED,ENGLISH,1-HIGH,UNKNOWN,NO,NO,NO,,OWNER,OWNER,,,,,2023/10/13 00:00:00,2018/12/27 00:00:00,2018/12/27 00:00:00,2019/12/31 00:00:00,2018/07/12 00:00:00,,0,N/A,1875,SQ FEET,38.18922,-85.6841,,160,160,0,,,3
14615,255,615,FOOD PROCESSING OR STORAGE ESTABLISHMENT,AMBIENT WAREHOUSE/DISTRIBUTOR/REPACKER,DARE TO CARE - SENIOR COMMODITIES,3360,COMMERCE CENTER PLACE,,LOUISVILLE,KY,40211,1080,YES,YES,ACTIVE,PUBLIC,PUBLIC,N/A,RCVD,PRINTED,ENGLISH,3,UNKNOWN,NO,NO,NO,,OWNER,OWNER,,,,,2023/10/13 00:00:00,2018/12/14 00:00:00,2018/12/14 00:00:00,2019/12/31 00:00:00,2017/04/23 00:00:00,,0,N/A,18000,SQ FEET,38.22186,-85.81165,,200,200,0,,,4
14621,255,615,FOOD PROCESSING OR STORAGE ESTABLISHMENT,AMBIENT WAREHOUSE/DISTRIBUTOR/REPACKER,"SMITHFIELD DIRECT, LLC",2522,PLANTSIDE DR,,LOUISVILLE,KY,40299,1080,YES,NO,ACTIVE,PUBLIC,PUBLIC,NOT BONDED,RCVD,PRINTED,ENGLISH,3,UNKNOWN,NO,NO,NO,,OWNER,OWNER,,,,,2023/10/13 00:00:00,2018/12/11 00:00:00,2018/12/11 00:00:00,2019/12/31 00:00:00,2022/05/14 00:00:00,,0,N/A,15000,SQ FEET,38.20791,-85.56045,,200,200,0,,,5
14644,255,615,FOOD PROCESSING OR STORAGE ESTABLISHMENT,GENERAL FOOD MANUFACTURER/PROCESSOR,BLENDEX COMPANY,11208,ELECTRON DR,,LOUISVILLE,KY,40299,360,YES,NO,ACTIVE,PUBLIC,PUBLIC,NOT BONDED,RCVD,PRINTED,ENGLISH,1-HIGH,UNKNOWN,NO,NO,NO,,OWNER,OWNER,,,,,2023/10/13 00:00:00,2018/12/14 00:00:00,2018/12/14 00:00:00,2019/12/31 00:00:00,2016/03/06 00:00:00,,0,N/A,72960,SQ FEET,38.2013,-85.55193,,400,400,0,,,6
14647,255,615,FOOD PROCESSING OR STORAGE ESTABLISHMENT,GENERAL FOOD MANUFACTURER/PROCESSOR,BLOEMER FOOD SALES CO,925,S 7TH ST,,LOUISVILLE,KY,40203,360,YES,NO,ACTIVE,PUBLIC,PUBLIC,N/A,RCVD,PRINTED,ENGLISH,1-HIGH,UNKNOWN,NO,NO,NO,,PREMISE,PREMISE,,,,,2023/10/13 00:00:00,2018/12/11 00:00:00,2018/12/11 00:00:00,2019/12/31 00:00:00,2016/12/05 00:00:00,,0,N/A,1000,SQ FEET,38.24197,-85.76408,,120,120,0,,,7
14674,255,615,FOOD PROCESSING OR STORAGE ESTABLISHMENT,PRODUCE PROCESSOR,"PAUL'S FRUIT MARKET- UNIT 48 & 50, LOU. PROD",4601,JENNINGS LANE,,LOUISVILLE,KY,40218,360,YES,NO,ACTIVE,PUBLIC,PUBLIC,NOT BONDED,RCVD,PRINTED,ENGLISH,1-HIGH,UNKNOWN,NO,NO,NO,,OWNER,BILLING,,,,,2023/10/13 00:00:00,2019/01/30 00:00:00,2019/01/30 00:00:00,2019/12/31 00:00:00,2020/08/03 00:00:00,,0,N/A,5000,SQ FEET,38.18925,-85.68342,,160,160,0,,,8
14677,255,615,FOOD PROCESSING OR STORAGE ESTABLISHMENT,AMBIENT WAREHOUSE/DISTRIBUTOR/REPACKER,DAVIS COOKIE COMPANY,2522,WEST BROADWAY,,LOUISVILLE,KY,40211,1080,YES,NO,ACTIVE,PUBLIC,PUBLIC,NOT BONDED,RCVD,PRINTED,ENGLISH,3,UNKNOWN,NO,NO,NO,,OWNER,OWNER,,,,,2023/10/13 00:00:00,2018/12/13 00:00:00,2018/12/13 00:00:00,2019/12/31 00:00:00,2020/10/28 00:00:00,,0,N/A,15000,SQ FEET,38.24928,-85.79434,,200,200,0,,,9
14678,255,615,FOOD PROCESSING OR STORAGE ESTABLISHMENT,AMBIENT WAREHOUSE/DISTRIBUTOR/REPACKER,PEPSI AMERICANS KENTUCKIANA DIVISION,4008,CRITTENDEN DRIVE,,LOUISVILLE,KY,40209,1080,YES,NO,ACTIVE,PUBLIC,PUBLIC,NOT BONDED,RCVD,PRINTED,ENGLISH,3,UNKNOWN,NO,NO,NO,,OWNER,OWNER,,,,1992/09/22 00:00:00,2023/10/13 00:00:00,2018/12/13 00:00:00,2018/12/13 00:00:00,2019/12/31 00:00:00,2016/08/13 00:00:00,,0,N/A,120000,SQ FEET,38.19556,-85.75118,,500,500,0,,,10
