AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
2016,POLICE SERGEANT                    ,M,A ,40 - 49,49,TECHNICAL SERVICES                                     ,TECHNICAL SERVICES                                     ,24,0
6903,POLICE LIEUTENANT                  ,M,W ,50 - 59,59,TECHNICAL SERVICES                                     ,STAFF                                                  ,31,1
2608,POLICE OFFICER                     ,F,W ,40 - 49,49,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,22,2
2390,POLICE OFFICER                     ,M,W ,50 - 59,54,2ND DIVISION                                           ,2ND PLATOON                                            ,24,3
2242,POLICE OFFICER                     ,M,W ,50 - 59,57,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,,4
6029,POLICE SERGEANT                    ,M,W ,50 - 59,51,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,27,5
2344,POLICE MAJOR                       ,M,W ,50 - 59,52,SPECIAL INVESTIGATIONS DIVISION                        ,STAFF                                                  ,24,6
2350,POLICE LIEUTENANT                  ,M,W ,40 - 49,47,8TH DIVISION                                           ,STAFF                                                  ,24,7
2104,POLICE OFFICER                     ,F,W ,50 - 59,58,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,26,8
2992,POLICE SERGEANT                    ,M,W ,OVER 60,60,6TH DIVISION                                           ,2ND PLATOON                                            ,27,9
2729,POLICE LIEUTENANT                  ,M,W ,50 - 59,57,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,33,10
2916,ASST POLICE CHIEF-LT COLONEL       ,F,W ,50 - 59,51,PATROL BUREAU                                          ,STAFF                                                  ,28,11
6254,POLICE OFFICER                     ,M,W ,OVER 60,62,NARCOTICS                                              ,INVESTIGATIVE SUPPORT                                  ,33,12
6561,POLICE OFFICER                     ,M,W ,50 - 59,53,TRAFFIC                                                ,2ND PLATOON                                            ,31,13
6711,POLICE SERGEANT                    ,F,W ,50 - 59,53,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,24,14
6144,POLICE LIEUTENANT                  ,M,W ,50 - 59,59,NARCOTICS                                              ,STAFF                                                  ,34,15
6165,POLICE MAJOR                       ,M,B ,OVER 60,62,8TH DIVISION                                           ,STAFF                                                  ,40,16
6084,POLICE SERGEANT                    ,M,W ,50 - 59,52,CIS HOMICIDE                                           ,2ND PLATOON                                            ,31,17
2000,POLICE OFFICER                     ,M,W ,50 - 59,54,TRAFFIC                                                ,1ST PLATOON                                            ,22,18
2001,POLICE OFFICER                     ,F,W ,40 - 49,42,7TH DIVISION                                           ,3RD PLATOON                                            ,18,19
2004,POLICE SERGEANT                    ,M,W ,40 - 49,45,CIS HOMICIDE                                           ,1ST PLATOON                                            ,23,20
