YEAR,MONTH,Number_of_Tags_Issued,animal_type,zip_code,OBJECTID
2007,9,1,DOG,40291,0
2011,5,1,CAT,40245,1
2011,5,1,CAT,40272,2
2011,5,2,DOG,40205,3
2011,5,1,DOG,40214,4
2011,5,2,DOG,40220,5
2011,5,1,DOG,40228,6
2011,5,1,DOG,40258,7
2011,6,1,CAT,40229,8
2011,6,2,CAT,40258,9
2011,6,1,CAT,40272,10
2011,6,1,DOG,40118,11
2011,6,1,DOG,40205,12
2011,6,1,DOG,40208,13
2011,6,1,DOG,40216,14
2011,6,4,DOG,40220,15
2011,6,1,DOG,40245,16
2011,6,1,DOG,40272,17
2011,7,1,CAT,40243,18
2011,7,1,CAT,40258,19
2011,7,1,DOG,40212,20
2011,7,1,DOG,40216,21
2011,7,2,DOG,40220,22
2011,7,1,DOG,40223,23
2011,7,1,DOG,40291,24
2011,7,1,DOG,40299,25
2011,8,3,CAT,40213,26
2011,8,2,CAT,40258,27
2011,8,1,CAT,40272,28
2011,8,1,DOG,40059,29
2011,8,1,DOG,40203,30
2011,8,1,DOG,40206,31
2011,8,2,DOG,40216,32
2011,8,2,DOG,40219,33
2011,8,1,DOG,40220,34
2011,8,2,DOG,40241,35
2011,8,4,DOG,40245,36
2011,8,2,DOG,40272,37
2011,8,1,DOG,40299,38
2011,9,1,CAT,40220,39
2011,9,1,CAT,40291,40
2011,9,1,DOG,40203,41
2011,9,1,DOG,40205,42
2011,9,1,DOG,40213,43
2011,9,1,DOG,40214,44
2011,9,1,DOG,40216,45
2011,9,1,DOG,40218,46
2011,9,1,DOG,40219,47
2011,9,1,DOG,40241,48
2011,9,1,DOG,40291,49
2011,10,1,CAT,40272,50
2011,10,1,DOG,40213,51
2011,10,1,DOG,40216,52
2011,10,1,DOG,40218,53
2011,10,2,DOG,40219,54
2011,10,2,DOG,40220,55
2011,10,3,DOG,40222,56
2011,10,2,DOG,40242,57
2011,10,1,DOG,40243,58
2011,10,1,DOG,40258,59
2011,10,2,DOG,40272,60
2011,10,1,DOG,40291,61
