OBJECTID,ARC_Address,ARC_City,ARC_State,ARC_Zip,LIunits
13,11434 WHITHORN ST,DETROIT,MI,48205,1
14,12710 EVANSTON ST,DETROIT,MI,48213,1
15,13946 STEEL ST,DETROIT,MI,48227,1
16,13953 FLEMING ST,DETROIT,MI,48212,1
17,14233 HAZELRIDGE ST,DETROIT,MI,48205,1
18,16602 SANTA ROSA DR,DETROIT,MI,48221,1
19,18545 RIVERVIEW ST,DETROIT,MI,48219,1
20,8094 ELGIN ST,DETROIT,MI,48234,1
21,9243 SUSSEX ST,DETROIT,MI,48228,1
22,11481 FINDLAY ST,DETROIT,MI,48205,1
23,14203 HAMPSHIRE ST,DETROIT,MI,48213,1
24,14211 HAMPSHIRE ST,DETROIT,MI,48213,1
25,14232 MANSFIELD ST,DETROIT,MI,48227,1
26,14781 ST MARYS ST,DETROIT,MI,48227,1
27,15010 SORRENTO ST,DETROIT,MI,48227,1
28,15031 SEYMOUR ST,DETROIT,MI,48205,1
29,15111 LESURE ST,DETROIT,MI,48227,1
30,15211 PARK GROVE ST,DETROIT,MI,48205,1
31,15767 CRUSE ST,DETROIT,MI,48227,1
32,16521 STANSBURY ST,DETROIT,MI,48235,1
33,18212 KENTFIELD ST,DETROIT,MI,48219,1
34,18603 WESTPHALIA ST,DETROIT,MI,48205,1
35,19369 ST MARYS ST,DETROIT,MI,48235,1
36,20094 DEAN ST,DETROIT,MI,48234,1
37,4836 HAVERHILL ST,DETROIT,MI,48224,1
38,5051 BEACONSFIELD ST,DETROIT,MI,48224,1
39,5737 BARHAM ST,DETROIT,MI,48224,1
40,500 RIVER PL DR,DETROIT,MI,48207,61
41,14645 COYLE ST,DETROIT,MI,48227,1
42,14898 APPOLINE ST,DETROIT,MI,48227,1
43,14915 HARTWELL ST,DETROIT,MI,48227,1
44,14925 STANSBURY ST,DETROIT,MI,48227,1
45,14941 HARTWELL ST,DETROIT,MI,48227,1
46,15474 CRUSE ST,DETROIT,MI,48227,1
47,15481 PINEHURST ST,DETROIT,MI,48238,1
48,15718 CHEYENNE ST,DETROIT,MI,48227,1
49,13000 AVONDALE ST,DETROIT,MI,48215,38
50,2158 CHENE ST,DETROIT,MI,48207,26
51,11338 MEMORIAL ST,DETROIT,MI,48227,1
52,12799 CORBETT ST,DETROIT,MI,48213,1
53,14237 WADE ST,DETROIT,MI,48213,1
54,14432 ARDMORE ST,DETROIT,MI,48227,1
55,14933 NOVARA ST,DETROIT,MI,48205,1
56,14955 LIBERAL ST,DETROIT,MI,48205,1
57,15381 BIRWOOD ST,DETROIT,MI,48238,1
58,15485 CEDARGROVE ST,DETROIT,MI,48205,1
59,15838 SNOWDEN ST,DETROIT,MI,48227,1
60,17171 DRESDEN ST,DETROIT,MI,48205,1
61,17291 TRINITY ST,DETROIT,MI,48219,1
62,18061 MAINE ST,DETROIT,MI,48234,1
63,18455 REVERE ST,DETROIT,MI,48234,1
64,18843 MAINE ST,DETROIT,MI,48234,1
65,4821 SOMERSET AVE,DETROIT,MI,48224,1
66,5575 OLDTOWN ST,DETROIT,MI,48224,1
67,9330 SORRENTO ST,DETROIT,MI,48228,1
68,457 E KIRBY ST,DETROIT,MI,48202,30
69,628 DELAWARE ST,DETROIT,MI,48202,104
70,13101 FREUD ST,DETROIT,MI,48215,83
71,541 DICKERSON ST,DETROIT,MI,48215,180
72,8100 GRATIOT AVE,DETROIT,MI,48213,200
73,2021 BLAINE ST,DETROIT,MI,48206,82
74,11497 LAKEPOINTE ST,DETROIT,MI,48224,1
75,12626 PAYTON ST,DETROIT,MI,48224,1
76,13674 THORNTON ST,DETROIT,MI,48227,1
77,14493 NOVARA ST,DETROIT,MI,48205,1
78,14921 NOVARA ST,DETROIT,MI,48205,1
79,14937 MADDELEIN ST,DETROIT,MI,48205,1
80,14959 FLANDERS ST,DETROIT,MI,48205,1
81,19233 LAHSER RD,DETROIT,MI,48219,48
82,5121 W CHICAGO,DETROIT,MI,48204,48
83,465 W GRAND BLVD,DETROIT,MI,48216,60
84,356 E GRAND BLVD,DETROIT,MI,48207,59
85,465 W GRAND,DETROIT,MI,48203,60
86,1340 E CANFIELD ST,DETROIT,MI,48207,160
87,459 HARPER AVE,DETROIT,MI,48202,70
88,9131 KERCHEVAL ST,DETROIT,MI,48214,24
89,1960 BLAINE ST,DETROIT,MI,48206,38
90,1401 CHENE ST,DETROIT,MI,48207,199
91,18300 LAHSER RD,DETROIT,MI,48219,37
92,8840 SECOND AVE,DETROIT,MI,48202,11
93,3501 WOODWARD AVE,DETROIT,MI,48201,248
94,14239 DOLPHIN ST,DETROIT,MI,48223,50
95,10435 CADIEUX RD,DETROIT,MI,48224,16
96,4834 LAKEVIEW ST,DETROIT,MI,48215,60
97,53 MARSTON ST,DETROIT,MI,48202,53
98,4248 ALTER RD,DETROIT,MI,48215,64
99,9545 NORTHLAWN ST,DETROIT,MI,48204,95
100,222 E SAVANNAH ST,DETROIT,MI,48203,11
101,14110 DACOSTA ST,DETROIT,MI,48223,50
102,165 E GRAND BLVD,DETROIT,MI,48207,11
103,1661 BAGLEY ST,DETROIT,MI,48216,86
104,275 W GRAND BLVD,DETROIT,MI,48216,72
105,12837 MACK AVE,DETROIT,MI,48215,54
106,706 W WILLIS ST,DETROIT,MI,48201,12
107,1737 25TH ST,DETROIT,MI,48216,50
108,573 CHENE ST,DETROIT,MI,48207,169
109,191 E MONTANA ST,DETROIT,MI,48203,12
110,573 CHENE ST,DETROIT,MI,48207,312
111,8980 BESSEMORE ST,DETROIT,MI,48213,50
112,4875 COPLIN ST,DETROIT,MI,48215,32
113,1830 MAGNOLIA ST,DETROIT,MI,48208,66
114,7800 E JEFFERSON AVE,DETROIT,MI,48214,469
115,7452 PURITAN ST,DETROIT,MI,48238,11
116,2506 CARSON ST,DETROIT,MI,48209,54
117,9151 WHITTIER ST,DETROIT,MI,48224,21
118,3521 JOHN C LODGE FWY,DETROIT,MI,48201,35
119,3521 JOHN C LODGE FWY,DETROIT,MI,48201,50
120,8500 WYOMING ST,DETROIT,MI,48204,35
121,93 SEWARD ST,DETROIT,MI,48202,70
122,4628 LILLIBRIDGE ST,DETROIT,MI,48214,50
123,185 E GRAND BLVD,DETROIT,MI,48207,11
124,4661 E OUTER DR,DETROIT,MI,48234,48
125,3900 WABASH ST,DETROIT,MI,48208,66
126,4803 LENOX ST,DETROIT,MI,48215,50
127,2710 W CHICAGO,DETROIT,MI,48206,41
128,2153 GRAY ST,DETROIT,MI,48215,10
129,2515 W FOREST AVE,DETROIT,MI,48208,45
130,1000 ALGER ST,DETROIT,MI,48211,50
131,3806 MAXWELL ST,DETROIT,MI,48214,50
132,8931 MOUNT ELLIOTT ST,DETROIT,MI,48211,64
133,8715 W VERNOR HWY,DETROIT,MI,48209,34
134,1300 MLK JR BLVD,DETROIT,MI,48201,100
135,640 BRAINARD ST,DETROIT,MI,48201,120
136,3803 14TH ST,DETROIT,MI,48208,60
137,942 TENNESSEE ST,DETROIT,MI,48215,45
138,3845 BELVIDERE ST,DETROIT,MI,48214,50
139,3701 15TH ST,DETROIT,MI,48208,88
140,12000 APPOLINE ST,DETROIT,MI,48227,38
141,7335 MELROSE ST,DETROIT,MI,48211,24
142,8258 ELLSWORTH ST,DETROIT,MI,48238,45
143,9651 EDGEWOOD ST,DETROIT,MI,48213,45
144,432 ANNIN ST,DETROIT,MI,48203,36
145,2439 CARSON ST,DETROIT,MI,48209,22
146,3728 MONTCLAIR ST,DETROIT,MI,48214,45
147,3410 W CHICAGO,DETROIT,MI,48206,43
148,2725 W BOSTON BLVD,DETROIT,MI,48206,37
149,9368 YOSEMITE ST,DETROIT,MI,48204,12
150,9645 SHOEMAKER ST,DETROIT,MI,48213,30
151,3521 JOHN C LODGE FWY,DETROIT,MI,48201,26
152,3521 JOHN C LODGE FWY,DETROIT,MI,48201,32
153,3521 JOHN C LODGE FWY,DETROIT,MI,48201,44
154,625 FIELD ST,DETROIT,MI,48214,26
155,14972 GREENFIELD RD,DETROIT,MI,48227,88
156,1764 FIELD ST,DETROIT,MI,48214,15
157,13144 AUGUST ST,DETROIT,MI,48205,40
158,1310 PALLISTER ST,DETROIT,MI,48202,349
159,666 W BETHUNE ST,DETROIT,MI,48202,76
160,14625 GLENWOOD ST,DETROIT,MI,48205,49
161,5500 TRUMBULL ST,DETROIT,MI,48208,244
162,2500 W GRAND BLVD,DETROIT,MI,48208,153
163,2910 E VERNOR HWY,DETROIT,MI,48207,180
164,4387 THIRD ST,DETROIT,MI,48201,104
165,5351 CHRYSLER DR,DETROIT,MI,48202,60
166,5130 MCKINLEY ST,DETROIT,MI,48208,20
167,17300 SOUTHFIELD FWY,DETROIT,MI,48235,209
168,5569 JOHN C LODGE FWY,DETROIT,MI,48202,74
169,5028 SCOTTEN ST,DETROIT,MI,48210,45
170,1250 HUBBARD ST,DETROIT,MI,48209,40
171,2201 LAWNDALE ST,DETROIT,MI,48209,29
172,9181 OLIVET ST,DETROIT,MI,48209,24
173,8600 CAMERON ST,DETROIT,MI,48211,48
174,23230 FENKELL ST,DETROIT,MI,48223,23
175,16404 BELTON ST,DETROIT,MI,48228,96
176,3801 HOLCOMB ST,DETROIT,MI,48214,26
177,285 PIQUETTE ST,DETROIT,MI,48202,150
178,2199 PRINCE HALL DR,DETROIT,MI,48207,125
179,2700 S ANNABELLE ST,DETROIT,MI,48217,200
180,2921 FOURTH ST,DETROIT,MI,48201,58
181,722 EMERSON ST,DETROIT,MI,48215,66
182,1101 W WARREN AVE,DETROIT,MI,48201,350
183,8525 ASBURY PARK,DETROIT,MI,48228,36
184,8573 GRANDMONT AVE,DETROIT,MI,48228,38
185,8524 GRANDMONT AVE,DETROIT,MI,48228,36
186,2169 GRAY ST,DETROIT,MI,48215,24
187,19800 TELEGRAPH RD,DETROIT,MI,48219,36
188,8076 MEDBURY ST,DETROIT,MI,48213,30
189,4701 CHRYSLER DR,DETROIT,MI,48201,190
190,4761 E OUTER DR,DETROIT,MI,48234,48
191,8345 ELLSWORTH ST,DETROIT,MI,48238,45
192,811 OAKMAN BLVD,DETROIT,MI,48238,24
193,4200 ST AUBIN ST,DETROIT,MI,48207,48
194,8330 E JEFFERSON AVE,DETROIT,MI,48214,259
195,5721 ST ANTOINE ST,DETROIT,MI,48202,70
196,2352 PRINCE HALL DR,DETROIT,MI,48207,34
197,2001 CHENE ST,DETROIT,MI,48207,144
198,1480 ROBERT BRADBY DR,DETROIT,MI,48207,26
199,640 DELAWARE ST,DETROIT,MI,48202,70
200,4707 CONNER ST,DETROIT,MI,48215,45
201,2921 FOURTH ST,DETROIT,MI,48201,62
202,4607 CHRYSLER DR,DETROIT,MI,48201,194
203,882 OAKMAN BLVD,DETROIT,MI,48238,155
206,3103 WIGHT ST,DETROIT,MI,48207,75
207,16461 VAN BUREN ST,DETROIT,MI,48228,36
208,1325 CHENE ST,DETROIT,MI,48207,168
209,14711 MACK AVE,DETROIT,MI,48215,39
210,1601 ROBERT BRADBY DR,DETROIT,MI,48207,350
211,516 W LANTZ ST,DETROIT,MI,48203,36
212,4051 TOLEDO ST,DETROIT,MI,48209,32
213,3751 SECOND AVE,DETROIT,MI,48201,24
216,14969 MANNING ST,DETROIT,MI,48205,1
217,15034 NOVARA ST,DETROIT,MI,48205,1
218,15300 FAIRCREST ST,DETROIT,MI,48205,1
219,16269 NOVARA ST,DETROIT,MI,48205,1
220,17194 RUNYON ST,DETROIT,MI,48234,1
221,18096 ALCOY ST,DETROIT,MI,48205,1
222,19335 HICKORY ST,DETROIT,MI,48205,1
223,19643 BUFFALO ST,DETROIT,MI,48234,1
224,19948 ALCOY ST,DETROIT,MI,48205,1
225,20121 WEXFORD ST,DETROIT,MI,48234,1
226,20123 CHAREST ST,DETROIT,MI,48234,1
227,20162 REVERE ST,DETROIT,MI,48234,1
228,20193 IRVINGTON ST,DETROIT,MI,48203,1
229,20491 REVERE ST,DETROIT,MI,48234,1
230,401 LANIER ST,DETROIT,MI,48202,39
231,1981 E MCNICHOLS RD,DETROIT,MI,48212,69
232,13115 E JEFFERSON AVE,DETROIT,MI,48215,135
233,14590 ARDMORE ST,DETROIT,MI,48227,1
234,15089 APPOLINE ST,DETROIT,MI,48227,1
235,15220 LAPPIN ST,DETROIT,MI,48205,1
236,15626 LIBERAL ST,DETROIT,MI,48205,1
237,15819 EASTBURN ST,DETROIT,MI,48205,1
238,18900 TEPPERT ST,DETROIT,MI,48234,1
239,19176 DRESDEN ST,DETROIT,MI,48205,1
240,19665 ALBION ST,DETROIT,MI,48234,1
241,19743 DRESDEN ST,DETROIT,MI,48205,1
242,19946 HAMBURG ST,DETROIT,MI,48205,1
243,19967 REVERE ST,DETROIT,MI,48234,1
244,20019 BARLOW ST,DETROIT,MI,48205,1
245,20026 BARLOW ST,DETROIT,MI,48205,1
246,20027 ALCOY ST,DETROIT,MI,48205,1
247,20028 PELKEY ST,DETROIT,MI,48205,1
248,20165 VEACH ST,DETROIT,MI,48234,1
249,20202 DRESDEN ST,DETROIT,MI,48205,1
250,20230 STRASBURG ST,DETROIT,MI,48205,1
251,20520 ALCOY ST,DETROIT,MI,48205,1
252,20520 WALTHAM ST,DETROIT,MI,48205,1
253,20535 JOANN ST,DETROIT,MI,48205,1
254,4707 BUCKINGHAM AVE,DETROIT,MI,48224,1
255,5315 MARSEILLES ST,DETROIT,MI,48224,1
256,4711 TRUMBULL ST,DETROIT,MI,48208,12
257,1023 FIELD ST,DETROIT,MI,48214,21
258,1001 LELAND ST,DETROIT,MI,48207,52
259,4747 THIRD ST,DETROIT,MI,48201,36
260,4707 THIRD ST,DETROIT,MI,48201,52
261,590 PARKVIEW DR,DETROIT,MI,48214,15
262,3931 MCGRAW ST,DETROIT,MI,48208,36
263,1003 LELAND ST,DETROIT,MI,48207,53
264,677 W ALEXANDRINE ST,DETROIT,MI,48201,45
265,3380 E VERNOR HWY,DETROIT,MI,48207,96
266,16321 JOY RD,DETROIT,MI,48228,78
267,3676 RIVARD ST,DETROIT,MI,48207,48
268,4414 TRUMBULL ST,DETROIT,MI,48208,28
269,4127 BUCKINGHAM AVE,DETROIT,MI,48224,2
270,19888 HARNED AVE,DETROIT,MI,,3
271,20536 GOULBURN ST,DETROIT,MI,48205,5
272,4006 HAVERHILL ST,DETROIT,MI,48224,5
273,20286 STRASBURG ST,DETROIT,MI,48205,5
274,20099 HAMBURG ST,DETROIT,MI,48205,5
275,1336 PORTER ST,DETROIT,MI,48226,29
276,14200 KERCHEVAL ST,DETROIT,MI,48215,29
277,9331 RUTHERFORD ST,DETROIT,MI,48228,36
278,2270 E VERNOR HWY,DETROIT,MI,48207,56
279,15949 QUINCY ST,DETROIT,MI,48238,22
280,8516 LINWOOD ST,DETROIT,MI,48206,31
281,415 BRAINARD ST,DETROIT,MI,48201,51
282,100 PARSONS ST,DETROIT,MI,48201,81
283,9441 QUEEN ST,DETROIT,MI,48213,75
284,9200 W VERNOR HWY,DETROIT,MI,48209,80
285,1301 W FOREST AVE,DETROIT,MI,48201,24
286,12515 E WARREN AVE,DETROIT,MI,48213,138
287,12515 E WARREN AVE,DETROIT,MI,48213,136
288,640 W WILLIS ST,DETROIT,MI,48201,60
289,388 W GRAND BLVD,DETROIT,MI,48216,20
290,8741 WOODWARD AVE,DETROIT,MI,48202,9
291,250 W GRAND BLVD,DETROIT,MI,48216,19
292,2150 MYRTLE ST,DETROIT,MI,48208,120
293,13979 PIERSON ST,DETROIT,MI,48223,5
294,14529 PIERSON ST,DETROIT,MI,48223,45
295,4120 RIVARD ST,DETROIT,MI,48207,100
296,232 E GRAND BLVD,DETROIT,MI,48207,28
297,12026 MORANG DR,DETROIT,MI,48224,40
298,11501 PETOSKEY AVE,DETROIT,MI,48204,96
299,18350 LAHSER RD,DETROIT,MI,48219,58
300,16155 HUBBELL ST,DETROIT,MI,48235,11
301,667 W ALEXANDRINE ST,DETROIT,MI,48201,30
302,3822 28TH ST,DETROIT,MI,48210,60
303,640 MLK JR BLVD,DETROIT,MI,48201,35
304,10 PETERBORO ST,DETROIT,MI,48201,70
305,3843 PURITAN ST,DETROIT,MI,48238,29
