OBJECTID,ZCTA5CE10,GEOID10,FUNCSTAT10,ALAND10,AWATER10,County,SIF_Area,GlobalID,ALAND10_1,AWATER10_1,INTPTLAT10_1,INTPTLON10_1,PARTFLG10_1,GEOID10_12,ZCTA5CE10_12,County_12,ID,Median_HH_Income
1,48371,2648371,S,110655621,4157391,,,a7f9954d-8407-437f-9267-a068b2d25519,110655621,4157391,+42.8409698,-083.2915307,N,2648371,48371,Oakland,161,72362
2,48380,2648380,S,65730039,4189694,,,665df799-45bc-47d6-8858-f9f1d3c6d014,65730039,4189694,+42.5830021,-083.6668237,N,2648380,48380,Oakland,165,90302
3,48081,2648081,S,10178038,3460922,,,c3a3787a-9ac1-4817-9cea-195ec12ba783,10178038,3460922,+42.4946690,-082.8950389,N,2648081,48081,Macomb,34,57277
4,48315,2648315,S,33063561,425300,,,168af005-994c-40c5-88cc-70b737974d65,33063561,425300,+42.6715479,-082.9965620,N,2648315,48315,Macomb,132,70210
5,48317,2648317,S,31361812,1328385,,,fe86e94c-e388-4121-9763-444ae8e5bf69,31361812,1328385,+42.6448395,-083.0519717,N,2648317,48317,Macomb,134,53279
6,48088,2648088,S,11490620,0,,,068b3fbd-930e-45d6-9bff-879b81e2fbf8,11490620,0,+42.5156450,-082.9829908,N,2648088,48088,Macomb,39,55876
7,48048,2648048,S,49265723,402169,,,650ecdb0-a1bf-4cb7-80bc-3238b28567e2,49265723,402169,+42.7457468,-082.7958699,N,2648048,48048,Macomb,19,54580
8,48236,2648236,S,19463663,3357791,Wayne,,11f9e67a-5260-4d6e-92eb-14f2aafa98ba,19463663,3357791,+42.4253730,-082.8931944,N,2648236,48236,Wayne,115,94515
9,48383,2648383,S,38623150,2452196,,,e2cf5d78-b6b4-4840-a89a-6e18e29c52c9,38623150,2452196,+42.6556093,-083.5258410,N,2648383,48383,Oakland,168,71047
10,48335,2648335,S,19519357,9310,,,d0fc55ea-104f-459b-82ea-c8cf5b228b90,19519357,9310,+42.4628849,-083.4051512,N,2648335,48335,Oakland,145,63597
11,48320,2648320,S,2832858,794949,,,eb8eaacf-fd95-4230-97f4-911f051e14de,2832858,794949,+42.6119345,-083.3380921,N,2648320,48320,Oakland,135,49036
12,48165,2648165,S,24100791,601254,,,357ec643-33b4-4321-b506-c39c0005dabd,24100791,601254,+42.5015650,-083.6169224,N,2648165,48165,Oakland,66,60208
13,48363,2648363,S,52310794,851170,,,950c40de-ef30-48f2-be91-7e9258f672b5,52310794,851170,+42.7724831,-083.1624995,N,2648363,48363,Oakland,158,103955
14,48073,2648073,S,19104791,0,,,725bcb46-e16d-47da-83c9-6ced8160d512,19104791,0,+42.5192053,-083.1643617,N,2648073,48073,Oakland,30,60914
15,48083,2648083,S,22379873,0,,,24eae8ae-5bb0-4439-9f9a-26feb95a1a4d,22379873,0,+42.5570211,-083.1168587,N,2648083,48083,Oakland,36,65547
16,48213,2648213,S,16923386,0,Wayne,1,c58ac1df-2605-481c-bea9-cb310be5ceda,16923386,0,+42.3979308,-082.9952131,N,2648213,48213,Wayne,95,20914
17,48216,2648216,S,5747286,0,Wayne,1,7b1cbc84-cd9a-4efd-ba28-c2e8d31b75cf,5747286,0,+42.3264844,-083.0787461,N,2648216,48216,Wayne,98,22762
18,48221,2648221,S,14119737,2042,Wayne,,cba2f1e9-159a-4dbb-a4ae-9b90e2ed12e1,14119737,2042,+42.4269999,-083.1486085,N,2648221,48221,Wayne,103,37693
19,48215,2648215,S,10395926,0,Wayne,,0b61850e-7626-41dc-953e-41a65ffa6b76,10395926,0,+42.3750512,-082.9543435,N,2648215,48215,Wayne,97,21633
20,48227,2648227,S,19504196,0,Wayne,1,2533e3fa-4fc1-4d9c-920b-bfc8770ad677,19504196,0,+42.3872489,-083.1925916,N,2648227,48227,Wayne,108,29027
21,48128,2648128,S,6123655,134025,Wayne,,09ce4ddd-4315-4a26-a520-4489061310af,6123655,134025,+42.3204109,-083.2599691,N,2648128,48128,Wayne,56,76354
22,48195,2648195,S,17672628,12035,Wayne,,8c45faa3-0f4e-44f5-8258-22f748962cec,17672628,12035,+42.2049746,-083.2065107,N,2648195,48195,Wayne,82,48924
23,48192,2648192,S,13720595,377603,Wayne,,812ed188-69c4-4064-b5ae-fedd3558e350,13720595,377603,+42.2084550,-083.1614983,N,2648192,48192,Wayne,80,51074
24,48230,2648230,S,8360759,3001154,Wayne,,1a953fd2-5dd8-449a-a319-63d1753d4f39,8360759,3001154,+42.3823947,-082.9218416,N,2648230,48230,Wayne,111,99714
25,48187,2648187,S,46813620,32123,Wayne,,59770636-e44d-48bb-8421-8608651c1af3,46813620,32123,+42.3255729,-083.4835758,N,2648187,48187,Wayne,78,76832
26,48225,2648225,S,6854875,0,Wayne,,02d02d68-697f-4d9c-a2b5-e65f1fee2cee,6854875,0,+42.4389841,-082.9296100,N,2648225,48225,Wayne,106,47359
27,48218,2648218,S,6872362,287672,Wayne,1,241c49be-ba07-4748-8c56-6e066e48c118,6872362,287672,+42.2727086,-083.1266716,N,2648218,48218,Wayne,100,26661
28,48178,2648178,S,131199506,4856212,,,18c0cfac-7a35-40cc-a083-3fb2eb56027f,131199506,4856212,+42.4437683,-083.6568721,N,2648178,48178,Oakland,72,74158
29,48062,2648062,S,102252058,236937,,,f079fe97-bab0-4df7-8730-45028a51ac85,102252058,236937,+42.8524952,-082.7964708,N,2648062,48062,Macomb,22,55317
30,48036,2648036,S,21551261,564901,,,1d1b48c8-1a12-4bec-b1dc-5e4c0f14de56,21551261,564901,+42.5970454,-082.9131436,N,2648036,48036,Macomb,12,45161
31,48312,2648312,S,29136295,196890,,,3aa44b88-1bea-4db0-b824-3bd9a0a4f113,29136295,196890,+42.5582276,-083.0089258,N,2648312,48312,Macomb,129,57289
32,48043,2648043,S,10615453,340371,,,f1dd62dd-5cdc-4273-ba60-bcf86bab5d9d,10615453,340371,+42.5980555,-082.8815059,N,2648043,48043,Macomb,15,36397
33,48309,2648309,S,40034011,41084,,,0f9469b8-402c-4016-bd4a-7f7ed321349a,40034011,41084,+42.6563739,-083.1835878,N,2648309,48309,Oakland,127,88161
34,48301,2648301,S,19082075,563499,,,d2bc0e88-4bab-4569-a76d-6d6b45510107,19082075,563499,+42.5424001,-083.2821684,N,2648301,48301,Oakland,122,117813
35,48331,2648331,S,24056347,30025,,,bc02e932-7e65-46da-8b11-468442720aff,24056347,30025,+42.5024831,-083.4089353,N,2648331,48331,Oakland,143,98046
36,48357,2648357,S,30436623,1531824,,,64bbec3b-df8f-494b-9408-8dbb5ba37c8b,30436623,1531824,+42.6585326,-083.6464004,N,2648357,48357,Oakland,154,72520
37,48356,2648356,S,36733900,3600344,,,7657b335-4598-4164-b33f-a4712e0affb5,36733900,3600344,+42.6544138,-083.5929054,N,2648356,48356,Oakland,153,67463
38,48360,2648360,S,30939560,2059458,,,dc2b1afd-2407-4c91-bf97-4d6891ee631c,30939560,2059458,+42.7475737,-083.2600828,N,2648360,48360,Oakland,156,90980
39,48328,2648328,S,23415085,6661279,,,2c46d041-7ebc-4460-8541-d50dc481cc27,23415085,6661279,+42.6463809,-083.3590983,N,2648328,48328,Oakland,141,45689
40,48205,2648205,S,16531627,0,Wayne,1,98c29ec6-4fe4-41d9-bcb5-7faf39ccbfe6,16531627,0,+42.4331562,-082.9811418,N,2648205,48205,Wayne,87,27317
41,48214,2648214,S,13014076,1565598,Wayne,,1741dc08-c825-4db1-8be8-79376197621d,13014076,1565598,+42.3651159,-082.9876441,N,2648214,48214,Wayne,96,24274
42,48146,2648146,S,15202542,1439,Wayne,,37b4c0a6-1c65-423d-ad49-8a4d3ef80fb1,15202542,1439,+42.2432907,-083.1812577,N,2648146,48146,Wayne,61,40032
43,48101,2648101,S,18182907,122205,Wayne,,9b145dbc-a438-4210-8b08-b5fe17f5a9c5,18182907,122205,+42.2594735,-083.2103905,N,2648101,48101,Wayne,48,60767
44,48193,2648193,S,18194681,658655,Wayne,,4767dc5f-b1ba-4c17-8249-ec7f4ff47f44,18194681,658655,+42.1732817,-083.2098369,N,2648193,48193,Wayne,81,49922
45,48223,2648223,S,15679754,0,Wayne,1,9f6cf409-88cf-4a26-a51b-45986bb9547f,15679754,0,+42.3934527,-083.2463272,N,2648223,48223,Wayne,104,32946
46,48217,2648217,S,5921036,126346,Wayne,1,0ad310de-af30-4857-ab93-a2fb2b2765f2,5921036,126346,+42.2776510,-083.1550783,N,2648217,48217,Wayne,99,23424
47,48180,2648180,S,61116827,95634,Wayne,,d68e7e47-a307-4350-96a5-b4c4d79b7c3c,61116827,95634,+42.2252620,-083.2683085,N,2648180,48180,Wayne,73,41742
48,48185,2648185,S,31512594,23686,Wayne,,67e38a80-7bc4-4e80-94b1-fa19fc02f526,31512594,23686,+42.3339011,-083.3842091,N,2648185,48185,Wayne,76,43405
49,48208,2648208,S,8190764,0,Wayne,,aeb38470-56ad-4250-80d2-8e3772184af9,8190764,0,+42.3484911,-083.0919366,N,2648208,48208,Wayne,90,18660
50,48096,2648096,S,94741211,296426,,,8d9bebb3-e9c0-496c-9d2e-904e3b5f62ff,94741211,296426,+42.7621506,-082.9204704,N,2648096,48096,Macomb,46,78326
51,48313,2648313,S,23503570,406887,,,ba9ce1e7-dce6-48ed-9c02-d144a8156f91,23503570,406887,+42.6006514,-083.0029032,N,2648313,48313,Macomb,130,61781
