region,region_code,period,students_trained_period,students_trained_cumul,students_trained_target,students_enroll,students_enroll_trained
National,US,2010-09,0.00,0.00,10500.00,2015.00,1225.00
National,US,2010-12,93.00,93.00,10500.00,1640.00,894.00
National,US,2011-03,1098.00,1191.00,10500.00,4275.00,2478.00
National,US,2011-06,1936.00,3127.00,10500.00,3874.00,2197.00
National,US,2011-09,2108.00,5235.00,10500.00,6373.00,3959.00
National,US,2011-12,3367.00,8602.00,10500.00,3103.00,2000.00
National,US,2012-03,3545.00,12147.00,10500.00,4255.00,2813.00
National,US,2012-06,1889.00,14036.00,10500.00,1882.00,1099.00
National,US,2012-09,1508.00,15544.00,10500.00,2299.00,1240.00
National,US,2012-12,1326.00,16870.00,10500.00,1515.00,908.00
National,US,2013-03,1962.00,18832.00,10500.00,638.00,442.00
National,US,2013-06,180.00,19012.00,10500.00,628.00,417.00
National,US,2013-09,721.00,19733.00,10500.00,101.00,61.00
Alaska,AK,2010-09,0.00,0.00,0.00,0.00,0.00
Alaska,AK,2010-12,0.00,0.00,0.00,1.00,0.00
Alaska,AK,2011-03,0.00,0.00,0.00,0.00,0.00
Alaska,AK,2011-06,0.00,0.00,0.00,1.00,1.00
Alaska,AK,2011-09,67.00,67.00,0.00,72.00,72.00
Alaska,AK,2011-12,5.00,72.00,0.00,0.00,0.00
Alaska,AK,2012-03,52.00,124.00,0.00,52.00,51.00
Alaska,AK,2012-06,0.00,124.00,0.00,1.00,0.00
Alaska,AK,2012-09,0.00,124.00,0.00,1.00,0.00
Alaska,AK,2012-12,0.00,124.00,0.00,0.00,0.00
Alaska,AK,2013-03,0.00,124.00,0.00,0.00,0.00
Alaska,AK,2013-06,0.00,124.00,0.00,0.00,0.00
Alaska,AK,2013-09,0.00,124.00,0.00,0.00,0.00
Alabama,AL,2010-09,0.00,0.00,0.00,0.00,0.00
Alabama,AL,2010-12,0.00,0.00,0.00,4.00,3.00
Alabama,AL,2011-03,0.00,0.00,0.00,1.00,0.00
Alabama,AL,2011-06,3.00,3.00,0.00,4.00,3.00
Alabama,AL,2011-09,0.00,3.00,0.00,28.00,15.00
Alabama,AL,2011-12,12.00,15.00,0.00,11.00,3.00
Alabama,AL,2012-03,14.00,29.00,0.00,15.00,10.00
Alabama,AL,2012-06,2.00,31.00,0.00,10.00,4.00
Alabama,AL,2012-09,4.00,35.00,0.00,40.00,18.00
Alabama,AL,2012-12,5.00,40.00,0.00,33.00,19.00
Alabama,AL,2013-03,33.00,73.00,0.00,2.00,1.00
Alabama,AL,2013-06,0.00,73.00,0.00,3.00,1.00
Alabama,AL,2013-09,4.00,77.00,0.00,0.00,0.00
Arkansas,AR,2010-09,0.00,0.00,0.00,15.00,11.00
Arkansas,AR,2010-12,0.00,0.00,0.00,2.00,0.00
Arkansas,AR,2011-03,11.00,11.00,0.00,17.00,11.00
Arkansas,AR,2011-06,7.00,18.00,0.00,14.00,6.00
Arkansas,AR,2011-09,3.00,21.00,0.00,20.00,10.00
Arkansas,AR,2011-12,13.00,34.00,0.00,27.00,8.00
Arkansas,AR,2012-03,16.00,50.00,0.00,17.00,8.00
Arkansas,AR,2012-06,2.00,52.00,0.00,4.00,1.00
Arkansas,AR,2012-09,5.00,57.00,0.00,23.00,15.00
Arkansas,AR,2012-12,12.00,69.00,0.00,9.00,5.00
Arkansas,AR,2013-03,9.00,78.00,0.00,6.00,3.00
Arkansas,AR,2013-06,0.00,78.00,0.00,1.00,0.00
Arkansas,AR,2013-09,0.00,78.00,0.00,0.00,0.00
Arizona,AZ,2010-09,0.00,0.00,0.00,48.00,27.00
Arizona,AZ,2010-12,18.00,18.00,0.00,109.00,25.00
Arizona,AZ,2011-03,37.00,55.00,0.00,112.00,75.00
Arizona,AZ,2011-06,55.00,110.00,0.00,46.00,21.00
Arizona,AZ,2011-09,23.00,133.00,0.00,210.00,107.00
Arizona,AZ,2011-12,99.00,232.00,0.00,73.00,18.00
Arizona,AZ,2012-03,52.00,284.00,0.00,163.00,60.00
Arizona,AZ,2012-06,36.00,320.00,0.00,9.00,5.00
Arizona,AZ,2012-09,14.00,334.00,0.00,9.00,5.00
Arizona,AZ,2012-12,11.00,345.00,0.00,9.00,5.00
Arizona,AZ,2013-03,3.00,348.00,0.00,1.00,1.00
Arizona,AZ,2013-06,1.00,349.00,0.00,47.00,39.00
Arizona,AZ,2013-09,39.00,388.00,0.00,0.00,0.00
California,CA,2010-09,0.00,0.00,0.00,238.00,143.00
California,CA,2010-12,4.00,4.00,0.00,156.00,77.00
California,CA,2011-03,196.00,200.00,0.00,520.00,314.00
California,CA,2011-06,135.00,335.00,0.00,240.00,111.00
California,CA,2011-09,358.00,693.00,0.00,660.00,497.00
California,CA,2011-12,310.00,1003.00,0.00,230.00,126.00
