County,District,School_Name,Program,Application_Number,Applicant,Preliminary_Grant_Application,Full_Grant_Application,Site_and_Design_Application,Site_Only_Application,Design_Only_Application,Environmental_Hardship_Application,Reduced_to_Costs_Incurred,Number_of_Elementary_School_Pupil_Grants_Requested,Number_of_Middle_School_Pupil_Grants_Requested,Number_of_High_School_Pupil_Grants_Requested,Number_of_Non_Severe_School_Pupil_Grants_Requested,Number_of_Severe_School_Pupil_Grants_Requested,Grade_Level_of_Project,State_Share_of_Funding,Site_Acquisition,Financial_Hardship,CSFA_Lease_Amount,CTEFP_Loan_Amount,Type_of_Joint_Use_Facility,Type_of_Joint_Use_Partner,Industry_Sector,Portables_Replaced,Last_SAB_Date,Status
Amador,Amador County Office Of Education,Amador County Community,New Construction,50/10033-00-001,,,1885002.00,,,126458.00,,,,25,20,,,MI,1905756.00,105704.00,2011460.00,,,,,,,7/25/2007,Closed
Amador,Amador County Office Of Education,Jackson Junior High,New Construction,50/10033-00-002,,,3628527.00,,,191261.00,,,,,,,18,MI,3819788.00,,3819788.00,,,,,,,4/24/2019,100% Completed
Amador,Amador County Office Of Education,Argonaut High,New Construction,50/10033-00-003,,,2263714.00,,,280386.00,,,,,,,18,HI,2544100.00,,2544100.00,,,,,,,10/24/2018,100% Completed
Amador,Amador County Office Of Education,Plymouth Elementary,New Construction,50/10033-00-004,,,1179788.00,,,184756.00,,,,,,26,,EL,1364544.00,,1364544.00,,,,,,,10/24/2018,100% Completed
Amador,Amador County Office Of Education,County Community School,New Construction,50/10033-00-005,,,,,,549547.00,,RCI,,,108,,,HI,59071.00,,59071.00,,,,,,,12/9/2019,Funds Released
Butte,Butte County Office Of Education,South County Educational Facility,New Construction,50/10041-98-001,,,1646890.00,,,,,,,,,,18,HI,3292040.00,,3292044.00,,,,,,,5/27/2015,Closed
Butte,Butte County Office Of Education,South County Educational Facility,New Construction,50/10041-99-001,,,3280632.00,432414.00,,416978.00,,,,27,81,,,HI,13274807.00,1172661.00,14447475.00,,,,,,,5/27/2015,Closed
Calaveras,Calaveras County Office Of Education,Mountain Ranch Community/independent Study,New Construction,50/10058-00-001,,,5650541.00,1010000.00,,1654639.00,,,,70,156,,,HI,40243824.00,7276032.00,47519880.00,,,,,,,4/20/2016,Closed
Calaveras,Calaveras County Office Of Education,Mountain Oaks,New Construction,50/10058-00-002,,,6659622.00,,,,,,143,27,108,,,EL,6659622.00,,6659622.00,,,,,,,12/15/2010,Closed
Colusa,Colusa County Office Of Education,Special Education,New Construction,50/10066-00-004,,,12541016.00,3527174.00,,863966.00,,,5,27,49,,63,HI,33512455.00,8847155.00,42273420.00,,,,,,,8/15/2018,Closed
Colusa,Colusa County Office Of Education,Pierce High,New Construction,50/10066-00-005,,,,,,165804.00,,RCI,,,,,18,HI,96992.00,,82050.00,,,,,,,11/25/2014,56% Completed
Contra Costa,Contra Costa County Office Of Education,Diablo Vista Elementary,New Construction,50/10074-98-001,,,1291424.00,,,,,,,,,,30,EL,1840161.00,,2034111.00,,,,,,,6/27/2001,Closed
Contra Costa,Contra Costa County Office Of Education,Krey Elementary,New Construction,50/10074-98-002,,,990794.00,,,215712.00,,,,,,,27,EL,2413012.00,,2413012.00,,,,,,,12/18/2002,Closed
Contra Costa,Contra Costa County Office Of Education,Heritage High,New Construction,50/10074-98-004,,,2318304.01,,,459421.00,,,,,,,36,HI,5982660.00,,5128240.04,,,,,,,11/3/2010,Closed
Contra Costa,Contra Costa County Office Of Education,Special Education Center,New Construction,50/10074-98-005,,,,,,353520.00,,RCI,,,,,36,HI,234832.36,,234832.38,,,,,,,9/26/2018,10% Completed
Contra Costa,Contra Costa County Office Of Education,Alternative Education Center East,New Construction,50/10074-99-001,,,2620524.00,372354.00,550000.00,,,,,,108,,,HI,8876028.00,1752606.00,10628634.00,,,,,,,12/15/2010,Closed
Contra Costa,Contra Costa County Office Of Education,Alternative Education Center Pal,New Construction,50/10074-99-003,,,,,,439269.00,,RCI,,,101,,,HI,2000.00,,2000.00,,,,,,,3/10/2010,Funds Released
Contra Costa,Contra Costa County Office Of Education,Alternative Education Center Pittsburg,New Construction,50/10074-99-004,,,,,,142805.00,,RCI,,,101,,,HI,142805.00,,142805.00,,,,,,,5/25/2011,10% Completed
Contra Costa,Contra Costa County Office Of Education,Community - East,New Construction,50/10074-99-005,,,2546412.00,,,474983.00,,,,,101,,,HI,15102920.00,,15102920.00,,,,,,,10/26/2022,Closed
Del Norte,Del Norte County Office Of Education,County Alternative Education Center,New Construction,50/10082-00-001,,,4795428.00,676600.00,,772049.00,,,,11,203,,,HI,127904760.00,15223500.00,137855205.00,,,,,,,10/27/2011,Closed
El Dorado,El Dorado County Office Of Education,Charter Comm. & Ext. Day,New Construction,50/10090-99-001,,,5523156.00,,,1054232.00,,,,19,127,,,HI,44638365.00,,44638365.00,,,,,,,10/26/2022,Closed
