County,Lender Name and ID,ZIP Code,Phone,Fax,Entity Type,Location
ADAIR COUNTY,ARVEST MORTGAGE COMPANY - 209-01,74965,(918) 696-8500,(918) 696-5559,Branch,"901 N HIGHWAY 59
WESTVILLE, OK 74965
(35.99372767500046, -94.5748160819997)"
ADAIR COUNTY,ARVEST MORTGAGE COMPANY - 209-02,74960,(918) 696-3300,(918) 696-5559,Branch,"514 W LOCUST
STILWELL, OK 74960
(35.80852524700049, -94.63296960499969)"
BRYAN COUNTY,FIRST UNITED BANK &  TRUST - 11-10,74730,(580) 434-5000,(580) 434-7400,,"601 N SERVICE ROAD
CALERA, OK 74730
(33.93735315800046, -96.42358135099965)"
BRYAN COUNTY,FIRST UNITED BANK & TRUST - 11-01,74701,(580) 924-2211,,Branch,"1400 W MAIN STREET
DURANT, OK 74701
(33.994647546000465, -96.39169374799968)"
BRYAN COUNTY,GUILD MORTGAGE COPANY - 231-01,74701,(580) 920-1272,(580) 920-1265,,"2927 W UNIVERSITY BOULEVARD
DURANT, OK 74701
(34.00489400100048, -96.40634264999966)"
CANADIAN COUNTY,ARVEST MORTGAGE COMPANY - 209-11,73099,(405) 419-3775,(405) 419-3760,Branch,"915 S CORNWELL
YUKON, OK 73099
(35.49869254100048, -97.74250425599968)"
CANADIAN COUNTY,BANCFIRST - 192-92,73078,(405) 270-1000,,,"410 PIEDMONT ROAD S
PIEDMONT, OK 73078
(35.635428866000495, -97.7452964799997)"
CANADIAN COUNTY,BANK OF COMMERCE - 23-03,73064,(405) 256-5110,(405) 256-6160,Lender,"620 E STATE HIGHWAY 152
MUSTANG, OK 73064
(35.391653277000444, -97.71321119299967)"
CANADIAN COUNTY,BANK OF COMMERCE - 28-01,73099,(405) 354-3030,(405) 354-2647,Branch,"2500 S CORNWELL
YUKON, OK 73099
(35.48045070900048, -97.74254986299968)"
CANADIAN COUNTY,BANK OF COMMERCE - 28-02,73099,(405) 324-9615,(405) 324-9285,Lender,"120 S MUSTANG ROAD
YUKON, OK 73099
(35.46476095000048, -97.72469713799967)"
CANADIAN COUNTY,"FIRST AMERICAN MORTGAGE, INC - 26-01",73099,(405) 354-0426,(405) 354-6732,Branch,"1501 S RANCHWOOD BOULEVARD
YUKON, OK 73099
(35.49871592600044, -97.7334486849997)"
CANADIAN COUNTY,FIRST MORTGAGE COMPANY - 24-17,73099,(405) 265-1935,(405) 265-1939,Lender,"12801 NW 10TH STREET, SUITE 100
YUKON, OK 73099
(35.47894784300047, -97.75319076299968)"
CANADIAN COUNTY,FIRST MORTGAGE COMPANY - 24-24,73078,(405) 283-0719,(405) 283-0730,Branch,"13100 COLONY POINT BOULEVARD, SUITE 201
PIEDMONT, OK 73078
(35.66001821700047, -97.7452492809997)"
CANADIAN COUNTY,MIDFIRST BANK - 223-18,73064,(405) 202-9401,(405) 767-5328,Lender,"835 E STATE HIGHWAY 152
MUSTANG, OK 73064
(35.39168784600048, -97.70816995999968)"
CANADIAN COUNTY,MIDFIRST BANK - 223-46,73099,(405) 767-7824,(405) 858-3628,Branch,"200 S MUSTANG ROAD
YUKON, OK 73099
(35.46321396100046, -97.72469464999966)"
CANADIAN COUNTY,WELLS FARGO - 178-20,73099,(405) 848-5027,(405) 249-1053,Branch,"873 S MUSTANG ROAD
YUKON, OK 73099
(35.45665503800046, -97.72473569399966)"
CANADIAN COUNTY,YUKON NATIONAL BANK - 27-01,73099,(405) 354-5281,(405) 354-0857,Branch,"401 ELM STREET
YUKON, OK 73099
(35.50682845400047, -97.74958988199967)"
CANADIAN COUNTY,YUKON NATIONAL BANK - 27-02,73099,(405) 354-1802,(405) 354-1875,Branch,"1550 GARTH BROOKS BOULEVARD
YUKON, OK 73099
(35.484029406000445, -97.76036371699968)"
CARTER COUNTY,BANCFIRST - 192-18,73401,(580) 223-5000,(580) 221-5263,Lender,"310 W MAIN
ARDMORE, OK 73401
(34.17359345500046, -97.13281721299967)"
CARTER COUNTY,BANCFIRST - 192-62,73401,(580) 223-5000,,Branch,"1915 N COMMERCE
ARDMORE, OK 73401
(34.19611019400048, -97.14319351099965)"
CARTER COUNTY,FIRST UNITED BANK & TRUST - 11-15,73401,(580) 223-9400,(580) 223-9441,,"2617 N COMMERCE STREET, SUITE C
ARDMORE, OK 73401
(34.20370142700045, -97.14318429299965)"
CARTER COUNTY,WELLS FARGO - 178-01,73401,(405) 840-2024,(866) 420-6709,Branch,"1407 W BROADWAY
ARDMORE, OK 73401
(34.17450238100048, -97.14723715799965)"
CARTER COUNTY,WELLS FARGO - 178-08,74344,(918) 787-6028,(918) 787-6029,Branch,"2114 S MAIN STREET
GROVE, OK 74344
(36.57501998700047, -94.76917975899966)"
CHEROKEE COUNTY,ARVEST MORTGAGE COMPANY - 209-44,74464,(918) 207-4869,(918) 207-4828,Branch,"1720 S MUSKOGEE AVENUE
TAHLEQUAH, OK 74464
(35.89401442300044, -94.97710456499965)"
CHEROKEE COUNTY,BANCFIRST - 192-15,74464,(918) 456-0541,(918) 458-3087,Branch,"1204 S ROSS
TAHLEQUAH, OK 74464
(35.92415979200047, -94.97188875499967)"
CHEROKEE COUNTY,BANCFIRST - 192-48,74464,(918) 456-0541,(918) 458-3087,Branch,"130 S MUSKOGEE
TAHLEQUAH, OK 74464
(35.91304007500048, -94.9711277029997)"
CHEROKEE COUNTY,BANCFIRST - 192-98,74464,(918) 456-0541,,,"2020 S MUSKOGEE
TAHLEQUAH, OK 74464
(35.88840772900045, -94.97699472899967)"
CHOCTAW COUNTY,BANCFIRST - 192-03,74743,(580) 326-6401,(580) 326-9542,Branch,"101 E JACKSON STREET
HUGO, OK 74743
(34.01087778600049, -95.51272966499965)"
CHOCTAW COUNTY,FIRST UNITED BANK & TRUST - 11-07,74743,(580) 326-7546,(580) 326-6339,Branch,"801 E JACKSON STREET
HUGO, OK 74743
(34.01062854300045, -95.50377073099969)"
CLEVELAND COUNTY,ARVEST MORTGAGE COMPANY - 209-06,73069,(405) 292-3411,(405) 292-3448,Branch,"1355 W LINDSEY STREET
NORMAN, OK 73069
(35.20395809200045, -97.46331007399965)"
CLEVELAND COUNTY,ARVEST MORTGAGE COMPANY - 209-15,73069,(405) 366-3984,(405) 366-3072,Branch,"200 E MAIN STREET
NORMAN, OK 73069
(35.221584547000475, -97.44173014099965)"
CLEVELAND COUNTY,ARVEST MORTGAGE COMPANY - 209-35,73160,(405) 419-3710,(405) 419-3728,Branch,"2101 SANTA FE
MOORE, OK 73160
(35.33770136400045, -97.4822678219997)"
CLEVELAND COUNTY,ARVEST MORTGAGE COMPANY - 209-38,73072,(405) 366-3053,(405) 366-3068,Branch,"3615 W MAIN STREET
NORMAN, OK 73072
(35.21843046000049, -97.4954823489997)"
CLEVELAND COUNTY,BANCFIRST - 192-30,73069,(405) 360-6061,(405) 329-1464,Branch,"1201 W MAIN STREET
NORMAN, OK 73069
(35.21847031600049, -97.45910618399967)"
CLEVELAND COUNTY,BANCFIRST - 192-79,73160,(405) 794-5511,,Branch,"600 NW 5TH
MOORE, OK 73160
(35.34331589600049, -97.49460028299967)"
CLEVELAND COUNTY,BANCFIRST - 192-80,73160,(405) 794-5511,,,"701 SW 19TH STREET
MOORE, OK 73160
(35.31985805500045, -97.49937073399968)"
CLEVELAND COUNTY,BANCFIRST - 192-83,73069,(405) 360-6061,,Branch,"333 E 12TH AVENUE
NORMAN, OK 73069
(35.26913111300047, -97.45905145599966)"
CLEVELAND COUNTY,BANCFIRST - 192-84,73069,(405) 360-6061,,Branch,"1117 24th AVE NW
NORMAN, OK 73069
(35.232730569000466, -97.48036730199965)"
CLEVELAND COUNTY,CITYWIDE MORTGAGE - 4-01,73160,(405) 794-4412,(405) 794-4263,Branch,"9400 S I-35 FRONTAGE ROAD
MOORE, OK 73160
(35.37348094700047, -97.49453649899965)"
CLEVELAND COUNTY,FIRST MORTGAGE COMPANY - 24-10,73069,(405) 310-5334,(405) 310-5327,Branch,"1004 24TH AVENUE NW, SUITE 102
NORMAN, OK 73069
(35.23044998600045, -97.4804234509997)"
CLEVELAND COUNTY,FIRST UNITED BANK & TRUST - 11-02,73160,(405) 912-9599,(855) 231-8564,,"2900 S TELEPHONE ROAD, SUITE 150
MOORE, OK 73160
(35.31070033600048, -97.49439019699969)"
