OBJECTID,DISTRICT,ParkID,Name,Address,County,ParkType,Zip,Owner,PublicPrivate,Acreage,PerviousSurf,WEBSITE,PHOTO,HOURS,ACCESSIBLERESTROOMS,ALCOHOLALLOWED,CLASSIFICATION,OperatedBy,PlanningType,GlobalID,AssetID,created_user,created_date,last_edited_user,last_edited_date,ShortLabel,ShapeSTArea,ShapeSTLength
1,4,P421,PRAIRIE WIND SITE,5900 E MAPLE ST,Minnehaha,SITE,57108,CITY OF SIOUX FALLS,Public,4.84216589,,,,5am-10pm,,,Neighborhood,Parks Field User Great Bear,,{FD714B37-0835-431F-9AE7-6DAEE20ED4FC},{FD714B37-0835-431F-9AE7-6DAEE20ED4FC},,,C6776,2022/12/05 17:25:05+00,PRAIRIE WIND,210923.9023134,1891.16907602523
2,4,P412,LIEN PARK,2000 N CLIFF AVE,Minnehaha,PARK,57104,CITY OF SIOUX FALLS,Public,6.78256977,,https://siouxfalls.org/parks/parks/locations,,5am-10pm,,,Greenway,Parks Field User Great Bear,,{68C7E05F-68C5-40C6-BB54-76D1166C5268},{68C7E05F-68C5-40C6-BB54-76D1166C5268},,,C6776,2022/12/05 17:22:52+00,LIEN,295447.557601081,2428.48329883724
3,2,P203,ELMWOOD PARK,1401 N KIWANIS AVE,Minnehaha,PARK,57104,CITY OF SIOUX FALLS,Public,35.98707205,,https://siouxfalls.org/parks/parks/locations/elmwood,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/elmwoodmainview.jpg,5a.m.-10p.m.,,Yes,Community,Parks Field User Elmwood,,{89CD9E08-5514-4974-A28F-12734839C710},{89CD9E08-5514-4974-A28F-12734839C710},,,C6776,2022/12/05 17:20:49+00,ELMWOOD,1567590.58826227,5627.2635909909
4,4,P411,LEADERS PARK,500 N LEADALE AVE,Minnehaha,NATURE AREA,57103,CITY OF SIOUX FALLS,Public,32.2304329,,https://siouxfalls.org/parks/parks/locations/leaders,,5am-10pm,,,Nature Preserve,Parks Field User Nelson,,{1AEEE80A-DBE1-4956-8CA6-8D40342BBE00},{1AEEE80A-DBE1-4956-8CA6-8D40342BBE00},,,C6776,2022/12/05 17:22:44+00,LEADERS,1403952.04112034,6710.08063526716
5,4,P422,RONNING PARK,920 N OMAHA AVE,Minnehaha,PARK,57103,CITY OF SIOUX FALLS,Public,0.40522531,,https://siouxfalls.org/parks/parks/locations/ronning,,5am-10pm,,,Urban Plaza,Parks Field User Nelson,,{C1A5EB9C-6552-45FB-9E78-600F4D48DC15},{C1A5EB9C-6552-45FB-9E78-600F4D48DC15},,,C6776,2022/12/05 17:25:18+00,RONNING,17651.5439683883,542.364953355584
6,4,P425,WHITTIER PARK,1009 E 3RD ST,Minnehaha,PARK,57103,CITY OF SIOUX FALLS,Public,1.58819978,,https://siouxfalls.org/parks/parks/locations/whittier,,5am-10pm,,,Neighborhood,Parks Field User Nelson,,{88613945-EFE4-4EE6-A83D-81A8711FCCB6},{88613945-EFE4-4EE6-A83D-81A8711FCCB6},,,C6776,2022/12/05 17:26:20+00,WHITTIER,69181.7058934208,1323.71338244381
7,4,P416,MELDRUM PARK,1720 E 6TH ST,Minnehaha,PARK,57103,CITY OF SIOUX FALLS,Public,3.69144103,,https://siouxfalls.org/parks/parks/locations/meldrum,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/meldrummainview.jpg,5am-10pm,,,Neighborhood,Parks Field User Nelson,,{9647F045-AEA0-435A-9E74-C6EB9FF1775E},{9647F045-AEA0-435A-9E74-C6EB9FF1775E},,,C6776,2022/12/05 17:23:38+00,MELDRUM,160798.528034469,1666.55277416031
8,4,P407,HERITAGE PARK,330 N WEBER AVE,Minnehaha,PARK,57103,CITY OF SIOUX FALLS,Public,2.49503045,,https://siouxfalls.org/parks/parks/locations/heritage,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/heritagemainview.jpg,5a.m.-10p.m.,,,Neighborhood,Parks Field User Nelson,,{D321339C-FA06-4EF6-AAD6-7C48D6AEFB5F},{D321339C-FA06-4EF6-AAD6-7C48D6AEFB5F},,,C6776,2022/12/05 17:21:46+00,HERITAGE,108683.091800982,1390.20877964509
9,4,P400,BEADLE GREENWAY PARK,513 S CLIFF AVE,Minnehaha,PARK,57104,CITY OF SIOUX FALLS,Public,42.59452681,,https://siouxfalls.org/parks/parks/locations/beadle-greenway,https://gis.siouxfalls.org/data/ActivitiesPhotos/additionalviews/beadleview.jpg,5am-10pm,Yes,Yes,Greenway,Parks Field User Nelson,,{E63F7751-3697-4AEC-AE02-269DD397D34B},{E63F7751-3697-4AEC-AE02-269DD397D34B},,,C6776,2022/12/05 17:19:52+00,BEADLE,1855410.16603495,8344.86110770667
10,2,P204,EMERSON PARK,515 S LAKE AVE,Minnehaha,PARK,57104,CITY OF SIOUX FALLS,Public,3.69405667,,https://siouxfalls.org/parks/parks/locations/emerson,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/emersonmainview.jpg,5a.m.-10p.m.,,Yes,Neighborhood,Parks Field User Terrace,,{C7582D6E-F44F-44E9-BCD9-1F24962D029B},{C7582D6E-F44F-44E9-BCD9-1F24962D029B},,,C6776,2022/12/05 17:20:59+00,EMERSON,160912.464895357,1735.65203003118
