OBJECTID,ISO_VAL
1,40
2,50
3,30
4,25
5,20
6,25
7,30
8,40
9,40
10,60
11,50
12,40
13,70
14,40
15,40
16,50
17,60
18,40
19,50
20,60
21,40
22,60
23,50
24,25
25,70
26,80
27,60
28,30
29,30
30,40
31,20
32,40
33,50
34,40
35,50
36,60
37,60
38,50
39,60
40,60
41,50
42,25
43,60
44,25
45,30
46,60
47,60
48,60
49,60
50,60
51,40
52,25
53,40
54,50
55,70
56,60
57,70
58,80
59,70
60,80
61,30
62,40
63,60
64,40
65,50
66,70
67,60
68,80
69,80
70,80
71,80
72,70
73,60
74,70
75,70
76,80
77,15
78,60
79,50
80,70
81,70
82,50
83,70
84,60
85,60
86,70
87,70
88,10
89,70
90,70
91,70
92,70
93,60
94,60
95,70
96,25
97,60
98,60
99,25
100,30
101,40
102,50
103,50
104,25
105,50
106,30
107,20
108,40
109,50
110,50
111,40
112,40
113,40
114,30
115,40
116,50
117,25
118,30
119,40
120,30
121,40
122,15
123,40
124,10
125,30
126,40
127,40
128,50
129,40
130,5
131,40
132,40
133,40
134,50
135,10
136,40
137,40
138,50
139,30
140,40
141,40
142,50
143,50
144,40
145,10
146,30
147,40
148,40
149,40
150,20
151,30
152,20
153,40
154,40
155,20
156,30
157,20
158,25
159,20
160,25
161,40
162,25
163,50
164,40
165,25
166,30
167,20
168,30
169,20
170,40
171,50
172,25
173,30
174,50
175,40
176,50
177,50
178,50
179,40
180,20
181,50
182,50
183,70
184,60
185,60
186,20
187,60
188,60
189,60
190,25
191,25
192,30
193,25
194,25
195,30
196,40
197,40
198,30
199,20
200,40
201,25
202,30
203,30
204,30
205,40
206,30
207,5
208,30
209,30
210,40
211,40
212,50
213,40
214,50
215,30
216,50
217,40
218,50
219,30
220,40
221,5
222,40
223,20
224,50
225,30
226,15
227,5
228,20
229,25
230,40
231,20
232,30
233,50
234,40
235,20
236,20
237,30
238,30
239,40
240,20
241,40
242,15
243,25
244,20
245,30
246,25
247,30
248,30
249,20
250,25
251,30
252,20
253,20
254,30
255,25
256,20
257,30
258,40
259,40
260,25
261,20
262,25
263,30
264,25
265,20
266,20
267,20
268,25
269,20
270,30
271,30
272,10
273,20
274,20
275,20
276,25
277,15
278,25
279,30
280,30
281,40
282,15
283,20
284,20
285,5
286,25
287,25
288,15
289,10
290,20
291,20
292,25
293,25
294,30
295,10
296,50
297,15
298,15
299,25
300,20
301,20
302,25
303,25
304,30
305,40
306,15
307,20
308,10
309,15
310,15
311,20
312,20
313,20
