NDC1,NDC2,NDC3,NDC-11,FDA Name(Product Name),COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Unit Type,UPPS,Line Extension,TEC Code,FDA Approval Date,Market Date,Date Transferred From DDR to MDR,Termination Date
00006,5331,01,00006533101,WELIREG 40MG TABLET,03,0215383,S,1,TAB,1.000,N/A,NR,08/13/2021,08/30/2021,09/20/2021,
00093,3420,01,00093342001,CYCLOBENZAPRINE HCL 5MG TABLETS 100,01,0071611,N,1,TAB,1.000,N/A,AB,09/30/1990,02/03/2006,09/21/2021,
00093,3421,01,00093342101,CYCLOBENZAPRINE HCL 7.5MG TABLETS 100,01,0071611,N,1,TAB,1.000,N/A,AB,09/30/1990,08/18/2016,09/21/2021,
00093,3422,01,00093342201,CYCLOBENZAPRINE HCL 10MG TABLETS 100,01,0071611,N,1,TAB,1.000,N/A,AB,09/30/1990,09/30/1990,09/21/2021,
00093,3422,05,00093342205,CYCLOBENZAPRINE HCL 10MG TABLETS 500,01,0071611,N,1,TAB,1.000,N/A,AB,09/30/1990,09/30/1990,09/21/2021,
00113,7032,40,00113703240,MINOXIDIL 5% 180 DAY LIQ 12OZ,01,0075598,N,2,ML ,60.000,N/A,NR,06/13/2001,08/26/2021,09/20/2021,
00115,1010,03,00115101003,Baclofen 10MG,01,0077971,N,1,TAB,1000.000,N/A,AB,10/26/2007,05/13/2021,09/24/2021,
00143,9361,01,00143936101,MICAFUNGIN LYO for INJ 50mg x 1,01,0213261,N,1,EA ,1.000,N/A,AP,07/09/2021,07/09/2021,09/23/2021,
00143,9362,01,00143936201,MICAFUNGIN LYO for INJ 100mg x 1,01,0213261,N,1,EA ,1.000,N/A,AP,07/09/2021,07/09/2021,09/23/2021,
00378,0399,18,00378039918,Dimethyl Fumarate DR 240mg C  60s GOV,01,0210531,N,1,CAP,1.000,N/A,AB,08/17/2020,08/18/2020,09/22/2021,
16571,0695,16,16571069516,AZITHROMYCIN TAB 250MG 6 CT,01,0207370,N,1,TAB,6.000,N/A,AB,07/05/2018,05/01/2020,09/23/2021,03/31/2022
16714,0045,01,16714004501,VENLAFAX ER CP 150MG 90 NSTR,01,0090174,N,1,CAP,1.000,N/A,AB,04/14/2011,06/01/2011,09/20/2021,
27241,0183,30,27241018330,Lamotrigine Orally Disintegrating Tabs 25mg 30CT,01,0213271,N,1,TAB,30.000,N/A,AB,01/19/2021,08/01/2021,09/23/2021,
