NDC1,NDC2,NDC3,Labeler Name,Labeler Status,FDA Name,COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Line Extension,FDA Approval Date,Market Date,Unit Type,Units Per Package Size,Therapeutic Equivalent Code,5i Indicator,Purchased Product Date,Coverage Effective Date,Drug Termination Date,Drug Reactivation Date,Date Reported to CMS
00002,6902,30,ELI LILLY AND COMPANY,Active,JAYPIRCA,3,216059,S,1,N,01/27/2023,02/07/2023,TAB,1,NR,N,,02/07/2023,,,02/24/2023
00002,7026,60,ELI LILLY AND COMPANY,Active,JAYPIRCA,3,216059,S,1,N,01/27/2023,02/07/2023,TAB,1,NR,N,,02/07/2023,,,02/24/2023
00078,0953,26,NOVARTIS PHARMACEUTICALS CORPORATION,Active,TOBRADEX SUSP 0.1% 0.3% 10ML,3,50592,I,1,N,09/30/1990,09/30/1990,ML,10,AB,Y,11/09/2022,11/09/2022,,,02/23/2023
00121,1598,10,PAI,Active,Levetiracetam Oral Solution USP,1,201157,N,1,N,06/04/2015,10/03/2015,ML,10,AA,N,01/23/2023,01/23/2023,,,02/22/2023
00121,1598,20,PAI,Active,Levetiracetam Oral Solution USP,1,201157,N,1,N,06/04/2015,10/03/2015,ML,200,AA,N,01/23/2023,01/23/2023,,,02/22/2023
00409,2815,01,"HOSPIRA, INC.",Active,PRECEDEX 1000MCG/250ML SSOL 1X1 GBTL NOVA+,3,21038,I,1,N,12/17/1999,04/08/2013,ML,250,AP,Y,02/21/2023,02/21/2023,,,02/23/2023
00517,1171,01,"AMERICAN REGENT, INC.",Active,"PINEPHRINE S/F 1MG/ML, 1ML AMPULE, PKG. OF 1",1,207568,N,1,N,07/06/2018,01/25/2023,ML,1,AP,Y,,01/25/2023,,,02/23/2023
00517,1171,10,"AMERICAN REGENT, INC.",Active,"EPINEPHRINE S/F 1MG/ML, 1ML AMPULE, PKG. OF 10",1,207568,N,1,N,07/06/2018,01/25/2023,ML,10,AP,Y,,01/25/2023,,,02/23/2023
00574,0521,25,PADAGIS US LLC,Active,Actidose-Aqua Tube 72mL,9,PART357,N,2,N,09/30/1990,09/30/1990,ML,72,NR,N,11/10/2020,11/10/2020,,,02/23/2023
00574,7045,01,PADAGIS US LLC,Active,BELLADONNA AND OPIUM SUPPOSITORIES 30mg 1's  Inner,12,,N,1,N,04/22/1997,04/22/1997,SUP,1,NR,Y,,04/22/1997,,,02/23/2023
10019,0079,01,BAXTER HEALTHCARE CORPORATION,Active,Bendamustine ,3,216078,I,1,N,12/15/2022,02/15/2023,ML,4,NR,Y,,02/15/2023,,,02/20/2023
16714,0095,05,NORTHSTAR RX LLC,Active,LEVALBU I/S 0.63MG/3ML 25 NSTR,1,207820,N,1,N,11/05/2018,11/25/2020,ML,3,AN,Y,11/25/2020,11/25/2020,07/31/2023,,02/21/2023
16714,0096,05,NORTHSTAR RX LLC,Active,LEVALBU I/S 1.25MG/3ML 25 NSTR,1,207820,N,1,N,11/05/2018,11/25/2020,ML,3,AN,Y,11/25/2020,11/25/2020,07/31/2023,,02/21/2023
16714,0557,01,NORTHSTAR RX LLC,Active,METRONIDAZOLE GEL 0.75%70,1,215794,N,1,N,01/27/2022,02/18/2022,GM,70,AB,N,01/13/2023,01/13/2023,,,02/21/2023
16714,0559,02,NORTHSTAR RX LLC,Active,PRAVASTA SODTB 20MG 500NSTR,1,77987,N,1,N,05/11/2007,06/25/2007,TAB,1,AB,N,12/14/2022,12/14/2022,,,02/21/2023
16714,0570,01,NORTHSTAR RX LLC,Active,PRAVASTA SODTB 80MG 90NSTR,1,77987,N,1,N,05/11/2007,12/01/2007,TAB,1,NR,N,12/14/2022,12/14/2022,,,02/21/2023
16714,0628,01,NORTHSTAR RX LLC,Active,CIPRO DEX OS .3-.1% 7.5MLNSTR,1,205548,N,1,N,08/10/2020,08/10/2020,ML,7.5,AB,N,01/06/2023,01/06/2023,,,02/21/2023
43598,0046,63,"DR. REDDY'S LABORATORIES, INC.",Active,SUNITINIBMALATE CAPS 25MG 28'SBOTUS,1,215843,N,1,N,04/11/2022,02/16/2023,CAP,1,AB,N,02/16/2023,02/16/2023,,,02/21/2023
45802,0078,30,PADAGIS ISRAEL PHARMACEUTICALS LTD.,Active,Brimonidine Topical Gel 0.33% 30g Pump,1,209158,N,1,N,09/23/2021,01/01/2023,GM,30,AB,N,,01/01/2023,,,02/23/2023
51754,6013,03,EXELA PHARMA SCIENCES,Active,GLYRX (glycopyrrolate) 0.6mg/3mL Prefilled Syringe ,3,210997,S,1,N,07/11/2018,11/30/2022,ML,3,NR,Y,,11/30/2022,,,02/24/2023
51991,0750,90,"BRECKENRIDGE PHARMACEUTICAL, INC.",Active,Duloxetine DR Caps 40mg,1,203088,N,1,N,06/11/2014,06/12/2018,CAP,90,AB,N,,06/12/2018,,,02/23/2023
