X,Y,OBJECTID,Tab_Name,Name,Short_Desc,Latitude,Longitude,Address,Hours,Desc1,Desc2,Desc3,Desc4,Desc5,Website,Pic_URL,Artist,Year,Year_Sort_FirstYr,Neighborhood,Developer,Cycle_Type,Special_Sort
-111.956623,33.4426310000001,1,Valley Metro ,Transit Center ,<font size='2'><b>Artist:</b> Laurie Lundquist<br><font size='2'><b>Year:</b> 2008,33.442631,-111.956623,"Priest Dr & Washington St, Tempe, AZ 85281",Red Granite & Steel,<font size='2'><b>Artist:</b> Laurie Lundquist<br><font size='2'><b>Year:</b> 2008,,"At the Priest and Washington Station, Tempe artist, Laurie Lundquist, creates work which is rooted in the historical and natural context of the area. Responding to the nearby headquarters of Salt River Project, the utility responsible for regional canals, Lundquist has created a metaphorical canal as the entry corridor to this station. The red granite canal walls are polished smooth as if by water and etched with text; they reference the canals that cross the park and the effect they have had on this corridor for thousands of years. Metal wavelets overhead catch the light and pennies suspended from the structure and embedded in the sidewalls refer to the idea of water as currency. Scattered along the station, granite pavers comment on points of interest visible from the station.","Laurie Lundquist received a certificate in Landscape Management from Penn State, a BFA from the Maine College of Art and an MFA in Sculpture from ASU. Lundquist is an environmental artist with deep interests in both the natural and engineered systems at work in the urban landscape. The desire to strengthen a ""connection to place"" drives her work on many levels. Lundquist will draw on land use history, cultural artifacts, geography and ecology to arrive at concepts that will resonate with a given site. She is a Tempe resident who has exhibited nationally and internationally and received numerous awards for her work. Since the 1990s, Lundquist has collaborated with architects, engineers and planners to integrate art into the overall design of numerous public projects..",,https://www.tempe.gov/publicart,https://gis.tempe.gov/publicart/Lundquist_TransitCenter.jpg,Laurie Lundquist,2008,2008,,,,1
-111.956623,33.4426310000001,2,All Art,Transit Center ,<font size='2'><b>Artist:</b> Laurie Lundquist<br><font size='2'><b>Year:</b> 2015-16 (Displayed December 2008),33.442631,-111.956623,"Priest Dr & Washington St, Tempe, AZ 85281",Red Granite & Steel,<font size='2'><b>Artist:</b> Laurie Lundquist<br><font size='2'><b>Year:</b> 2008,,"At the Priest and Washington Station, Tempe artist, Laurie Lundquist, creates work which is rooted in the historical and natural context of the area. Responding to the nearby headquarters of Salt River Project, the utility responsible for regional canals, Lundquist has created a metaphorical canal as the entry corridor to this station. The red granite canal walls are polished smooth as if by water and etched with text; they reference the canals that cross the park and the effect they have had on this corridor for thousands of years. Metal wavelets overhead catch the light and pennies suspended from the structure and embedded in the sidewalls refer to the idea of water as currency. Scattered along the station, granite pavers comment on points of interest visible from the station.","Laurie Lundquist received a certificate in Landscape Management from Penn State, a BFA from the Maine College of Art and an MFA in Sculpture from ASU. Lundquist is an environmental artist with deep interests in both the natural and engineered systems at work in the urban landscape. The desire to strengthen a ""connection to place"" drives her work on many levels. Lundquist will draw on land use history, cultural artifacts, geography and ecology to arrive at concepts that will resonate with a given site. She is a Tempe resident who has exhibited nationally and internationally and received numerous awards for her work. Since the 1990s, Lundquist has collaborated with architects, engineers and planners to integrate art into the overall design of numerous public projects..",,https://www.tempe.gov/publicart,https://gis.tempe.gov/publicart/Lundquist_TransitCenter.jpg,Laurie Lundquist,2008,2008,,,,1
-111.94357,33.433225,3,All Art,Tempe Town Lake Bridge,<font size='2'><b>Artist:</b> Buster Simpson<br><font size='2'><b>Year:</b> 2015-16 (Displayed 2007),33.433225,-111.94357,"Tempe Town Lake, Tempe, AZ","Steel, concrete, LED lighting, porcelain enamel",<font size='2'><b>Artist:</b> Buster Simpson<br><font size='2'><b>Year:</b> 2008,,"Transparent by day, the steel mesh encasing the bridge trusses shines at night with thousands of LEDs. These lights have been programmed by the artist to display constantly changing colors and patterns that react to each passing train. Mock-up trusses from early in the engineering process were recycled by the artist and turned into the sculpture, Trialog, situated on the south beach directly under the bridge. On the east side of the bridge, Simpson designed abutment walls with a mix of historical, scientific and natural references. North of the lake, the concrete wall is a fractural reproduction of dried and cracked Salt River mud. On the south side, the mud motif is continued in porcelain enamel panels that include reproductions of historic bridge photos and flood plain documents. ","Seattle artist Buster Simpson collaborated with the
bridge design team to create a sleek new light rail
bridge that sits harmoniously alongside a neighboring
historic railroad bridge",,https://www.tempe.gov/publicart,https://gis.tempe.gov/publicart/Simpson_TempeTownLakeBridge.jpg,Buster Simpson,2007,2007,,,,2
-111.94357,33.433225,4,Valley Metro ,Tempe Town Lake Bridge,<font size='2'><b>Artist:</b> Buster Simpson<br><font size='2'><b>Year:</b> 2008,33.433225,-111.94357,"Tempe Town Lake, Tempe, AZ","Steel, concrete, LED lighting, porcelain enamel",<font size='2'><b>Artist:</b> Buster Simpson<br><font size='2'><b>Year:</b> 2008,,"Transparent by day, the steel mesh encasing the bridge trusses shines at night with thousands of LEDs. These lights have been programmed by the artist to display constantly changing colors and patterns that react to each passing train. Mock-up trusses from early in the engineering process were recycled by the artist and turned into the sculpture, Trialog, situated on the south beach directly under the bridge. On the east side of the bridge, Simpson designed abutment walls with a mix of historical, scientific and natural references. North of the lake, the concrete wall is a fractural reproduction of dried and cracked Salt River mud. On the south side, the mud motif is continued in porcelain enamel panels that include reproductions of historic bridge photos and flood plain documents.","Seattle artist Buster Simpson collaborated with the
bridge design team to create a sleek new light rail
bridge that sits harmoniously alongside a neighboring
historic railroad bridge",,https://www.tempe.gov/publicart,https://gis.tempe.gov/publicart/Simpson_TempeTownLakeBridge.jpg,Buster Simpson,2007,2007,,,,2
-111.939946,33.4276180000001,5,Valley Metro ,Shadow Play,<font size='2'><b>Artist:</b> Catherine Widgery<br><font size='2'><b>Year:</b> 2008,33.427618,-111.939946,"S Mill Ave & W 3rd St Tempe, AZ 85281","Glass, Canvas, Steel",<font size='2'><b>Artist:</b> Catherine Widgery<br><font size='2'><b>Year:</b> 2008,,"Screened into the overhead canopies, white-on-white, the subtle outlines of leaves and tree branches can barely be discerned, the contrasts shifting in relation to the movement of the sun. Spanning the central area of each of the station's platforms are the equally ethereal etched glass shapes of a mesquite tree. The images have been reduced into bitmap forms so that they appear flat like leaves blown off in a wind. At night, the glass shimmers with a subtly shifting palette, contributing to the ephemeral qualities of the piece.","Massachusetts artist Catherine Widgery's artwork Shadow Play recalls the lost desert trees and windsin digitally translated images on glass and canvas. Catherine Widgery's practice of creating site-specific art works for the public realm spans over 30 years. She has built her career around making public art because she is inspired by the richness of new places and meeting the people who will live with the artwork. Her works support multiple levels of meaning and experience. Anyone, child or art curator, will find something compelling to engage their senses, body and mind.",,https://www.tempe.gov/publicart,https://gis.tempe.gov/publicart/Widgery_Shadow_Play.jpg,Catherine Widgery ,2008,2008,,,,3
-111.939946,33.4276180000001,6,All Art,Shadow Play,<font size='2'><b>Artist:</b> Catherine Widgery<br><font size='2'><b>Year:</b> 2015-16 (Displayed 2008),33.427618,-111.939946,"S Mill Ave & W 3rd St Tempe, AZ 85281","Glass, Canvas, Steel",<font size='2'><b>Artist:</b> Catherine Widgery<br><font size='2'><b>Year:</b> 2008,,"Screened into the overhead canopies, white-on-white, the subtle outlines of leaves and tree branches can barely be discerned, the contrasts shifting in relation to the movement of the sun. Spanning the central area of each of the station's platforms are the equally ethereal etched glass shapes of a mesquite tree. The images have been reduced into bitmap forms so that they appear flat like leaves blown off in a wind. At night, the glass shimmers with a subtly shifting palette, contributing to the ephemeral qualities of the piece.","Massachusetts artist Catherine Widgery's artwork Shadow Play recalls the lost desert trees and windsin digitally translated images on glass and canvas. Catherine Widgery's practice of creating site-specific art works for the public realm spans over 30 years. She has built her career around making public art because she is inspired by the richness of new places and meeting the people who will live with the artwork. Her works support multiple levels of meaning and experience. Anyone, child or art curator, will find something compelling to engage their senses, body and mind.",,https://www.tempe.gov/publicart,https://gis.tempe.gov/publicart/Widgery_Shadow_Play.jpg,Catherine Widgery ,2008,2008,,,,3
-111.935028,33.425667,7,Valley Metro ,Light Rail Station,<font size='2'><b>Artist:</b> Tad Savinar <br><font size='2'><b>Year:</b> 2008,33.425667,-111.935028,"Veterans Way & College Ave Tempe,  AZ 85281","Steel Frame, concrete floors, glass and masonry curtain walls",<font size='2'><b>Artist:</b> Tad Savinar <br><font size='2'><b>Year:</b> 2008,,"Scattered across the station are eighteen bronze sculptures atop nine stone-clad pedestals depicting local as well as regional iconic landmarks: Roosevelt Dam juxtaposed against the ancient Valley canal systems, Tempe City Hall, Tovrea Castle, and the Centerpoint rabbits, to name a few. Each pedestal contains one or more Braille quotations from visually impaired residents relating their experiences at these landmarks - the smell of the books at Burton Barr, the sound of a bird in flight at the Grand Canyon, or what it feels like to stand on the stage of Grady Gammage and sing to a full house.","Tad Savinar, a Portland artist who also served as the lead artist for the METRO art program, believes that one of the defining features of a region is the ongoing relationship between inhabitants, the land and the things they've put on the land-the landmarks by which we navigate.",,https://www.tempe.gov/publicart,https://gis.tempe.gov/publicart/Savinar_LightRailStation.jpg,Tad Savinar,2008,2008,,,,4
-111.935028,33.425667,8,All Art,Light Rail Station,<font size='2'><b>Artist:</b> Tad Savinar <br><font size='2'><b>Year:</b> 2015-16 (Displayed 2008),33.425667,-111.935028,"Veterans Way & College Ave Tempe,  AZ 85281","Steel Frame, concrete floors, glass and masonry curtain walls",<font size='2'><b>Artist:</b> Tad Savinar <br><font size='2'><b>Year:</b> 2008,,"Scattered across the station are eighteen bronze sculptures atop nine stone-clad pedestals depicting local as well as regional iconic landmarks: Roosevelt Dam juxtaposed against the ancient Valley canal systems, Tempe City Hall, Tovrea Castle, and the Centerpoint rabbits, to name a few. Each pedestal contains one or more Braille quotations from visually impaired residents relating their experiences at these landmarks - the smell of the books at Burton Barr, the sound of a bird in flight at the Grand Canyon, or what it feels like to stand on the stage of Grady Gammage and sing to a full house.","Tad Savinar, a Portland artist who also served as the lead artist for the METRO art program, believes that one of the defining features of a region is the ongoing relationship between inhabitants, the land and the things they've put on the land-the landmarks by which we navigate.",,https://www.tempe.gov/publicart,https://gis.tempe.gov/publicart/Savinar_LightRailStation.jpg,Tad Savinar,2008,2008,,,,4
-111.926709,33.4206550000001,9,All Art,Cabinet of Curiosities ,<font size='2'><b>Artist:</b> Bill Will & Norie Sato <br><font size='2'><b>Year:</b> 2015-16 (Displayed 2008),33.420655,-111.926709,"Univeristy & Rural Road  Tempe, Arizona 85281","The sculptural form is composed of approximately 50 layers of a variety of materials that create a sphere.
",<font size='2'><b>Artist:</b> Bill Will & Norie Sato <br><font size='2'><b>Year:</b> 2008,,"The sculptural form is composed of approximately 50 layers of a variety of materials that create a sphere. Many of the layers ""slip"" slightly to reveal etched texts of great thinkers. The Cabinet of Curiosities is a collection of objects that acknowledge the many types of collections within the university and the community. The contents address a variety of subjects and quirky collections. The shelves, located above the seats, are a variation of the cabinets as a method of display, with objects exhibited upon them.","The Spirit of Inquiry by northwest design team artists
Bill Will and Norie Sato celebrates diverse ways of
seeing and knowing. The artwork is composed of six
elements: a monumental spherical sculpture, three
""cabinets of curiosities"" and two shelves of objects
incorporated into the green screen. It is, in its entirety,
referential to art, science, education and history,
Hohokam through present day.",,https://www.tempe.gov/publicart,https://gis.tempe.gov/publicart/Will_Sato_Cabinet_of_Curiosities.jpg,Bill Will & Norie Sato ,2008,2008,,,,5
-111.926709,33.4206550000001,10,Valley Metro ,Cabinet of Curiosities ,<font size='2'><b>Artist:</b> Bill Will & Norie Sato <br><font size='2'><b>Year:</b> 2008,33.420655,-111.926709,"Univeristy & Rural Road  Tempe, Arizona 85281","The sculptural form is composed of approximately 50 layers of a variety of materials that create a sphere.
",<font size='2'><b>Artist:</b> Bill Will & Norie Sato <br><font size='2'><b>Year:</b> 2008,,"The sculptural form is composed of approximately 50 layers of a variety of materials that create a sphere. Many of the layers ""slip"" slightly to reveal etched texts of great thinkers. The Cabinet of Curiosities is a collection of objects that acknowledge the many types of collections within the university and the community. The contents address a variety of subjects and quirky collections. The shelves, located above the seats, are a variation of the cabinets as a method of display, with objects exhibited upon them.","The Spirit of Inquiry by northwest design team artists
Bill Will and Norie Sato celebrates diverse ways of
seeing and knowing. The artwork is composed of six
elements: a monumental spherical sculpture, three
""cabinets of curiosities"" and two shelves of objects
incorporated into the green screen. It is, in its entirety,
referential to art, science, education and history,
Hohokam through present day.",,https://www.tempe.gov/publicart,https://gis.tempe.gov/publicart/Will_Sato_Cabinet_of_Curiosities.jpg,Bill Will & Norie Sato ,2008,2008,,,,5
