OBJECTID_12,OBJECTID,TOTAL_POPU,NAME_1,Total_population,Total_White_alone,Percent_White_alone,Total_Black_or_African_American,Percent_Black_or_African_,Total_American_Indian_and_Alask,Percent_American_Indian_a,Total_Asian_alone,Percent_Asian_alone,Total_Native_Hawaiian_and_Other,Percent_Native_Hawaiian,Shape__Area,Shape__Length
1,22,2558,3201,3271,2730,83,66,2,45,1,105,3,0,0,7034969.19921875,12447.1902239769
2,23,4946,3197.06,5698,2700,47,418,7,89,2,404,7,29,1,1973946.97265625,6148.98512934742
3,24,3412,3197.05,3829,2198,57,172,4,223,6,139,4,12,0,5535906.54296875,9505.32843194747
4,25,3232,3192.02,3357,2038,61,340,10,225,7,352,10,15,0,1906637.21484375,5878.71381306566
5,73,5305,3192.01,6452,3444,53,515,8,71,1,265,4,174,3,1906820.25390625,5849.92903751566
6,74,5102,3191.04,6790,3542,52,337,5,418,6,1717,25,0,0,1853193.9375,5763.56112561291
7,75,4504,3191.03,5226,2023,39,193,4,205,4,2186,42,20,0,1377686.82421875,5835.13443295174
8,102,4348,3197.03,4302,3101,72,422,10,14,0,73,2,37,1,3958508.26953125,8219.71516168073
9,136,5480,3194.01,6829,5458,80,385,6,77,1,274,4,47,1,3844815.359375,8035.50186572419
10,137,3333,3194.04,3682,3056,83,97,3,77,2,90,2,0,0,2942818.8359375,8456.88326307164
11,143,4650,3184,5648,3637,64,178,3,54,1,301,5,44,1,12418983.6835938,19059.4802496487
12,146,2420,3193,2833,1657,58,104,4,43,2,266,9,0,0,1573247.15234375,6280.8053055481
13,169,6272,8101,6706,5383,80,85,1,17,0,702,10,42,1,7376151.46484375,16082.6811830339
14,170,1711,8100,2517,1729,69,142,6,83,3,419,17,19,1,4031903.8984375,10114.7620832205
15,198,4088,3194.02,3860,3221,83,58,2,1,0,54,1,28,1,3770093.9140625,7669.35495515726
16,505,4790,3199.05,5487,4644,85,45,1,59,1,339,6,0,0,3757947.40234375,7748.48896970086
17,506,6674,3200.07,6874,3504,51,1038,15,842,12,609,9,16,0,2941397.6328125,7194.71031395416
18,513,5436,3196,6456,5350,83,156,2,114,2,338,5,0,0,3709401.5546875,7707.38770597992
19,610,6595,3198,6833,4254,62,685,10,239,3,244,4,0,0,3619947.015625,7534.24256617881
20,720,5449,3195,6392,4534,71,519,8,153,2,391,6,45,1,3706208.46484375,7703.84966330728
21,723,3173,3199.06,3580,2830,79,271,8,37,1,264,7,0,0,3648495.11328125,7715.08127817762
22,749,2211,3199.08,2647,1557,59,389,15,26,1,157,6,3,0,3720902.8046875,7711.28102596511
23,761,4520,3194.03,4833,3221,67,595,12,179,4,77,2,0,0,3835964.26171875,7834.3095853573
24,763,2472,3199.02,2919,1874,64,344,12,22,1,192,7,83,3,3729072.87890625,7723.11695345718
25,764,6057,3188,7072,4912,69,453,6,249,4,530,7,36,1,3702531.625,7772.1910699187
26,767,2942,3191.01,3501,1600,46,342,10,91,3,1069,31,0,0,475847.48828125,3150.59383674467
27,772,6254,3189,6825,4433,65,427,6,226,3,238,3,0,0,3725888.78125,7723.50445209962
28,773,3200,3185.01,3670,3029,83,65,2,49,1,203,6,4,0,1809508.81640625,6648.91347379941
29,780,5666,3199.03,6431,4955,77,251,4,21,0,468,7,41,1,3841772.578125,8043.47511555603
30,790,1483,3197.04,1748,1261,72,64,4,126,7,178,10,12,1,11367528.6796875,15820.7062810399
31,795,2225,3199.07,2126,1901,89,39,2,45,2,71,3,26,1,3711580.6953125,7713.7518432774
32,797,4865,3199.04,5383,4386,81,168,3,97,2,144,3,42,1,3735029.75390625,7653.7465119131
33,799,9107,3190,8907,6794,76,462,5,67,1,734,8,3,0,3725393.18359375,7717.02998427301
34,805,2278,3199.09,2477,1967,79,54,2,20,1,107,4,0,0,3799769.15625,7791.87685989007
35,829,2675,3187,3581,2694,75,233,7,23,1,367,10,0,0,3471579.703125,7636.99775452831
36,904,7023,3200.01,8509,3907,46,1636,19,495,6,1445,17,24,0,4237206.890625,10359.2774604137
37,59,4806,,,,,,,,,,,,,7854812.8984375,14488.802895723
38,503,4011,3199.01,5196,4060,78,144,3,94,2,494,10,0,0,9428276.98828125,13575.1598171613
