OBJECTID,COMPKEY,COMPTYPE,SEGKEY,UNITID,UNITTYPE,UNITDESC,MATERIAL,MODEL_TYPE,ASSET_HEIGHT,ASBLT,INSTALL_DATE,COMMENTS,CATEGORY,STYLE,CURRENT_STATUS,CURRENT_STATUS_DATE,CONDITION,CONDITION_ASSESSMENT_DATE,OWNERSHIP,OWNERSHIP_DATE,ADDDTTM,MODDTTM,MAINTAINED_BY,LAST_ASSET_VERIFICATION_DATE,MAINTENANCE_FINANCIAL_RESP,MAINTENANCE_AGREEMENT,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,LOG_COMMENT_1,LOG_COMMENT_2,LOG_COMMENT_3,ATTACHMENT_1,ATTACHMENT_2,ATTACHMENT_3,ATTACHMENT_4,ATTACHMENT_5,ATTACHMENT_6,ATTACHMENT_7,ATTACHMENT_8,ATTACHMENT_9,ATTACHMENT_10,NUM_ATTACHMENTS,DATE_MVW_LAST_UPDATED,SHAPE_Length,SHAPE_Area
1009,764748,16,12040,RRX-809569H,RRX,OHIO AVE S BETWEEN S BRANDON ST AND DEAD END CROSSING 1 TRACKS,RRX-AC/PC,RRX-INDY,0,,,"S Brandon St; No signage. 1 indy trackAC/PC FAIR - some scratches. MOVED PIN",RRX-ATGRDE,RRX-PASSVE,INSVC,2019/08/05 00:00:00+00,FAIR,2019/08/05 00:00:00+00,UPRR,,2020/05/05 00:00:00+00,,UPRR,,UPRR,,DISTRICT2, ,N,,,,,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\OR&WA-RR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RR_Franchise_Map_Index.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RRX_LOU_Xing_Agrmnt_1988.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\CM&SPRR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\UPRR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\809569H_InspPhotos_20150716.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RRX-809569H_InspectRecord_20190805.pdf,,,,7,2023/09/26 19:13:07+00,127.030985278913,-775.758873081315
1010,764749,16,12040,RRX-809570C,RRX,OHIO AVE S BETWEEN S BRANDON ST AND DEAD END CROSSING 1 TRACKS,,RRX-INDY,0,,,"Ohio Ave S; Public not included in UTC inventory; 1 indy track (needs inspection)",RRX-ATGRDE, , ,, ,,UPRR,,2020/05/05 00:00:00+00,,UPRR,,UPRR,,DISTRICT2, ,N,,,,,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\OR&WA-RR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RR_Franchise_Map_Index.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RRX_LOU_Xing_Agrmnt_1988.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\CM&SPRR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\UPRR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\809570C_InspPhotos_20150716.pdf,,,,,6,2023/09/26 19:13:07+00,94.7946471101323,-538.464639827947
1011,764750,16,14400,RRX-809572R,RRX,EAST MARGINAL WAY S BETWEEN S LUCILE ST AND S ORCAS ST CROSSING 2 TRACKS,RRX-AC/AC,RRX-YARD,0,,,"MOVED PIN - Coordinates updated 12/23/19. Not in UTC inventory. Xing is immediately east of 809572R. 2 total tracks - 1 yard, 1 indy AC/AC POOR. No signage.",RRX-ATGRDE,RRX-PASSVE,OUTSVC,2019/12/20 00:00:00+00,POOR,2019/12/20 00:00:00+00,UPRR,,2020/05/05 00:00:00+00,,UPRR,,UPRR,,DISTRICT2, ,N,,,,,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\OR&WA-RR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RR_Franchise_Map_Index.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RRX_LOU_Xing_Agrmnt_1988.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\CM&SPRR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\UPRR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RRX-809572R_InspectRecord_20191220.pdf,,,,,6,2023/09/26 19:13:07+00,119.424932114477,-894.534435215763
1012,764764,16,1229,RRX-809637G,RRX,1ST AVE S BETWEEN S MICHIGAN S ST AND S RIVER ST CROSSING 1 TRACKS,RRX-AC/PC,RRX-INDY,0,,,"S River Rd; Underneath 1st Ave S bridge - UNDERPASS. 1 INDY track AC/PC GOOD - concrete is scratched out in places. Doesn't appear to be open to public. (2) xbucks - one with tape, one without. 1 ENS sign",RRX-ATGRDE,RRX-NONE,INSVC,2019/08/07 00:00:00+00,GOOD,2019/08/07 00:00:00+00,UPRR,,2020/05/05 00:00:00+00,,UPRR,,UPRR,,DISTRICT2, ,N,,,,,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\OR&WA-RR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RR_Franchise_Map_Index.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RRX_LOU_Xing_Agrmnt_1988.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RRX-809637G_InspectRecord_20190807.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\CM&SPRR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\UPRR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\809637G_InspPhotos_20150716.pdf,,,,7,2023/09/26 19:13:07+00,73.7534191616433,383.379311834239
1013,764765,16,12035,RRX-809638N,RRX,OCCIDENTAL AVE S BETWEEN S MICHIGAN ST AND S RIVER ST CROSSING 1 TRACKS,RRX-AC/PC,RRX-INDY,0,,,"Occidental Ave S/ S River St; More traffic (cars, not just trucks) than rest of River St. 1 indy track which diverges east of xing. AC/PC GOOD - intact, no cracks that I could see. SB traffic from Occidental turns onto River St - xbuck with tape, ENS sign. NB traffic has xbuck with tape, ENS sign. (2) xbuck, (2) ENS signs.",RRX-ATGRDE,RRX-PASSVE,INSVC,2019/08/07 00:00:00+00,GOOD,2019/08/07 00:00:00+00,UPRR,,2020/05/05 00:00:00+00,,UPRR,,UPRR,,DISTRICT2, ,N,,,,,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\OR&WA-RR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RR_Franchise_Map_Index.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RRX-809638N_InspectRecord_20190807.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RRX_LOU_Xing_Agrmnt_1988.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\CM&SPRR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\UPRR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\809638N_InspPhotos_20150721.pdf,,,,7,2023/09/26 19:13:07+00,154.511174360532,-1010.41747738848
1014,764766,16,21155,RRX-809639V,RRX,S RIVER ST BETWEEN OCCIDENTAL AVE S AND 2ND AVE S CROSSING 1 TRACKS,RRX-AC/AC,RRX-INDY,0,,,"PRIVATE, Muckleshoot; Xing leads to warehouse door; 1 indy track AC/AC FAIR - eroded pavement, looks unkempt. Train is still in use. No signage. PRIVATE.",RRX-ATGRDE,RRX-PASSVE,INSVC,2019/11/11 00:00:00+00,FAIR,2019/11/11 00:00:00+00,UPRR,,2020/05/05 00:00:00+00,,UPRR,,UPRR,,DISTRICT2, ,N,,,,,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\OR&WA-RR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RR_Franchise_Map_Index.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RRX_LOU_Xing_Agrmnt_1988.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\CM&SPRR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\UPRR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RRX-809639V_InspectRecord_20191111.pdf,,,,,6,2023/09/26 19:13:07+00,147.428354042441,-966.786930936126
1015,764779,16,2886,RRX-446995K,RRX,2ND AVE S BETWEEN DEAD END 3 AND S RIVER ST CROSSING 1 TRACKS,,RRX-INDY,0,,,"2nd Ave S/S River St; No Train Traffic per FRA inventory; Track starts at Brandon St south of intersection. Brandon St + 2nd Ave intersxn needs2+ stop signs (saw a near accident). 1 track ACAC FAIR - unkempt pavement, runs down center of road. No signage.",RRX-ATGRDE, , ,, ,,UPRR,,2020/05/05 00:00:00+00,,UPRR,,UPRR,,DISTRICT2, ,N,,,,,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\OR&WA-RR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RR_Franchise_Map_Index.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RRX_LOU_Xing_Agrmnt_1988.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\CM&SPRR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\UPRR_Ordinance_List.pdf,,,,,,5,2023/09/26 19:13:07+00,131.426436965422,-809.058250360001
1016,764780,16,2880,RRX-809418T,RRX,2ND AVE S BETWEEN S BRANDON ST AND S LUCILE ST CROSSING 1 TRACKS,RRX-AC/AC,RRX-INDY,0,,,"2nd Ave S/Alley; CLOSED per FRA inventory but in place and in use in the field; Track starts at Brandon St south of intersection. Brandon St + 2nd Ave intersxn needs2+ stop signs (saw a near accident). 1 track ACAC FAIR - unkempt pavement, runs down center of road. No signage. Crossing is CLOSED IN FRA INVENTORY but in place and in use in the field. Tracks down 2ND Ave need removal from Brandon to Orcas.",RRX-ATGRDE,RRX-PASSVE,OUTSVC,2019/11/11 00:00:00+00,FAIR,2019/11/11 00:00:00+00,UPRR,,2020/05/05 00:00:00+00,,UPRR,,UPRR,,DISTRICT2, ,N,,,,,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\OR&WA-RR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RR_Franchise_Map_Index.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RRX_LOU_Xing_Agrmnt_1988.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\CM&SPRR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\UPRR_Ordinance_List.pdf,,,,,,5,2023/09/26 19:13:07+00,85.2525633835567,466.610252025195
1017,764781,16,19988,RRX-809421B,RRX,S FINDLAY ST BETWEEN 1ST AVE S AND 2ND AVE S CROSSING 1 TRACKS,RRX-AC/AC,RRX-MAIN,0,,,"Findlay + 2nd Ave; CLOSED per FRA inventory yet in place and in use in the field;  intersection needs stop signs (most of 2nd Ave has NB/SB stops). Track disappears at intersection, continues north/south of it. 1 track ACAC FAIR - covered in leaves, dirt; cracked pavement. Track runs down center of 2nd Ave. Crossing is CLOSED IN FRA INVENTORY but in place and in use in the field. Tracks down 2ND Ave need removal from Brandon to Orcas.",RRX-ATGRDE,RRX-PASSVE,OUTSVC,2019/11/11 00:00:00+00,FAIR,2019/11/11 00:00:00+00,UPRR,,2020/05/05 00:00:00+00,,UPRR,,UPRR,,DISTRICT2, ,N,,,,,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\OR&WA-RR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RR_Franchise_Map_Index.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RRX_LOU_Xing_Agrmnt_1988.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\CM&SPRR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\UPRR_Ordinance_List.pdf,,,,,,5,2023/09/26 19:13:07+00,93.9416979743912,-534.765719872251
1018,764608,16,22454,RRX-096186G,RRX,SW IDAHO ST BETWEEN DEAD END AND WEST MARGINAL WAY SW CROSSING 2 TRACKS,,RRX-YARD,0,,,"SW Idaho; 2 yard tracks, will need further field evaluation to determine if this xing exists",RRX-ATGRDE, , ,, ,,BNSF,,2020/05/05 00:00:00+00,,BNSF,,BNSF,,DISTRICT1, ,N,,,,,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RR_Franchise_Map_Index.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RRX_LOU_Xing_Agrmnt_1988.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\SDOT_WMW_BNSF_industrylead_map.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\BNSF_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\NPRR_Ordinance_List.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\Index_to_Permits_W_Marginal_Wy.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\RRX-096186G_InspRec_NoPics_201907.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Railroad Crossings\SDOT_Claim_096183L_BNSF_20011217.pdf,,,8,2023/09/26 19:13:07+00,187.815582145439,-1263.11012969555
