X,Y,OBJECTID_12,ProjectID,RchID,SegID,SGAT_ID,GlobalID,ProjectName,OrganizationID,Observers,IsNotAssessed,WhyNotAssessed,IsAdminJudgement,AdminJudgementEntity,AdminStreamTypeDeparture,SegmentLocation,SegmentLength,CompletionDate,SevenDayRain,Weather,KnownFloodHistory,SketchDone,PhotoLogDone,WatershedZone,Segmentation,SegmentationComment,AlluvialFan,ConfinementType,ValleyWidth,ValleyWidthDetermination,InRockGorge,HumanChangedWidth,IsNoGradeControl,BankfullWidth,MaximumDepth,MeanDepth,FloodproneWidth,RecentlyAbandonedFloodplain,SinuosityType,RifflesType,RiffleSpacingDistance,IsRiffleSpacingDistanceNA,SiltClayPresent,DetritusPercent,WoodyDebrisNumber,LargestBedParticle,LargestBarParticle,StraighteningLength,ParticleUnits,StreamType,Bedform,BedMaterial,SubclassSlope,ReferenceStreamType,ReferenceBedform,ReferenceBedMaterial,ReferenceSubclassSlope,TypicalBankSlope,MaterialTypeLower,MaterialTypeUpper,ConsistencyLower,ConsistencyUpper,ChannelCanopy,MassFailures,FailureMeanHeight,Gullies,GullyMeanHeight,SpringSeep,AdjacentWetland,FlowStatus,DebrisJamsNumber,Impoundments,ImpoundmentLocation,StormwaterInputsNumber,UpstreamFlowRegulation,IsNoChannelConstriction,BridgeCulvertAssessment,BeaverDamsNumber,BeaverDamAffectedLength,BarMidNumber,BarPointNumber,BarSideNumber,BarDiagonalNumber,BarDeltaNumber,BarIslandNumber,FloodChutesNumber,NeckCutoffsNumber,ChannelAvulsionsNumber,BraidingNumber,SteepRifflesNumber,HeadCutsNumber,TributaryRejuvenation,StreamFord,Straightening,Dredging,Comments,HabAssessStreamType,HabAssessCondition,GeoAssessConfinement,ChannelEvolutionModel,AdjustmentNarrative,GeoAssessCondition,GeoAssessSensitivity,DateEdited,IsRiffleSpacingApplicable,IsBarParticleNotApplicable,IsBedParticleNotApplicable,IsBarBedParticleNotEvaluated,IsQCPassed,IsQC2Passed,MassFailuresNumber,GulliesNumber,FieldMeasuredSlope,FlowRegType,FlowRegUse,FlowRegUpDownStream,IsNoStormwaterInputs,HumanElevatedFloodplain,IsQC3Passed,SubBedForm,rhaStreamType,rhaDepartureType,rhaComments,GulliesLength,RCHAFFBYMAJFLOOD,CHANDIMSSIGCHANGEBYFLOOD,CHANDIMRESPMAJFLOOD,ChannelEnlargement,FLOODAFFCROSSCOMMENT,ESRI_OID
458514.3384,82072.7078000009,811,23,M13,B,23_M13B,{4F1354A3-55DF-489D-B517-C23D53B60671},Battenkill River,25,J. Field/A. Patmos/M. Kline/S. Hill,0,,0,,,In E. Dorset - passes old railroad depot,2390,2004/08/04 00:00:00+00,No,partly cloudy 70's,Yes,No,Yes,Response,Other Reason,,None,VB,320,Measured,No,yes,1,17.2000007629395,2.5,1.77999997138977,35,3.40000009536743,Low,Eroded,,0,Yes,4,0,30,,1394.05004882812,mm,B,Plane Bed,Gravel,c,,,,,Steep,Silt/Clay,Silt/Clay,Cohesive,Cohesive,Closed,None,0,None,0,Minimal,Abundant,Moderate,0,None,,0,None,0,Yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,No,No,Straightening   ,None,Old well constructed rock wall present upstream of railroad depot.  Segmented due to presence of a wetland that has been established upstream of a plugged culvert.,Low,Fair,Confined,F,"Incised channel which has not begun widening process - kept from doing so by rock riprap wall through East Dorset

GD 3.3.11 - changed stream sensitivity to high",Fair,High,2011/03/03 13:44:00+00,Not Applicable,0,0,0,28655,2146435071,,,,None,,,1,,1,,,,,,,,,,,1
458766.0013,82733.5609000009,812,23,M13,C,23_M13C,{0A2288F9-8DC9-4E8B-A5D7-1DA8AB9A534D},Battenkill River,25,J. Field/A. PAtmos,1,wetland,0,,,Marshy area upstream of railroad bridge in East Dorset where clooged culvert is enhancing marshy condition,2710,2004/08/04 00:00:00+00,Yes,"Partly cloudy, 70's",Yes,No,No,,,,,,,,,,0,,,,,,,,,0,,,,,,898.440002441406,,,,,,,,,,,,,,,,None,0,None,0,,,,0,,,0,,0,,0,0,,,,,,,0,0,0,0,0,0,,No,Straightening   ,None,,,,,,,,,2007/03/22 18:02:24+00,,0,0,0,28546,2146435009,,,,,,,1,,1,,,,,,,,,,,2
455500.7177,76325.4066000003,833,23,T6.02,C,23_T6.02C,{5205800C-E2A3-48E9-A542-19CACF87FB80},Battenkill River,25,J. Field/A. Patmos,1,Other (to be explained in comments),0,,,Upstream of Manchester Town Park and approaches close to Route 30 on 1 bend,7480,2004/08/17 00:00:00+00,Yes,P. Cloudy/70's,Yes,No,No,,,,,,,,,,0,,,,,,,,,0,,,,,,3554.43017578125,,,,,,,,,,,,,,,,None,0,None,0,,,,0,,,0,,0,,0,0,,,,,,,0,0,0,0,0,0,,No,Straightening   ,None,Not assessed because it was beyond the scope of the project.,,,,,,,,2007/03/22 18:02:24+00,,0,0,0,28546,2146435009,,,,,,,1,,1,,,,,,,,,,,3
455055.0101,75839.0753000006,832,23,T6.02,B,23_T6.02B,{18803F6B-962C-4C2A-A1CE-80C55493241E},Battenkill River,25,J. Field/A. Patmos,1,wetland,0,,,Marshy area beside Manchester Town Park,2312,2004/08/17 00:00:00+00,Yes,P. Cloudy/70's,Yes,No,No,,,,,,,,,,0,,,,,,,,,0,,,,,,2311.72998046875,,,,,,,,,,,,,,,,None,0,None,0,,,,0,,,0,,0,,0,0,,,,,,,0,0,0,0,0,0,,No,Straightening   ,None,,,,,,,,,2007/03/22 18:02:24+00,,0,0,0,28546,2146435009,,,,,,,1,,1,,,,,,,,,,,4
495005.7027,38783.9381000008,459,143,M01,C,143_M01C,{EEAC2B0F-BACF-4B60-A504-74461D72212A},Whetstone,30,"Amy Sheldon, Ned Pokras",0,,0,,,Begins at the Elm Street bridge.  Ends 200' before the river turns north.,645.299987792969,2007/09/12 00:00:00+00,Yes,Partly cloudy,No,No,Yes,,Channel Dimensions,Intact floodplain forest all along the right bank distinguish this segment from the very incised upstream and downstream segments.,None,SC,154,Measured,No,Yes,1,54,3.90000009536743,2.79999995231628,151,6,Low,Complete,155,0,Yes,1,0,8,5,645.25,inches,C,Riffle-Pool,Gravel,None,,,,,Steep,,,,,Open,None,,None,,None,Abundant,Moderate,0,,,,,1,Yes,0,0,0,2,1,1,0,0,0,0,0,0,0,0,No,No,Straightening   ,None,It is entirely straightened and the left bank is hard armored and the right bank has flood plain access.,High,Fair,Unconfined,F,This segment is historically degraded with minor widening and aggradation being the dominant adjustment process.,Fair,High,2008/02/19 10:14:39+00,,0,0,0,32767,2143354879,,,,None,,None,0,,1,,,,,,,,,,,5
441675.8477,206267.2874,1086,75,T1.05,C,75_T1.05C,{693CB326-923A-475A-890E-B1A3AC70BF47},Laplatte,16,"J.Clark, M. Mainer",0,,0,,,"Portion of T1.05 in Charlotte, north of Lime Kiln Rd, south of VT Teddy Bear. Reach previously unassessed in 2007 due to property access.",2977.375,2011/07/25 00:00:00+00,Yes,"overcast, drizzle, 70's",Yes,Yes,Yes,,Property Access,Segmented in 2007 due to property access.,None,BD,136,Measured,No,No,1,18.8999996185303,3.40000009536743,1.70000004768372,136,3.40000009536743,Moderate,Complete,110,0,Yes,20,3,58,58,0,mm,E,Dune-Ripple,Gravel,None,E,Dune-Ripple,Gravel,None,Steep,,,,,Open,None,,None,,Minimal,Abundant,Low,0,,,,,1,No,3,165,0,3,11,0,0,2,4,0,0,0,0,0,No,Yes,None,None,Sediment transport and bar formation influenced by beaver dams and old beaver dams.,,,Unconfined,None,No channel adjustment occuring.,Reference,High,2012/02/02 15:19:46+00,,0,0,0,30719,2143346687,0,0,,,,,1,,1,Riffle-Pool,Dune-Ripple,,,0,,,,,,6
516549.775,251934.770400001,1415,164,T4.03,B,164_T4.03B,{F0C385C1-BAF5-4C45-91B3-64228C700F43},Black,31,"Matt Goclowsk, Ben Coppans",0,,0,,,From point 10416 feet upstream from lower crossing at Creek road to confluence with Beaver Brook near upper Creek Road crossing,3082,2010/09/28 00:00:00+00,Yes,overcast,No,Yes,Yes,,Substrate Size,substrate much larger throughout segment B than in segment A,None,VB,578,Measured,No,No,1,24.5,4.46999979019165,3.36999988555908,500,5.21999979019165,Moderate,Sedimented,120,0,Yes,25,52,41,49,31.9699993133545,mm,E,Riffle-Pool,Gravel,c,,,,,Steep,,,,,Open,None,,None,,None,Minimal,Moderate,0,None,,,,1,No,0,0,6,15,13,3,1,0,2,1,1,0,0,0,No,No,Straightening   ,None,VT DEC S.Pealer (2017): Straightening reported as 32' during Phase 1/Phase 2 but is likely much higher historically ,,,Unconfined,F,"VT DEC S.Pealer (2017): Based on low incision and high levels of aggradation and planform adjustment noted during phase 2, I suspect step 7.5 would be better described by stage IIc or IId of the D channel evolution model.  Segment appears to be undergoing moderate lateral adjustment as it responds to historic straightening, lack of riparian vegetation, and ditching of small tribs.",Good,High,2017/05/25 11:48:20+00,,0,0,0,32767,2143354879,0,0,,None,,None,1,,0,,Riffle-Pool,,,0,,,,,,7
503996.5021,253901.295600001,1576,90,R45,C,90_R45C,{111FDAF3-386D-4C03-AAC4-B2782A2C3CB1},Upper Missisquoi,36,DB/AW,0,,0,,,Downstream end of segment is approximately 1200ft upstream of Rte 100 crossing.,4702.080078125,2010/08/25 00:00:00+00,Yes,"Cloudy;70's",No,Yes,Yes,,Channel Dimensions,unincised,None,VB,920,Measured,No,No,1,41,3.29999995231628,1.66999995708466,356,3.29999995231628,Moderate,Sedimented,127,0,Yes,5,51,9.80000019073486,7.80000019073486,425.195007324219,inches,C,Riffle-Pool,Gravel,None,,,,,Steep,,,,,Open,None,,None,,Abundant,Abundant,Moderate,0,None,,,,0,Yes,0,0,9,14,20,3,1,1,14,0,6,0,12,0,No,Yes,Straightening   ,Gravel Mining,"Gravel mining, and straightening at Rte 109

Step 3: Revetment types include rip rap and hard bank (bridge abutment)
Step 4.6: Downstream irrigation withdrawal in R45A.",,,Unconfined,F,"Historic channel management. Active aggradation, widening and planform changes underway.",Fair,Very High,2011/07/15 11:47:35+00,,0,0,0,32767,2143354879,0,0,,None,,None,0,,0,,Riffle-Pool,,,0,,,,,,8
519008.2331,158086.217399999,1490,159,R20,B,159_R20B,{683226A1-DBF8-417E-9DD9-D50293A50427},Ompompanoosuc,17,"MN, PD",0,,0,,,Segment begins just downstream of center private bridge and continues until about 900 feet upstream of next private bridge where stream gets very close to Route 113.,2416,2010/07/23 00:00:00+00,Yes,cloudy with slight rain,No,Yes,Yes,,Depositional Features,This segment is more aggradational than downstream.,None,BD,355,Estimated,No,Yes,0,42.5,2.84999990463257,2.26999998092651,88,5.05000019073486,Low,Complete,156,0,No,0,15,5.34000015258789,2.20000004768372,2130.2900390625,inches,C,Riffle-Pool,Gravel,None,,,,,Steep,,,,,Open,One,15,None,,Minimal,Minimal,Low,0,,,,,0,Yes,0,0,1,0,9,4,0,0,0,0,0,0,2,0,No,Yes,Straightening   ,None,"Segment is more aggradational than downstream segment, but diagonal bars are minor (less than 1/2 bankfull stage). Lack of sinuosity. Some areas of riffle-run-riffle, probably due to lack of planform.  Cross section was near the cut-off between a ""C' and a ""B"" channel.  A ""C"" channel seems more characteristic of the overall segment. It is possible that the bankfull elevation is 0.6 feet higher than was identified in the field, but woody vegetation observed indicated bankfull was likely at the lower elevation.",,,Unconfined,F,"Major historic degradation caused widening and now segment is aggrading thru the presence of diagonal bars (diagonal bars are minor; less than 1/2 bankfull stage). Rip rap is preventing planform adjustment and further widening.",Fair,Very High,2011/02/02 14:51:57+00,,0,0,0,32767,2143354879,1,0,,None,,None,0,,1,Plane Bed,Riffle-Pool,,"Riffles and runs; not as many pools; filled in with sediment.",0,,,,,,9
449726.7728,119538.2236,794,20,T02.11-s1.04,B,20_T02.11-s1.04B,{B741F96C-F649-4F38-B571-00068119A7E5},Castleton River,11,"KLU, HS",0,,0,,,Segment west of and parallel to Birdseye Road through Traverse Park,1442,2006/08/03 00:00:00+00,Yes,"partly sunny, 80s",Yes,Yes,Yes,,Channel Dimensions,,Yes,BD,100,Estimated,No,yes,0,14,1,0.699999988079071,16.3999996185303,2.29999995231628,Low,Sedimented,80,0,No,10,15,210,190,455.970001220703,mm,F,Step-Pool,Cobble,b,C,Step-Pool,Cobble,b,Steep,,,,,Closed,None,0,None,0,Minimal,None,Moderate,6,None,,1,None,1,No,0,0,3,5,2,3,0,0,2,0,0,0,2,0,No,Yes,Straightening   ,None,"Encroachments in the segment include Birdseye Road along the RB corridor, and hay field uses along LB corridor.  Historic straightening inferred from linear planform along Birdseye Road.  Presence of the road has reduced natural valley width from Very Broad confinement to Broad.  Segment is entrenched, resulting in stream type departure from Cb to F.  Channel-spanning bedrock occurrence at upstream extent.   Two apparent equipment fords mid-segment; one less frequently used or abandoned (overgrown).  RB stormwater input noted at present ford.  Segment is located at the transition from shallow soils over bedrock to more permeable deposits of coarse gravels and cobbles (according to NRCS soil mapping and surficial geologic mapping); thus, ""alluvial fan"" was chosen in Step 1.2.  Losing conditions are suspected, which may be contributing to a localized reduction in sediment transport capacity (see report for more details).",High,Fair,Unconfined,F,"Aggradation & planform adjustment in response to hist. degradation resulting from channelization / floodplain encroachments.  Active incision & widening moderated by coarseness of bed/banks; offset by aggradation and possible losing conditions.",Fair,Extreme,2007/03/25 15:05:21+00,,0,0,0,32767,2147483647,,,,None,,,0,,1,,,,,,,,,,,10
