"rpt_rec_num","Provider CCN","Facility Name","Street Address","City","State Code","Zip Code","County","Medicare CBSA Number","Rural versus Urban","Fiscal Year Begin Date","Fiscal Year End Date","Type of Control","Total Days Title V","Total Days Title XVIII","Total Days Title XIX","Total Days Other","Total Days Total","Number of Beds","Total Bed Days Available","Total Discharges Title V","Total Discharges Title XVIII","Total Discharges Title XIX","Total Discharges Title Other","Total Discharges Total","SNF Average Length of Stay Title V","SNF Average Length of Stay Title XVIII","SNF Average Length of Stay Title XIX","SNF Average Length of Stay Total","SNF Admissions Title V","SNF Admissions Title XVIII","SNF Admissions Title XIX","SNF Admissions Other","SNF Admissions Total","SNF Days Title V","SNF Days Title XVIII","SNF Days Title XIX","SNF Days Other","SNF Days Total","SNF Number of Beds","SNF Bed Days Available","SNF Discharges Title V","SNF Discharges Title XVIII","SNF Discharges Title XIX","SNF Discharges Title Other","SNF Discharges Total","NF Number of Beds","NF Bed Days Available","NF Days Title V","NF Days Title XIX","NF Days Other","NF Days Total","NF Discharges Title V","NF Discharges Title XIX","NF Discharges Title Other","NF Discharges Total","NF Average Length of Stay Title V","NF Average Length of Stay Title XIX","NF Average Length of Stay Total","NF Admissions Title V","NF Admissions Title XIX","NF Admissions Other","NF Admissions Total","Total RUG Days","Total Salaries From Worksheet A","Overhead Non-Salary Costs","Total Charges","Total Costs","Wage-related Costs (core)","Total Salaries (adjusted)","Contract Labor","Cash on hand and in banks","Temporary Investments","Notes Receivable","Accounts Receivable","Less: Allowances for uncollectible notes and accounts receivable","Inventory","Prepaid expenses","Other current assets","Total Current Assets","Land","Land improvements","Buildings","Leasehold improvements","Fixed equipment","Major movable equipment","Minor equipment depreciable","Total fixed Assets","Investments","Other Assets","Total other Assets","Total Assets","Accounts payable","Salaries, wages, and fees payable","Payroll taxes payable","Notes and Loans Payable (short term)","Deferred income","Other current liabilities","Total current liabilities","Mortgage payable","Notes Payable","Unsecured Loans","Other long term liabilities","Total long term liabilities","Total liabilities","General fund balance","Total fund balances","Total Liabilities and fund balances","Total General Inpatient Care Services Revenue","Inpatient Revenue","Outpatient Revenue","Gross Revenue","Less Contractual Allowance and discounts on patients' accounts","Net Patient Revenue","Less Total Operating Expense","Net Income from service to patients","Total Other Income","Total Income","Net Income","Inpatient PPS Amount","Nursing and Allied Health Education Activities","Allowable Bad Debts"
1226920,525009,CROSSROADS CARE CENTER OF EAST GREEN,600 S WEBSTER AVENUE,GREEN BAY,WI,54301,BROWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228236,045228,MAPLE HEALTHCARE,200 S MAPLE STREET,HAZEN,AR,72064,PRAIRIE,99904,R,11/01/2018,12/31/2018,4,,42,1739,131,1912,70,4270,,3,7,1,11,,14,248.43,173.82,,3,7,2,12,,42,1739,131,1912,70,4270,,3,7,1,11,,,,,,,,,,,,,,,,,,42,199985,177313,77227,28381,24783,199985,,-52994,,,138970,,,,,95653,,,,,,6429,,5906,,10000,10000,111559,7613,59825,,,,26837,94275,,,,,,94275,17284,17284,111559,340581,417808,,417808,23226,394582,377298,17284,,17284,17284,28381,,
1230331,435123,GOOD SAMARITAN SOCIETY-SELBY,4861 LINCOLN AVE,SELBY,SD,57472-0299,WALWORHT,99943,R,10/01/2018,11/30/2018,1,,204,1314,1098,2616,50,3050,,3,7,36,46,,68,187.71,56.87,,22,8,16,46,,204,1314,1098,2616,50,3050,,3,7,36,46,,,,,,,,,,,,,,,,,,204,196753,1477583,168244,110922,56833,196753,218135,85459,10522,,320167,13479,6989,2722,,412380,,,2528,,,,,2528,,6247,6247,421155,151920,88965,,,80,-3353,237612,,,,,,237612,183543,183543,421155,565600,719978,14282,734260,206443,527817,1674336,-1146519,4910,-1141609,-1143442,92469,,
1232670,525232,CCC OF WEST GREEN BAY  LLC,1760 SHAWANO AVENUE,GREEN BAY,WI,54303,BROWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235138,035270,LA ESTANCIA NURSING & REHAB CENTER,15810 SOUTH 42ND STREET,PHOENIX,AZ,85048,MARICOPA,38060,U,11/01/2018,12/31/2018,4,,328,5089,813,6230,192,11712,,12,18,31,61,,27.33,282.72,102.13,,8,15,37,60,,328,5089,813,6230,192,11712,,12,18,31,61,,,,,,,,,,,,,,,,,,328,670243,839732,538536,233121,100340,670243,,6634,,,1265667,,46452,,,1476169,,,4242811,,,22493,,4265304,,-784369,-784369,4957104,222514,157352,,,8074,101118,489058,4396794,,,,4396794,4885852,71252,71252,4957104,1346040,1884576,,1884576,303500,1581076,1509975,71101,150,71251,71251,184409,,
1235140,035296,WELBROOK SENIOR LIVING FLAGSTAFF LLC,1521 N PINE CLIFF DR,FLAGSTAFF,AZ,86001,COCONINO COUNTY,22380,U,10/11/2018,12/31/2018,4,,400,,124,524,45,3690,,19,,,19,,21.05,,27.58,,20,,,20,,400,,124,524,45,3690,,19,,,19,,,,,,,,,,,,,,,,,,400,353280,552505,135823,128982,41953,353280,,108553,,,250591,10553,,1370,15205,365166,,,,,120053,25534,,141979,,,,507145,161146,88033,,,,3000,252179,,,,,1359205,1611384,-1104239,-1104239,507145,305400,439182,,439182,188591,250591,905785,-655194,348,-654846,-654846,226596,,
1235613,145603,ACCOLADE HEALTHCARE OF THE HEARTLAND,1001 EAST PELLS STREET,PAXTON,IL,60957,FORD,16580,U,10/17/2018,12/31/2018,6,,234,3686,2582,6502,103,7828,,11,3,77,91,,21.27,1228.67,71.45,,39,38,69,146,,234,3686,2582,6502,103,7828,,11,3,77,91,,,,,,,,,,,,,,,,,,234,652680,950808,630541,188063,118380,652680,268548,18547,,,874022,96500,,10204,,758308,,,,15000,,41588,,53689,,401604,401604,1213601,527280,153614,15607,,,41652,738153,,9178,,348160,657338,1395491,-181890,-181890,1213601,1547211,2177752,,2177752,759172,1418580,1603488,-184908,3018,-181890,-181890,109640,,
1235717,365483,MIAMI COV SNF INC.,75 MOTE DRIVE,COVINGTON,OH,45318,MIAMI,19380,U,12/01/2018,12/31/2018,5,,64,1220,358,1642,99,3069,,2,45,34,81,,32,27.11,20.27,,13,92,40,145,,64,1220,358,1642,99,3069,,2,45,34,81,,,,,,,,,,,,,,,,,,64,154515,227846,41016,36531,16319,154515,20498,62265,,,318191,,,93758,,474214,,,,,,,,,,,34000,508214,56182,77758,,161228,,183541,478709,,,,,,478709,29505,29505,508214,353930,394946,,394946,57744,337202,382361,-45159,1864,-43295,-43295,50686,,
1235817,015463,KNOLLWOOD HEALTHCARE,3151 A KNOLLWOOD DRIVE,MOBILE,AL,36693,MOBILE,33660,U,11/06/2018,12/31/2018,4,,310,2879,535,3724,71,3976,,8,18,7,33,,38.75,159.94,112.85,,11,9,7,27,,310,2879,535,3724,71,3976,,8,18,7,33,,,,,,,,,,,,,,,,,,310,492037,362938,223521,120641,58215,492037,,11550,,,538776,,,7369,,513044,,,,2825,,1906,,4465,,59164,59164,576673,202332,139917,,,,,342249,,,,,,342249,234424,234424,576673,958071,1181592,,1181592,160312,1021280,854975,166305,3631,169936,169936,116352,,
1235869,115733,GLEN EAGLE HEALTHCARE & REHAB,206 MAIN STREET EAST,ABBEVILLE,GA,31001,WILCOX,99911,R,10/12/2018,12/31/2018,6,,28,,1046,1074,66,5346,,,,5,5,,,,214.8,,1,,13,14,,28,,1046,1074,66,5346,,,,5,5,,,,,,,,,,,,,,,,,,28,440750,326962,38436,24334,58803,440750,,3248,,,118943,,,100,,122291,,,,,,39475,,37409,,-14439,-14439,145261,71242,24834,9228,,,,105304,,,,716000,716000,821304,-676043,-676043,145261,176833,215269,,215269,5619,209650,858614,-648964,,-648964,-651687,8329,,
