OBJECTID,COMPKEY,UNITID,UNITDESC,MODDTTM,CONDITION,CONDITION_ASSESSMENT_DATE,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,COMPTYPE,DESCRIPTION,SEGKEY,INTKEY,INT_UNITID,SIGNAL_TYPE,SIGNAL_MAINT_DIST,INSTALL_DATE,ADDBY,ADDDTTM,OWNERSHIP,CURRENT_STATUS_DATE,ARTERIAL_CLASS,MAINT_AGREE,MAINT_BY,INT_SIGNAL_TYPE_CD,OVERRIDECOMMENT,PEDAUDIODEVICEYN,PEDSIGNALYN,PH_MODELTYPE,PP_MODELTYPE,PP_QUANTITY,PEDHDFIRSTINSTALLDT,PH_QUANTITY,PEDAUDIOINSTALLDT,BIKESIGNALHDYN,ASBLT,HALFSIGNALYN,METEREDYN,LTTURNSIGNALYN,LTPROTECTEDPERMYN,LTPROTECTEDYN,RTTURNSIGNALYN,RTPROTECTEDPERMYN,RTPROTECTEDYN,LTFIRSTINSTALLDT,LTREMOVEDT,RTFIRSTINSTALLDT,RTREMOVEDT,DETDEVSTOPBARYN,DETDEVADVANCEDYN,DETDEVSYSTEMYN,CABMODELTYPECD,COMCONNTYPECD,SYSCONTROLTYPECD,MMUMODELTYPECD,PE_MODELTYPE,PI_MODELTYPE,INSTALLERCD,SIGASSSERVICEPT,JOINTOWNERSHIPYN,VH_QUANTITY,VH_MODELTYPE,LOUVEREDVISORYN,OPTPGMEDHDSYN,CABLASTPMDT,DETMODULETYPECD,CCIMODELTYPECD,ETHERNETSFTWRREVLVL,CCISFTWRREVLVL,MMUSERIALNBR,CO_SOFTWRREV,CO_INSTALLDT,CO_REMOVALDT,CO_SERIALNBR,CO_MODELTYPE,MMUMANCD,MMUINSTALLDT,VOLTS,AMPS,GROUNDRESISTANCE,MULTIINTERSECTIONSYN,ADDTLINTDESC,LASTSIGNALOPTDT,LAMPINGGROUPCD,ATTACHMENT_1,ATTACHMENT_2,ATTACHMENT_3,ATTACHMENT_4,ATTACHMENT_5,ATTACHMENT_6,ATTACHMENT_7,ATTACHMENT_8,ATTACHMENT_9,PEDPSHINSTALLDT,NUM_ATTACHMENTS
80211,272753,SGL-278,GREENWOOD AVE N AND N 80TH ST                                                                                                                                                                                                                                  ,2023/04/26 00:00:00+00,GOOD,2008/03/06 00:00:00+00,INSVC,DISTRICT6, ,N,74,,1,24282,4521,SEMI,NORTH,,GISADMIN,2005/03/17 17:11:06+00,SDOT,2008/12/15 00:00:00+00,2,, ,CITY,,N,N,LEDCD,,,,8,,N,,N,N,Y,Y,N,N,N,N,2011/10/06 00:00:00+00,,,,Y,N,N,3TS1, ,TIME-BASE,NSM-12,,, ,SWC SCL Wood Pole #1383823 in Y/W Box,N,"8, 4","3S8RYG, 3S12RYGARW",N,N,2023/04/20 00:00:00+00,RACK, ,,,9511227,"SP2, CLMATS7.4.20, 3.33SEd","30-MAY-06, 07-OCT-11, 07-JUL-21","06-OCT-11, 30-NOV-16","73907, 21211038, 135362","LC8000, LMD9200, M52",EDI,2023/04/20 00:00:00+00,120,3,83,N,,,A2,,,,,,,,,,,0
80212,272754,SGL-669,7TH AVE AND WESTLAKE AVE                                                                                                                                                                                                                                       ,2023/10/27 00:00:00+00,GOOD,2008/09/18 00:00:00+00,INSVC,DISTRICT7, ,N,74,,1,29542,39139,PRE,DOWNTOWN,,GISADMIN,2005/03/17 17:11:06+00,SDOT,2008/12/15 00:00:00+00,1,, ,CITY,,N,N,LEDCD,,,,8,,N,,N,N,N,N,N,N,N,N,,,,,N,N,N,2,COPPER,TACTIS,LSM12,OPT,, ,7th & Virginia NWC (Island) SDOT vault in sidewalk,Y,"5, 1","3S8RYG, OTH",N,N,2022/04/07 00:00:00+00,RACK, ,,,64001,"3.32SEG, 2.34, 3.33SED, 3.57b, 3.57b, 5.2.5 Linux","10-JUL-02, 10-JUN-91, 12-NOV-15, 01-NOV-17, 23-JUN-20, 21-OCT-23","12-NOV-15, 10-JUL-92, 01-NOV-17, 23-JUN-20, 31-OCT-28","67143, 1709, 125809, 158325, 159081, 177762","M34,  , M52, M60-ATC, M60-ATC, M60",TCT,2022/04/07 00:00:00+00,124,2,88,N,,,P5,,,,,,,,,,,0
80213,272755,SGL-178,2ND AVE AND BROAD ST                                                                                                                                                                                                                                           ,2022/02/11 00:00:00+00,POOR,2008/08/29 00:00:00+00,INSVC,DISTRICT7, ,N,74,,1,29666,39521,PRE,DOWNTOWN,,GISADMIN,2005/03/17 17:11:06+00,SDOT,2008/12/15 00:00:00+00,1,, ,CITY,,N,N,LEDCD,NAV-2W-PPB,8,,8,,Y,,N,N,N,N,N,N,N,N,,,,,N,N,N,3TS2-Type1,FIBER,TACTIS,MMU2-16LEi,,, ,30' East of NEC in Service Cabinet,Y,"6, 1, 2, 2","3S12RYG, 3S12RYGARW, 3SBike 8"", 3SBike 4""",N,N,2022/01/27 00:00:00+00,RACK, ,Linux,,E1846024,"3.32SEG, 3.57b Linux, 3.57b Linux","11-JAN-18, 05-FEB-22","11-JAN-18, 05-FEB-22","67162, 154396, 162803","M34, M60, M60",EDI,2022/02/05 00:00:00+00,126,3,48,N,,,P1,,,,,,,,,,2018/01/11 00:00:00+00,0
80214,272757,SGL-022,DEARBORN OFF RP AND S DEARBORN ST                                                                                                                                                                                                                              ,2023/09/18 00:00:00+00, ,,INSVC,DISTRICT2, ,N,74,,1,30444,44306,SEMI,SOUTH,,GISADMIN,2005/03/17 17:11:07+00,SDOT,2008/12/15 00:00:00+00,1,, ,STATE,,N,N,LED,Reese,4,,6,,N,,N,N,N,N,N,N,N,N,,,,,N,N,N,2TS2-Typ1, , ,MMU2-16LEi,,, ,NEC service box near cabinet,N,"6, 3, 1, 1","3S12RYGA, 3S12RYG, 3SBike, 4SRYGGARW",N,N,2022/10/25 00:00:00+00,RACK, ,,,161203656,3.57b Linux,25-OCT-22,,167207,M60,EDI,2022/10/25 00:00:00+00,120,2,0,N,,, ,,,,,,,,,,,0
80215,272758,SGL-75,4TH AVE AND PIKE ST                                                                                                                                                                                                                                            ,2023/09/26 00:00:00+00,FAIR,2008/09/08 00:00:00+00,INSVC,DISTRICT7, ,N,74,,1,29589,39315,PRE,DOWNTOWN,,GISADMIN,2005/03/17 17:11:07+00,SDOT,2008/12/15 00:00:00+00,1,, ,CITY,,N,N,LEDCD,,,,8,,Y,,N,N,N,N,N,N,N,N,,,,,N,N,N,3TS2,COPPER,TACTIS,MMU2-16LEi,,, ,Service panel in basement on SWC (under cabinet),N,"4, 1","3S12RYG, 4SRYGBI",N,N,2022/03/12 00:00:00+00,RACK, ,,,170605603,"3.32SEG, 1.63, 1.78, 3.54, 3.55, 3.33 SEd, 3.57b Linux","05-NOV-03, 10-OCT-91, 12-SEP-97, 07-JUN-15, 13-JUL-15, 20-SEP-15, 19-SEP-20","07-JUN-15, 12-SEP-97, 05-NOV-03, 13-JUL-15, 20-SEP-15, 19-SEP-20","67572, 1656, 2486, 142937, 142669, 136548, 159040","M34,  ,  , M52, M52, M52, M60",EDI,2022/03/12 00:00:00+00,126,3,490,N,,,S7,,,,,,,,,,,0
80216,272759,SGL-249,20TH AVE NW AND NW MARKET ST                                                                                                                                                                                                                                   ,2023/09/22 00:00:00+00,POOR,2008/07/15 00:00:00+00,INSVC,DISTRICT6, ,N,74,,1,25152,11304,PRE,NORTH,,GISADMIN,2005/03/17 17:11:07+00,SDOT,2008/12/15 00:00:00+00,2,, ,CITY,,N,N,"NEON, LED",,,,"7, 1",,N,,N,N,N,N,N,N,N,N,,,,,N,N,N,6TS2,FIBER,TACTIS,MMU-16LEip,EMER,,SDOT,NWC SCL VAULT,N,8,3S8RYG,N,N,2023/04/27 00:00:00+00,RACK, ,30,,110801375,"11, 3.32SEh, 3.33SEd","28-SEP-10, 28-JUN-12","28-SEP-10, 28-JUN-12","54022, 67768, 122161","LC40, M34, M52",EDI,2023/04/27 00:00:00+00,120,3,0,N,,,A1,,,,,,,,,,,0
80217,272760,SGL-263,AURORA AVE N AND WINONA AVE N                                                                                                                                                                                                                                  ,2023/04/25 00:00:00+00,POOR,2008/07/09 00:00:00+00,INSVC,DISTRICT6, ,N,74,,1,24312,4701,SEMI,NORTH,,GISADMIN,2005/03/17 17:11:07+00,SDOT,2008/12/15 00:00:00+00,1,, ,CITY,,N,N,LED,Reese,4,,8,,N,,N,N,Y,Y,N,N,N,N,2006/05/11 00:00:00+00,,,,Y,Y,Y,6TS2,FIBER,TACTIS,MMU2-16LEi,,, ,NWC SCL Wood Pole #1362867 in Y/W Box,Y,"8, 2","3S12RYG, 4SRYYGYBI",N,N,2023/04/18 00:00:00+00,RACK, ,30,,E1865435,"3.33SEC, 3.33SEd, 3.40, 3.40, 3.52, 3.52","06-NOV-06, 23-MAR-10, 04-NOV-10, 13-MAR-12, 07-MAR-14, 02-NOV-20","23-MAR-10, 04-NOV-10, 13-MAR-12, 07-MAR-14, 02-NOV-20","51614, 108513, 84849, 91571, 134309, 138231","M34, M52, M52, M52, M52, M52",EDI,2023/04/18 00:00:00+00,121,4,6,N,,,S6,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL263-WORKORDER-20011114.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL263-WORKORDER-19930317.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL263-PLAN-197902327.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL263-PLAN-20130327.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL263-PLAN-20110726.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL263-PLAN-201002.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL263-PLAN-200003.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL263-PLAN-0203.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL263-INVESTIGATIONS-PRE1990.pdf,,18
80218,272761,SGL-148,8TH AVE AND BLANCHARD ST                                                                                                                                                                                                                                       ,2023/09/25 00:00:00+00,POOR,2008/09/22 00:00:00+00,INSVC,DISTRICT7, ,N,74,,1,29521,39118,PRE,DOWNTOWN,,GISADMIN,2005/03/17 17:11:08+00,SDOT,2008/12/15 00:00:00+00,2,, ,CITY,,N,N,NEON,,,,8,,N,,N,Y,N,N,N,N,N,N,,,,,N,N,N,3TS2-TYPE2,WIRELESS,TACTIS,MMU-16LEip,EMER,, ,NEC Service box next to cabinet,N,6,3S8RYG,N,N,2022/04/04 00:00:00+00,RACK, ,,,E1742691,"3.32SEH, 1.63, 3.32SEg, 3.57b OS-9, 3.57b OS-9","10-JUN-10, 19-JUL-02, 10-JUL-18, 25-JUL-18","10-JUL-18, 19-JUL-02, 10-JUN-10, 25-JUL-18","67483, 1710, 38793, 114912, 130835","M34,  , M34, M52, M52",EDI,2022/04/04 00:00:00+00,124,2,19,N,,,P6,,,,,,,,,,,0
80219,272762,SGL-679,BELLEVUE AVE AND E DENNY WAY                                                                                                                                                                                                                                   ,2022/10/26 00:00:00+00,FAIR,2008/08/19 00:00:00+00,INSVC,DISTRICT3, ,N,74,,1,29164,36756,SEMI,DOWNTOWN,,GISADMIN,2005/03/17 17:11:08+00,SDOT,2008/12/15 00:00:00+00,1,, ,CITY,,N,N,LEDCD,NAV-iN2,8,2014/03/20 00:00:00+00,8,,N,,N,N,N,N,N,N,N,N,,,,,N,N,N,2,COPPER,TACTIS,LT216E,,, ,SEC City Lgt Wood Pole (Next to Cabinet),Y,8,3S8RYG,N,N,2022/04/15 00:00:00+00,STANDAL, ,,,9952,"3.32SEh, 2.10","12-JUN-09, 21-MAR-91","02-SEP-22, 12-JUN-09","66948, 1570","M34,  ",TCT,2022/04/15 00:00:00+00,119,1,5,N,,,S8,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL679-WORKORDER-20030519.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL679-WORKORDER-20030319.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL679-WORKORDER-19980508.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL679-VEHICLEVOLUME-19840402.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL679-PLAN-19890925.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL679-PLAN-19890825.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL679-LEGAL-19890501.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL679-INVESTIGATIONS-PRE1990.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL679-DC-19820708.pdf,,12
80220,272763,SGL-270,AURORA AVE N AND N NORTHGATE WAY                                                                                                                                                                                                                               ,2023/04/04 00:00:00+00,FAIR,2008/07/11 00:00:00+00,INSVC,DISTRICT5, ,N,74,,1,36360,225323,SEMI,NORTH,,GISADMIN,2005/03/17 17:11:08+00,SDOT,2011/03/11 00:00:00+00,1,, ,CITY,,Y,N,LEDCD,"Reese, NAV-IN2S","8, 8",,8,2008/12/16 00:00:00+00,N,,N,N,Y,N,Y,N,N,N,,,,,N,Y,Y,6TS2,FIBER,TACTIS,MMU2-16LEi,EMER,, ,NEC SCL Wood Pole in Elect Box,Y,"8, 4","3S12RYG, 3S12RYGARW",N,N,2023/04/03 00:00:00+00,RACK, ,30,,E1896912,"3.32SEH, 3.33SEd, 3.33SEd","18-APR-08, 10-MAR-10, 05-SEP-13","10-MAR-10, 05-SEP-13","43920, 117266, 108513","M34, M52, M52",EDI,2023/04/03 00:00:00+00,121,4,0,N,,,S6,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL270-WORKORDER-20021210.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL270-WORKORDER-20010521.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL270-WORKORDER-20001219.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL270-WORKORDER-19971003.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL270-WORKORDER-19970407.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL270-WORKORDER-19960104.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL270-PLAN-20010828.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL270-PLAN-20010305.pdf,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Engineering Drawings\TO-SGL270-PLAN-19960408.pdf,2023/03/09 00:00:00+00,32
