X,Y,OBJECTID,station_name,latitude,longitude,lldatum,station_type,cdec_id,source,last_modified_date,modified_by,date_data_refers_to,comments,station_number,station_short_name,dwr_gw_site_code,positional_accuracy,County
-121.48183332974,37.8860555602688,1,Middle River Barrier well 2W screen 61-81 ft bgs,37.88605556,-121.48183333,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"01N04E36Q001M is part of a well cluster.  Other wells in the cluster are 01N04E36Q002,3,4M.",01N04E36Q001M,MRL-2W,378861N1214818W001,"Survey, 1m",San Joaquin
-121.482166670288,37.8848611097403,2,Middle River Barrier well 3W screen 14-34 ft bgs,37.88486111,-121.48216667,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"01N04E36Q002M is part of a well cluster.  Other wells in the cluster are 01N04E36Q001,3,4M.",01N04E36Q002M,MRL-3W,378849N1214822W001,"Survey, 1m",San Joaquin
-121.481916670941,37.8860277802778,3,Middle River Barrier well 2 screen 10-20 ft bgs,37.88602778,-121.48191667,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"01N04E36Q003M is part of a well cluster.  Other wells in the cluster are 01N04E36Q001,2,4M.",01N04E36Q003M,MLNO-2,378860N1214819W001,"Survey, 1m",San Joaquin
-121.481999999565,37.8850277801173,4,Middle River Barrier well 1 screen 10-20 ft bgs,37.88502778,-121.482,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"01N04E36Q004M is part of a well cluster.  Other wells in the cluster are 01N04E36Q001,2,3M.",01N04E36Q004M,MLNO-1,378850N1214820W001,"Survey, 1m",San Joaquin
-121.544333329968,37.818555559774,5,Grant Line Canal Barrier well 2W screen 10-25 ft bgs,37.81855556,-121.54433333,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"01S04E28F001M is part of a well cluster.  Other wells in the cluster are 01S04E28F002,3,4M.",01S04E28F001M,GLWL-2W,378186N1215443W001,"Survey, 1m",San Joaquin
-121.544444440789,37.8204166693706,6,Grant Line Canal Barrier well 1W screen 74-89 ft bgs,37.82041667,-121.54444444,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"01S04E28F002M is part of a well cluster.  Other wells in the cluster are 01S04E28F001,3,4M.",01S04E28F002M,GLWL-1W,378204N1215444W001,"Survey, 1m",San Joaquin
-121.543805560756,37.818555559774,7,Grant Line Canal Barrier well 1 screen 15-25 ft bgs,37.81855556,-121.54380556,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"01S04E28F003M is part of a well cluster.  Other wells in the cluster are 01S04E28F001,2,4M.",01S04E28F003M,GLNO-1,378186N1215438W001,"Survey, 1m",San Joaquin
-121.543611110531,37.8203333296418,8,Grant Line Canal Barrier well 2 screen 15-25 ft bgs,37.82033333,-121.54361111,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"01S04E28F004M is part of a well cluster.  Other wells in the cluster are 01S04E28F001,2,3M.",01S04E28F004M,GLNO-2,378203N1215436W001,"Survey, 1m",San Joaquin
-121.54263888995,37.8108333307782,9,Old River at Tracy Barrier well 5W screen 36-51 ft bgs,37.81083333,-121.54263889,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"01S04E28P001M is part of a well cluster.  Other wells in the cluster are 01S04E28P002,3,4M.",01S04E28P001M,ORL-5W,378108N1215426W001,"Survey, 1m",San Joaquin
-121.544888889463,37.8103055601959,10,Old River at Tracy Barrier well 1W screen 86-106 ft bgs,37.81030556,-121.54488889,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"01S04E28P002M is part of a well cluster.  Other wells in the cluster are 01S04E28P001,3,4M.",01S04E28P002M,ORL-1W,378103N1215449W001,"Survey, 1m",San Joaquin
-121.542194440379,37.8104999997014,11,Old River at Tracy Barrier well 4 screen 10-20 ft bgs,37.8105,-121.54219444,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"01S04E28P003M is part of a well cluster.  Other wells in the cluster are 01S04E28P001,2,4M.",01S04E28P003M,OLNO-4,378105N1215422W001,"Survey, 1m",San Joaquin
-121.542777779375,37.8096944404889,12,Old River at Tracy Barrier well 3 screen 10-20 ft bgs,37.80969444,-121.54277778,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"01S04E28P004M is part of a well cluster.  Other wells in the cluster are 01S04E28P001,2,3M.",01S04E28P004M,OLNO-3,378097N1215428W001,"Survey, 1m",San Joaquin
-121.321028750305,37.8625173100808,13,Upper Roberts Island Well 3A screen 12-17 ft bgs,37.86251731,-121.32102875,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,01S06E09E001M is part of a well cluster.  The other well in the cluster is 01S06E09E002M.,01S06E09E001M,UR-3A,378600N1213200W001,"GPS, 10m",San Joaquin
-121.321589370009,37.8625118903196,14,Upper Roberts Island Well 3B screen 15-20 ft bgs,37.86251189,-121.32158937,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,01S06E09E002M is part of a well cluster.  The other well in the cluster is 01S06E09E001M.,01S06E09E002M,UR-3B,378000N1213200W004,"GPS, 10m",San Joaquin
-121.32365658931,37.8513732504663,15,Upper Roberts Island Well 2A screen 12-17 ft bgs,37.85137325,-121.32365659,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,01S06E16D002M is part of a well cluster.  The other well in the cluster is 01S06E16D003M.,01S06E16D002M,UR-2A,378500N1213200W001,"GPS, 10m",San Joaquin
-121.3246480006,37.8512245404311,16,Upper Roberts Island Well 2B screen 14-19 ft bgs,37.85122454,-121.324648,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,01S06E16D003M is part of a well cluster.  The other well in the cluster is 01S06E16D002M.,01S06E16D003M,UR-2B,378500N1213200W002,"GPS, 10m",San Joaquin
-121.325647329642,37.811101360022,17,Upper Roberts Island Well 1A screen 23-28 ft bgs,37.81110136,-121.32564733,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"01S06E29R001M is part of a well cluster.  Other wells in the cluster are 01S06E29R002,3M.",01S06E29R001M,UR-1A,378000N1213200W001,"GPS, 10m",San Joaquin
-121.325661299343,37.8126085599964,18,Upper Roberts Island Well 1B screen 20-25 ft bgs,37.81260856,-121.3256613,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"01S06E29R002M is part of a well cluster.  Other wells in the cluster are 01S06E29R001,3M.",01S06E29R002M,UR-1B,378000N1213200W002,"GPS, 10m",San Joaquin
-121.325795170778,37.8130682399619,19,Upper Roberts Island Well 1C screen 35-40 ft bgs,37.81306824,-121.32579517,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"01S06E29R003M is part of a well cluster.  Other wells in the cluster are 01S06E29R001,2M.",01S06E29R003M,UR-1C,378000N1213200W003,"GPS, 10m",San Joaquin
-121.509416660189,38.120444444574,20,Delta Island Consumptive Use-Staten Island-ND69-25ft,38.12044444,-121.50941666,NAD83,Groundwater,,DWR Hydstra,2020/10/23 00:00:00+00,DWR Hydstra User,2023/10/16 00:00:00+00,"Elevation data taken from CASGEM, well depth approx 25ft",03N04E11L001M,ND69,381204N1215094W001,"GPS, 10m",San Joaquin
