region,region_code,period,tot_e_Rx,tot_e_Rx_thru_ehr,tot_e_Rx_thru_stand_alone,tot_primary_care_e_Rx,tot_non_primary_care_e_Rx,tot_nurse_prac_e_Rx,tot_phys_asst_e_Rx,pct_new_renewal_e_Rx,tot_med_hist_reqs,tot_med_hist_req_resps,pct_pharm_enabled,pct_pharm_e_Rx
National,US,2008,,,,,,,,0.04,,,,
National,US,2009,,,,,,,,0.11,,,,
National,US,2010,,,,,,,,0.19,,,,
National,US,2011,,,,,,,,0.32,,,,
National,US,2012,,,,,,,,0.52,,,,
National,US,2013,,,,,,,,0.57,,,,
National,US,2008-12,74478,52947,19182,32362,33445,6953,3170,,,,0.76,0.69
National,US,2009-01,81264,58320,20611,,,,,,,,,0.7
National,US,2009-02,88050,63693,22040,,,,,,,,,0.71
National,US,2009-03,94836,69066,23469,,,,,,,,,0.72
National,US,2009-04,101622,74439,24898,,,,,,,,,0.73
National,US,2009-05,108408,79812,26327,,,,,,,,,0.74
National,US,2009-06,115194,85185,27756,,,,,,,,,0.74
National,US,2009-07,121980,90558,29185,,,,,,,,,0.75
National,US,2009-08,128766,95931,30614,,,,,,,,,0.76
National,US,2009-09,135552,101304,32043,,,,,,,,,0.77
National,US,2009-10,142338,106677,33472,,,,,,,,,0.78
National,US,2009-11,149124,112050,34901,,,,,,,,,0.79
National,US,2009-12,155907,117418,36325,66375,84369,15264,8055,,,,0.84,0.8
National,US,2010-01,161340,122088,37070,,,,,,,,,0.81
National,US,2010-02,166773,126758,37815,,,,,,,,,0.81
National,US,2010-03,172206,131428,38560,,,,,,,,,0.82
National,US,2010-04,177639,136098,39305,,,,,,,,,0.82
National,US,2010-05,183072,140768,40050,,,,,,,,,0.83
National,US,2010-06,188502,145436,40793,81514,104838,19795,10623,,15838320,14311647,0.86,0.83
National,US,2010-07,196045,151803,41980,,,,,,,,,0.84
National,US,2010-08,203588,158170,43167,,,,,,,,,0.84
National,US,2010-09,211131,164537,44354,,,,,,,,,0.85
National,US,2010-10,218674,170904,45541,,,,,,,,,0.85
National,US,2010-11,226217,177271,46728,,,,,,,,,0.86
National,US,2010-12,233760,183634,47913,98920,132076,25712,13374,,23441394,20989258,0.89,0.87
National,US,2011-01,241773,190452,49079,93844,129486,27301,13687,,21706204,19282377,0.9,0.88
National,US,2011-02,250985,197963,50809,105255,142619,28211,14738,,23146944,19886855,0.9,0.87
National,US,2011-03,262580,206308,54064,108054,151374,28663,15208,,27547279,24112623,0.9,0.88
National,US,2011-04,277803,219788,55858,111362,163249,30731,16540,,25208238,22439129,0.91,0.89
National,US,2011-05,302482,235480,64834,117410,181577,32746,17949,,27607243,24791972,0.91,0.9
National,US,2011-06,343830,260998,80641,127213,212298,35791,20098,,31308741,27255843,0.92,0.9
National,US,2011-07,338339,262797,73343,126238,205417,35839,19917,,28870989,26177827,0.92,0.9
National,US,2011-08,348608,275004,71338,125480,202853,35468,19685,,33403554,29851740,0.92,0.91
National,US,2011-09,357400,285216,69858,132005,216116,37767,20952,,32498789,28691583,0.92,0.91
National,US,2011-10,370357,297019,70865,135486,224663,38792,21622,,32648354,29056720,0.93,0.91
National,US,2011-11,382202,308852,70790,139343,232103,40073,22374,,32568208,28946239,0.93,0.92
National,US,2011-12,390486,315968,71932,142008,237152,40996,22998,,37205524,33726350,0.93,0.92
National,US,2012-01,395299,323390,69478,143832,239509,41761,23440,,38554652,34869547,0.93,0.92
National,US,2012-02,401572,330616,68558,146307,242697,42863,23896,,37811972,34314599,0.93,0.93
National,US,2012-03,409767,338412,68987,148971,247722,43951,24554,,40864399,37390208,0.93,0.93
National,US,2012-04,418478,346745,69363,151666,253207,45065,25294,,40218628,36792357,0.94,0.93
National,US,2012-05,429912,356845,70237,155113,260549,46008,26017,,43149484,40159468,0.94,0.93
National,US,2012-06,442770,367846,71806,158372,269224,47540,26914,,42040983,39117822,0.94,0.94
