NDC1,NDC2,NDC3,Labeler Name,Labeler Status,FDA Name,COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Line Extension,FDA Approval Date,Market Date,Unit Type,Units Per Package Size,Therapeutic Equivalent Code,5i Indicator,Purchased Product Date,Coverage Effective Date,Drug Termination Date,Drug Reactivation Date,Date Reported to CMS
00013,1042,01,PFIZER LABORATORIES DIV PFIZER INC,Active,ESTRING 2MG VAGSYS 1X1 PCH US,3,20472,S,1,N,4/26/1996,11/15/1996,EA,1,NR,Y,6/13/2023,6/13/2023,,,6/26/2023
00074,2340,30,ABBVIE INC,Active,NORVIR 100MG X30 FTBL US,3,22417,I,1,N,2/11/2010,2/17/2010,TAB,1,AB,N,5/8/2023,5/8/2023,,,6/27/2023
00074,7098,06,ABBVIE INC,Active,VUITY 1.25% 5ML,3,214028,S,1,Y,10/28/2021,12/6/2021,ML,5,NR,Y,,12/6/2021,,,6/27/2023
00121,1012,05,PAI,Active,Lacosamide Oral Solution USP - CV 50mg/5mL 5mL UD Cup,1,216151,N,1,N,8/26/2022,8/26/2022,ML,5,AA,N,5/1/2023,5/1/2023,,,6/28/2023
00121,1012,95,PAI,Active,Lacosamide Oral Solution USP - CV 50mg/5mL 10/cs,1,216151,N,1,N,8/26/2022,8/26/2022,ML,50,AA,N,5/1/2023,5/1/2023,,,6/28/2023
00121,2024,10,PAI,Active,Lacosamide Oral Solution USP - CV 100mg/10mL 10mL UD Cup,1,216151,N,1,N,8/26/2022,8/26/2022,ML,10,AA,N,5/1/2023,5/1/2023,,,6/28/2023
00121,2024,95,PAI,Active,Lacosamide Oral Solution USP - CV 100mg/10mL 10/cs,1,216151,N,1,N,8/26/2022,8/26/2022,ML,100,AA,N,5/1/2023,5/1/2023,,,6/28/2023
00143,9753,01,HIKMA PHARMACEUTICALS USA INC.,Active,methylPREDNISolone Sodium Succinate 40mg/vial Inj (IP),1,203125,N,1,N,9/26/2022,5/16/2023,EA,1,AP,Y,,5/16/2023,,,6/29/2023
00143,9753,25,HIKMA PHARMACEUTICALS USA INC.,Active,methylPREDNISolone Sodium Succinate 40mg/vial Inj x 25,1,203125,N,1,N,9/26/2022,5/16/2023,EA,25,AP,Y,,5/16/2023,,,6/29/2023
00143,9754,01,HIKMA PHARMACEUTICALS USA INC.,Active,methylPREDNISolone Sodium Succinate for Inj 125mg/vial (IP),1,203125,N,1,N,9/26/2022,5/16/2023,EA,1,AP,Y,,5/16/2023,,,6/29/2023
00143,9754,25,HIKMA PHARMACEUTICALS USA INC.,Active,methylPREDNISolone Sodium Succinate for Inj 125mg/vial x 25,1,203125,N,1,N,9/26/2022,5/16/2023,EA,25,AP,Y,,5/16/2023,,,6/29/2023
00187,1660,06,"BAUSCH HEALTH US, LLC.",Active,THERASEAL 1% CREAM,10,PART347,N,2,N,1/1/2012,1/1/2012,GM,180,NR,N,1/1/2012,1/1/2012,2/17/2017,,6/28/2023
00338,9638,01,BAXTER HEALTHCARE CORPORATION,Active,ZOSYN INJ 4GM PIPERACILLIN-100ML,3,50750,I,1,N,2/24/1998,1/23/2006,ML,100,NR,Y,5/3/2023,5/3/2023,,,6/30/2023
00338,9638,12,BAXTER HEALTHCARE CORPORATION,Active,ZOSYN INJ 4GM PIPERACILLIN-100ML,3,50750,I,1,N,2/24/1998,1/23/2006,ML,100,NR,Y,5/3/2023,5/3/2023,,,6/30/2023
00527,0760,37,"LANNETT COMPANY, INC.",Active,"Dextroamphetamine-Amphetamine Salts IR Tablets, 5mg",1,215565,N,1,N,7/8/2022,5/1/2023,TAB,100,AB,N,5/1/2023,5/1/2023,,,6/28/2023
00527,0762,37,"LANNETT COMPANY, INC.",Active,"Dextroamphetamine-Amphetamine Salts IR Tablets, 10mg",1,215565,N,1,N,7/8/2022,5/1/2023,TAB,100,AB,N,5/1/2023,5/1/2023,,,6/28/2023
00527,0766,37,"LANNETT COMPANY, INC.",Active,"Dextroamphetamine-Amphetamine Salts IR Tablets, 30mg",1,215565,N,1,N,7/8/2022,5/1/2023,TAB,100,AB,N,5/1/2023,5/1/2023,,,6/28/2023
00884,8211,04,PEDINOL PHARMACAL INC,Active,FUNGOID-D 1% CREAM,10,part333,N,2,N,8/1/2011,7/1/2012,GM,113,NR,N,7/1/2012,7/1/2012,1/31/2020,,6/28/2023
21922,0045,01,ENCUBE ETHICALS PVT. LTD.,Active,Mesalamine Suspension Rectal Enema - singles,1,216941,N,1,N,5/30/2023,6/1/2023,ML,60,AB,N,,6/1/2023,,,6/27/2023
21922,0045,47,ENCUBE ETHICALS PVT. LTD.,Active,Mesalamine Suspension Rectal Enema -- 7s,1,216941,N,1,N,5/30/2023,6/1/2023,ML,60,AB,N,,6/1/2023,,,6/27/2023
21922,0045,49,ENCUBE ETHICALS PVT. LTD.,Active,Mesalamine Suspension Rectal Enema -- 28s,1,216941,N,1,N,5/30/2023,6/1/2023,ML,60,AB,N,,6/1/2023,,,6/27/2023
23155,0842,01,"HERITAGE PHARMACEUTICALS, INC.",Active,"Metformin HCL Tabs 850mg, 100ct",1,213320,N,1,N,12/3/2021,5/5/2023,TAB,1,AB,N,,5/5/2023,,,6/29/2023
23155,0844,03,"HERITAGE PHARMACEUTICALS, INC.",Active,"Amlodipine Besylate/Valsartan Tabs 5/160mg, 30ct",1,90011,N,1,N,3/28/2013,9/30/2014,TAB,1,AB,N,5/3/2023,5/3/2023,,,6/29/2023
23155,0844,09,"HERITAGE PHARMACEUTICALS, INC.",Active,"Amlodipine Besylate/Valsartan Tabs 5/160mg, 90ct",1,90011,N,1,N,3/28/2013,9/30/2014,TAB,1,AB,N,5/3/2023,5/3/2023,,,6/29/2023
23155,0845,03,"HERITAGE PHARMACEUTICALS, INC.",Active,"Amlodipine Besylate/Valsartan Tabs 10/160mg, 30ct",1,90011,N,1,N,3/28/2013,9/30/2014,TAB,1,AB,N,5/3/2023,5/3/2023,,,6/29/2023
23155,0845,09,"HERITAGE PHARMACEUTICALS, INC.",Active,"Amlodipine Besylate/Valsartan Tabs 10/160mg, 90ct",1,90011,N,1,N,3/28/2013,9/30/2014,TAB,1,AB,N,5/3/2023,5/3/2023,,,6/29/2023
23155,0846,03,"HERITAGE PHARMACEUTICALS, INC.",Active,"Amlodipine Besylate/Valsartan Tabs 5/320mg, 30ct",1,90011,N,1,N,3/28/2013,5/3/2023,TAB,1,AB,N,5/3/2023,5/3/2023,,,6/29/2023
23155,0846,09,"HERITAGE PHARMACEUTICALS, INC.",Active,"Amlodipine Besylate/Valsartan Tabs 5/320mg, 90ct",1,90011,N,1,N,3/28/2013,5/3/2023,TAB,1,AB,N,5/3/2023,5/3/2023,,,6/29/2023
23155,0847,03,"HERITAGE PHARMACEUTICALS, INC.",Active,"Amlodipine Besylate/Valsartan Tabs 10/320mg, 30ct",1,90011,N,1,N,3/28/2013,9/30/2014,TAB,1,AB,N,5/30/2023,5/30/2023,,,6/29/2023
23155,0847,09,"HERITAGE PHARMACEUTICALS, INC.",Active,"Amlodipine Besylate/Valsartan Tabs 10/320mg, 90ct",1,90011,N,1,N,3/28/2013,9/30/2014,TAB,1,AB,N,5/30/2023,5/30/2023,,,6/29/2023
