OBJECTID,WLD_NAME,CASEFILE,AUTH_NAME,AUTH_DATE,ADMIN_ST,JURIS_CODE,BOUNDARY_STATUS,SHAPE_Length,SHAPE_Area
1,Steens Mountain Wilderness,OR-56177,106-399,20001030,OR,BL,Unknown,0.124536084750242,0.000210247372077075
2,inholding, ,,,OR,BL,Unknown,0.0317499490943383,5.43590117025909e-05
3,Steens Mountain Wilderness,OR-56177,106-399,20001030,OR,BL,Unknown,0.608573070470303,0.00561041633417171
4,Steens Mountain Wilderness,OR-56177,106-399,20001030,OR,BL,Unknown,0.0318553385439562,2.14106054388266e-05
5,state inholding, ,,,OR,BL,Unknown,0.0555368109119284,0.000192321955204255
6,inholding, ,,,OR,BL,Unknown,0.0880889501592385,0.000267024002934142
7,inholding, ,,,OR,BL,Unknown,0.0685763385232715,0.000287359608527354
8,inholding, ,,,OR,BL,Unknown,0.0486786048855497,0.000141969157835921
9,Soda Mountain Wilderness,OR-66118,111-011,20090330,OR,BL,Unknown,0.0189324824679589,1.75062697639041e-05
10,Soda Mountain Wilderness,OR-66118,111-011,20090330,OR,BL,Unknown,0.642827325605782,0.00779499468929836
11,Oregon Badlands Wilderness,OROR   067088,111-011,20090330,OR,BL,Unknown,0.828107011260851,0.0132843149384822
12,Steens Mountain Wilderness,OR-56177,106-399,20001030,OR,BL,Unknown,2.6440511040345,-0.0395621450557671
13,inholding,,,,OR,BL,Unknown,0.0157974681485407,1.54842154511978e-05
14,inholding,,,,OR,BL,Unknown,0.0170098344656083,1.76661949031773e-05
15,Soda Mountain Wilderness,OR-66118,111-011,20090330,OR,BL,Unknown,0.433147578680158,0.00306684436964821
16,inholding,,,,OR,BL,Unknown,0.00605055569241096,2.20006263130564e-06
17,inholding,,,,OR,BL,Unknown,0.00848604336097354,4.40314243082282e-06
18,Steens Mountain Wilderness,OR-56177,106-399,20001030,OR,BL,Unknown,0.00603132921119089,2.1826852008816e-06
19,Steens Mountain Wilderness,OR-56177,106-399,20001030,OR,BL,Unknown,0.661795194726115,0.00918552063936868
20,Steens Mountain Wilderness,OR-56177,106-399,20001030,OR,BL,Unknown,1.29219771272995,0.0141770301300956
21,inholding, ,,,OR,BL,Unknown,0.0949303366917048,0.000282845722006301
22,inholding, ,,,OR,BL,Unknown,0.0132390783100016,8.68159037794223e-06
23,inholding, ,,,OR,BL,Unknown,0.0113177744794541,6.96097221607e-06
24,inholding, ,,,OR,BL,Unknown,0.0351842928081096,7.65725606165546e-05
25,inholding, ,,,OR,BL,Unknown,0.0132737394687152,8.71892111633961e-06
26,inholding, ,,,OR,BL,Unknown,0.0508937588946796,8.78938500388281e-05
27,inholding, ,,,OR,BL,Unknown,0.0411278810553519,7.03093255432247e-05
28,inholding, ,,,OR,BL,Unknown,0.0169628608943532,1.75664350439515e-05
29,inholding, ,,,OR,BL,Unknown,0.0170319197061999,1.77249195053511e-05
30,inholding, ,,,OR,BL,Unknown,0.0131958693343015,8.65870852133431e-06
31,inholding, ,,,OR,BL,Unknown,0.0132090092310705,8.66240439855312e-06
32,inholding, ,,,OR,BL,Unknown,0.0132834584037725,8.7262578917474e-06
33,inholding, ,,,OR,BL,Unknown,0.0230167350742322,1.75463248704972e-05
34,inholding, ,,,OR,BL,Unknown,0.0133409227255506,8.72229729702782e-06
35,inholding, ,,,OR,BL,Unknown,0.0133344651571175,8.78914293295487e-06
36,Steens Mountain Wilderness,OR-56177,106-399,20001030,OR,BL,Unknown,0.527176229257687,0.00678697528159327
37,inholding, ,,,OR,BL,Unknown,0.0133223149986684,8.77843858644148e-06
38,inholding, ,,,OR,BL,Unknown,0.05687850495602,7.89545447130316e-05
39,inholding, ,,,OR,BL,Unknown,0.026794755178376,3.5370176355969e-05
40,Table Rock Wilderness,OR-37275,98-328,19840626,OR,BL,Unknown,0.365171010311968,0.00267146471345172
41,Wild Rogue Wilderness,OR-19189,95-327,19780224,OR,BL,Unknown,0.406163932371172,0.00383122165433476
42,Hells Canyon Wilderness(blm),OR-22362,98-328,19840626,OR,BL,Unknown,0.125439208395854,0.00043784606530892
43,inholding, ,,,OR,BL,Unknown,0.0990746138847751,0.000282991752121544
44,inholding,,,,OR,BL,Unknown,0.0172627045653467,1.81419823196019e-05
45,Steens Mountain Wilderness,OR-56177,106-399,20001030,OR,BL,Unknown,0.0048142206708596,1.03934910141294e-06
46,inholding,OR-37294,98-339,19840703,OR,BL,Unknown,0.0221988812507302,7.94385199227813e-06
47,Devil's Staircase Wilderness,OROR 069814,116-9,20190312,OR,BL,Unknown,0.216435336246793,0.00159125574136944
48,Devil's Staircase Wilderness,OROR 069814,116-9,20190312,OR,BL,Unknown,0.0831149965310835,0.000410079418011692
49,Devil's Staircase Wilderness,OROR 069814,116-9,20190312,OR,BL,Unknown,0.0433887181298736,4.94247447554079e-05
50,Devil's Staircase Wilderness,OROR 069815,116-9,20190312,OR,FS,Unknown,0.870825971830376,0.0107443489825891
51,Devil's Staircase Wilderness,OROR 069814,116-9,20190312,OR,BL,Unknown,0.190667830837226,0.000912925447267915
52,Devil's Staircase Wilderness,OROR 069814,116-9,20190312,OR,BL,Unknown,0.0205769463130465,2.6319188047487e-05
53,Juniper Dunes Wilderness,WAOR   037294,98-339,19840703,OR,BL,Unknown,0.268435733898588,0.00349012631089281
54,Lower White River Wilderness,OROR   067085,111-011,20090330,OR,FS,Final,0.00930028177818912,-5.45932059436427e-06
55,Lower White River Wilderness,OROR   067085,111-011,20090330,OR,BL,Final,0.239372772362169,-0.000519773293603431
56,Lower White River Wilderness,OROR   067085,111-011,20090330,OR,FS,Final,0.216796726873586,-0.000797429252937692
57,Spring Basin Wilderness,OR-67087,111-011,20090330,OR,BL,Pending,0.359607589608477,-0.00422507468047161
