OBJECTID,SUBJ_FIRE1940,SHAPE_Length,SHAPE_Area
1,50_99,2.34614664138271,0.0271660677375946
2,0_49,14.5141743735905,0.311984569570324
3,50_99,0.76310982683208,0.0077994018538746
4,50_99,0.843210612950931,0.00848210751097985
5,50_99,0.148928275526278,0.00105135476759962
6,50_99,0.653428216520782,0.00516039739384325
7,200+,0.154615319006639,0.00123802067727131
8,50_99,0.107391560095596,0.000530654759393039
9,200+,0.20232853032128,0.00220082394808991
10,50_99,0.0509946560678113,0.000115543413601183
11,50_99,0.148183312393978,0.00117153897021164
12,50_99,0.23904399281268,0.00160189627550919
13,50_99,0.0465846475362001,0.000150045032262745
14,50_99,0.0798144023143588,0.000364943475652583
15,200+,0.686204618982831,0.0106414779701655
16,50_99,0.10431297377268,0.000452459941947344
17,50_99,0.0849758505602958,0.000303132820609093
18,50_99,0.129289054073947,0.000809801672303212
19,50_99,0.222354223471709,0.00193523044903626
20,50_99,0.0815164083858722,0.000447328195724069
21,50_99,0.20611130826653,0.00191842625817257
22,50_99,0.167011409973979,0.00103804969965592
23,50_99,0.140953926222437,0.000730386995354674
24,50_99,0.219698831504187,0.00127979016834827
25,50_99,0.0253065332377464,3.87846036441872e-05
26,50_99,0.0811119504198953,0.000232907172805602
27,50_99,0.0753854281594373,0.000167384792105169
28,50_99,0.182266162303768,0.00116577362743346
29,50_99,0.0616893167093738,0.000213547101443149
30,50_99,0.12258564628428,0.000482862813307838
31,50_99,0.0981962875084409,0.000513390408761001
32,50_99,0.683590240661152,0.00555194298706906
33,200+,0.819908839815729,0.0109736280020512
34,50_99,0.0745433004743701,0.000254279013771871
35,50_99,0.0859410548319139,0.000380832667013954
36,50_99,0.0576559166183778,0.000141754635795596
37,50_99,0.138112135169184,0.00095456305620003
38,50_99,0.102254699356784,0.000521368394704341
39,50_99,0.0643064803978778,0.000226658757854701
40,BURNED,0.246240852947216,0.00244052406207996
41,50_99,0.21482079971001,0.00148323597696339
42,50_99,0.0837325326686093,0.000434299049176037
43,BURNED,0.671819203588136,0.0170155598933632
44,50_99,0.0593390890453279,0.000245503245872942
45,200+,0.177348457413495,0.00191061027488355
46,50_99,0.180813981223772,0.00102747985652741
47,200+,0.187077966296683,0.00195099495803876
48,50_99,1.00869093844413,0.0084048934822935
49,200+,0.181635472432042,0.0013810795652011
50,50_99,0.366770778770597,0.00350912255398434
51,200+,0.850388537522217,0.00946181347730706
52,50_99,0.0927768693131426,0.00051040126994662
53,200+,0.180723414934081,0.00137321660236583
54,200+,0.126798308040968,0.000695362182532247
55,50_99,0.711945029724782,0.00603164698110634
56,50_99,0.101298998896741,0.00052962964246509
57,BURNED,0.254970741820745,0.00212443402445031
58,50_99,0.512102184762409,0.00411850751024656
59,0_49,1.39347192577934,0.0238852788348856
60,BURNED,2.16059517997896,0.103208521089382
61,BURNED,0.130036711662533,0.00125986946411773
62,0_49,0.41697467321533,0.00342001150700522
63,50_99,0.212250038621051,0.00219127629478297
64,BURNED,0.241501442303823,0.00301468973939608
65,50_99,0.133482313481952,0.000773063083968416
66,100_199,7.18885564012817,0.094293940913169
67,0_49,0.138652812795451,0.000997231862744685
68,50_99,0.159076591093795,0.00138944682661292
69,50_99,0.268525819324418,0.00308539535734535
70,50_99,0.669994523942391,0.00753872047357565
71,100_199,0.208279459431276,0.00137058522958088
72,0_49,0.158533362727331,0.000869893330986889
73,0_49,1.06255000560825,0.0200022791239573
74,0_49,0.599514181257759,0.0125584206163893
75,200+,1.10524225782084,0.0196531637450937
76,100_199,0.234949819188085,0.00176421388922665
77,50_99,0.56786885947738,0.00369227740454838
78,100_199,0.0458696393981086,8.88801300972434e-05
79,0_49,0.410137772498826,0.00262067325954935
80,50_99,0.232895249819788,0.00157259700820568
81,100_199,0.183501772573723,0.000921608340667964
82,100_199,0.161997557394327,0.00082781626023878
83,0_49,0.325931162485082,0.00499281537951893
84,0_49,0.998465888838157,0.00959631454923347
85,0_49,0.100170450634638,0.000538522843706926
86,0_49,0.251751025712417,0.00140797421024047
