OBJECTID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,BlockGroup,PercentPopBelow200FPL,PopBelow200FPL,Population,PercentPopulationBelow200FPL,NAME,Percent_minority,LE_Percent,SHAPE_Length,SHAPE_Area
1,09,001,043000,2,090010430002,Block Group 2,G5030,S,412988,23479,+41.1304572,-073.4326768,"Block Group 2, Census Tract 430, Fairfield County, Connecticut",0.454,337,743,45.4,Norwalk,65.14131898,0,9232.72385207445,-4698142.6131086
2,09,001,043200,3,090010432003,Block Group 3,G5030,S,498691,0,+41.1059425,-073.4352951,"Block Group 3, Census Tract 432, Fairfield County, Connecticut",0.467,935,2004,46.7,Norwalk,69.66067864,19.14580265,10361.4720516523,-5367948.09875624
3,09,001,044200,3,090010442003,Block Group 3,G5030,S,434473,114678,+41.0981594,-073.4101572,"Block Group 3, Census Tract 442, Fairfield County, Connecticut",0.376,361,959,37.6,Norwalk,71.637122,15.02347418,10264.676378603,-5911139.72478986
4,09,001,043700,2,090010437002,Block Group 2,G5030,S,601034,59749,+41.1119648,-073.4143835,"Block Group 2, Census Tract 437, Fairfield County, Connecticut",0.4,541,1351,40,Norwalk,63.87472688,10.53391053,12962.4026505518,-7112751.36898975
5,09,001,043800,5,090010438005,Block Group 5,G5030,S,286332,0,+41.1082836,-073.4303841,"Block Group 5, Census Tract 438, Fairfield County, Connecticut",0.636,1055,1660,63.6,Norwalk,74.87951807,25.27075812,8858.89005153233,-3082092.96958808
6,09,001,043900,2,090010439002,Block Group 2,G5030,S,675736,0,+41.0878019,-073.4328373,"Block Group 2, Census Tract 439, Fairfield County, Connecticut",0.317,743,2344,31.7,Norwalk,83.06313993,10.18808777,12966.3815964478,-7273738.2376705
7,09,001,044500,2,090010445002,Block Group 2,G5030,S,737917,0,+41.0817120,-073.4267383,"Block Group 2, Census Tract 445, Fairfield County, Connecticut",0.649,1473,2271,64.9,Norwalk,85.68912373,18.69158879,12199.5752757349,-7943083.98373002
8,09,001,044400,1,090010444001,Block Group 1,G5030,S,2432608,10352977,+41.0584635,-073.4104283,"Block Group 1, Census Tract 444, Fairfield County, Connecticut",0.483,1363,2821,48.3,Norwalk,65.57958171,16.95966908,58020.8684930611,-137626699.761488
9,09,001,044000,4,090010440004,Block Group 4,G5030,S,127085,0,+41.0960664,-073.4243122,"Block Group 4, Census Tract 440, Fairfield County, Connecticut",0.381,208,546,38.1,Norwalk,56.41025641,9.84126984,6097.59334293864,-1367982.16693783
10,09,001,044200,2,090010442002,Block Group 2,G5030,S,386803,40317,+41.1037107,-073.4113807,"Block Group 2, Census Tract 442, Fairfield County, Connecticut",0.394,353,897,39.4,Norwalk,59.19732441,16.31016043,9433.03812175045,-4597564.02941373
11,09,001,042600,4,090010426004,Block Group 4,G5030,S,443675,0,+41.1280789,-073.3913137,"Block Group 4, Census Tract 426, Fairfield County, Connecticut",0.341,404,1184,34.1,Norwalk,57.10723192,10.59479554,10001.0494151916,-4775719.56414825
12,09,001,044000,1,090010440001,Block Group 1,G5030,S,266160,0,+41.1036301,-073.4222762,"Block Group 1, Census Tract 440, Fairfield County, Connecticut",0.334,307,918,33.4,Norwalk,79.19389978,22.19570406,7026.27302589987,-2864984.35169028
13,09,001,044000,2,090010440002,Block Group 2,G5030,S,224170,0,+41.1025222,-073.4268320,"Block Group 2, Census Tract 440, Fairfield County, Connecticut",0.495,506,1022,49.5,Norwalk,72.40704501,24.08906883,6635.58948033378,-2412994.79364969
14,09,001,044000,3,090010440003,Block Group 3,G5030,S,302639,0,+41.0976095,-073.4278696,"Block Group 3, Census Tract 440, Fairfield County, Connecticut",0.555,863,1555,55.5,Norwalk,83.1511254,7.27969349,7420.23097851505,-3257647.61258017
15,09,001,044100,1,090010441001,Block Group 1,G5030,S,633830,87914,+41.0999775,-073.4184457,"Block Group 1, Census Tract 441, Fairfield County, Connecticut",0.413,927,2245,41.3,Norwalk,68.46325167,7.74125133,17559.6226381756,-7768920.03578544
