Year,OSHPD_ID,Facility Name,County,Type of Ownership,Hospital Type,Teaching,Small/Rural,Licensed Beds,Available Beds,Staffed Beds,Patient Days by Payer,Total Patient Days,Total Patient Days Percent,Payer,LTC Patient Days,Location
2012,106100899,ST. AGNES MEDICAL CENTER,Fresno,Non-Profit,Comparable,,,436,436,436,$57131.00,99489,57.4%,Medicare,0,"FRESNO, California
(36.731654, -119.785856)"
2013,106190066,BELLFLOWER MEDICAL CENTER,Los Angeles,Investor,Comparable,,,114,110,110,$253.00,5720,4.4%,Other Payers,0,"BELLFLOWER, California
(33.882076, -118.125256)"
2010,106190328,EAST VALLEY HOSPITAL MEDICAL CENTER,LOS ANGELES,Non-Profit,Comparable,,,128,128,128,$121.00,13608,0.9%,Other Payers,0,"GLENDORA, California
(34.136001, -117.865485)"
2013,106380868,LANGLEY PORTER PSYCHIATRIC INSTITUTE,San Francisco,Non-Profit,Comparable,,,67,22,22,$111.00,5813,1.9%,Other Payers,0,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2014,106560508,ST. JOHN'S PLEASANT VALLEY HOSPITAL,Ventura,Non-Profit,Comparable,,,180,127,78,$65.00,27515,0.2%,Other Payers,15835,"CAMARILLO, California
(34.225403, -119.050667)"
2015,106490964,HEALDSBURG DISTRICT HOSPITAL,Sonoma,District,Comparable,,Rural,42,38,27,$150.00,9352,1.6%,Other Payers,0,"HEALDSBURG, California
(38.615845, -122.871942)"
2014,106301317,SADDLEBACK MEMORIAL MEDICAL CENTER,Orange,Non-Profit,Comparable,,,325,325,152,$346.00,53169,0.7%,Other Payers,0,"LAGUNA HILLS, California
(33.612927, -117.710412)"
2015,106361458,COLORADO RIVER MEDICAL CENTER,San Bernardino,Investor,Comparable,,Rural,25,25,25,$26.00,1437,1.8%,Other Payers,0,"NEEDLES, California
(34.848419, -114.614002)"
2014,106390923,LODI MEMORIAL HOSPITAL,San Joaquin,Non-Profit,Comparable,,,214,190,110,$143.00,31213,0.5%,Other Payers,0,"LODI, California
(38.135674, -121.279196)"
2010,106231396,UKIAH VALLEY MEDICAL CENTER,MENDOCINO,Non-Profit,Comparable,,Small,78,65,58,$103.00,11646,0.9%,Other Payers,0,"UKIAH, California
(39.149997, -123.207635)"
2010,106084001,SUTTER COAST HOSPITAL,DEL NORTE,Non-Profit,Comparable,,Small,49,49,49,$396.00,8001,4.9%,Other Payers,0,"CRESCENT CITY, California
(41.754772, -124.204373)"
2011,106230949,FRANK R HOWARD MEMORIAL HOSPITAL,Mendocino,Non-Profit,Comparable,,Rural,25,25,25,$104.00,5347,1.9%,Other Payers,385,"WILLITS, California
(39.409044, -123.353523)"
2015,106334564,TEMECULA VALLEY HOSPITAL,Riverside,Investor,Comparable,,,140,140,140,$15260.00,25364,60.2%,Medicare,0,"TEMECULA, California
(33.493399, -117.148787)"
2014,106141273,NORTHERN INYO HOSPITAL,Inyo,District,Comparable,,Rural,25,25,12,$117.00,3344,3.5%,Other Payers,0,"BISHOP, California
(37.361412, -118.39527)"
2014,106214034,NOVATO COMMUNITY HOSPITAL,Marin,Non-Profit,Comparable,,,47,47,18,$142.00,4590,3.1%,Other Payers,0,"NOVATO, California
(38.109189, -122.578257)"
2010,106560481,VENTURA COUNTY MEDICAL CENTER,VENTURA,City/County,Comparable,,,272,251.75,148.5,$9579.00,49784,19.2%,Medicare,0,"VENTURA, California
(34.280832, -119.293107)"
2015,106361339,ST. BERNARDINE MEDICAL CENTER,San Bernardino,Non-Profit,Comparable,,,342,322,314,$235.00,69063,0.3%,Other Payers,0,"SAN BERNARDINO, California
(34.108323, -117.29415)"
2010,106105029,FRESNO HEART & SURGICAL HOSPITAL,FRESNO,Investor,Comparable,,,57,57,50,$22.00,10109,0.2%,Other Payers,0,"Fresno, California
(36.731654, -119.785856)"
2011,106361266,MOUNTAINS COMMUNITY HOSPITAL,San Bernardino,District,Comparable,,Rural,37,37,25,$165.00,8055,2%,Other Payers,7430,"LAKE ARROWHEAD, California
(34.251974, -117.181983)"
2014,106514030,SUTTER SURGICAL HOSPITAL-NORTH VALLEY,Sutter,Non-Profit,Comparable,,,14,14,14,$3.00,1309,0.2%,Other Payers,0,"YUBA CITY, California
(39.13222, -121.625147)"
2014,106100005,COMMUNITY MEDICAL CENTER - CLOVIS,Fresno,Non-Profit,Comparable,,,208,208,146,$322.00,49730,0.6%,Other Payers,0,"CLOVIS, California
(36.823982, -119.696376)"
2015,106504038,STANISLAUS SURGICAL HOSPITAL,Stanislaus,Investor,Comparable,,,23,23,23,$1.00,1221,0.1%,Other Payers,0,"MODESTO, California
(37.640735, -121.002435)"
2012,106141273,NORTHERN INYO HOSPITAL,Inyo,District,Comparable,,Rural,25,25,7,$100.00,2434,4.1%,Other Payers,0,"BISHOP, California
(37.361412, -118.39527)"
2010,106370782,UNIVERSITY OF CALIFORNIA-SAN DIEGO MED CENTER,SAN DIEGO,Non-Profit,Comparable,Teaching,,549,534,534,$61.00,137903,0%,Other Payers,0,"SAN DIEGO, California
(32.71576, -117.163817)"
2010,106190280,ENCINO MEDICAL CENTER,LOS ANGELES,Investor,Comparable,,,150,150,150,$395.00,21211,1.9%,Other Payers,0,"ENCINO, California
(34.159199, -118.500298)"
2015,106340951,METHODIST HOSPITAL OF SACRAMENTO,Sacramento,Non-Profit,Comparable,,,329,329,329,$413.00,96001,0.4%,Other Payers,55906,"SACRAMENTO, California
(38.582087, -121.50012)"
2013,106350784,HAZEL HAWKINS MEMORIAL HOSPITAL,San Benito,District,Comparable,,Rural,176,159,133,$11099.00,42874,25.9%,Medicare,35561,"HOLLISTER, California
(36.852513, -121.402063)"
2013,106364430,BARSTOW COMMUNITY HOSPITAL,San Bernardino,Investor,Comparable,,Rural,30,30,30,$76.00,6969,1.1%,Other Payers,0,"BARSTOW, California
(34.899659, -117.02405)"
2013,106074097,KAISER FDN HOSP - ANTIOCH,Contra Costa,Non-Profit,Kaiser Foundation Health,,,150,146,106,$365.00,22317,1.6%,Other Payers,0,"ANTIOCH, California
(38.016907, -121.813771)"
2013,106300032,CHILDREN'S HOSPITAL - ORANGE COUNTY,Orange,Non-Profit,Comparable,,,279,279,279,$412.00,59243,0.7%,Other Payers,0,"ORANGE, California
(33.791489, -117.853096)"
2012,106474007,FAIRCHILD MEDICAL CENTER,Siskiyou,Non-Profit,Comparable,,Rural,28,25,25,$219.00,4838,4.5%,Other Payers,0,"YREKA, California
(41.731582, -122.635649)"
2012,106514030,SUTTER SURGICAL HOSPITAL - NORTH VALLEY,Sutter,Non-Profit,Comparable,,,14,14,14,$5.00,1290,0.4%,Other Payers,0,"YUBA CITY, California
(39.13222, -121.625147)"
2010,106190163,AURORA CHARTER OAK,LOS ANGELES,Investor,Comparable,,,95,95,88,$198.00,32065,0.6%,Other Payers,0,"COVINA, California
(34.086248, -117.890145)"
2010,106190784,TEMPLE COMMUNITY HOSPITAL,LOS ANGELES,Investor,Comparable,,,170,170,130,$15.00,19909,0.1%,Other Payers,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106370755,PALOMAR HEALTH DOWNTOWN CAMPUS,San Diego,District,Comparable,,,679,679,270,$329.00,104634,0.3%,Other Payers,15426,"ESCONDIDO, California
(33.130363, -117.085357)"
2012,106394009,KAISER FDN HOSP - MANTECA,San Joaquin,Non-Profit,Kaiser Foundation Health,,,239,239,119,$330.00,25918,1.3%,Other Payers,0,"MANTECA, California
(37.802408, -121.221302)"
2010,106190066,BELLFLOWER MEDICAL CENTER,LOS ANGELES,Investor,Comparable,,,114,110,110,$62.00,26535,0.2%,Other Payers,0,"BELLFLOWER, California
(33.882076, -118.125256)"
2014,106311000,SUTTER MEDICAL CENTER - ROSEVILLE,Placer,Non-Profit,Comparable,,,328,328,253,$281.00,81808,0.3%,Other Payers,0,"ROSEVILLE, California
(38.74806, -121.285202)"
2010,106380868,LANGLEY PORTER PSYCHIATRIC INSTITUTE,SAN FRANCISCO,Non-Profit,Comparable,,,67,22,22,$93.00,5682,1.6%,Other Payers,0,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2012,106491076,SONOMA VALLEY HOSPITAL,Sonoma,District,Comparable,,,83,65,45,$110.00,12617,0.9%,Other Payers,0,"SONOMA, California
(38.291962, -122.458003)"
2015,106410891,SEQUOIA HOSPITAL,San Mateo,Non-Profit,Comparable,,,208,172,58,$396.00,20680,1.9%,Other Payers,0,"REDWOOD CITY, California
(37.484778, -122.22815)"
2014,106382715,CHINESE HOSPITAL,San Francisco,Non-Profit,Comparable,,,54,52,24,$24.00,7976,0.3%,Other Payers,0,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2011,106370673,RADY CHILDREN'S HOSPITAL-SAN DIEGO,San Diego,Non-Profit,Comparable,Teaching,,501,345,345,$311.00,74404,0.4%,Other Payers,15650,"SAN DIEGO, California
(32.71576, -117.163817)"
2015,106361110,BEAR VALLEY COMMUNITY HOSPITAL,San Bernardino,District,Comparable,,Rural,30,30,24,$2.00,5837,0%,Other Payers,5068,"BIG BEAR LAKE, California
(34.243516, -116.899432)"
2012,106190854,LOS ANGELES METROPOLITAN MEDICAL CENTER,Los Angeles,Investor,Comparable,,,213,210,210,$277.00,39685,0.7%,Other Payers,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106420483,GOLETA VALLEY COTTAGE HOSPITAL,Santa Barbara,Non-Profit,Comparable,,,122,80,80,$139.00,14682,0.9%,Other Payers,0,"SANTA BARBARA, California
(34.420867, -119.698342)"
2010,106190137,CASA COLINA HOSPITAL FOR REHABILITATIVE,LOS ANGELES,Non-Profit,Comparable,,,68,68,68,$403.00,21764,1.9%,Other Payers,0,"POMONA, California
(34.055118, -117.750048)"
2011,106361458,COLORADO RIVER MEDICAL CENTER,San Bernardino,Investor,Comparable,,Rural,25,25,25,$90.00,1052,8.6%,Other Payers,0,"NEEDLES, California
(34.848419, -114.614002)"
2015,106340947,MERCY GENERAL HOSPITAL,Sacramento,Non-Profit,Comparable,,,432,394,394,$209.00,66527,0.3%,Other Payers,0,"SACRAMENTO, California
(38.582087, -121.50012)"
2013,106344021,HERITAGE OAKS HOSPITAL,Sacramento,Investor,Comparable,,,125,120,120,$257.00,37458,0.7%,Other Payers,0,"SACRAMENTO, California
(38.582087, -121.50012)"
2013,106013619,SAN LEANDRO HOSPITAL,Alameda,City/County,Comparable,,,93,93,93,$335.00,12872,2.6%,Other Payers,0,"SAN LEANDRO, California
(37.728364, -122.158612)"
2015,106420522,SANTA YNEZ VALLEY COTTAGE HOSPITAL,Santa Barbara,Non-Profit,Comparable,,Rural,11,11,11,$9.00,784,1.1%,Other Payers,0,"SOLVANG, California
(34.595998, -120.138008)"
