OBJECTID,ZCTA5CE10,GlobalID,Zip,ERVisits_Age_0_to_4,ERVisits_Age_5_to_17,TotalChildERVisits,ERVisits_Diabetes_0_17,ERVisits_Asthma_0_17,TotalMedicaidPop0_17,ChildERVisitRate,ChildERVisitRateAsthma,ChildERVisitRateDiabetes
1,48371,9da4605a-112a-4e0c-ac28-b7861cc2439d,48371,51,16,67,,2,1032,64.922480620155,1.93798449612403,
2,48380,5584aab5-8dcc-437e-abfd-3b8bdcf068e6,48380,10,20,30,2,2,155,193.548387096774,12.9032258064516,12.9032258064516
3,48081,9678572d-48ee-4015-be1f-74456fd8a44a,48081,60,30,90,,7,1033,87.1248789932236,6.77637947725073,
4,48315,1e826664-a463-4a80-abb8-75a06ae288b7,48315,67,94,161,1,9,1336,120.508982035928,6.73652694610778,0.748502994011976
5,48317,12a5121d-962b-4bde-961a-57352fde0ada,48317,103,118,221,6,11,1708,129.391100702576,6.44028103044497,3.51288056206089
6,48088,70e7c302-6231-446f-bdc5-e23c8a47e178,48088,80,55,135,,2,1400,96.4285714285714,1.42857142857143,
7,48048,583057e2-5916-460d-a853-83fc83aff893,48048,38,37,75,2,3,800,93.75,3.75,2.5
8,48236,9831155f-0d4f-4099-be62-b2e2b476cace,48236,20,22,42,,4,842,49.8812351543943,4.75059382422803,
9,48383,7c8c60bd-0b73-47fb-97cf-1a553c03b359,48383,21,90,111,4,2,1015,109.35960591133,1.97044334975369,3.94088669950739
10,48335,4bf56545-93ef-4169-a36e-4825633c8fcd,48335,83,28,111,,2,530,209.433962264151,3.77358490566038,
11,48320,42e0e0b8-001b-4c89-9bda-8aa9c8df7baa,48320,,17,17,,1,269,63.1970260223048,3.71747211895911,
12,48165,e98cd34e-1f34-441e-8d2d-1e919d93b30c,48165,7,8,15,,,411,36.4963503649635,,
13,48363,e4eee9a9-3ff9-4336-a9ad-1e6c55fe9943,48363,9,,9,,,118,76.271186440678,,
14,48073,ab56d522-11c7-44e2-a400-271f862eb090,48073,114,157,271,,4,1099,246.587807097361,3.63967242948135,
15,48083,6e426362-e6de-44a0-8958-1d99d40be2db,48083,38,65,103,,6,1238,83.1987075928918,4.84652665589661,
16,48213,da0b2b26-6ade-4bfb-86f5-7e77b08d99b3,48213,893,473,1366,4,77,6212,219.896973599485,12.3953638119768,0.643915003219575
17,48216,e2a86bf7-906a-4c66-b314-f09730adf629,48216,187,239,426,4,19,653,652.373660030628,29.0964777947933,6.12557427258806
18,48221,64cc76c2-ee08-4546-bb1d-ceffb0584b0f,48221,671,516,1187,17,56,4184,283.699808795411,13.3843212237094,4.06309751434034
19,48215,05e64c62-e0c9-4e99-8742-3a451350f8c4,48215,367,362,729,7,35,2711,268.904463297676,12.9103651789008,2.58207303578015
20,48227,60695a21-233a-4746-9016-3d557c7252cc,48227,1043,761,1804,23,81,8503,212.160413971539,9.52604962954251,2.70492767258615
21,48128,e1afa7cc-97c7-4970-9eea-6b1fb7ba748e,48128,37,25,62,,4,532,116.541353383459,7.5187969924812,
