OBJECTID,SLDLST,GEOID,Centers,Capacity,GrpHmeCnt,FamHmeCnt,LicCenCnt,EarlyHSCnt,CapEarlyHS,GSRPCnt,CapGSRP,HSCnt,CapHS,Shape__Area,Shape__Length
1,001,26001,56,2253,8,12,36,2,12,10,642,5,186,892233978.150391,175764.488503012
2,002,26002,52,2904,5,5,42,11,966,7,571,6,650,883173602.717529,186108.280534993
3,003,26003,48,1728,4,17,27,5,227,13,784,5,225,479265786.59375,121618.539187807
4,004,26004,46,3268,,6,40,6,394,13,798,8,700,562839349.79834,110943.413095135
5,005,26005,29,1721,4,,25,7,391,11,810,8,642,436904592.240723,151521.267709113
6,006,26006,47,2341,5,3,39,4,318,15,1133,7,499,803073037.008545,238125.80870857
7,007,26007,66,3054,8,17,41,9,571,19,1552,5,379,401070940.367432,124643.404135912
8,008,26008,65,2389,9,22,34,8,369,17,1246,2,185,442179447.36377,120976.493340956
9,009,26009,70,2647,12,17,41,11,464,14,1032,10,473,456907799.301514,132879.357472886
10,010,26010,88,3367,13,29,46,6,257,15,1111,5,469,485049438.325928,163940.526611887
11,011,26011,55,3095,7,14,34,1,315,13,1367,3,379,578028102.519043,177503.802401776
12,012,26012,37,1772,5,9,23,4,216,4,438,3,259,1833688423.91187,201123.848428462
13,013,26013,54,3233,3,7,44,1,174,8,703,2,265,562044102.719482,235124.136588049
14,014,26014,28,1788,,3,25,,,4,584,1,182,559785170.021484,161584.684200069
15,015,26015,56,3795,2,3,51,,,16,1306,2,135,662928028.866943,149424.411086987
16,016,26016,56,2157,3,19,34,,,4,693,1,323,677722934.25708,143143.016413369
17,017,26017,59,2309,10,20,29,,,6,434,3,228,6819518484.48816,517490.294620501
18,018,26018,80,3687,10,24,46,2,81,12,860,3,71,559763443.110352,128159.351442285
19,019,26019,72,4613,9,11,52,1,84,4,410,1,84,971747101.250244,137516.941841189
20,020,26020,61,4758,2,11,48,,,4,510,2,82,1225987386.51807,202545.366707703
21,021,26021,74,4841,6,21,47,1,72,2,139,1,72,1647699030.39502,225720.334438929
22,022,26022,42,2232,6,7,29,2,56,6,736,5,329,538230995.02002,141700.787653762
23,023,26023,46,2178,10,3,33,1,12,5,196,1,12,2885296746.49316,313481.430730702
24,024,26024,35,2009,5,9,21,,,2,317,1,29,1143645164.78418,248729.066574589
25,025,26025,63,3227,8,24,31,1,6,4,381,1,40,583916808.758789,148327.95580665
26,026,26026,57,3018,3,20,34,,,5,758,2,204,526270077.837891,112162.893597905
27,027,26027,78,3696,23,19,36,2,222,8,1010,3,469,475643247.865234,107280.094668886
28,028,26028,44,1722,8,13,23,3,63,4,281,5,270,646523120.6875,149064.978197107
29,029,26029,78,4422,16,17,45,4,547,12,1362,4,492,1181874476.73535,229765.602588335
30,030,26030,40,1977,2,15,23,1,6,4,331,1,100,830671423.254395,192449.644052245
31,031,26031,69,2824,7,25,37,5,405,9,746,3,73,678623579.620117,159381.868425868
32,032,26032,68,2581,10,23,35,1,8,6,359,5,107,7882901919.79297,589687.725072599
33,033,26033,50,2589,12,14,24,,,4,530,2,33,5140933531.771,354151.006640451
34,034,26034,51,2156,11,12,28,3,40,13,1401,9,718,711174126.918945,226466.140105545
35,035,26035,104,5379,28,21,55,1,110,7,761,1,192,999010550.705078,126420.629556305
36,036,26036,40,2715,4,9,27,,,6,781,1,24,2800274778.62842,289010.635844955
37,037,26037,68,3838,10,18,40,,,1,189,1,189,1002351661.51807,126641.301426676
38,038,26038,74,4805,5,25,44,,,3,361,,,1959242323.00537,241578.33969174
39,039,26039,55,4012,11,4,40,,,6,492,2,196,1608440597.35156,257530.252730884
40,040,26040,66,4349,9,8,49,,,3,358,,,1357697871.21973,187380.070230219
41,041,26041,79,5624,5,15,59,,,3,412,1,18,998670044.681152,137970.562343136
42,042,26042,61,3850,5,16,40,,,2,74,1,34,5107480801.24609,321061.139230046
43,043,26043,62,4131,9,11,42,,,8,1027,1,246,1861892722.55078,225265.501559191
44,044,26044,55,2681,9,10,36,1,12,2,241,1,12,4232772400.26025,386053.959303186
45,045,26045,57,3778,7,7,43,,,3,287,1,150,1157824724.90527,153126.804894417
46,046,26046,56,3781,6,16,34,1,338,10,1441,2,550,4899151943.11523,342175.915624384
47,047,26047,68,2824,6,25,37,1,44,9,744,3,222,11210111824.4902,511608.144027755
48,048,26048,70,2978,21,14,35,3,134,8,922,5,196,6826685862.77686,476182.920667686
49,049,26049,83,4906,16,16,51,6,630,18,2427,11,899,2025110301.32813,370989.835455232
50,050,26050,72,4246,8,14,50,3,72,9,825,5,282,2682933260.73682,268884.832714139
51,051,26051,59,2300,9,19,31,3,63,10,931,6,254,8887638732.18506,707450.633560267
52,052,26052,78,3673,11,20,47,,,4,465,,,14073262789.877,618063.61151911
53,053,26053,74,4475,11,9,54,,,6,681,2,310,560382420.296387,146240.970383697
54,054,26054,97,3635,22,34,41,,,6,640,3,425,2001640804.16528,190002.570430439
55,055,26055,85,4197,22,22,41,1,6,7,931,,,3503418974.17871,439788.579055252
56,056,26056,62,2156,10,11,41,,,8,250,3,73,10291549348.8112,512698.607692429
57,057,26057,103,3378,31,28,44,,,13,911,5,144,20240816849.9689,651916.283011043
58,058,26058,105,2026,25,46,34,1,45,16,695,11,477,31414385084.1659,777752.368712262
59,059,26059,96,2279,36,28,32,6,145,13,724,6,286,25563178590.2167,752080.023061287
60,060,26060,95,5029,10,23,62,1,6,23,1911,6,279,998611159.080811,231249.437428429
61,061,26061,111,4312,28,36,47,,,9,619,2,58,5019860794.12964,383711.640770056
62,062,26062,82,3928,9,34,39,1,180,19,1620,4,469,8039199341.39771,580510.464188659
