X,Y,PermitNumber,EffectiveDate,ExpirationDate,PermitStatus,RecordType,PlantClass,ResponsibleParty,FacilityName,PermitDescription,StreetAddress,City,State,ZIP,Longitude,Latitude,PermitType,PermitSubtype,PermitCategory,ObjectId
-85.69391793,38.18738185,O-1523,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,RIGGS' FRAME & ALIGNMENT SERVI,RIGGS' FRAME & ALIGNMENT SERVICES,Auto body shop,3912 BISHOP LN  ,LOUISVILLE,KY,40218,-85.69391793,38.18738185,Industrial,Operating,Permit,1
-85.86399151,38.10574007,O-1524,2005/02/28 00:00:00+00,,Closed,Industrial Operating Permit,Minor Source,Closed,1524 TIMS BODY SHOP,"Automobile repair body shop, Richard Heil field verified that the company had closed this location, they have moved into Britt Collision location; see license 29163",5404 VALLEY STATION RD 110 ,LOUISVILLE,KY,40272,-85.86399151,38.10574007,Industrial,Operating,Permit,2
-85.50928475,38.24091771,O-1525,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,MIDDLETOWN FIRE PROTECTION DIS,Fire department station,,108 URTON LN  ,MIDDLETOWN,KY,40223,-85.50928475,38.24091771,Industrial,Operating,Permit,3
-85.57755899,38.20347879,O-1526,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,TOWERY'S MANAGEMENT SERVICES,auto maintenance and repair facility,,9710 TAYLORSVILLE RD  ,JEFFERSONTOWN,KY,40299,-85.57755899,38.20347879,Industrial,Operating,Permit,4
-85.66537023,38.20489841,O-1527,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,TOWERY'S MANAGEMENT SERVICES,Automobile Maintenance and repair facility,,3421 BARDSTOWN RD  ,LOUISVILLE,KY,40218,-85.66537023,38.20489841,Industrial,Operating,Permit,5
-85.76425415,38.15656846,O-1528,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,TOWERY'S MANAGEMENT SERVICES,Automobile Maintenance and repair facility,,6919 SOUTHSIDE DR  ,LOUISVILLE,KY,40214,-85.76425415,38.15656846,Industrial,Operating,Permit,6
-85.53696731,38.24835516,O-1529,2014/01/14 00:00:00+00,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,TOWERY'S MANAGEMENT SERVICES,TOWERY'S MANAGEMENT SERVICES,Automoble Maintenance and Repair Facility,11811 SHELBYVILLE RD  ,MIDDLETOWN,KY,40243,-85.53696731,38.24835516,Industrial,Operating,Permit,7
-85.83020552,38.20543942,O-1530,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,TOWERY'S MANAGEMENT SERVICES,auto repair & maintenance facility,,4050 CANE RUN RD  ,LOUISVILLE,KY,40216,-85.83020552,38.20543942,Industrial,Operating,Permit,8
-85.86902055,38.10497525,O-1531,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,TOWERY'S MANAGEMENT SERVICES,Automobile Maintenance and repair facility,,10312 DIXIE HWY  ,LOUISVILLE,KY,40272,-85.86902055,38.10497525,Industrial,Operating,Permit,9
-85.83251792,38.15944687,O-1532,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,TOWERY'S MANAGEMENT SERVICES,Automobile Maintenance and repair facility,,5315 DIXIE HWY  ,LOUISVILLE,KY,40216,-85.83251792,38.15944687,Industrial,Operating,Permit,10
-85.54050563,38.2140633,O-1533,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,ONSITE WASTE MANAGEMENT,Waste oil furnace equipment sales,,11760 COMMONWEALTH DR  ,JEFFERSONTOWN,KY,40299,-85.54050563,38.2140633,Industrial,Operating,Permit,11
-85.52385179,38.24546982,O-1535,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,VALVOLINE INSTANT OIL CHANGE,auto oil change facility,,12419 SHELBYVILLE RD  ,MIDDLETOWN,KY,40243,-85.52385179,38.24546982,Industrial,Operating,Permit,12
-85.65331634,38.19299234,O-1536,2006/02/28 00:00:00+00,,Closed,Industrial Operating Permit,Minor Source,Closed,1536 BILL'S BODY SHOP,"Automobile repair and maintenance body shop, Company closed, Richard Heil field verified on 2/8/2012.",2104 REYNOLDS LN  ,LOUISVILLE,KY,40218,-85.65331634,38.19299234,Industrial,Operating,Permit,13
-85.82669125,38.17015802,O-1537,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,VALVOLINE INSTANT OIL CHANGE,Oil change facility,,4909 DIXIE HWY  ,LOUISVILLE,KY,40216,-85.82669125,38.17015802,Industrial,Operating,Permit,14
-85.80488193,38.19416526,O-1538,,2999/01/01 00:00:00+00,Open,Industrial Operating Permit,Exempt,VALVOLINE INSTANT OIL CHANGE,Oil change facility,,3912 7TH STREET RD  ,SHIVELY,KY,40216,-85.80488193,38.19416526,Industrial,Operating,Permit,15
-85.83845679,38.20102501,O-1540,2007/06/30 00:00:00+00,,Closed,Industrial Operating Permit,Minor Source,Closed,1540 ROBINSON'S AUTO BODY REPAIR,"Automobile repair body shop    Closed company - 05/22/14 (returned invoice, disconnected phone)",3321 SMITH RD  ,LOUISVILLE,KY,40216,-85.83845679,38.20102501,Industrial,Operating,Permit,16
