Provider,Positive_Cases_Staff,Positive_Cases_Child,Licensed_Capacity,Tier_Level,City,State,Zip_Code,Council_District,ObjectId
Southside Christian Child Care Center #4,2,45,52,"$7,000 ",Louisville,KY,40210,3,1
Southside Christian Child Care #1,2,1,40,"$7,000 ",Louisville,KY,40214,21,2
Southside Christian Child Care Center #3,1,2,99,"$7,000 ",Louisville,KY,40214,25,3
Southside Christian Child Care Center #6,0,0,200,"$11,500 ",Louisville,KY,40272,25,4
Southside Christian Child Care #5,12,6,89,"$7,000 ",Louisville,KY,40203,4,5
Southside Christian Child Care Center #2,0,0,53,"$7,000 ",Louisville,KY,40215,15,6
"J-Town Preschool, Inc.",0,0,219,"$11,500 ",Louisville,KY,40299,20,7
Carriage House Preschool,0,0,90,"$7,000 ",Louisville,KY,40223,17,8
Neighborhood House,0,0,149,"$11,500 ",Louisville,KY,40212,5,9
A Place for Kids,3,2,117,"$11,500 ",Louisville,KY,40219,13,10
Posh Posh Club Child & Family Enrichment Center,0,3,64,"$7,000 ",Louisville,KY,40216,3,11
Sacred Heart Preschool,5,9,343,"$11,500 ",Louisville,KY,40206-3099,9,12
Jewish Community of Louisville,6,4,223,"$11,500 ",Louisville,KY,40205,8,13
"Patches' Playmates, Inc.",2,4,88,"$7,000 ",Louisville,KY,40272,25,14
Southside Christian Child Care Center #10,0,0,90,"$7,000 ",Louisville,KY,40214,25,15
Southside Christian Child Care Center #11,0,2,161,"$11,500 ",Louisville,KY,40218,26,16
Lil Genius Child Care,0,0,99,"$7,000 ",Louisville,KY,40203,4,17
St Paul School,0,0,80,"$7,000 ",Louisville,KY,40258,12,18
"Bright Horizons Children's Centers, LLC",0,0,171,"$11,500 ",Louisville,KY,40202,4,19
"Buttons & Bows Preschool of Louisville, INC, DBA Bluegrass Academy Child Care",24,28,150,"$11,500 ",Louisville,KY,40299,20,20
A to Z Learning Center And Child Care,0,2,57,"$7,000 ",Louisville,KY,40299,22,21
Cornerstone Child Development Center,12,19,165,"$11,500 ",Louisville,KY,40207,9,22
Southside Christian Child Care Center #13,0,0,45,"$7,000 ",Louisville,KY,40272,14,23
Almost Home Infant Daycare,1,0,18,"$3,500 ",Louisville,KY,40299,20,24
Angel house Child Development Center,0,0,96,"$7,000 ",Louisville,KY,40299,20,25
GOOD SPIRIT DEVELOPMENT CENTER,2,0,34,"$7,000 ",Louisville,KY,40210,6,26
READY To LEARN,0,0,62,"$7,000 ",Louisville,KY,40217,15,27
Plainview School,0,0,280,"$11,500 ",Louisville,KY,40223,18,28
My Little Testimonies Child Development Center,0,1,30,"$7,000 ",Louisville,KY,40228,2,29
"Highlands Community Ministries, Inc",3,8,55,"$7,000 ",Louisville,KY,40205,8,30
FunTime Daycare Inc. DBA Honey Bees Daycare ll,1,2,93,"$7,000 ",fairdale,KY,40118,13,31
The Gardner School,2,2,180,"$11,500 ",Louisville,KY,40223,18,32
Trinity House child care,2,2,88,"$7,000 ",Louisville,KY,40211,1,33
Okolona Day Care,2,3,79,"$7,000 ",Louisville,KY,40299,20,34
Farmer Elementary Childcare Program,0,0,99,"$7,000 ",Louisville,KY,40299,20,35
Saint Andrew Academy Preschool and After Care Program,7,11,206,"$11,500 ",Louisville,KY,40258,14,36
Southside Christian Child Care Center #17,0,0,172,"$11,500 ",Louisville,KY,40216,3,37
"Vivid Imaginations Child Care Center, LLC",4,3,76,"$7,000 ",Louisville,KY,40218,10,38
Puzzle's Academy Child Development Center,12,6,300,"$11,500 ",Louisville,KY,40299,11,39
Leaps and Bounds Child Development Center,0,1,50,"$7,000 ",Louisville,KY,40220,11,40
Whiz Kidz Academy,2,8,115,"$11,500 ",Louisville,KY,40299,11,41
