ID,Zip_Code,Tenant_Age,Tenant_Gender,Tenant_Race,Hispanic_Y_N,Month_s__Covered,Verified_Monthly_Income,F__in_house__hold,Amount_Paid,Date_Paid,Council_District,ObjectId
238,40210,35,Female,African American,Non-Hispanic,dep/nov/dec,650,1,2400,12/20/2021,6,1
172,40210,29,Male,African American,Non-Hispanic,deposit,0,1,1012.5,12/20/2021,6,2
320,40203,30,Female,African American,Non-Hispanic,deposit,1700,3,800,12/20/2021,4,3
319,40214,53,Female,White,Non-Hispanic,dep/nov/dec,1684,1,1425,12/20/2021,25,4
167,40214,38,Male,White,Non-Hispanic,Dec deposit,0,1,1300,12/20/2021,21,5
346,40215,33,Male,African American,Non-Hispanic,dep/dec/jan,2400,2,2200,12/20/2021,21,6
352,40203,35,Female,African American,Non-Hispanic,Dec/Nov,2500,4,2125,12/20/2021,4,7
353,40203,56,Male,African American,Non-Hispanic,dep/dec/jan,2500,1,2712,12/20/2021,6,8
342,40204,63,Male,African American,unknown,dep/Dec/Jan,2300,2,2712.5,12/20/2021,8,9
361,40202,39,Female,African American,Non-Hispanic,dep/Dec/Jan,2743,4,3000,12/20/2021,26,10
168,40215,31,Female,White,Non-Hispanic,Deposit,0,4,850,12/20/2021,15,11
46,40206,23,Male,African American,Non-Hispanic,Sept deposit and rent,,1,891,9/13/21 and 9/25/21,4,12
262,40077,47,Female,African American,Non-Hispanic,dep/dec/jan,804,2,1727,12/20/2021,,13
254,40216,25,Female,Unknown,Hispanic,Dec deposit,794,3,375,12/17/2021,1,14
314,40258,43,Male,African American,Non-Hispanic,Dec deposit and Dec and Jan rent,1600,3,1750,12/17/2021,14,15
42,40216,37,Female,White,Non-Hispanic,deposit / january,,4,829,12/17/2021,1,16
494,40212,30,Female,African American,Non-Hispanic,deposit,18000,5,1100,12/17/2021,5,17
611,40208,51,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,41000,2,2680,6/10/2022,6,18
359,40212,45,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,2700,1,2325,5/27/2022,5,19
52,40212,57,Female,White,Non-Hispanic,Deposit/January,,5,1500,12/17/2021,5,20
508,40212,52,Female,White,Non-Hispanic,Deposit + 2 Months Rent,19200,1,2370,5/27/2022,5,21
514,40215,38,Female,White,Non-Hispanic,Deposit + 2 Months Rent,20400,2,1115,5/25/2022,3,22
11,40211,25,Female,White,Non-Hispanic,deposit / january,1583,4,1550,12/17/2021,5,23
605,40216,34,Male,White,Non-Hispanic,Deposit + 2 Months Rent,38400,2,4200,5/18/2022,1,24
166,40203,28,Female,African American,Non-Hispanic,Dec deposit and rent,0,5,100,12/17/2021,4,25
555,40258,37,Female,White,Non-Hispanic,Deposit + 2 Months Rent,26500,2,3450,5/12/2022,14,26
35,40208,49,Male,African American,Non-Hispanic,Dec and Jan rent,,1,1300,12/17/2021,6,27
175,40211,38,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,0,6,1400,5/12/2022,5,28
536,40211,46,Female,White,Non-Hispanic,Deposit + 2 Months Rent,24000,1,2274,5/12/2022,5,29
255,40217,31,Female,African American,Non-Hispanic,dep/Nov/Dec,794,4,2350,12/17/2021,15,30
580,40214,46,Male,Others,Non-Hispanic,Deposit + 2 Months Rent,32000,1,2550,5/12/2022,12,31
164,40212,61,Female,African American,Non-Hispanic,dec deposit,0,1,525,12/16/2021,5,32
165,40216,53,Male,African American,Non-Hispanic,dec deposit,0,1,699,12/15/2021,1,33
392,40212,67,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,7884,1,1950,5/12/2022,5,34
444,40212,54,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,10764,2,3000,5/12/2022,5,35
490,40211,36,Female,African American,Non-Hispanic,deposit,17000,5,1229,12/15/2021,1,36
163,40203,62,Male,African American,Non-Hispanic,Dec deposit and rent,0,2,617.47,12/15/2021,4,37
599,40272,27,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,36000,2,2676,5/12/2022,25,38
454,40211,31,Female,White,Non-Hispanic,Deposit + 2 Months Rent,12000,1,2250,5/12/2022,5,39
160,40203,64,Female,African American,Non-Hispanic,Dec deposit and rent,0,1,164.6,12/15/2021,4,40
162,40203,29,Female,African American,Non-Hispanic,Dec deposit and rent,0,3,100,12/15/2021,4,41
430,40210,55,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,10092,2,1198,5/12/2022,6,42
591,40214,58,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,34000,1,2385,5/12/2022,5,43
219,40214,31,Female,African American,Non-Hispanic,dep,166,1,300,12/15/2021,21,44
593,40212,43,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,35000,2,2580,5/12/2022,5,45
512,40211,29,Female,African American,Non-Hispanic,deposit,20000,3,300,12/15/2021,1,46
542,40216,55,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,25200,2,2700,5/12/2022,3,47
157,40216,42,Male,African American,Non-Hispanic,Deposit and Dec rent,0,1,699,12/13/2021,1,48
505,40210,47,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,19200,1,2100,5/12/2022,4,49
158,40214,29,Female,White,Non-Hispanic,deposit,0,4,1150,12/13/2021,25,50
524,40203,33,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,22440,6,1966,5/12/2022,5,51
156,40214,42,Female,White,Non-Hispanic,Dep/Nov/Dec,0,3,775,12/13/2021,25,52
