OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,LIC_or_DAC,Shape__Area,Shape__Length
1,06,037,139200,06037139200,1392,Census Tract 1392,G5020,S,1152031,0,LIC,1687319.19140625,5170.05380973649
2,06,037,143200,06037143200,1432,Census Tract 1432,G5020,S,957093,0,Both,1400949.5234375,5182.11921080899
3,06,037,201301,06037201301,2013.01,Census Tract 2013.01,G5020,S,866188,0,Both,1266062.875,7211.37944676736
4,06,037,201401,06037201401,2014.01,Census Tract 2014.01,G5020,S,1279500,28686,Both,1911762.359375,5706.54437597325
5,06,037,201402,06037201402,2014.02,Census Tract 2014.02,G5020,S,1941232,0,Both,2836120.875,7003.34503482317
6,06,037,139302,06037139302,1393.02,Census Tract 1393.02,G5020,S,338288,0,Both,495484.296875,2938.53692242629
7,06,037,139502,06037139502,1395.02,Census Tract 1395.02,G5020,S,1047548,0,LIC,1533835.921875,6256.07826386147
8,06,013,336201,06013336201,3362.01,Census Tract 3362.01,G5020,S,1256563,0,Both,2024724.8671875,8236.32630311826
9,06,037,181600,06037181600,1816,Census Tract 1816,G5020,S,1250035,0,LIC,1828892.28515625,6616.75283679198
10,06,037,183101,06037183101,1831.01,Census Tract 1831.01,G5020,S,948156,19799,LIC,1415950.36328125,6283.55312017377
11,06,037,183220,06037183220,1832.20,Census Tract 1832.20,G5020,S,535234,0,LIC,782907.875,4907.77012789812
12,06,037,183300,06037183300,1833,Census Tract 1833,G5020,S,541305,0,LIC,791809.5078125,3784.33595472837
13,06,037,183510,06037183510,1835.10,Census Tract 1835.10,G5020,S,500438,0,LIC,731936.73828125,3853.19170418149
14,06,037,183520,06037183520,1835.20,Census Tract 1835.20,G5020,S,427707,0,LIC,625490.94921875,3382.65553130786
15,06,037,183610,06037183610,1836.10,Census Tract 1836.10,G5020,S,378643,0,LIC,553778.4921875,3617.14066767908
16,06,001,442500,06001442500,4425,Census Tract 4425,G5020,S,1959818,0,LIC,3122277.35546875,8372.67151097334
17,06,037,183820,06037183820,1838.20,Census Tract 1838.20,G5020,S,308656,0,LIC,451313.2734375,3864.88146512584
18,06,037,185202,06037185202,1852.02,Census Tract 1852.02,G5020,S,1205737,0,Both,1762650.9140625,6417.9400170448
19,06,037,185310,06037185310,1853.10,Census Tract 1853.10,G5020,S,421083,0,Both,615533.94140625,4482.88992040411
20,06,111,003011,06111003011,30.11,Census Tract 30.11,G5020,S,859112,0,LIC,1259737.12109375,4566.25240334406
21,06,111,001206,06111001206,12.06,Census Tract 12.06,G5020,S,100900703,8236035,LIC,160486121.933594,68216.5454355142
22,06,111,003012,06111003012,30.12,Census Tract 30.12,G5020,S,801273,12032,LIC,1192884.72265625,6101.62882049654
23,06,111,000303,06111000303,3.03,Census Tract 3.03,G5020,S,36465188,967598,LIC,55072349.7617188,46534.6439349412
24,06,029,000200,06029000200,2,Census Tract 2,G5020,S,2842591,0,Both,4289438.50390625,12510.1304466361
25,06,029,000300,06029000300,3,Census Tract 3,G5020,S,1518290,0,Both,2290793.09765625,9633.92893828053
26,06,037,552700,06037552700,5527,Census Tract 5527,G5020,S,1375435,0,Both,2001540.3046875,6061.68329172566
27,06,037,552800,06037552800,5528,Census Tract 5528,G5020,S,1293752,0,LIC,1882664.4375,5828.88785850912
28,06,037,553000,06037553000,5530,Census Tract 5530,G5020,S,1264078,0,Both,1839324.02734375,5984.91604793565
29,06,107,003501,06107003501,35.01,Census Tract 35.01,G5020,S,14357178,154009,LIC,22267342.1289063,20345.7786234624
30,06,059,062649,06059062649,626.49,Census Tract 626.49,G5020,S,3369926,8846,LIC,4883088.1171875,10853.5506861365
31,06,041,109002,06041109002,1090.02,Census Tract 1090.02,G5020,S,2547795,2234,LIC,4111521.1875,12358.833857371
32,06,041,130202,06041130202,1302.02,Census Tract 1302.02,G5020,S,2327921,3826504,LIC,9890641.5625,25009.4053868531
33,06,041,112201,06041112201,1122.01,Census Tract 1122.01,G5020,S,323251,50963,LIC,603073.29296875,4720.0809947014
34,06,041,112202,06041112202,1122.02,Census Tract 1122.02,G5020,S,3960101,2664693,LIC,10673717.9140625,23157.4868940245
35,06,037,601402,06037601402,6014.02,Census Tract 6014.02,G5020,S,983306,0,Both,1432651.4453125,4882.74807317722
36,06,037,601502,06037601502,6015.02,Census Tract 6015.02,G5020,S,490798,0,Both,714900.203125,4232.04579954424
37,06,037,601600,06037601600,6016,Census Tract 6016,G5020,S,912444,0,Both,1328909.95703125,4730.13109828776
38,06,037,601700,06037601700,6017,Census Tract 6017,G5020,S,780881,0,Both,1137301.79296875,4670.29243054758
39,06,037,601801,06037601801,6018.01,Census Tract 6018.01,G5020,S,486723,0,Both,709019.09765625,3876.01926666735
40,06,037,601802,06037601802,6018.02,Census Tract 6018.02,G5020,S,484101,0,Both,705142.265625,3881.1447201543
41,06,025,011500,06025011500,115,Census Tract 115,G5020,S,2052294,0,Both,2912658.84375,7713.52271441569
42,06,037,602002,06037602002,6020.02,Census Tract 6020.02,G5020,S,530846,4612,Both,779720.953125,3962.92250147894
43,06,037,602003,06037602003,6020.03,Census Tract 6020.03,G5020,S,625130,0,Both,910448.23828125,3802.01654083384
44,06,037,602004,06037602004,6020.04,Census Tract 6020.04,G5020,S,592375,0,Both,862740.98046875,3751.35828523692
45,06,037,602103,06037602103,6021.03,Census Tract 6021.03,G5020,S,835901,0,Both,1217243.3984375,4392.58294600933
46,06,037,602104,06037602104,6021.04,Census Tract 6021.04,G5020,S,720926,0,Both,1049811.62109375,4227.08291475661
47,06,037,530700,06037530700,5307,Census Tract 5307,G5020,S,1057568,0,Both,1544749.47265625,6579.99166350478
48,06,107,002002,06107002002,20.02,Census Tract 20.02,G5020,S,2534586,0,LIC,3912121.93359375,7877.4605034406
49,06,037,530801,06037530801,5308.01,Census Tract 5308.01,G5020,S,769112,0,Both,1123191.57421875,5343.63894757775
50,06,037,530802,06037530802,5308.02,Census Tract 5308.02,G5020,S,566330,0,Both,827078.3984375,5355.55527250079
51,06,037,530901,06037530901,5309.01,Census Tract 5309.01,G5020,S,444140,0,Both,648497.79296875,3226.18144287536
52,06,037,531000,06037531000,5310,Census Tract 5310,G5020,S,999474,0,Both,1459260.42578125,5832.28941325594
53,06,037,531102,06037531102,5311.02,Census Tract 5311.02,G5020,S,498376,0,Both,727579.18359375,3628.37854715413
54,06,037,531201,06037531201,5312.01,Census Tract 5312.01,G5020,S,555365,0,Both,810637.84375,4100.72890378819
55,06,037,531301,06037531301,5313.01,Census Tract 5313.01,G5020,S,792709,0,Both,1156865.6171875,5615.68999871988
56,06,037,531302,06037531302,5313.02,Census Tract 5313.02,G5020,S,883751,0,Both,1289587.6171875,5824.08190986439
57,06,037,541001,06037541001,5410.01,Census Tract 5410.01,G5020,S,2609459,0,Both,3796834.5,7916.89652075906
58,06,107,002008,06107002008,20.08,Census Tract 20.08,G5020,S,1294570,0,LIC,1998349.921875,5880.35297150086
59,06,107,002009,06107002009,20.09,Census Tract 20.09,G5020,S,1852067,0,LIC,2858454.11328125,8638.71078094456
60,06,107,002302,06107002302,23.02,Census Tract 23.02,G5020,S,2592916,0,LIC,3991890.85546875,8172.41960288205
61,06,065,045217,06065045217,452.17,Census Tract 452.17,G5020,S,2900617,0,LIC,4204443.0390625,12178.3967473915
62,06,065,046700,06065046700,467,Census Tract 467,G5020,S,33305608,36823,Both,48510825.0820313,43066.2005863693
63,06,065,047000,06065047000,470,Census Tract 470,G5020,S,134979433,4213361,LIC,201255091.28125,94190.3353492453
64,06,071,002502,06071002502,25.02,Census Tract 25.02,G5020,S,2593783,0,DAC,3790257.11328125,7791.87172909724
65,06,065,940100,06065940100,9401,Census Tract 9401,G5020,S,71024199,5060948,LIC,110892411.226563,110086.70912201
66,06,065,044522,06065044522,445.22,Census Tract 445.22,G5020,S,154022502,871170,LIC,225712413.730469,126138.847606742
67,06,065,045120,06065045120,451.20,Census Tract 451.20,G5020,S,3849529,1137,LIC,5575567.51953125,12977.9153969686
68,06,065,051300,06065051300,513,Census Tract 513,G5020,S,33781272,400554,LIC,49645841.2070313,49145.0244642688
69,06,065,940400,06065940400,9404,Census Tract 9404,G5020,S,11515177,0,Both,16680748.484375,17403.198482889
