Grant Number,Grant Type,First name,Middle name,Last name,Institution,City,State,Postal Code,Country,Commission Date,Year Awarded,Project Title,Program,Division,Grant Amount Approved,Final Grant Award,Grant Start Date,Grant End Date,Project Description
PD-50011-16,O,Charlene,B.,Bickford,George Washington University,Washington,DC,20052-0001,USA,11/1/2015,2016,First Federal Congress Project,Publishing Historical Records-PD,Publications,"$140,898 ","$140,898 ",1/1/2016,12/31/2016,"To support a project to edit The Documentary History of the First Federal Congress, the project’s final volume 22, the combined index for volumes 21 and 22; and complete all corrections for volumes 1-20 of the digital edition."
PD-50010-16,O,Sara,,Martin,Massachusetts Historical Society,Boston,MA,2215,USA,11/1/2015,2016,The Adams Papers,Publishing Historical Records-PD,Publications,"$146,726 ","$146,726 ",7/1/2016,6/30/2017,"To support a project to edit The Papers of John Adams, volume 14 of the Adams Family Correspondence and volume 19 of the Papers of John Adams (February 1787-June 1788)."
RC-10257-16,O,Matt,,Veatch,"Kansas State Historical Society, Inc.",Topeka,KS,66615-1099,USA,11/1/2015,2016,Kansas Board Programming Grant,State Board Programs,Records,"$45,000 ","$45,000 ",1/1/2016,12/31/2017,"To support a two-year project at the Kansas Historical Records Advisory Board to initiate a regrant program, provide scholarships for education and training sessions, create and present Archives Month programming and educational materials, and continue its collaboration with the Partners in Kansas History."
RC-10272-16,O,George,,Orlowski,Colorado State Historical Records Advisory Board,Denver,CO,80203-2274,USA,11/1/2015,2016,Colorado Board Programming Grant,State Board Programs,Records,"$40,000 ","$40,000 ",1/1/2016,12/31/2016,"To support a one-year project to continue the Board’s regrant program, offer workshops on the basics of archives, increase its outreach efforts, and promote Archives Month."
RH-50197-16,O,Bernadette,Cheryl,Beredo,Cornell University,Ithaca,NY,14853,USA,11/1/2015,2016,Keeping on Track: Processing and Digitizing Railroad Collections at the Kheel Center,Access to Historical Records,Records,"$126,064 ","$126,064 ",7/1/2016,12/31/2017,"To support Keeping on Track: Processing and Digitizing Railroad Collections at the Kheel Center, an eighteen month project to process 65 railroad collections (339 linear feet) at the detailed level and digitize a selection of 1,618 photographs from those collections."
RC-10270-16,O,Jeffrey,,Kintop,Nevada State Library and Archives,Carson City,NV,89701-4285,USA,11/1/2015,2016,Nevada Board Programming Grant,State Board Programs,Records,"$11,672 ","$11,672 ",1/1/2016,12/31/2016,"To support one-year project to continue the Nevada Historical Records Advisory Board's support of National History Day in Nevada, promote Archives Month, offer formal presentations at annual meetings of professional organizations, and distribute brochures and pamphlets for MayDay and Electronic Records Day."
RC-10271-16,O,Jodie,,Foley,Montana Historical Records Advisory Board,Helena,MT,59620-1201,USA,11/1/2015,2016,Montana Board Programming Grant,State Board Programs,Records,"$12,045 ","$12,045 ",1/1/2016,12/31/2016,"To support a one-year project focused on outreach, education, and hands-on assistance. In addition to distributing an Archives Month poster, publishing a newsletter, awarding scholarships for training, and offering a workshop, the board will continue its Traveling Student Archivist Program."
RC-10261-16,O,Matt,,Blessing,State Historical Society of Wisconsin,Madison,WI,53706,USA,11/1/2015,2016,Wisconsin Board Programming Grant,State Board Programs,Records,"$24,000 ","$23,821 ",1/1/2016,12/31/2016,"To support a one-year project to address the goals outlined in the Wisconsin Historical Records Advisory Board’s current strategic plan by publishing an online guide to best practices for records storage and awarding training scholarships, and to develop a new plan for the next five years."
RH-50199-16,O,Amanda,,Claunch,Missouri Historical Society,St. Louis,MO,63112-0040,USA,11/1/2015,2016,Picturing 1930s St. Louis: Sievers Studio Collection Project,Access to Historical Records,Records,"$69,044 ","$69,044 ",9/1/2016,8/31/2018,"To support Picturing 1930s St. Louis: Sievers Studio Collection Project, a two-year project to rehouse, arrange, and describe the 1930s series of photographs from the Sievers Studio collection and digitize 3,000 images that depict the people, industry, and places during Prohibition and the Great Depression."
RC-10275-16,O,Jelain,,Chubb,Texas State Library and Archives Commission,Austin,TX,78711,USA,11/1/2015,2016,Texas Board Programming Grant,State Board Programs,Records,"$29,595 ","$29,595 ",1/1/2016,12/31/2016,"To support a one-year project during which the Texas Historical Records Advisory Board will sponsor workshops that focus on digital collections and grant writing, identify cooperative tools and resources and explore opportunities for collaboration, and help raise awareness of the importance of archives through outreach programs."
RC-10265-16,O,Jan,,Davis,Oklahoma Department of Libraries,Oklahoma City,OK,73105-3298,USA,11/1/2015,2016,Oklahoma Board  Programmng Grant,State Board Programs,Records,"$80,000 ","$80,000 ",1/1/2016,12/31/2017,"To support a two-year project at the Oklahoma Historical Records Advisory Board that advances the priorities outlined in the board’s strategic plan. Board activities will include Archives Month activities, training opportunities, regrants for improving online access to records, and preservation planning."
