drawdate,winningnumbers,megaball(long),multiplier(double precision)
09/25/2020,20 36 37 48 67,16,2.0
09/29/2020,14 39 43 44 67,19,3.0
09/29/2020,09 38 47 49 68,25,2.0
10/06/2020,15 16 18 39 59,17,3.0
10/09/2020,05 11 25 27 64,13,2.0
10/13/2020,11 44 45 46 70,25,2.0
10/16/2020,27 32 50 52 57,12,5.0
10/06/2020,46 54 57 58 66,10,3.0
10/23/2020,18 34 44 60 69,22,2.0
10/27/2020,06 13 34 46 62,1,3.0
10/30/2020,14 19 34 39 59,11,2.0
11/03/2020,07 31 44 45 55,19,3.0
11/06/2020,18 24 27 34 60,2,2.0
10/27/2020,23 45 53 58 62,13,5.0
11/03/2020,06 07 14 28 59,7,2.0
09/29/2020,08 13 35 46 68,16,3.0
11/03/2020,26 33 45 61 68,17,3.0
11/24/2020,09 15 34 61 64,6,2.0
09/29/2020,04 10 27 35 58,10,2.0
10/06/2020,07 33 53 61 65,14,2.0
10/23/2020,03 19 24 44 50,8,3.0
12/08/2020,15 19 33 39 68,25,3.0
12/11/2020,19 31 37 55 67,25,4.0
12/15/2020,01 10 18 20 46,15,2.0
12/18/2020,07 15 25 51 60,5,3.0
10/13/2020,29 53 56 59 67,21,2.0
11/06/2020,17 23 36 69 70,19,2.0
12/29/2020,01 31 35 48 62,19,3.0
01/01/2021,08 24 53 68 69,7,5.0
09/25/2020,09 38 47 49 68,4,2.0
01/08/2021,05 11 25 27 64,11,2.0
11/03/2020,06 13 34 46 62,9,2.0
12/29/2020,03 11 12 38 43,15,4.0
12/29/2020,10 19 26 28 50,16,2.0
10/09/2020,04 26 42 50 60,24,1.762647840096486
10/27/2020,29 49 56 66 67,24,3.0
12/08/2020,04 44 58 59 70,3,3.0
02/02/2021,18 34 44 60 69,10,2.0
02/05/2021,05 11 25 27 64,2,4.0
10/30/2020,06 13 34 46 62,9,4.0
11/24/2020,05 14 24 25 27,14,3.0
10/06/2020,01 36 44 54 66,10,3.0
11/03/2020,18 24 27 34 60,4,4.0
10/23/2020,05 07 09 20 57,15,3.0
10/30/2020,11 15 37 62 64,5,2.0
09/29/2020,04 08 13 34 64,18,2.0
10/06/2020,10 11 17 27 54,20,2.0
12/18/2020,04 33 46 58 65,80,2.0
10/23/2020,05 11 25 27 64,18,4.0
03/16/2021,01 04 23 40 45,8,2.0
10/30/2020,09 14 40 58 69,8,3.0
12/15/2020,10 19 26 28 50,11,2.0
11/03/2020,04 25 37 46 67,15,3.0
12/08/2020,11 37 47 53 56,15,3.0
07/23/2019,30 44 49 53 56,19,2.0
11/24/2020,09 38 47 49 68,17,2.243804514886277
11/03/2020,15 16 18 39 59,12,1.8967843284919887
10/09/2020,10 15 19 45 68,9,4.0
09/25/2020,08 13 35 46 68,25,4.0
12/08/2020,06 23 43 49 52,5,3.0
11/24/2020,08 24 53 68 69,25,3.0
09/22/2020,15 19 33 39 68,12,4.0
12/18/2020,26 29 41 52 64,87,3.0
10/13/2020,25 28 38 59 62,22,4.0
12/15/2020,03 15 42 48 56,13,2.0
10/13/2020,07 10 15 31 57,21,2.0
10/06/2020,19 22 24 28 53,25,3.0
09/01/2020,01 04 23 40 45,22,4.0
10/16/2020,03 09 50 53 64,1,3.0
11/06/2020,18 34 44 60 69,12,3.0
10/09/2020,01 31 35 48 62,14,2.0
09/25/2020,04 18 26 27 58,23,4.0
09/29/2020,03 24 29 42 47,13,2.0
12/08/2020,08 13 35 46 68,9,4.0
11/06/2020,04 44 53 64 70,3,2.0
12/15/2020,08 13 35 46 68,20,3.0
07/23/2019,27 32 50 52 57,23,2.0
07/28/2020,15 16 18 39 59,19,4.0
11/06/2020,06 23 43 49 52,17,3.0
11/24/2020,10 13 32 41 51,15,3.0
10/09/2020,12 13 21 46 57,21,3.0
10/27/2020,06 26 55 56 64,22,4.0
10/23/2020,10 15 20 49 53,89,1.9699703786878249
12/29/2020,11 44 45 46 70,18,3.0
09/22/2020,37 41 42 53 63,24,2.0
12/15/2020,32 35 37 47 55,11,2.0
10/27/2020,19 33 37 56 57,6,2.0
09/25/2020,06 20 37 40 48,15,3.0
10/06/2020,08 13 35 46 68,7,2.0
12/11/2020,21 23 33 35 42,6,3.0
09/29/2020,09 14 57 67 70,2,3.0
06/09/2020,06 13 34 46 62,22,2.0
10/09/2020,32 35 37 47 55,22,3.0
12/11/2020,09 20 23 26 29,8,3.0
12/15/2020,10 13 32 41 51,3,2.0
10/13/2020,34 52 58 59 62,4,3.0
10/16/2020,08 10 20 44 46,18,4.0
