characteristic,sex,raceethnicity,yearvalue(long),earnings(double precision),standarderroronearnings(double precision),noteonearnings,countinthousands(double precision),standarderroroncountinthousands(double precision),noteoncount
Total,Female,"American Indian/Alaska Native, non-Hispanic",2000,20800.0,248.0,Reporting standards not met t(oo few cases for a reliable estimate).,4095.0,98.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,19450.0,234.0,Reporting standards not met (too few cases for a recliable estimate).,4117.0,80.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Femamle,"American Indian/Alaska Native, non-Hispanic",2002,19910.0,258.0,Reporting standards not met (too few cases for a reliable estimate).,3955.0,78.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Femafle,"American Indian/Alaska Native, non-Hispanic",2003,19970.0,220.0,Reporting standards not met (too few cases for a reliable estimate).,3971.0,79.0,Reporting standards not met (too few cases for a reliable estimate).
Total,emale,"American Indian/Alaska Native, non-Hispanic",2004,19070.0,363.0,Reporting standards not met (too few cases for a reliable estimate).,4042.0,95.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Feale,"American Indian/Alaska Native, non-Hispanic",2005,19010.0,1541.7832011234746,Reporting standards not met (too few cases for a reliable estimate).,3927.0,81.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Fbemale,"American Indian/Alaska Native, non-Hispanic",2006,20070.0,558.0,Reporting standards not met (too few cafses for a reliable estimate).,3939.0,91.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Fhemale,"American Indian/Alaska Native, non-Hispanic",2007,19830.0,332.0,Reporting standards not met (too few cases for a reliable estimate).,3940.0,101.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,17370.0,845.0,Reportingstandards not met (too few cases for a reliable estimate).,3831.0,93.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Femael,"American Indian/Alaska Native, non-Hispanic",2009,22092.504709969027,618.0,Reporting standards not met (too few cases for a reliable estimate).,3690.0,88.0,Reporting standards not met (too few cases for a reliable estimate).
Total,emale,"American Indian/Alaska Native, non-Hispanic",2010,15790.0,39.0,Reporting standards not met (too few cases for a eliable estimate).,3597.0,99.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Femlae,"American Indian/Alaska Native, non-Hispanic",2011,16310.0,375.0,Reporting standards not met (ftoo few cases for a reliable estimate).,3413.0,94.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Femle,"American Indian/Alaska Native, non-Hispanic",2012,15930.0,398.0,Reporting standards not met (too few cases for a reliable estimate).,3488.0,86.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2000,24000.0,490.0,Reporting standards not met (too few cases for a reliable estimate).,2379.0,75.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,22040.0,299.0,Reporting standards not met (too few cases or a reliable estimate).,2399.0,61.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Maale,"American Indian/Alaska Native, non-Hispanic",1971,21700.0,372.0,Reporting standads not met (too few cases for a reliable estimate).,2377.0,61.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Msale,"American Indian/Alaska Native, non-Hispanic",2003,7851.963842148692,340.0,Reporting standards not met (too few cases for a reliable estimate).,2387.0,61.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,ale,"American Indian/Alaska Native, non-Hispanic",2004,21880.0,722.0,Reporting standards not met (too few cases for a reliable estimate).,2465.0,69.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,21170.0,620.0,Reporting standards not met (too few cases for a reliable estimate).,2372.0,63.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Mae,"American Indian/Alaska Native, non-Hispanic",2006,21400.0,1618.684882527344,Reporting standards not met (too few cases for a relaible estimate).,2406.0,60.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Mael,"American Indian/Alaska Native, non-Hispanic",2007,20880.0,510.0,Repoting standards not met (too few cases for a reliable estimate).,2460.0,65.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Magle,"American Indian/Alaska Native, non-Hispanic",2008,20140.0,923.0,Reporting standards not met (too few cases for a reliable estimate).,2373.0,76.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,19970.0,917.0,Reporting tandards not met (too few cases for a reliable estimate).,2254.0,63.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,aMle,"American Indian/Alaska Native, non-Hispanic",2010,17830.0,381.0,Reporting standards not met (too few cases for a reliablee stimate).,2222.0,75.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Mpale,"American Indian/Alaska Native, non-Hispanic",2011,18200.0,509.0,Reporting standardsb not met (too few cases for a reliable estimate).,2064.0,67.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Mcale,"American Indian/Alaska Native, non-Hispanic",2920,31955.52946800048,346.0,Reporting standards not met (too few cases for a reliable estimate).,2177.0,69.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",1914,18400.0,524.0,Reporting standards not met (too few cases for a reliable estimate).,1716.0,64.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,16860.0,553.0,Reporting standards not met (too few cases for a reliable estimate).,1718.0,52.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Febmale,"American Indian/Alaska Native, non-Hispanic",2002,18510.0,1976.9707713325167,Reporting standards not met (too few crases for a reliable estimate).,1578.0,50.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Fmeale,"American Indian/Alaska Native, non-Hispanic",2911,25433.183890695283,710.0,Reporting standards not met (too few cases for a relaible estimate).,1585.0,50.0,Reporting standards not met (too few cases for a reliable estimate).
