characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,149.0,0.6,Data not availabl.e
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not available.
Total,Fmeale,"American Indian/Alaska Native, non-Hispanic",1013,131.0,0.8,Data not available.
Total,wFemale,"American Indian/Alaska Native, non-Hispanic",2008,131.0,0.8,Data not available.
Total,Femlae,"American Indian/Alaska Native, non-Hispanic",2009,152.0,0.9645615829972666,Data not available.
Total,Femacle,"American Indian/Alaska Native, non-Hispanic",2010,131.0,0.5073690266235513,Data not availableb.
Total,Femael,"American Indian/Alaska Native, non-Hispanic",2011,122.70583042310872,0.8,Data not available.
Total,Femlae,"American Indian/Alaska Native, non-Hispanic",2012,131.0,0.8,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",1687,152.0,0.5,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,150.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not available.
Total - Male,Malfe,"American Indian/Alaska Native, non-Hispanic",2198,131.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2104,131.0,0.8,Data not available.
Total - Male,Mle,"American Indian/Alaska Native, non-Hispanic",2009,154.0,0.9,Datga not available.
Total - Male,oMale,"American Indian/Alaska Native, non-Hispanic",2010,131.0,0.8,Data not available.
Total - Male,Mtale,"American Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not available.
Total - Male,ale,"American Indian/Alaska Native, non-Hispanic",2012,131.0,0.8,Data not avalable.
Total - Male,ale,"American Indian/Alaska Native, non-Hkispanic",2013,154.0,0.6,Data not available.
Total - Female,mFemale,"American Indian/Alaska Native, non-Hispanic",2005,147.0,0.7,Data not aavilable.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.6653428748190171,Data not available.
Total - Female,Fmeale,"American Indian/Alaska Native, non-Hispanic",2007,193.99520696494375,0.8,Data not apvailable.
Total - Female,Fmeale,"American Indian/Alaska Native, non-Hispanic",2008,131.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,151.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanci",2010,131.0,0.8,Data not available.
Total - Female,Femnale,"Americna Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not available.
Total - Female,emale,"American Indian/Alaska Native, non-Hispanic",2012,122.0987328850101,0.8,Data not available.
Total - Female,emale,"American India/Alaska Native, non-Hispanic",2013,151.0,0.6,Data not available.
Total - Male,Female,"White, non-Hispanic",2127,156.0,0.6,ata not available.
Total,Femle,"White, non-Hispanic",2006,131.0,0.8,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,131.0,0.8,Data not available.
Total - Female,Female,"White, non-Hispanic",2008,131.0,0.8,Data not available.
Total,Female,"White, non-Hispanic",1783,160.0,0.6,Data not available.
"Total - White, non-Hispanic",Feamle,"White, non-Hispanic",2010,131.0,0.8,Data not available.
Total - Male,Female,"White, non-Hispanic",2011,131.0,0.8,Data not available.
Total - Male,Female,"White, non-Hispanic",1164,131.0,0.8,Data not available.
"Total - White, non-Hispanic",eFmale,"hWite, non-Hispanic",2013,161.0,0.6,Data not available.
Total - Male,Female,"Black, non-Hispanic",2005,160.6349929509316,1.1,Data not available.
Total,Female,"Black, non-Hispanic",2006,131.0,0.8,Data not available.
Total,Female,"Black, non-Hispanic",2007,131.0,0.8,Data not available.
Total - Female,Female,"Black, non-Hispanic",2008,131.0,0.8,Data not available.
Total,Female,"Black, non-Hispanic",2009,131.0,0.8,Data not avalable.
Total - Female,Female,"Black, non-Hispanic",2010,131.0,0.8,Data not available.
Total - Male,Female,"Black, non-Hispanic",2048,131.0,0.8,Data not available.
Total - Female,Female,"Black, non-Hispanic",2012,131.0,0.8,Data not available.
Total - Female,Female,"Black, non-Hispanic",2013,163.2555964369366,0.8,Data not available.
Total - Female,Female,Hispanic,2005,132.0,1.3,Data not available.
Total - Female,Female,Hispanic,2006,131.0,0.8,Data not available.
Total - Male,Female,Hispanic,2007,131.0,0.8,Data not available.
Total - Female,Fedmale,Hispanic,2008,140.3901789949904,0.8,Data not available.
Total - Male,Fempale,Hispanic,1104,137.0,1.1044391892632517,Data not available.
Total - Male,Femalte,Hispanic,2557,131.0,0.8,Data not available.
Total,Female,Hispanic,2011,131.0,0.8,Data not available.
Total,Female,Hispanic,1180,131.0,0.8,Data not available.
Total,Female,Hispanic,2013,140.0,0.8,Data not available.
Total,Female,"Asian, non-Hispanic",2005,161.0,2.0,Daat for 2005 and 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",2006,96.92605523717272,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2008,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",2074,175.0,2.9,Data for 2005 and 209 include Pacific Islanders.
Total - Female,Female,"Asian, non-Hispanic",2010,131.0,1.1751453925968782,Data not available. Data for 2005 and 2009 include Pacific Islnders.
Total - Female,Female,"Asian, non-Hispanic",2011,193.16116418104787,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2012,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2814,173.0,1.4,Data for 2005 and 2009 include Pacific Islanders.
Total - Female,Female,"Pacific Islander, non-Hispanic",2005,131.0,0.8,Data not avainlable.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,131.0,0.8,Data not available.
"Total - Pacific Islander, non-Hispanic",Fmeale,"Pacifc Islander, non-Hispanic",2007,187.5662299069816,0.8,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2008,131.0,0.8,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2009,131.0,0.8,Data not available.
Total - Female,Female,"Pacific Islander, non-Hispanic",2010,131.0,0.6995594590358072,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2011,131.0,0.8282670341753895,Dataj not available.
Total,Female,"Pacific Islander, non-Hispanic",2012,185.77122314119404,0.8,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2013,149.0,3.1,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,134.0,4.0,Data not available.
