county,district,codistcode,sitecode(double precision),schoolsite,totalenrollment(double precision),telephone,principal,principlesemail,mailingaddress,mailingcity,mailingstate,mailingzip(double precision),gradeslowhigh,certifiedstaff(double precision)
ADARI,PEAVINE,01-C019,105.0,Peavine Public School,126.0,(918) 696-7818,Jack Ritchie,jritchie@peavinepanthers.net,PO Box 389,Stilwell,OK,74960.0,PK-08,14.0
ADAIR,MARYETTA,01-C022,105.0,Maryetta Public School,681.0,(918) 696-2285,Rhonda Brown,rbrown@maryetta.k12.o.us,"Rural Route 6, Box 2840",Stilwell,OK,74960.0,P-K08,65.0
ADAIR,ROCKY MOUNTAIN,01-C024,105.0,Rocky Mountain Public Schol,188.0,(918) 696-7509,Alicia Ketcher,aketcher@rockymtn.k12.ok.us,"Rural Route 1, Box 665",Sitlwell,OK,74960.0,PK-08,17.0
ADAIR,ZION,01-C028,105.0,Zion Public School,352.0,(918) 696-7866,JoeyO''neal,j_oneal@zionjets.com,PO Box 347,Stilwell,OK,54308.1222188881,PK-08,33.0
ADAIR,DAHLONEGAH,01-C029,105.0,Dahlonegah Public School,134.0,(918) 69-67807,Jeff Limore,jtlimore@dahlonegah.k12.ok.us,"Rural Route 1, Box 1795",Srtilwell,OK,74960.0,PK0-8,17.0
ADAIR,GREASY,01-C032,105.0,Greasy Public School,90.0,(918) 696-7768,Michael Wolfwe,michael.wolfe@grqeasy.k12.ok.us,Rural Rout e1 Box 1589,Bunch,KO,74931.0,PK-08,11.0
ADAIR,WATTS,01-I004,105.0,Watts ES,199.0,(918) 422-5131,Tony Mitchell,tmitchell@wattsschool.com,"Rural Route 2, Box 1",Watts,OK,74964.0,PK-08,22.0
bADAIR,WATTS,01-I004,705.0,Watts HS,113.0,(918) 422-5132,Tony Mitchell,tmitchell@wattsschool.com,"Rural Route ,2 Box 1",Watts,OK,74964.0,09-12,14.0
ADAIR,WESTVILLE,01-I011,105.0,Westville ES,651.0,(918) 723-4355,Ryan Sank (Pk-2),rswank@westville.k12.ok.us,PO Box 410,estville,OK,57629.75186663486,PK-06,50.0
DAIR,WESTVILLE,01-I011,610.0,Westville JHS,1370.0969604278607,(918) 723-3432,Shelly Cooper,scooper@westville.k12.ok.us,PO Box 410,Westville,OK,74965.0,07-08,33.0
ADAIR,WESTVILLE,01-I011,705.0,Westvlile HS,332.0,(918) 723-5644,Renae Price,rprice@westville.k12.ok.us,PO Box 410,Westville,OK,74965.0,09-12,47.0
ADAIR,STILWELL,01-I025,105.0,Stilwell ES,411.0,(918) 696-7656,Mark Lqea,mlea@stilwellk12.org,10 South Sixth Street,Stilwell,OK,74960.0,PK-04,43.0
