characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,149.0,0.6,Data not available.
Total,Fzemale,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,131.0,0.8,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,131.0,0.8,Data not available.
Total,Femael,"American Indian/Alaska Native, non-Hispanic",2009,152.0,0.8,Data not available.
Total,Feale,"American Indian/Alaska Native, non-Hispanic",2010,131.0,0.8,Data not available.
Total,Fmeale,"American Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not available.
Total,Femle,"American Indian/Alaska Native, non-Hispanic",2012,131.0,0.8,Data not available.
Total,Femael,"American Indian/Alaska Native, non-Hispanic",2013,152.0,0.5,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,150.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not available.
Total - Male,ale,"American Indian/Alaska Native, non-Hispanic",2007,131.0,0.8,Data not available.
Total - Male,Malre,"American Indian/Alaska Native, non-Hispanic",2008,131.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,154.0,0.9,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,131.0,0.8,Data not available.
Total - Male,Mae,"American Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not available.
Total - Male,Mael,"American Indian/Alaska Native, non-Hispanic",2012,131.0,0.8,Data not available.
Total - Male,Mael,"American Indian/Alaska Native, non-Hispanic",2013,154.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,147.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not available.
Total - Female,qFemale,"American Indian/Alaska Native, non-Hispanic",2007,131.0,0.8,Data not available.
Total - Female,Fcemale,"American Indian/Alaska Native, non-Hispanic",2008,131.0,0.8,Data not available.
Total - Female,eFemale,"American Indian/Alaska Native, non-Hispanic",2009,151.0,0.8,Data not available.
Total - Female,Female,"Avmerican Indian/Alaska Native, non-Hispanic",2010,131.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not available.
Total - Female,Femaale,"American Indian/Alaska Native, non-Hispanic",2012,131.0,0.8,Data not available.
Total - Female,Femlae,"American Indian/Alaska Native, non-Hispanic",2013,151.0,0.6,Data not available.
Total,Female,"White, non-Hispanic",2005,156.0,0.6,Data not available.
Total,Female,"White, non-Hispanic",2006,131.0,0.8,Data not available.
Total - Male,Female,"White, non-Hispanic",2007,131.0,0.8,Data not available.
Total - Male,Female,"White, non-Hispanic",2008,131.0,0.8,Data not available.
Total - Male,Female,"White, non-Hispanic",2009,160.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,131.0,0.8,Data not available.
Total - Male,Female,"White, non-Hispanic",2011,131.0,0.8,Data not available.
Total,Female,"White, non-Hispanic",2012,131.0,0.8,Data not available.
Total,Female,"White, non-Hispanic",2013,161.0,0.6,Data not available.
Total,Female,"Black, non-Hispanic",2005,126.0,1.1,Data not available.
Total,Female,"Black, non-Hispanic",2006,131.0,0.8,Data not available.
Total - Female,Female,"Black, non-Hispanic",2007,131.0,0.8,Data not available.
Total - Female,Female,"Black, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,131.0,0.8,Data not available.
