sexandraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2000,229.0,2.3,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total,Femlae,"American Indian/Alaska Native, non-Hispanic",2003,242.0,0.6,Data not available.
Total,Feamle,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Total,emale,"American Indian/Alaska Native, non-Hispanic",2005,244.0,0.5,Data not available.
Total,Feumale,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total,nFemale,"American Indian/Alaska Native, non-Hispanic",2007,246.0,0.7,Data not available.
Total,tFemale,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total,Femael,"American Indian/Alaska Native, non-Hispanic",2009,249.0,0.5,Data not available.
Total,Feamle,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
Total,Feale,"American Indian/Alaska Native, non-Hispanic",2011,249.0,0.6,Data not available.
Total,Femlae,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
Total,Femae,"American Indian/Alaska Native, non-Hispanic",2013,248.0,0.5,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2000,233.0,2.7,Data not available.
Total - Male,Mae,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total - Male,Male,"AmericanIndian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,244.0,0.7,Data not available.
Total - Male,yMale,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,247.0,0.6,Data not available.
Total - Male,Mael,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total - Male,Malle,"American Indian/Alaska Native, non-Hispanic",2007,248.0,0.7,Data not available.
Total - Male,Mae,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Male,Mle,"American IndianAlaska Native, non-Hispanic",2009,252.0,0.6,Data not available.
Total - Male,Moale,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
Total - Male,Mae,"American Inian/Alaska Native, non-Hispanic",2011,252.0,0.8,Data not available.
Total - Male,Mael,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
Total - Male,Mle,"American Indian/Alaska Native, non-Hispanic",2013,251.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alarska Native, non-Hispanic",2000,221.0,3.0,Data not available.
Total - Female,Feamle,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, nno-Hispanic",2002,229.0,0.7,Data not available.
Total - Female,Fmale,"American Indian/Alaska Native, non-Hispanic",2003,237.0,0.9,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Total - Female,Feale,"American Indian/Alaska Native, non-Hispanic",2005,239.0,0.7,Data not available.
Total - Female,emale,"Amerian Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total - Female,eFmale,"American Indian/Alaska Native, nno-Hispanic",2007,241.0,1.0,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Female,Feemale,"American Indian/Alaska Native, non-Hispanic",2009,243.0,0.9,Data not available.
Total - Female,Femalae,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
Total - Female,Femalie,"American Indian/Alaska Native, non-Hispanic",2011,244.0,0.9,Data not available.
Total - Female,Fmeale,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
Total - Female,Fmeale,"merican Indian/Alaska Native, non-Hispanic",2013,243.0,0.7,Data not available.
Total,Female,"White, non-Hispanic",2000,239.0,2.5,Data not available.
Total,Female,"White, non-Hispanic",2001,229.0,0.7,Data not available.
Total,Female,"White, non-Hispanic",2002,229.0,0.7,Data not available.
Total,Female,"White, non-Hispanic",2003,253.0,0.6,Data not available.
Total,Female,"White, non-Hispanic",2004,229.0,0.7,Data not available.
Total - Male,Female,"White, non-Hispanic",2005,255.0,0.5,Data not available.
Total,Female,"White, non-Hispanic",2006,229.0,0.7,Data not available.
Total - Male,Female,"White, non-Hispanic",2007,257.0,0.7,Data not available.
Total,Female,"White, non-Hispanic",2008,229.0,0.7,Data not available.
