rxdevice(long),fileid(long),txdevice(long),starttime(long),endtime(long),valuevalue(long)
2497,285265.0,16005.0,276213266040071.0,276213565916515.0,255
2497,285282.0,-22595.0,277757366061412.0,277757665937992.0,255
1128,17498.0,-7296.0,276207876150460.0,276208176066094.0,255
1128,17499.0,-6752.0,276263676145342.0,276263976045281.0,255
1128,17502.0,14440.0,276295776119572.0,276296076019265.0,255
1128,17525.0,-29487.0,276781176200295.0,277757665937992.0,255
1128,17527.0,2173.0,276869076138072.0,276263976045281.0,255
1128,17537.0,23620.0,277757366061412.0,277317876080913.0,255
1128,17538.0,4125.0,277326576181174.0,277757665937992.0,303
1128,17538.0,9555.0,277327776181116.0,277328076081348.0,255
1128,17547.0,-11806.0,277644876157987.0,277757665937992.0,339
1128,17572.0,9361.0,278163876172905.0,277317876080913.0,255
1133,52483.0,-11985.0,276263676145342.0,277995276030591.0,255
1133,17572.0,25995.0,278167176128026.0,278167476045818.0,255
1138,17538.0,-22190.0,276260976136843.0,276261276088709.0,255
1138,5106.0,-12948.0,276464676136579.0,276263976045281.0,255
1138,17499.0,20392.0,276464376105051.0,276464676036553.0,263
1138,17572.0,-32538.0,278163876172905.0,277757665937992.0,255
1138,195572.0,28486.0,276435276153475.0,276435576053201.0,255
1140,5453.0,-26462.0,276215376177686.0,277317876080913.0,255
1140,195919.0,-18426.0,276435276153475.0,276178476080765.0,255
2013,17547.0,-25301.0,278778276150947.0,278778576050727.0,255
2497,195919.0,-20545.0,278372366062132.0,276178476080765.0,255
1064,17538.0,-5248.0,276869076138072.0,276263976045281.0,255
1111,68629.0,2522.0,277080866089845.0,276208176066094.0,255
1111,17498.0,30560.0,276464376105051.0,277317876080913.0,255
1111,17498.0,-12104.0,276781176200295.0,278023776051283.0,255
1111,5106.0,29436.0,276464676136579.0,278163576065577.0,255
1111,68701.0,-10358.0,276435276153475.0,278277276037230.0,255
1111,17527.0,-30180.0,277080866089845.0,278380776085870.0,255
1111,17537.0,1506.0,276207876150460.0,276435576053201.0,255
1112,195572.0,-14328.0,276814476120852.0,278778576050727.0,255
1112,17537.0,1912.0,277326576181174.0,277995276030591.0,255
1112,17547.0,-6824.0,276260976136843.0,276866076052285.0,255
1112,68629.0,11940.0,276464376105051.0,276178476080765.0,255
1112,285282.0,-29865.0,278195976170088.0,276736165973384.0,255
1112,54080.0,8460.0,277080866089845.0,277317876080913.0,255
1114,15436.0,-30371.0,276781176200295.0,276208176066094.0,255
