rxdevice,fileid,txdevice,starttime,endtime,valuevalue
291,24812.0,9167,276266376154934.0,276266676055141.0,255
291,24814.0,-2917,276297276172696.0,276297576073022.0,255
291,24817.0,1042,276387276146401.0,276387576062486.0,255
291,24824.0,-19432,276465876186768.0,276466176086601.0,255
291,24825.0,8884,276524076117184.0,276524376016804.0,255
291,24832.0,12747,276712476154539.0,276712776054431.0,255
291,24836.0,-9578,276786276154240.0,276786576054094.0,255
291,24837.0,25149,276807576180806.0,276807876097228.0,255
291,24840.0,-9437,276871176143341.0,276871476076359.0,255
291,24841.0,30740,276902376173424.0,276902676073996.0,255
291,24842.0,9882,276905076189763.0,276905376089894.0,255
291,24845.0,4244,276991776165653.0,276992076065658.0,255
291,24846.0,25884,277046076112879.0,277046376011948.0,255
291,24848.0,-16427,277077576115421.0,277077876031133.0,255
291,24849.0,25704,277087776120136.0,277088076019619.0,255
291,24850.0,21651,277105776156255.0,277106076056089.0,255
291,24851.0,29929,277128876140941.0,277129176056224.0,255
291,24854.0,-1322,277300776152599.0,277301076052613.0,255
291,24855.0,22360,277322976141651.0,277323276041700.0,255
291,24860.0,-26389,277422276120980.0,277422576021761.0,255
291,24860.0,-14186,277421976121168.0,277422276020987.0,255
291,24863.0,6613,277475976171669.0,277476276071822.0,255
291,24868.0,-7659,277564476155444.0,277564776055062.0,255
291,24871.0,-28559,277761876155317.0,277762176055058.0,255
291,24871.0,-18655,277762176155104.0,277762476055040.0,255
291,24871.0,-8109,277762776154921.0,277763076055191.0,255
291,24871.0,8715,277762476155055.0,277762776054868.0,255
291,24872.0,-27389,278111376173785.0,278111676073896.0,255
291,24872.0,-15860,278112276174364.0,278112576074002.0,255
291,24872.0,-15818,278111076173845.0,278111376073772.0,255
291,24872.0,-7627,278111976173763.0,278112276074352.0,255
291,24872.0,-7590,278110776173817.0,278111076073989.0,255
291,24872.0,22502,278111676173899.0,278111976073767.0,255
291,24875.0,9486,278165676185824.0,278165976038274.0,255
291,24875.0,26911,278165976138286.0,278166276038262.0,255
291,24879.0,-8944,278254776155986.0,278255076056032.0,255
291,24884.0,7052,278375976156003.0,278376276055805.0,255
291,24891.0,-7748,278509476115473.0,278509776015417.0,255
291,24892.0,17992,278528976175120.0,278529276008998.0,255
291,24893.0,-5799,278600076104027.0,278600376003917.0,255
291,24894.0,-17793,278629176152752.0,278629476053031.0,255
291,24894.0,-14867,278629476153033.0,278629776053482.0,255
291,24896.0,27777,278684376164152.0,278684676064046.0,255
291,24897.0,-22763,278685276199324.0,278685576099861.0,255
291,24897.0,-7289,278685876199732.0,278686176099886.0,255
291,24897.0,7201,278685576199348.0,278685876099755.0,255
291,24899.0,-11115,278717376168391.0,278717676068437.0,255
291,24902.0,3575,278774076122370.0,278774376037724.0,255
291,24903.0,-24283,278796876146496.0,278797176046233.0,255
1064,866291.0,-15483,277251266060337.0,277251565936918.0,255
1064,866293.0,-12837,277257566099942.0,277257865976298.0,255
1064,866299.0,-28162,277341266037436.0,277341565914134.0,255
1064,866299.0,-5412,277340666037444.0,277340965914154.0,255
1064,866299.0,3873,277340966037546.0,277341265914161.0,255
1064,866299.0,14839,277341566037809.0,277341865914144.0,255
1064,866329.0,2628,277596866107593.0,277597165983831.0,255
1064,866330.0,-5248,277601966078331.0,277602265954924.0,255
1064,866331.0,31201,277653266074553.0,277653565951295.0,255
1064,866338.0,-26896,277733666117502.0,277733965993486.0,255
1064,866338.0,28809,277733966117257.0,277734265993498.0,255
1064,866339.0,-25478,277740266085585.0,277740565962259.0,255
1064,866339.0,6691,277740566085630.0,277740865962257.0,255
1064,866339.0,31012,277739966085788.0,277740265962222.0,255
1064,866345.0,-32270,277763966084035.0,277764265960465.0,255
1064,866347.0,8974,277779866057781.0,277780165934108.0,255
1064,866347.0,27712,277780166057538.0,277780465934103.0,255
1111,68617.0,11297,276175176157090.0,276175476057366.0,255
1111,68617.0,22316,276174876157102.0,276175176057082.0,255
1111,68618.0,-17609,276209676163340.0,276209976063191.0,255
1111,68618.0,-9147,276209976163181.0,276210276063550.0,255
1111,68619.0,-1709,276261576159581.0,276261876059776.0,255
1111,68619.0,17859,276261276159935.0,276261576059582.0,255
1111,68621.0,-9254,276298476174493.0,276298776074568.0,255
1111,68621.0,6434,276298176174603.0,276298476074510.0,255
1111,68622.0,-2867,276299676173835.0,276299976073848.0,255
1111,68623.0,24976,276347976160352.0,276348276060593.0,255
1111,68624.0,-26558,276383376198104.0,276383676098591.0,255
1111,68624.0,-4950,276383676198617.0,276383976098339.0,255
1111,68624.0,7870,276383976198339.0,276384276098170.0,255
1111,68627.0,-3890,276434376139976.0,276434676055642.0,255
1111,68628.0,-17741,276473676139252.0,276473976054971.0,255
1111,68629.0,-31844,276479376176746.0,276479676076721.0,255
1111,68629.0,-28156,276478176176829.0,276478476077093.0,255
1111,68629.0,-26323,276479976176715.0,276480276077031.0,255
1111,68629.0,-23125,276475776182646.0,276476076082610.0,255
1111,68629.0,-21325,276476676199656.0,276476976099897.0,255
1111,68629.0,-18701,276481176176773.0,276481476076837.0,255
1111,68629.0,-17393,276480876176684.0,276481176076767.0,255
1111,68629.0,-15176,276478476177104.0,276478776077037.0,255
1111,68629.0,-10416,276480576176693.0,276480876076684.0,255
1111,68629.0,-6816,276477276116234.0,276477576046770.0,255
1111,68629.0,677,276478776176973.0,276479076076829.0,255
1111,68629.0,2350,276477576146770.0,276477876076856.0,255
1111,68629.0,2522,276476376199659.0,276476676099656.0,255
1111,68629.0,3069,276482076176736.0,276482376076779.0,255
1111,68629.0,3393,276476076182671.0,276476376099695.0,255
1111,68629.0,10626,276481776177320.0,276482076076781.0,255
1111,68629.0,18585,276477876176754.0,276478176076852.0,255
1111,68629.0,19099,276481476177251.0,276481776077268.0,255
1111,68629.0,19484,276479076176811.0,276479376076815.0,255
1111,68629.0,19837,276476976200307.0,276477276016229.0,255
1111,68629.0,30805,276480276176942.0,276480576076778.0,255
1111,68629.0,30891,276479676176725.0,276479976076769.0,255
1111,68665.0,-26022,276832776181379.0,276833076080299.0,255
1111,68665.0,-23960,276832476180342.0,276832776080955.0,255
1111,68666.0,-29319,276866676116343.0,276866976015975.0,255
1111,68666.0,17687,276866976116034.0,276867276015928.0,255
1111,68667.0,-21626,276901476196655.0,276901776097086.0,255
1111,68667.0,7615,276901176196667.0,276901476096658.0,255
1111,68667.0,28050,276901776196744.0,276902076096352.0,255
1111,68668.0,-1895,276907476115545.0,276907776015666.0,255
1111,68668.0,25503,276907176115243.0,276907476015546.0,255
1111,68669.0,-31843,276952176172096.0,276952476005958.0,255
1111,68669.0,1590,276951876155641.0,276952176072124.0,255
1111,68670.0,-7605,276989976176983.0,276990276009688.0,255
1111,68670.0,5994,276990276109732.0,276990576009728.0,255
1111,68671.0,-9059,277038576150665.0,277038876050561.0,255
1111,68672.0,-2903,277070676196903.0,277070976096978.0,255
1111,68672.0,2182,277070376196764.0,277070676096562.0,255
1111,68672.0,12215,277070076196540.0,277070376096765.0,255
1111,68673.0,4150,277082376197031.0,277082676097028.0,255
1111,68673.0,8035,277082076196575.0,277082376096991.0,255
1111,68673.0,8483,277082676197050.0,277082976096965.0,255
1111,68673.0,9409,277081776196672.0,277082076096289.0,255
1111,68675.0,1807,277125276117857.0,277125576017960.0,255
1111,68675.0,9419,277125576117953.0,277125876033753.0,255
1111,68676.0,12855,277160676163065.0,277160976063405.0,255
1111,68685.0,-2916,277644276185014.0,277644576081641.0,255
1111,68685.0,14106,277644576181626.0,277644876081833.0,255
1111,68686.0,30560,277685976120586.0,277686276020474.0,255
1111,68688.0,-32382,277730676179399.0,277730976079508.0,255
1111,68688.0,23858,277730976179475.0,277731276079514.0,255
1111,68689.0,23767,277763376143699.0,277763676043542.0,255
1111,68691.0,-16618,277932876172438.0,277933176003946.0,255
1111,68691.0,-10767,277932576153783.0,277932876072437.0,255
1111,68692.0,1289,277941576136802.0,277941876036537.0,255
1111,68692.0,2432,277941276136657.0,277941576036799.0,255
1111,68692.0,18294,277940976136618.0,277941276036583.0,255
