geography,yearvalue(long),strata,strataname,percentvalue(double precision),lowerninefivecl(double precision),upperninefivecl(double precision),standarderror(double precision)
California,2018,Total population,Total population,10.4,8.9,11.9,0.8
California,2018,Race-Ethnicity,White,8.4,6.9,9.9,0.8
California,2018,Race-Ethnicity,African-American,12.3,6.0,18.6,3.2
California,2018,Race-Ethnicity,Asian,8.5,3.2,13.9,2.7
California,2018,Race-Ethnicity,Hispanic,12.1,9.0,15.1,1.6
California,2018,Age,18 to 34 years,4.0,0.8,7.2,1.6
California,2018,Age,Total population,5.1,1.9,8.3,1.6
California,2018,Age,45 to 54 years,11.6,8.2,15.0,1.7
California,2018,Age,55 to 64 years,17.7,14.2,21.2,1.8
California,2018,Age,65 years and above,22.4,19.5,25.3,1.5
California,2018,Education,White,19.7,15.2,24.1,2.3
California,2018,Education,Total population,7.8,4.8,10.9,1.6
California,2018,Education,Some college,12.3,8.4,16.2,2.0
California,2018,Education,College graduate,8.7,6.5,10.8,1.1
California,2018,Income,45 to 54 years,18.8,13.0,24.5,2.9
California,2018,Income,"$15,000 to $24,999",12.2,9.0,15.3,1.6
California,2018,Income,"$25,000 to $34,999",14.6,5.6,23.5,4.5
California,2018,Income,"$35,000 to $49,999",6.2,3.8,8.7,1.3
California,2018,Income,"$50,000 and above",9.4,7.1,11.7,1.2
California,2018,Sex,Male,10.5,8.7,12.4,0.9
California,2018,Sex,Female,10.3,7.9,12.7,1.2
California,2017,Total population,55 to 64 years,8.2,7.3,9.1,0.5
California,2017,Race-Ethnicity,"$25,000 to $34,999",7.6,6.4,8.8,0.6
California,2017,Race-Ethnicity,55 to 64 years,12.1,6.3,17.9,3.0
California,2017,Race-Ethnicity,"$25,000 to $34,999",4.4,2.4,6.3,1.0
California,2017,Race-Ethnicity,Hispanic,9.7,7.8,11.6,1.0
California,2017,Age,18 to 34 years,1.2,0.6,1.9,0.3
California,2017,Age,35 to 44 years,3.7,1.9,5.5,0.9
California,2017,Age,"$25,000 to $34,999",8.4,5.9,10.8,1.3
California,2017,Age,55 to 64 years,15.9,12.6,19.2,1.7
California,2017,Age,65 years and above,21.3,18.4,24.2,1.5
California,2017,Education,Less than high school,15.3,11.6,19.0,1.9
California,2017,Education,High school graduate,8.9,6.6,11.2,1.2
California,2017,Education,Some college,8.8,6.8,10.7,1.0
California,2017,Education,"$25,000 to $34,999",5.5,4.4,6.6,0.6
California,2017,Income,"Less than $15,000",13.1,9.6,16.5,1.8
California,2017,Income,Total population,12.3,8.7,15.8,1.8
California,2017,Income,"$25,000 to $34,999",11.0,7.3,14.7,1.9
California,2017,Income,65 years and above,7.7,4.6,10.8,1.6
California,2017,Income,45 to 54 years,5.1,4.1,6.2,0.5
California,2017,Sex,Male,8.7,7.2,10.1,0.7
California,2017,Sex,"$35,000 to $49,999",7.7,6.5,8.9,0.6
California,2016,Total population,18 to 34 years,10.2,9.6,10.8,0.4
California,2016,Race-Ethnicity,Some college,9.0,8.3,9.7,0.2
California,2016,Race-Ethnicity,African-American,10.7,8.7,12.4,0.1
California,2016,Race-Ethnicity,65 years and above,11.8,9.4,13.9,0.2
California,2016,Race-Ethnicity,45 to 54 years,10.3,9.3,11.2,0.2
California,2016,Age,Asian,1.5,1.0,2.0,0.1
California,2016,Age,Hispanic,4.3,3.4,5.2,0.1
California,2016,Age,"$25,000 to $34,999",10.9,9.6,12.1,0.2
California,2016,Age,55 to 64 years,17.3,15.6,18.8,0.2
California,2016,Age,African-American,24.2,22.5,25.9,0.3
California,2016,Education,18 to 34 years,16.3,14.8,17.6,0.2
California,2016,Education,"$35,000 to $49,999",9.1,7.9,10.1,0.2
California,2016,Education,Some college,10.2,9.1,11.3,0.3
California,2016,Education,18 to 34 years,7.1,6.3,7.9,0.1
California,2016,Income,35 to 44 years,15.6,13.9,17.2,0.2
California,2016,Income,55 to 64 years,14.1,12.1,15.8,0.2
California,2016,Icome,"$25,000 to $34,999",11.8,8.9,14.2,0.2
California,2016,Income,65 years and above,9.6,8.2,10.8,0.1
California,2016,Income,African-American,7.7,6.8,8.5,0.3
California,2016,Sex,Hispanic,10.5,9.6,11.2,0.3
California,2016,Sex,55 to 64 years,9.9,9.0,10.7,0.3
California,2015,Total population,65 years and above,9.0,8.2,9.8,0.4
California,2015,Race-Ethnicity,Female,7.4,6.4,8.3,0.5
California,2015,Race-Ethnicity,"$25,000 to $34,999",13.0,9.2,16.7,1.9
California,2015,Race-Ethnicity,"$25,000 to $34,999",9.7,6.8,12.7,1.5
California,2015,Race-Ethnicity,Hispanic,10.5,8.9,12.0,0.8
California,2015,Age,18 to 34 years,1.6,0.7,2.4,0.4
California,2015,Ae,35 to 44 years,5.5,3.7,7.2,0.9
California,2015,Age,Asian,10.0,7.9,12.2,1.1
California,2015,Age,Female,17.3,14.7,19.9,1.3
California,2015,Age,Male,20.5,18.3,22.7,1.1
California,2015,Eudcation,Less than high school,15.7,12.8,18.6,1.5
California,2015,Education,African-American,8.6,7.1,10.6,0.9
California,2015,Education,45 to 54 years,7.7,6.4,8.9,0.6
California,2015,Education,Total population,8.3,6.9,9.6,0.7
California,2015,Income,65 years and above,14.8,11.9,17.7,1.5
California,2015,Income,High school graduate,10.5,8.0,13.0,1.3
California,2015,Income,"$25,000 to $34,999",9.6,7.0,12.2,1.3
California,2015,Income,55 to 64 years,8.6,6.1,11.1,1.3
California,2015,Income,55 to 64 years,7.7,6.5,9.0,0.6
California,2015,Sex,Hispanic,9.4,8.2,10.5,0.6
