yearvalue,statevalue,county,hai,facilityid(double precision),facilityname,hospitalcategoryriskadjustment,facilitytype,infectionsreported,infectionspredicted(double precision),patientdays(long)
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,297,367.65,6436139
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,38,35.1,212392
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,0,0.84,40467
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,1,4.95,260491
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000011.0,Alameda Hospital,Acute Care Hospital,"Community, <125 Beds",,0.32,5674
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425.0,Alta Bates Summit Medical Center,Acute Care Hospital,"Community, >250 Beds",0,1.15,23329
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000012.0,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Acute Care Hospital,"Community, >250 Beds",0,1.54,31706
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425.0,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Rehabilitation Hospital or Unit,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,0,0.14,7170
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000183.0,Eden Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.88,18546
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000034.0,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Acute Care Hospital,Major Teaching,3,2.83,51035
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140001086.0,Alta Bates Summit Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.38,10765
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000188.0,"Kaiser Foundation Hospital, Oakland/Richmond",Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,1,1.76,39140
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630015029.0,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Acute Care Hospital,"Community, 125-250 Beds",1,1.0,27902
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000148.0,Alta Bates Summit Medical Center,Long-Term Acute Care Hospital,"Community, >250 Beds",0,2.16,12054
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630013913.0,Eden Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.19,5385
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000041.0,St Rose Hospital,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,1,0.37,8789
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000797.0,St Rose Hospital,Acute Care Hospital,"Community, 125-250 Beds",0,0.69,15337
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000014.0,UCSF Benioff Children's Hospital Oakland,Acute Care Hospital,Pediatric,0,0.73,21169
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000118.0,Washington Hospital,Acute Care Hospital,"Community, >250 Beds",2,1.27,25666
2020H1,California,Amador,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000108.0,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,0,0.1,4835
2020H1,California,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000013.0,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Acute Care Hospital,"Community, >250 Beds",0,1.47,37803
2020H1,California,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000405.0,Enloe Rehabilitation Center,Rehabilitation Hospital or Unit,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,0,0.06,2962
2020H1,California,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000001.0,Washington Hospital,Critical Access Hospital,Major Teaching,0,0.01,545
2020H1,California,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000014.0,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,0,0.85,22326
2020H1,California,Calaveras,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000120.0,Alameda Hospital,Critical Access Hospital,Critical Access,0,0.04,1984
2020H1,California,Colusa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000259.0,St Rose Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.07,3011
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000195.0,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Acute Care Hospital,Major Teaching,0,1.0,14697
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000196.0,"John Muir Medical Center, Concord Campus",Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,5,1.74,24261
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187.0,"John Muir Medical Center, Walnut Creek Campus",Acute Care Hospital,Major Teaching,4,3.21,42457
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187.0,"John Muir Medical Center, Walnut Creek Campus, Rehabilitation Unit",Rehabilitation Hospital or Unit,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,0,0.06,3348
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630011203.0,"Kaiser Foundation Hospital, Antioch",Acute Care Hospital,Major Teaching,0,0.58,16148
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000191.0,"John Muir Medical Center, Concord Campus",Acute Care Hospital,Major Teaching,0,0.33,6463
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000190.0,"Kaiser Foundation Hospital, Walnut Creek",Acute Care Hospital,"Community, 125-250 Beds",1,2.0,30459
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000704.0,San Ramon Regional Medical Center,Acutef Care Hospital,"Community, <125 Beds",0,0.24,7406
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000016.0,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,0,0.53,13899
2020H1,California,Del Norte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049.0,Sutter Coast Hospital,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,0,0.16,2963
2020H1,California,Del Norte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049.0,"Sutter Coast Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,"Community, >250 Beds",0,0.02,1244
2020H1,California,El Dorado,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000114.0,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Acute Care Hospital,"Community, <125 Beds",0,0.08,2683
2020H1,California,El Dorado,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000121.0,St Rose Hospital,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,0,0.34,9453
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000095.0,St Rose Hospital,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,0,0.59,16126
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000101.0,Sutter Coast Hospital,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,4,6.68,75856
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000101.0,Enloe Rehabilitation Center,Rehabilitation Hospital or Unit,"Community, 125-250 Beds",0,0.06,3019
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40001397.0,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Acute Care Hospital,Major Teaching,0,0.18,3905
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000254.0,"Kaiser Foundation Hospital, Walnut Creek",Acute Care Hospital,"Community, <125 Beds",0,0.02,2128
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000949.0,Sutter Coast Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0.8,19784
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000126.0,UCSF Benioff Children's Hospital Oakland,Acute Care Hospital,Major Teaching,1,3.33,46787
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000613.0,St Rose Hospital,Rehabilitation Hospital or Unit,"Community, 125-250 Beds",0,0.17,9133
2020H1,California,Glenn,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000006.0,"Sutter Coast Hospital, Rehabilitation Unit",Critical Access Hospital,Critical Access,0,0.07,3562
2020H1,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000057.0,St Rose Hospital,Critical Access Hospital,"Community, >250 Beds",0,0.01,477
2020H1,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000021.0,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Acute Care Hospital,Critical Access,0,0.07,3834
2020H1,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000045.0,Providence Redwood Memorial Hospital,Critical Access Hospital,"Community, >250 Beds",0,0.04,2146
2020H1,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000067.0,"John Muir Medical Center, Walnut Creek Campus",Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,2,1.58,16161
2020H1,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000069.0,Eden Medical Center,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.03,1446
2020H1,California,Imperial,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),90000040.0,"John Muir Medical Center, Walnut Creek Campus, Rehabilitation Unit",Acute Care Hospital,Critical Access,0,0.54,13228
2020H1,California,Inyo,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000037.0,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Critical Access Hospital,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,0,0.03,1565
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120001330.0,"John Muir Medical Center, Concord Campus",Acute Care Hospital,"Community, <125 Beds",0,0.06,1221
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000338.0,Washington Hospital,Acute Care Hospital,Free-Standing Rehabilitation,4,2.54,35269
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000555.0,"John Muir Medical Center, Walnut Creek Campus, Rehabilitation Unit",Rehabilitation Hospital or Unit,"Community, 125-250 Beds",0,0.21,10831
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000319.0,"John Muir Medical Center, Walnut Creek Campus",Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,0,0.05,2704
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000342.0,Eden Medical Center,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,3,1.84,22603
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000344.0,"John Muir Medical Center, Walnut Creek Campus, Rehabilitation Unit",Critical Access Hospital,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,0,0.03,1275
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000404.0,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Acute Car eHospital,"Community, <125 Beds",1,0.58,10415
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000701.0,Alta Bates Summit Medical Center,AcuteC are Hospital,"Community, <125 Beds",0,0.48,13249
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000409.0,Eden Medical Center,Critical Access Hospital,Major Teaching,0,0.07,3385
