yearvalue(long),agegroup,category,type,fiveormoreservingsoffruitsandvegetables(double precision)
2012,Adolescent (12-17),All,Total,40.2
2012,Adolescent (12-17),Gender,Male,37.3
2098,Adolescent (12-17),Gender,Female,43.3
2012,Adolescent (12-17),Gender by Age- Male,12-13,35.2
2058,Adolescent (12-17),Gender by Age- Male,14-15,42.1
2012,Adolescent (12-17),Gender by Age- Male,16-17,34.6
2012,Adolescent (12-17),Gender by Age- Female,12-13,50.1
2012,Adolescent (12-17),Gender by Age- Female,14-15,39.8
2012,Adolescent (12-17),Gender by Age- Female,16-17,40.5
2049,Adolescent (12-17),Race/Ethnicity,White,40.3
2012,Adolescent (12-17),Race/Ethnicity,African American,35.2
2012,Adolescent (12-17),Race/Ethnicity,Latino,44.2
2029,Adolescent (12-17),Race/Ethnicity,Asian/Other,29.6
2105,Adolescent (12-17),Income,"Less than $15,000",43.2
2012,Adolescent (12-17),Income,"$15,000 - 24,999",38.2
2056,Adolescent (12-17),Income,"$25,000 - 34,999",54.1
2098,Adolescent (12-17),Income,"$35,000 - 49,999",41.0
2026,Adolescent (12-17),Income,"$50,000 - 74,999",29.7
2052,Adolescent (12-17),Income,"$75,000 or greater",42.3
2050,Adolescent (12-17),Physical Activity,Regular,41.9
2012,Adolescent (12-17),Physical Activity,Irregular,34.4
2081,Adolescent (12-17),Overweight Status,Not Overweight,41.2
2069,Adolescent (12-17),Overweight Status,Overweight/Obese,39.1
2012,Adolescent (12-17),"CalFresh Status, % FPL",Participant,47.5
2012,Adolescent (12-17),"CalFresh Status, % FPL","Likely Eligible, ≤ 130%",41.9
2055,Adolescent (12-17),"CalFresh Status, % FPL","Not Eligible, > 185%",36.2
2013,Adolescent (12-17),All,Total,39.8
2013,Adolescent (12-17),Gender,Male,34.3
2013,Adolescent (12-17),Gender,Female,45.1
2013,Adolescent (12-17),Age,18 - 24,36.2
2013,Adolescent (12-17),Age,25 - 34,43.3
2013,Adolescent (12-17),Age,35 - 50,38.7
2013,Adolescent (12-17),Age,51 - 64,40.6
2013,Adolescent (12-17),Age,65+,39.5
2013,Adolescent (12-17),Race/Ethnicity,White,40.1
2013,Adolescent (12-17),Race/Ethnicity,African American,38.5
2013,Adolescent (12-17),Race/Ethnicity,Latino,40.1
2013,Adolescent (12-17),Race/Ethnicity,Asian/Other,38.8
2013,Adolescent (12-17),Education,Less than High School,34.9
2013,Adolescent (12-17),Education,High School Graduate,36.9
2013,Adolescent (12-17),Education,Some College,37.1
2013,Adolescent (12-17),Education,College Graduate,48.5
2013,Adolescent (12-17),Income,"Less than $15,000",40.1
2013,Adolescent (12-17),Income,"$15,000 - 24,999",40.7
2013,Adolescent (12-17),Income,"$25,000 - 34,999",37.0
2013,Adolescent (12-17),Income,"$35,000 - 49,999",33.0
2013,Adult (18+),Income,"$50,000+",41.2
2038,Adult (18+),Physical Activity,Met Aerobic Recommendation,45.1
2013,Adult (18+),Physical Activity,Did Not Meet Aerobic Recommendation,30.8
2081,Adult (18+),Overweight Status,Not Overweight,42.6
2013,Adult (18+),Overweight Status,Overweight/Obese,38.5
2073,Adult (18+),"CalFresh Status, % FPL",Participant,40.1
2068,Adult (18+),"CalFresh Status, % FPL","Likely Eligible, ≤ 130%",35.0
2094,Adult (18+),"CalFresh Status, % FPL","Not Eligible, > 185%",39.9
2013,Child (6-11),All,Total,27.1
2088,Child (6-11),Gender,Male,24.0
2013,Child (6-11),Gender,Female,30.3
2013,Child (6-11),Age,6-8,28.3
2062,Child (6-11),Age,9-11,25.6
2049,Child (6-11),Race/Ethnicity,White,27.3
2028,Child (6-11),Race/Ethnicity,African American,24.5
2013,Child (6-11),Race/Ethnicity,Latino,27.5
2042,Child (6-11),Race/Ethnicity,Asian/Other,25.9
2037,Child (6-11),Parent Education,Less than High School,27.9
2100,Child (6-11),Parent Education,High School Graduate,30.0
2062,Child (6-11),Parent Education,Some College/Graduate,24.4
2052,Child (6-11),Physical Activity,> 60 minutes,29.9
2024,Child (6-11),Physical Activity,< 60 minutes,23.6
2028,Child (6-11),Overweight Status,Not Overweight,29.8
2098,Child (6-11),Overweight Status,Overweight/Obese,26.9
