zip,eiaid,utilityname,statevalue,servicetype,ownership,commrate,indrate,resrate
39730.0,55.0,City of Aberdeen - (MS),MS,Bundled,Municipal,0.1068726355611601,0.0437957875457875,0.1124000721283885
38858.0,55.0,City of Aberdeen - (MS),MS,Bundled,Municipal,0.1068726355611601,0.0437957875457875,0.1124000721283885
21864.0,84.0,A & N Electric Coop,MD,Bundled,Cooperative,0.1275415896487985,0.0,0.1270452358036573
21824.0,84.0,A & N Electric Coop,MD,Bundled,Cooperative,0.1275415896487985,0.0,0.1270452358036573
21866.0,84.0,A & N Electric Coop,MD,Bundled,Cooperative,0.1275415896487985,0.0,0.1270452358036573
21851.0,84.0,A & N Electric Coop,MD,Bundled,Cooperative,0.1275415896487985,0.0,0.1270452358036573
21863.0,84.0,A & N Electric Coop,MD,Bundled,Cooperative,0.1275415896487985,0.0,0.1270452358036573
23302.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23308.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23486.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23350.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23395.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23410.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23417.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23416.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23426.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23418.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23421.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23306.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23488.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23414.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23442.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23358.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23307.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23301.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23480.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23401.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23356.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23415.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23336.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23359.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23357.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23341.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23423.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23427.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23303.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23337.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23420.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23310.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23407.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23354.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23413.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23409.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23405.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23313.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23316.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23443.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23404.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23408.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23482.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23483.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23429.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23422.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23389.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23412.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23419.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23440.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23441.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23398.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23399.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23396.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23345.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23347.0,84.0,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
54930.0,108.0,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
54968.0,108.0,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
