characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue,standarderroroncount,noteoncount
Total,Female,"American Indian/Alaska Native, non-Hispanic",2000,15.3,2.38,Data not available.,367967,59229.6,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,15.7,2.27,Data not available.,380883,56750.9,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,11.1,2.01,Data not available.,275729,51377,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,16.5,2.49,Data not available.,416297,65031.8,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,11.9,1.85,Data not available.,416297,47923.7,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,13.8,2.25,Reporting standards not met.,350937,58842.3,Reporting tsandards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,15.2,2.32,Reporting standards not met.,388254,60899.7,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,10.2,1.74,Reporting standards not met.,275729,45897.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,12.5,2.32,Reporting standards not met.,311837,59642.2,Reporting standars not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,11.1,2.26,Reporting standards not met.,350937,57242.3,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,7.2,1.58,Reporting standards not met.,416297,39648.1,Reprting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,8.5,1.63,Reporting standards not met.,206783,40708.4,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,5.9,1.27,Reporting standards not met.,416297,32285.5,Reporting satndards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2000,21.0,3.61,Reporting standards not met.,258058,46495.3,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,20.8,3.4,Reporting standards not met.,257074,43852.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,12.9,2.72,Reporting standards not met.,206783,35980,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,21.8,3.7,Reporting standards not met.,311837,49902.7,Reporting standards not mte.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,15.6,2.79,Reporting standards not met.,201837,51377,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,18.5,3.4,Reporting standards not met.,239794,45815.5,Reporting standards nodt met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,14.3,2.81,Reporting standards not met.,187123,37899,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,15.6,2.81,Reporting standards not met.,203362,51377,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,16.6,3.55,Data not available.,388254,46791.1,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,14.9,3.41,Data not available.,186456,44418.7,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,9.0,2.27,Data not available.,380883,29157.2,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,9.6,2.21,Data not available.,416297,28367.6,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,7.7,1.96,Reporting standards not met.,275729,25384.8,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2000,9.4,2.18,Reporting standards not met.,367967,26236.9,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,10.5,2.26,Reporting standards not met.,239794,27431.8,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,9.2,2.22,Reporting standards not met.,311837,27510.3,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,11.0,2.43,Reporting standards not met.,239794,30758.1,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,7.9,1.89,Reporting standards not met.,97900,23733.8,Reporting standards notmet.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,9.0,2.2,Reporting standards not met.,111144,27947.5,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,16.2,3.09,Reporting standards not met.,201131,39696,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,4.5,1.18,Reporting standards not met.,56435,15005.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,8.1,2.36,Data not available.,99746,29446.9,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,7.1,2.17,Reporting standards not met.,86376,23733.8,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,5.3,1.62,Data not available.,258058,19832.5,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,7.3,1.89,Data not available.,86505,22853.2,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,3.9,1.34,Data not available.,56435,16653.1,Reporting standards not met.
Total - Male,Female,"White, non-Hispanic",2000,13.7,2.54,Data not available.,367967,40755.9,Reporting standards not met.
Total - Male,Female,"White, non-Hispanic",2001,12.9,2.33,Data not available.,97900,37222.2,Reporting standards not met.
Total - Female,Female,"White, non-Hispanic",2002,9.3,2.05,Data not available.,111144,32829,Reporting standards not met.
Total - Female,Female,"White, non-Hispanic",2003,16.3,2.9,Data not available.,367967,46032.3,Reporting standards not met.
Total - Female,Female,"White, non-Hispanic",2004,13.5,2.41,Data not available.,206783,37632.3,Reporting standards not met.
Total,Female,"White, non-Hispanic",2005,10.6,2.26,Data not available.,275729,35391.1,Reporting standards not met.
Total,Female,"White, non-Hispanic",2006,14.7,2.7,Data not available.,257074,42726.8,Reporting standards not met.
