communityareaname,communityareanumber(long),propertytype,propertyname,address,zipcode(long),phonenumber,managementcompany,units(long),xcoordinate(double precision),ycoordinate(double precision),latitude(double precision),longitude(double precision),locationvalue
East Garfield Park,27,Multifamily/Artists,Switching Station Lofts,15 S. Homan Ave.,35583,312-859-0577,Holsten Management Corp.,24,661688.3331558253,1899627.529,44.52417462407097,-87.71084273,"(41.8804138114539, -87.7108427297598)"
North Lawndale,29,Multifamily,Dicksons Estates Apts.,1129 S. Sacramento Ave.,60612,773-638-0386,Dickson Estates Apartments,267,1704435.5731022044,1894894.51,41.86736961,-87.70066623,"(41.8673696100651, -87.7006662254259)"
Humboldt Park,23,Supportive/Males 18-24yrs.,Solid Ground Supportive Housing Program,3507 W. North Ave.,60647,773-276-4900,"La Casa Norte, Inc.",-128,1390244.130114572,1910367.063,41.9099065,-87.71469504,"(41.9099064976123, -87.7146950393782)"
Grand Boulevard,38,Multifamily,Hearts United I-The Langston (scattered sites),722-46 E. Bowen Ave.,60653,773-924-2100,Bonheur Realty Services Corp.,116,1181829.598,1877677.36,41.81957647,-87.60848349,"(41.8195764741456, -87.6084834879147)"
Washington Park,40,People with Disabilities,Urbanite Apartments,5441 S. Michigan Ave.,60615,773-285-3341,Assoc. of Chicago Day School,-157,1178127.358,1868790.595,56.09823722075378,-45.28847921011338,"(41.7952753030787, -87.6223343775137)"
North Lawndale,29,Multifamily,Park Doulglas,1345 S. Fairfield Ave.,60608,773-893-4800,Interstate Realty Management Co.,17,1158291.047,1893459.955,41.86339815,-87.69440189,"(41.8633981467105, -87.6944018944973)"
New City,61,Senior,West Haven Homes,850 W. Garfield Blvd.,60609,773-536-3057,"Universal Management Service, Inc.",110,1171337.269,1868414.146,41.7943937,-87.64724467,"(41.7943936951386, -87.6472446716785)"
Logan Square,22,ARO,1957 N.Fairfield/2701 W. Armitage,1957 N. Fairfiled Ave.,63872,773-772-8500,Wilmot Properties,6,1157757.47,1913119.953,61.49907666249651,-109.82976508748382,"(41.9173578458663, -87.6958244220098)"
West Town,24,Multifamily,Paseo Boricua Apts.,1154 N. Campbell St.,31101,312-602-6500,Hispanic Housing Dev. Corp.,61,1159482.293,1907856.105,41.90287808,-87.68963252,"(41.9028780789855, -87.6896325218596)"
Uptown,3,ARO,Platform 4611,4611 N. Broadway,60640,312-264-2280,Platform 4611,-152,1168036.159,1485816.7269187637,41.96576829,-87.6575472,"(41.96576829198519, -87.65754719663556)"
