sexraceethnicity,sex,raceethnicity,yearvalue(long),percentage(double precision),countvalue(long),noteonpercent,noteoncount
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,18.0,9214,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total,Female,"American Indian/Alaska Native, non-Hispanic",1394,18.7,9701,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,74.17067857377546,10348,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,79.3012592565517,7490,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,30.5,-2810,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,32.7,8707,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",1619,6.9,1724,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,6.3,1587,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",1947,6.5,1640,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,5.4,1658,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Female,"White, non-Hispanic",1196,6.0,1768,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,6.4,1860,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,74.1,5610,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,77.3,5840,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",1805,81.9,6216,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Hispanic,Female,Hispanic,2009,17.0,1620,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Hispanic,Female,Hispanic,2010,16.3,1737,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Hispanic,Female,Hispanic,2011,17.2,1872,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,4.9,5060,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,4.3,105,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,6.1,-2833,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2506,71.98924881548785,5693,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",3000,15.4,-2892,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2774,19.2,-3191,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1534,5.2,-2869,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,8.4,38,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2450,10.7,-2864,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,18.4,188,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,15.2,197,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,13.6,-2723,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2472,8.9,1394,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2010,-34.95655222117992,1529,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
