characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,246.0,2.1,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2135984565603746,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",1249,243.0,1.9,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",1247,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,324.417810055119,1.5,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,192.62403273356048,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,230.0,2.5117278413123305,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2013,137.76394936685097,1.3,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,242.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,230.0,2.0938651919758606,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,291.79329806240685,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,240.0,2.5,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,230.0,3.128330187123712,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,230.0,1.2635287776578294,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",1703,230.0,1.2506041714395968,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,248.0,1.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",1202,225.36081503229653,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,250.0,2.407494793013776,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,318.4060034919127,3.2061431630267485,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,230.0,3.215316874816357,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,248.0,3.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,315.43258845814813,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2395,306.60626297014534,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,223.2207844659929,1.8784088433430104,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",1554,327.78623001277447,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",1389,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2013,253.0,1.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2002,249.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2003,246.53378292142403,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2004,327.2219608294887,3.1283052309397945,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",1288,161.40680647595582,2.8,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,237.0333826035835,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",1719,259.0,1.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",1225,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2013,323.8554395823211,1.377320346878892,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2002,230.0,1.5557161377011628,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2326,230.0,1.9456143915763495,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,229.0,3.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,344.84684545123264,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",1732,233.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,143.26346645124167,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2483,230.0,2.4375478656616902,Data not available.
