sexraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2614,167.0,5.0,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,187.0,0.8,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,184.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,269.3042839609685,0.5,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",1514,169.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,190.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,169.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,189.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,267.19534245180927,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,144.4150567373424,0.5,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2013,184.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",1644,164.0,5.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",1708,110.82095148624472,0.9,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,247.18834243040737,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,169.0,4.111013373273331,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",1829,189.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,190.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2412,169.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,204.92685717116692,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,186.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,184.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2000,173.0,7.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",1332,169.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,188.0,1.1,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,187.0,1.0,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2290,169.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,191.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,191.0,0.9,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,117.04643229227324,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,190.0,1.0,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2162,187.0,0.9,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",1204,184.0,0.9,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2150,182.0,5.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2001,196.42338915540276,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2534,92.34328454645932,0.8,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2003,194.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",1565,169.0,0.6,Data not available.
