sexandraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2000,229.0,2.3,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,280.2717193057133,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",1569,242.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,177.50692327126768,0.5,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,246.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",1298,162.03733444056047,0.5,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",1034,229.0,2.840387695274816,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,179.84455141292986,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",1114,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",1095,248.0,0.5,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2000,233.0,2.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,244.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",1936,247.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2674,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,248.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",1715,252.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2984,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,252.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,251.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2000,221.0,3.0,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,303.3162954555849,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,237.0,0.9,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2273,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,264.0506502983358,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,241.0,1.0,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,243.0,0.9,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2559,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,244.0,0.9,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2013,243.0,2.580540483021798,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2000,239.0,2.5,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2001,352.6799436600576,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2002,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2003,253.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,255.0,0.5,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,257.0,0.7,Data not available.
