rxdevice(long),fileid(long),txdevice(long),starttime(long),endtime(long),valuevalue(long)
291,24812,9167,276266376154934,276266676055141,255
4277,24814,-2917,328403210894765,298174457805679,297
291,24817,1042,143013743540058,276387576062486,255
291,24824,-19432,276465876186768,276466176086601,326
3124,24825,-89145,276524076117184,276524376016804,255
291,24832,12747,276712476154539,276712776054431,142
291,24836,-9578,276786276154240,276786576054094,255
8880,24837,25149,276807576180806,276807876097228,255
3307,24840,-9437,276871176143341,249769781892120,255
9574,24841,30740,276902376173424,276902676073996,255
291,24842,9882,276905076189763,276905376089894,255
291,24845,4244,276991776165653,276992076065658,255
291,24846,25884,277046076112879,252118147672479,255
291,24848,-16427,174468604021395,277077876031133,255
291,24849,25704,277087776120136,277088076019619,206
7612,24850,88210,277105776156255,277106076056089,255
4652,24851,29929,277128876140941,277129176056224,255
291,24854,-1322,277300776152599,277301076052613,259
291,24855,22360,277322976141651,277323276041700,255
291,24860,-26389,277422276120980,277422576021761,255
291,24860,-14186,277421976121168,277422276020987,255
8339,24863,6613,277475976171669,277476276071822,255
291,24868,-7659,277564476155444,303849180468556,255
291,24871,-28559,277761876155317,160170012773768,241
291,24871,-18655,277762176155104,277762476055040,255
291,24871,-8109,277762776154921,307272792268526,255
291,24871,8715,277762476155055,277762776054868,208
8168,24872,-27389,370249977257892,278111676073896,255
291,24872,-15860,278112276174364,278112576074002,255
291,24872,-15818,278111076173845,278111376073772,255
291,24872,-7627,278111976173763,337640639267979,255
291,24872,-7590,278110776173817,278111076073989,255
291,24872,88239,278111676173899,181631034409006,255
291,24875,-79303,278165676185824,278165976038274,341
8467,24875,26911,177754802197837,278166276038262,291
291,24879,-8944,278254776155986,278255076056032,255
291,24884,7052,278375976156003,278376276055805,255
8256,24891,-7748,278509476115473,278509776015417,255
291,24892,17992,278528976175120,210072136271578,255
291,24893,-5799,278600076104027,278600376003917,337
291,24894,-17793,278629176152752,278629476053031,255
291,24894,-14867,339477161167272,379350933565603,276
291,24896,-93662,284031374312645,278684676064046,255
