yearvalue(long),agegroup,category,type,fiveormoreservingsoffruitsandvegetables(double precision)
2012,Adolescent (12-17),All,Total,40.2
2012,Adolescent (12-17),Gender,Male,37.3
2012,Adolescent (12-17),Gender,Female,43.3
2012,Adolescent (12-17),Gender by Age- Male,12-13,35.2
2012,Adolescent (12-17),Gender by Age- Male,14-15,80.62292525160612
1815,Adolescent (12-17),Gender by Age- Male,16-17,34.6
1985,Adolescent (12-17),Gender by Age- Female,12-13,50.1
1721,Adolescent (12-17),Gender by Age- Female,14-15,39.8
2012,Adolescent (12-17),Gender by Age- Female,16-17,40.5
2012,Adolescent (12-17),Race/Ethnicity,White,40.3
2012,Adolescent (12-17),Race/Ethnicity,African American,12.769941160887498
2012,Adolescent (12-17),Race/Ethnicity,Latino,44.2
2012,Adolescent (12-17),Race/Ethnicity,Asian/Other,77.68296042109637
2012,Adolescent (12-17),Income,"Less than $15,000",43.2
2012,Adolescent (12-17),Income,"$15,000 - 24,999",80.7601655611463
2012,Adolescent (12-17),Income,"$25,000 - 34,999",54.1
2012,Adolescent (12-17),Income,"$35,000 - 49,999",7.002100500037018
2012,Adolescent (12-17),Income,"$50,000 - 74,999",12.243988741100289
2012,Adolescent (12-17),Income,"$75,000 or greater",42.3
2012,Adolescent (12-17),Physical Activity,Regular,41.9
2012,Adolescent (12-17),Physical Activity,Irregular,34.4
2012,Adolescent (12-17),Overweight Status,Not Overweight,41.2
2012,Adolescent (12-17),Overweight Status,Overweight/Obese,39.1
2012,Adolescent (12-17),"CalFresh Status, % FPL",Participant,47.5
2012,Adolescent (12-17),"CalFresh Status, % FPL","Likely Eligible, ≤ 130%",41.9
2012,Adolescent (12-17),"CalFresh Status, % FPL","Not Eligible, > 185%",36.2
2013,Adult (18+),All,Total,39.8
2013,Adult (18+),Gender,Male,34.3
2013,Adult (18+),Gender,Female,75.51599757498909
2013,Adult (18+),Age,18 - 24,36.2
1624,Adult (18+),Age,25 - 34,43.3
2013,Adult (18+),Age,35 - 50,38.7
2013,Adult (18+),Age,51 - 64,40.6
2013,Adult (18+),Age,65+,39.5
2013,Adult (18+),Race/Ethnicity,White,40.1
1714,Adult (18+),Race/Ethnicity,African American,38.5
2013,Adult (18+),Race/Ethnicity,Latino,40.1
2013,Adult (18+),Race/Ethnicity,Asian/Other,38.8
2013,Adult (18+),Education,Less than High School,34.9
3002,Adult (18+),Education,High School Graduate,36.9
2673,Adult (18+),Education,Some College,37.1
2013,Adult (18+),Education,College Graduate,48.5
2013,Adult (18+),Income,"Less than $15,000",40.1
2013,Adult (18+),Income,"$15,000 - 24,999",40.7
2013,Adult (18+),Income,"$25,000 - 34,999",37.0
2013,Adult (18+),Income,"$35,000 - 49,999",33.0
2807,Adult (18+),Income,"$50,000+",7.647092176617942
2013,Adult (18+),Physical Activity,Met Aerobic Recommendation,45.1
2013,Adult (18+),Physical Activity,Did Not Meet Aerobic Recommendation,30.8
2013,Adult (18+),Overweight Status,Not Overweight,42.6
2013,Adult (18+),Overweight Status,Overweight/Obese,38.5
2013,Adult (18+),"CalFresh Status, % FPL",Participant,40.1
2013,Adult (18+),"CalFresh Status, % FPL","Likely Eligible, ≤ 130%",35.0
2484,Adult (18+),"CalFresh Status, % FPL","Not Eligible, > 185%",9.474125397515769
2013,Child (6-11),All,Total,9.95258579683341
2013,Child (6-11),Gender,Male,24.0
2013,Child (6-11),Gender,Female,77.5590842277321
2013,Child (6-11),Age,6-8,28.3
2013,Child (6-11),Age,9-11,85.04147426316283
2013,Child (6-11),Race/Ethnicity,White,60.02103156066713
2013,Child (6-11),Race/Ethnicity,African American,24.5
2013,Child (6-11),Race/Ethnicity,Latino,27.5
2013,Child (6-11),Race/Ethnicity,Asian/Other,25.9
2859,Child (6-11),Parent Education,Less than High School,27.9
2588,Child (6-11),Parent Education,High School Graduate,30.0
1020,Child (6-11),Parent Education,Some College/Graduate,24.4
2930,Child (6-11),Physical Activity,> 60 minutes,62.41202174854645
2488,Child (6-11),Physical Activity,< 60 minutes,82.25756867811982
2013,Child (6-11),Overweight Status,Not Overweight,29.8
2013,Child (6-11),Overweight Status,Overweight/Obese,26.9
