namevalue,lat(double precision),long(double precision),mrc
Abbott,36.25,-139.78436648087987,36104-C3
Abbott Lake,36.125,-104.25,36104-B3
Abbott NW,36.375,-104.375,36104-D4
Abeyta,44.06556206982384,-104.125,37104-A2
Abeytas,34.375,-106.75,34106-D7
Abiquiu,36.125,-106.25,36106-B3
Abo,34.375,-106.25,34106-D3
Abreu Canyon,36.625,-105.0,36105-F1
Acme,33.5,-104.25,33104-E3
Acoma Pueblo,34.875,-136.03971058356706,34107-H5
Adams Diggings,34.375,-108.25,34108-D3
Aden Crater,32.0,-153.31256183428533,32107-A1
Aden Hills,32.125,-107.0,32107-B1
Adobe Downs Ranch,36.875,-108.0,36108-H1
Afton,52.6421853721449,-106.875,32106-A8
Afton NW,32.125,-106.875,32106-B8
Agua Fria,35.625,-106.0,35106-F1
Agua Fria Peak,36.25,-105.125,36105-C2
Akela,32.125,-107.375,32107-B4
Alameda,24.85162551034464,-106.5,35106-B5
Alamito,35.75,-115.17297790085004,35104-G4
Alamo Mesa East,36.25,-160.56814303271935,36108-C1
Alamo Mesa West,36.25,-150.64020561343753,36108-C2
Alamo Mountain,32.0,-128.7286808077479,32105-A6
Alamo Mountain NE,41.58127840918315,-105.5,32105-B5
Alamo Ranch,34.25,-104.25,34104-C3
Alamogordo North,32.875,-90.8383165299555,32105-H8
Alamogordo South,24.372130410636643,-137.7461370151679,32105-G8
Alamosa Canyon,35.5,-103.75,35103-E7
Alamosa Creek,35.875,-104.5,35104-H5
Albert,35.875,-85.8720063391973,35103-H7
Albuquerque East,35.0,-145.2011425656996,35106-A5
Albuquerque West,35.0,-106.625,35106-A6
Alegres Mountain,34.125,-108.125,34108-B2
Algerita Canyon,32.25,-122.84276221167988,32104-C8
Alire,19.95306325116018,-106.5,36106-D5
Alivio,32.75,-107.0,32107-G1
Allie Canyon,15.998258587142072,-108.0,32108-H1
Alligator Draw,31.875,-104.375,31104-H4
Allison,37.0,-107.375,37107-A4
Alma,33.375,-108.875,33108-D8
Alma Mesa,33.375,-90.95803711179155,33109-D1
Alpine,33.75,-109.125,33109-G2
Alps Mesa,36.875,-103.875,36103-H8
Alston Ranch,33.125,-72.88525978527528,33103-B4
Alto De Hormiga,36.0,-145.393172293823,36104-A5
Amalia,36.875,-105.375,36105-H4
Ambrosia Lake,42.97340292680878,-107.75,35107-D7
Amistad,23.73151902454017,-103.125,35103-H2
Amistad SE,35.75,-103.0,35103-G1
Anastacio Spring,36.875,-78.14201952297329,36107-H6
Ancho,33.875,-105.625,33105-H6
Anderson Peak,34.0,-74.49172846120476,34107-A7
Andrews Place,32.0,-103.375,32103-A4
Angel Draw,32.5,-50.80047647546501,32104-E2
Angus,15.709540181832988,-105.625,33105-D6
Animas,31.875,-146.87620559877104,31108-H7
Animas Peak,31.5,-108.75,31108-E7
Animas Peak NE,31.625,-108.75,31108-F7
Antelope Hill,50.63662573385275,-108.0,32108-D1
Antelope Lookout Mesa,35.75,-108.125,35108-G2
Antelope Pass,31.875,-108.875,31108-H8
Antelope Ridge,32.875,-108.625,32108-H6
Antelope Sink,32.625,-104.625,32104-F6
Anthony,32.0,-89.98250645455978,32106-A5
Anton Chico,35.125,-105.125,35105-B2
Antonito,37.0,-106.0,37106-A1
Apache,24.85953895310012,-109.125,31109-F2
Apache Canyon,34.875,-103.375,34103-H4
Apache Gap,53.57675901987498,-107.125,32107-H2
Apache Mesa,36.625,-56.6162072027968,36106-F7
Apache Peak,33.0,-144.4552384761948,33107-A6
Apache Springs,35.25,-105.125,35105-C2
Apache Summit,33.125,-105.625,33105-B6
Applegate Mountain,32.875,-108.75,32108-H7
Arabela,33.5,-105.125,33105-E2
Aragon,15.6531626278094,-108.5,33108-H5
Aragon Hill,36.125,-103.75,36103-B7
Arch,34.0,-103.125,34103-A2
Arch Mesa,35.125,-82.0058200678433,35107-B2
Arch NE,34.125,-50.020581421887975,34103-B1
Arch NW,34.125,-103.125,34103-B2
Archuleta,36.75,-107.625,36107-G6
Archuleta Creek,37.0,-106.5,37106-A5
Ares Peak,32.25,-104.75,32104-C7
